Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,MATURATION OF SSU RRNA,"MATURATION OF SSU RRNA FROM TRICISTRONIC RRNA
TRANSCRIPT SSU RRNA 5 8S RRNA LSU RRNA",RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RRNA METABOLIC PROCESS,REGULATION OF RRNA PROCESSING,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,RIBOSOME ASSEMBLY,MEMBRANELESS ORGANELLE ASSEMBLY,MITOCHONDRIAL GENE EXPRESSION,MITOCHONDRIAL TRANSLATION,PROTEIN RNA COMPLEX ORGANIZATION,"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",RNA SPLICING,CYTOPLASMIC TRANSLATION,"NEGATIVE REGULATION OF SYNCYTIUM FORMATION BY
PLASMA MEMBRANE FUSION","REGULATION OF SYNCYTIUM FORMATION BY PLASMA
MEMBRANE FUSION",SYNCYTIUM FORMATION,STRIATED MUSCLE CELL DIFFERENTIATION,MYOBLAST FUSION,CELL SUBSTRATE ADHESION,REGULATION OF CELL SUBSTRATE ADHESION,CELL MATRIX ADHESION,POSITIVE REGULATION OF CELL ADHESION,INTEGRIN MEDIATED SIGNALING PATHWAY,ACTIN FILAMENT BUNDLE ORGANIZATION,WOUND HEALING,HEMOSTASIS,REGULATION OF PLASMINOGEN ACTIVATION,TAXIS,TRNA METABOLIC PROCESS,TRNA PROCESSING,TRNA MODIFICATION,RNA MODIFICATION,RNA METHYLATION,MACROMOLECULE METHYLATION,ADULT BEHAVIOR,LEARNING,MULTI MULTICELLULAR ORGANISM PROCESS
"REGULATION OF SYNCYTIUM FORMATION BY PLASMA
MEMBRANE FUSION",0.1506849315068493,0.1095890410958904,0.0,0.0,0.0,0.1095890410958904,0.0,0.1095890410958904,0.0547945205479452,0.0821917808219178,0.0,0.0,0.0684931506849315,0.0136986301369863,0.0136986301369863,0.6164383561643836,0.684931506849315,1.0,1.0,0.8767123287671232,0.8767123287671232,0.0136986301369863,0.0,0.0136986301369863,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.1095890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0273972602739726
SYNCYTIUM FORMATION,0.0990990990990991,0.07207207207207207,0.0,0.0,0.0,0.07207207207207207,0.0,0.07207207207207207,0.036036036036036036,0.08108108108108109,0.0,0.0,0.04504504504504504,0.009009009009009009,0.009009009009009009,0.40540540540540543,0.45045045045045046,0.6576576576576577,1.0,0.8288288288288288,0.8288288288288288,0.04504504504504504,0.02702702702702703,0.018018018018018018,0.04504504504504504,0.04504504504504504,0.018018018018018018,0.06306306306306306,0.02702702702702703,0.0,0.09009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036036036036036036,0.018018018018018018
STRIATED MUSCLE CELL DIFFERENTIATION,0.03333333333333333,0.022222222222222223,0.0,0.0,0.0,0.025,0.0,0.022222222222222223,0.011111111111111112,0.24444444444444444,0.0,0.0,0.013888888888888888,0.008333333333333333,0.019444444444444445,0.1361111111111111,0.13333333333333333,0.17777777777777778,0.25555555555555554,1.0,0.25555555555555554,0.05555555555555555,0.041666666666666664,0.03333333333333333,0.06111111111111111,0.011111111111111112,0.030555555555555555,0.09444444444444444,0.030555555555555555,0.0,0.06944444444444445,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.022222222222222223,0.025,0.041666666666666664
MYOBLAST FUSION,0.11956521739130435,0.08695652173913043,0.0,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.043478260869565216,0.09782608695652174,0.0,0.0,0.05434782608695652,0.010869565217391304,0.010869565217391304,0.4891304347826087,0.5217391304347826,0.6956521739130435,1.0,1.0,1.0,0.043478260869565216,0.03260869565217391,0.010869565217391304,0.043478260869565216,0.03260869565217391,0.010869565217391304,0.06521739130434782,0.03260869565217391,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03260869565217391,0.021739130434782608
CELL SUBSTRATE ADHESION,0.005305039787798408,0.002652519893899204,0.0,0.0,0.0,0.002652519893899204,0.0,0.0,0.002652519893899204,0.034482758620689655,0.002652519893899204,0.002652519893899204,0.0,0.002652519893899204,0.005305039787798408,0.0,0.0,0.002652519893899204,0.013262599469496022,0.05305039787798409,0.010610079575596816,1.0,0.5941644562334217,0.6604774535809018,0.38992042440318303,0.1909814323607427,0.14854111405835543,0.22546419098143236,0.10875331564986737,0.015915119363395226,0.16445623342175067,0.0,0.0,0.0,0.0,0.0,0.0,0.013262599469496022,0.01856763925729443,0.03978779840848806
REGULATION OF CELL SUBSTRATE ADHESION,0.008928571428571428,0.004464285714285714,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.004464285714285714,0.044642857142857144,0.004464285714285714,0.004464285714285714,0.0,0.004464285714285714,0.008928571428571428,0.0,0.0,0.0,0.013392857142857142,0.06696428571428571,0.013392857142857142,1.0,1.0,0.6294642857142857,0.59375,0.14285714285714285,0.19196428571428573,0.26785714285714285,0.12053571428571429,0.022321428571428572,0.20535714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.049107142857142856
CELL MATRIX ADHESION,0.004016064257028112,0.004016064257028112,0.0,0.0,0.0,0.004016064257028112,0.0,0.0,0.0,0.040160642570281124,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0.0,0.004016064257028112,0.008032128514056224,0.04819277108433735,0.004016064257028112,1.0,0.5662650602409639,1.0,0.3373493975903614,0.24096385542168675,0.17670682730923695,0.24899598393574296,0.11244979919678715,0.020080321285140562,0.1606425702811245,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.024096385542168676,0.040160642570281124
POSITIVE REGULATION OF CELL ADHESION,0.004008016032064128,0.002004008016032064,0.0,0.0,0.0,0.008016032064128256,0.0,0.0,0.002004008016032064,0.01603206412825651,0.006012024048096192,0.002004008016032064,0.004008016032064128,0.006012024048096192,0.006012024048096192,0.006012024048096192,0.0,0.004008016032064128,0.01002004008016032,0.04408817635270541,0.008016032064128256,0.29458917835671344,0.2665330661322645,0.1683366733466934,1.0,0.0841683366733467,0.0781563126252505,0.18036072144288579,0.10420841683366733,0.008016032064128256,0.18637274549098196,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.004008016032064128,0.002004008016032064,0.002004008016032064,0.022044088176352707,0.012024048096192385,0.05410821643286573
INTEGRIN MEDIATED SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.041666666666666664,0.03333333333333333,0.025,0.6,0.26666666666666666,0.5,0.35,1.0,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.016666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.06666666666666667
ACTIN FILAMENT BUNDLE ORGANIZATION,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.11173184357541899,0.0,0.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.0111731843575419,0.061452513966480445,0.00558659217877095,0.3128491620111732,0.24022346368715083,0.24581005586592178,0.21787709497206703,0.11173184357541899,1.0,0.2011173184357542,0.0670391061452514,0.0111731843575419,0.09497206703910614,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0335195530726257,0.061452513966480445,0.0335195530726257
WOUND HEALING,0.0,0.0,0.0,0.0,0.0,0.002197802197802198,0.0,0.0,0.0,0.07472527472527472,0.0,0.0,0.002197802197802198,0.002197802197802198,0.004395604395604396,0.002197802197802198,0.0,0.002197802197802198,0.015384615384615385,0.07472527472527472,0.013186813186813187,0.18681318681318682,0.13186813186813187,0.13626373626373625,0.1978021978021978,0.07692307692307693,0.07912087912087912,1.0,0.5384615384615384,0.02197802197802198,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.024175824175824177,0.046153846153846156
HEMOSTASIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035856573705179286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398406374501992,0.01195219123505976,0.043824701195219126,0.01195219123505976,0.16334661354581673,0.10756972111553785,0.11155378486055777,0.20717131474103587,0.099601593625498,0.04780876494023904,0.9760956175298805,1.0,0.035856573705179286,0.1553784860557769,0.0,0.0,0.0,0.0,0.0,0.0,0.01593625498007968,0.0199203187250996,0.0398406374501992
REGULATION OF PLASMINOGEN ACTIVATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5,1.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
TAXIS,0.006237006237006237,0.004158004158004158,0.002079002079002079,0.002079002079002079,0.002079002079002079,0.004158004158004158,0.0,0.0,0.006237006237006237,0.033264033264033266,0.004158004158004158,0.004158004158004158,0.004158004158004158,0.004158004158004158,0.006237006237006237,0.004158004158004158,0.004158004158004158,0.016632016632016633,0.02079002079002079,0.05197505197505198,0.016632016632016633,0.1288981288981289,0.09563409563409564,0.08316008316008316,0.19334719334719336,0.0498960498960499,0.035343035343035345,0.14553014553014554,0.08108108108108109,0.010395010395010396,1.0,0.002079002079002079,0.002079002079002079,0.002079002079002079,0.002079002079002079,0.0,0.0,0.010395010395010396,0.016632016632016633,0.037422037422037424
TRNA METABOLIC PROCESS,0.09523809523809523,0.09523809523809523,0.01904761904761905,0.004761904761904762,0.023809523809523808,0.15714285714285714,0.004761904761904762,0.004761904761904762,0.0,0.004761904761904762,0.16666666666666666,0.10476190476190476,0.023809523809523808,0.01904761904761905,0.10476190476190476,0.01904761904761905,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,1.0,0.6619047619047619,0.45714285714285713,0.4714285714285714,0.20476190476190476,0.21428571428571427,0.0,0.0,0.004761904761904762
TRNA PROCESSING,0.10071942446043165,0.10071942446043165,0.02877697841726619,0.007194244604316547,0.02877697841726619,0.10071942446043165,0.007194244604316547,0.007194244604316547,0.0,0.0,0.14388489208633093,0.050359712230215826,0.02158273381294964,0.02158273381294964,0.1510791366906475,0.02158273381294964,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,1.0,1.0,0.6906474820143885,0.7122302158273381,0.30935251798561153,0.3237410071942446,0.0,0.0,0.007194244604316547
TRNA MODIFICATION,0.052083333333333336,0.052083333333333336,0.020833333333333332,0.0,0.020833333333333332,0.052083333333333336,0.010416666666666666,0.010416666666666666,0.0,0.0,0.16666666666666666,0.07291666666666667,0.0,0.010416666666666666,0.041666666666666664,0.03125,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,1.0,1.0,1.0,1.0,0.4270833333333333,0.4270833333333333,0.0,0.0,0.010416666666666666
RNA MODIFICATION,0.22404371584699453,0.2185792349726776,0.04371584699453552,0.0,0.060109289617486336,0.2185792349726776,0.01639344262295082,0.03825136612021858,0.03825136612021858,0.04371584699453552,0.11475409836065574,0.04918032786885246,0.1092896174863388,0.1092896174863388,0.1366120218579235,0.0273224043715847,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.00546448087431694,0.0,0.0,0.0,0.00546448087431694,0.5409836065573771,0.5409836065573771,0.5245901639344263,1.0,0.4918032786885246,0.4918032786885246,0.0,0.0,0.01092896174863388
RNA METHYLATION,0.32222222222222224,0.32222222222222224,0.06666666666666667,0.0,0.1,0.32222222222222224,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.03333333333333333,0.16666666666666666,0.17777777777777778,0.18888888888888888,0.03333333333333333,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.4777777777777778,0.4777777777777778,0.45555555555555555,1.0,1.0,1.0,0.0,0.0,0.011111111111111112
MACROMOLECULE METHYLATION,0.23308270676691728,0.23308270676691728,0.045112781954887216,0.0,0.06766917293233082,0.23308270676691728,0.03759398496240601,0.045112781954887216,0.045112781954887216,0.045112781954887216,0.07518796992481203,0.022556390977443608,0.12781954887218044,0.13533834586466165,0.16541353383458646,0.03007518796992481,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.3383458646616541,0.3383458646616541,0.3082706766917293,0.6766917293233082,0.6766917293233082,1.0,0.007518796992481203,0.0,0.007518796992481203
ADULT BEHAVIOR,0.012195121951219513,0.006097560975609756,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.03048780487804878,0.024390243902439025,0.018292682926829267,0.06707317073170732,0.0,0.036585365853658534,0.042682926829268296,0.024390243902439025,0.0,0.03048780487804878,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,1.0,0.21951219512195122,0.054878048780487805
LEARNING,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.024390243902439025,0.006097560975609756,0.006097560975609756,0.0,0.006097560975609756,0.018292682926829267,0.0,0.006097560975609756,0.006097560975609756,0.024390243902439025,0.054878048780487805,0.018292682926829267,0.042682926829268296,0.024390243902439025,0.036585365853658534,0.036585365853658534,0.018292682926829267,0.06707317073170732,0.06707317073170732,0.03048780487804878,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.21951219512195122,1.0,0.054878048780487805
MULTI MULTICELLULAR ORGANISM PROCESS,0.0091324200913242,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0136986301369863,0.0,0.0,0.0045662100456621,0.0319634703196347,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0136986301369863,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0091324200913242,0.0684931506849315,0.0091324200913242,0.0684931506849315,0.0502283105022831,0.045662100456621,0.1232876712328767,0.0365296803652968,0.0273972602739726,0.0958904109589041,0.045662100456621,0.0045662100456621,0.0821917808219178,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0045662100456621,0.0045662100456621,0.0410958904109589,0.0410958904109589,1.0
