Pathway,IMMUNOGLOBULIN COMPLEX,T CELL RECEPTOR COMPLEX,PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,ALPHA BETA T CELL RECEPTOR COMPLEX,EXTERNAL SIDE OF PLASMA MEMBRANE,IMMUNOLOGICAL SYNAPSE,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,POTASSIUM CHANNEL COMPLEX,SODIUM CHANNEL COMPLEX,MAIN AXON,PERIKARYON,PRESYNAPTIC MEMBRANE,SYNAPTIC MEMBRANE,PRESYNAPTIC ACTIVE ZONE,GABA ERGIC SYNAPSE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,EXCITATORY SYNAPSE,DISTAL AXON,TERMINAL BOUTON,NEURON PROJECTION TERMINUS,EXOCYTIC VESICLE,SYNAPTIC VESICLE MEMBRANE,NEUROMUSCULAR JUNCTION,SARCOLEMMA,CONTRACTILE MUSCLE FIBER,SARCOPLASM,BASEMENT MEMBRANE,ENDOPLASMIC RETICULUM LUMEN,CHROMOSOME CENTROMERIC REGION,CONDENSED CHROMOSOME CENTROMERIC REGION,CONDENSED CHROMOSOME,LATE ENDOSOME,MHC PROTEIN COMPLEX,PHAGOCYTIC VESICLE,PHAGOCYTIC VESICLE MEMBRANE,TRANSCRIPTION FACTOR AP 1 COMPLEX
MAIN AXON,0.0,0.0,0.04225352112676056,0.0,0.07042253521126761,0.014084507042253521,0.29577464788732394,0.30985915492957744,0.19718309859154928,0.08450704225352113,1.0,0.22535211267605634,0.1267605633802817,0.30985915492957744,0.028169014084507043,0.056338028169014086,0.23943661971830985,0.08450704225352113,0.15492957746478872,0.19718309859154928,0.014084507042253521,0.2535211267605634,0.028169014084507043,0.18309859154929578,0.07042253521126761,0.014084507042253521,0.08450704225352113,0.1267605633802817,0.09859154929577464,0.04225352112676056,0.028169014084507043,0.028169014084507043,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0
PERIKARYON,0.0,0.0,0.039473684210526314,0.0,0.046052631578947366,0.0,0.125,0.15789473684210525,0.09868421052631579,0.019736842105263157,0.10526315789473684,1.0,0.13815789473684212,0.2631578947368421,0.019736842105263157,0.046052631578947366,0.18421052631578946,0.09868421052631579,0.2236842105263158,0.2236842105263158,0.019736842105263157,0.3223684210526316,0.06578947368421052,0.18421052631578946,0.09868421052631579,0.039473684210526314,0.06578947368421052,0.05263157894736842,0.046052631578947366,0.013157894736842105,0.0,0.019736842105263157,0.019736842105263157,0.006578947368421052,0.006578947368421052,0.046052631578947366,0.0,0.013157894736842105,0.0,0.0
PRESYNAPTIC MEMBRANE,0.0,0.0,0.11538461538461539,0.0,0.04395604395604396,0.016483516483516484,0.15934065934065933,0.21978021978021978,0.11538461538461539,0.03296703296703297,0.04945054945054945,0.11538461538461539,1.0,1.0,0.3021978021978022,0.13186813186813187,0.5,0.1813186813186813,0.2692307692307692,0.2967032967032967,0.11538461538461539,0.22527472527472528,0.06593406593406594,0.1813186813186813,0.24725274725274726,0.15934065934065933,0.07692307692307693,0.054945054945054944,0.016483516483516484,0.01098901098901099,0.005494505494505495,0.0,0.016483516483516484,0.01098901098901099,0.01098901098901099,0.005494505494505495,0.0,0.016483516483516484,0.005494505494505495,0.0
SYNAPTIC MEMBRANE,0.0,0.0,0.14864864864864866,0.0,0.036036036036036036,0.009009009009009009,0.12162162162162163,0.25,0.07432432432432433,0.013513513513513514,0.04954954954954955,0.09009009009009009,0.4099099099099099,1.0,0.13063063063063063,0.14864864864864866,0.7094594594594594,0.34234234234234234,0.44819819819819817,0.41216216216216217,0.11036036036036036,0.13963963963963963,0.02927927927927928,0.0990990990990991,0.13288288288288289,0.08558558558558559,0.08558558558558559,0.06756756756756757,0.02702702702702703,0.015765765765765764,0.01126126126126126,0.009009009009009009,0.006756756756756757,0.0045045045045045045,0.0045045045045045045,0.018018018018018018,0.0,0.01126126126126126,0.0045045045045045045,0.0
PRESYNAPTIC ACTIVE ZONE,0.0,0.0,0.03488372093023256,0.0,0.046511627906976744,0.0,0.06976744186046512,0.11627906976744186,0.03488372093023256,0.0,0.023255813953488372,0.03488372093023256,0.6395348837209303,0.6744186046511628,1.0,0.19767441860465115,0.2441860465116279,0.11627906976744186,0.27906976744186046,0.3023255813953488,0.1511627906976744,0.23255813953488372,0.09302325581395349,0.19767441860465115,0.2558139534883721,0.18604651162790697,0.11627906976744186,0.06976744186046512,0.03488372093023256,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.023255813953488372,0.0,0.0
GABA ERGIC SYNAPSE,0.0,0.0,0.04424778761061947,0.0,0.04424778761061947,0.0,0.061946902654867256,0.22123893805309736,0.035398230088495575,0.0,0.035398230088495575,0.061946902654867256,0.21238938053097345,0.584070796460177,0.1504424778761062,1.0,0.504424778761062,0.2831858407079646,0.415929203539823,0.2920353982300885,0.08849557522123894,0.168141592920354,0.02654867256637168,0.09734513274336283,0.09734513274336283,0.07079646017699115,0.04424778761061947,0.05309734513274336,0.008849557522123894,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.0,0.0,0.0,0.04424778761061947,0.0,0.02654867256637168,0.008849557522123894,0.0
POSTSYNAPTIC MEMBRANE,0.0,0.0,0.20317460317460317,0.0,0.031746031746031744,0.006349206349206349,0.13015873015873017,0.30793650793650795,0.0761904761904762,0.015873015873015872,0.05396825396825397,0.08888888888888889,0.28888888888888886,1.0,0.06666666666666667,0.18095238095238095,1.0,0.48253968253968255,0.580952380952381,0.5111111111111111,0.1111111111111111,0.11746031746031746,0.01904761904761905,0.08571428571428572,0.07936507936507936,0.05396825396825397,0.08253968253968254,0.06349206349206349,0.02857142857142857,0.01904761904761905,0.012698412698412698,0.006349206349206349,0.0031746031746031746,0.0,0.0,0.01904761904761905,0.0,0.006349206349206349,0.0031746031746031746,0.0
POSTSYNAPTIC SPECIALIZATION MEMBRANE,0.0,0.0,0.23684210526315788,0.0,0.02631578947368421,0.006578947368421052,0.13157894736842105,0.3618421052631579,0.09210526315789473,0.03289473684210526,0.039473684210526314,0.09868421052631579,0.21710526315789475,1.0,0.06578947368421052,0.21052631578947367,1.0,1.0,1.0,0.8289473684210527,0.14473684210526316,0.09868421052631579,0.019736842105263157,0.07236842105263158,0.09868421052631579,0.06578947368421052,0.08552631578947369,0.05921052631578947,0.006578947368421052,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.0,0.0,0.0
POSTSYNAPTIC SPECIALIZATION,0.0,0.0,0.10649350649350649,0.0,0.015584415584415584,0.007792207792207792,0.05454545454545454,0.15844155844155844,0.03636363636363636,0.012987012987012988,0.02857142857142857,0.08831168831168831,0.12727272727272726,0.5168831168831168,0.06233766233766234,0.12207792207792208,0.4753246753246753,0.3948051948051948,1.0,0.9116883116883117,0.09090909090909091,0.12467532467532468,0.015584415584415584,0.06753246753246753,0.08311688311688312,0.04935064935064935,0.05714285714285714,0.04415584415584416,0.033766233766233764,0.023376623376623377,0.005194805194805195,0.0025974025974025974,0.005194805194805195,0.0025974025974025974,0.007792207792207792,0.02077922077922078,0.0,0.012987012987012988,0.005194805194805195,0.0
NEURON TO NEURON SYNAPSE,0.0,0.0,0.09,0.0,0.0225,0.0075,0.045,0.1025,0.0275,0.0125,0.035,0.085,0.135,0.4575,0.065,0.0825,0.4025,0.315,0.8775,1.0,0.1125,0.14,0.025,0.0825,0.1,0.0575,0.0425,0.0425,0.0325,0.0225,0.0025,0.0075,0.005,0.0025,0.0075,0.0325,0.0,0.0125,0.0075,0.0
EXCITATORY SYNAPSE,0.0,0.0,0.15492957746478872,0.0,0.07042253521126761,0.0,0.07042253521126761,0.2112676056338028,0.04225352112676056,0.0,0.014084507042253521,0.04225352112676056,0.29577464788732394,0.6901408450704225,0.18309859154929578,0.14084507042253522,0.49295774647887325,0.30985915492957744,0.49295774647887325,0.6338028169014085,1.0,0.14084507042253522,0.056338028169014086,0.16901408450704225,0.19718309859154928,0.14084507042253522,0.09859154929577464,0.04225352112676056,0.028169014084507043,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.0,0.028169014084507043,0.0,0.0
DISTAL AXON,0.0,0.0,0.03272727272727273,0.0,0.02181818181818182,0.0,0.07272727272727272,0.08727272727272728,0.05818181818181818,0.014545454545454545,0.06545454545454546,0.1781818181818182,0.14909090909090908,0.22545454545454546,0.07272727272727272,0.06909090909090909,0.13454545454545455,0.05454545454545454,0.17454545454545456,0.20363636363636364,0.03636363636363636,1.0,0.1709090909090909,0.4218181818181818,0.15636363636363637,0.10909090909090909,0.06181818181818182,0.04,0.04,0.014545454545454545,0.007272727272727273,0.014545454545454545,0.025454545454545455,0.02181818181818182,0.02181818181818182,0.03272727272727273,0.0,0.02181818181818182,0.01090909090909091,0.0
TERMINAL BOUTON,0.0,0.0,0.06382978723404255,0.0,0.02127659574468085,0.0,0.0851063829787234,0.10638297872340426,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.2127659574468085,0.2553191489361702,0.2765957446808511,0.1702127659574468,0.06382978723404255,0.1276595744680851,0.06382978723404255,0.1276595744680851,0.2127659574468085,0.0851063829787234,1.0,1.0,1.0,0.3404255319148936,0.2978723404255319,0.1276595744680851,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0425531914893617,0.02127659574468085,0.0
NEURON PROJECTION TERMINUS,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.13636363636363635,0.15151515151515152,0.12121212121212122,0.022727272727272728,0.09848484848484848,0.21212121212121213,0.25,0.3333333333333333,0.12878787878787878,0.08333333333333333,0.20454545454545456,0.08333333333333333,0.19696969696969696,0.25,0.09090909090909091,0.8787878787878788,0.3560606060606061,1.0,0.2803030303030303,0.2196969696969697,0.06818181818181818,0.06060606060606061,0.06060606060606061,0.022727272727272728,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.015151515151515152,0.015151515151515152,0.045454545454545456,0.0,0.03787878787878788,0.015151515151515152,0.0
EXOCYTIC VESICLE,0.0,0.0,0.02491103202846975,0.0,0.017793594306049824,0.0071174377224199285,0.02491103202846975,0.05338078291814947,0.021352313167259787,0.0,0.017793594306049824,0.05338078291814947,0.1601423487544484,0.2099644128113879,0.07829181494661921,0.03914590747330961,0.08896797153024912,0.05338078291814947,0.11387900355871886,0.1423487544483986,0.0498220640569395,0.15302491103202848,0.05693950177935943,0.13167259786476868,1.0,0.505338078291815,0.05693950177935943,0.028469750889679714,0.014234875444839857,0.0071174377224199285,0.0,0.021352313167259787,0.014234875444839857,0.014234875444839857,0.017793594306049824,0.07829181494661921,0.0,0.06761565836298933,0.046263345195729534,0.0
SYNAPTIC VESICLE MEMBRANE,0.0,0.0,0.014084507042253521,0.0,0.02112676056338028,0.007042253521126761,0.035211267605633804,0.07042253521126761,0.035211267605633804,0.0,0.007042253521126761,0.04225352112676056,0.20422535211267606,0.2676056338028169,0.11267605633802817,0.056338028169014086,0.11971830985915492,0.07042253521126761,0.13380281690140844,0.1619718309859155,0.07042253521126761,0.2112676056338028,0.09859154929577464,0.20422535211267606,1.0,1.0,0.09154929577464789,0.035211267605633804,0.014084507042253521,0.014084507042253521,0.0,0.007042253521126761,0.0,0.0,0.007042253521126761,0.07746478873239436,0.0,0.09859154929577464,0.06338028169014084,0.0
NEUROMUSCULAR JUNCTION,0.0,0.0,0.11235955056179775,0.0,0.056179775280898875,0.033707865168539325,0.033707865168539325,0.10112359550561797,0.02247191011235955,0.0,0.06741573033707865,0.11235955056179775,0.15730337078651685,0.42696629213483145,0.11235955056179775,0.056179775280898875,0.29213483146067415,0.14606741573033707,0.24719101123595505,0.19101123595505617,0.07865168539325842,0.19101123595505617,0.06741573033707865,0.10112359550561797,0.1797752808988764,0.14606741573033707,1.0,0.21348314606741572,0.06741573033707865,0.0449438202247191,0.11235955056179775,0.033707865168539325,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.033707865168539325,0.0,0.0,0.0,0.0
SARCOLEMMA,0.0,0.0,0.028368794326241134,0.0,0.06382978723404255,0.0070921985815602835,0.24113475177304963,0.2553191489361702,0.06382978723404255,0.028368794326241134,0.06382978723404255,0.05673758865248227,0.07092198581560284,0.2127659574468085,0.0425531914893617,0.0425531914893617,0.14184397163120568,0.06382978723404255,0.12056737588652482,0.12056737588652482,0.02127659574468085,0.07801418439716312,0.0,0.05673758865248227,0.05673758865248227,0.03546099290780142,0.1347517730496454,1.0,0.3262411347517731,0.16312056737588654,0.03546099290780142,0.03546099290780142,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,0.03546099290780142,0.0,0.0070921985815602835,0.0070921985815602835,0.0
CONTRACTILE MUSCLE FIBER,0.0,0.0,0.003952569169960474,0.0,0.007905138339920948,0.0,0.09090909090909091,0.09090909090909091,0.03162055335968379,0.015810276679841896,0.02766798418972332,0.02766798418972332,0.011857707509881422,0.04743083003952569,0.011857707509881422,0.003952569169960474,0.03557312252964427,0.003952569169960474,0.05138339920948617,0.05138339920948617,0.007905138339920948,0.043478260869565216,0.0,0.03162055335968379,0.015810276679841896,0.007905138339920948,0.023715415019762844,0.18181818181818182,1.0,0.11067193675889328,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.011857707509881422,0.015810276679841896,0.011857707509881422,0.0,0.007905138339920948,0.0,0.0
SARCOPLASM,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.12222222222222222,0.13333333333333333,0.0,0.0,0.03333333333333333,0.022222222222222223,0.022222222222222223,0.07777777777777778,0.011111111111111112,0.011111111111111112,0.06666666666666667,0.0,0.1,0.1,0.0,0.044444444444444446,0.0,0.03333333333333333,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.25555555555555554,0.3111111111111111,1.0,0.03333333333333333,0.15555555555555556,0.0,0.0,0.0,0.011111111111111112,0.0,0.022222222222222223,0.011111111111111112,0.0
BASEMENT MEMBRANE,0.0,0.0,0.019801980198019802,0.0,0.039603960396039604,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.019801980198019802,0.0,0.009900990099009901,0.04950495049504951,0.009900990099009901,0.019801980198019802,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.0,0.019801980198019802,0.009900990099009901,0.009900990099009901,0.0,0.0,0.09900990099009901,0.04950495049504951,0.04950495049504951,0.0297029702970297,1.0,0.3465346534653465,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0
ENDOPLASMIC RETICULUM LUMEN,0.0,0.003067484662576687,0.02147239263803681,0.0,0.04294478527607362,0.0,0.006134969325153374,0.006134969325153374,0.0,0.0,0.006134969325153374,0.009202453987730062,0.0,0.012269938650306749,0.0,0.003067484662576687,0.006134969325153374,0.0,0.003067484662576687,0.009202453987730062,0.0,0.012269938650306749,0.0,0.003067484662576687,0.018404907975460124,0.003067484662576687,0.009202453987730062,0.015337423312883436,0.015337423312883436,0.04294478527607362,0.10736196319018405,1.0,0.0,0.0,0.0,0.03374233128834356,0.003067484662576687,0.009202453987730062,0.006134969325153374,0.0
CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.0,0.003663003663003663,0.0,0.007326007326007326,0.007326007326007326,0.003663003663003663,0.02564102564102564,0.0,0.01098901098901099,0.014652014652014652,0.0,0.003663003663003663,0.003663003663003663,0.014652014652014652,0.0,0.0,0.0,1.0,0.7032967032967034,0.7619047619047619,0.054945054945054944,0.0,0.003663003663003663,0.0,0.0
CONDENSED CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.005208333333333333,0.005208333333333333,0.0,0.03125,0.0,0.010416666666666666,0.020833333333333332,0.0,0.005208333333333333,0.005208333333333333,0.015625,0.0,0.0,0.0,1.0,1.0,1.0,0.07291666666666667,0.0,0.0,0.0,0.0
CONDENSED CHROMOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0033783783783783786,0.0,0.0,0.0,0.0033783783783783786,0.006756756756756757,0.006756756756756757,0.0033783783783783786,0.0,0.0,0.0,0.010135135135135136,0.010135135135135136,0.0,0.02027027027027027,0.0,0.006756756756756757,0.016891891891891893,0.0033783783783783786,0.006756756756756757,0.0033783783783783786,0.013513513513513514,0.0,0.0,0.0,0.7027027027027027,0.6486486486486487,1.0,0.0472972972972973,0.0,0.0,0.0,0.0
LATE ENDOSOME,0.00303951367781155,0.0,0.0243161094224924,0.0,0.0486322188449848,0.0121580547112462,0.0060790273556231,0.0182370820668693,0.0060790273556231,0.0,0.00303951367781155,0.02127659574468085,0.00303951367781155,0.0243161094224924,0.0,0.015197568389057751,0.0182370820668693,0.00911854103343465,0.0243161094224924,0.03951367781155015,0.0060790273556231,0.02735562310030395,0.00303951367781155,0.0182370820668693,0.0668693009118541,0.03343465045592705,0.00911854103343465,0.015197568389057751,0.00911854103343465,0.00303951367781155,0.00303951367781155,0.03343465045592705,0.04559270516717325,0.0425531914893617,0.0425531914893617,1.0,0.0547112462006079,0.10638297872340426,0.07598784194528875,0.0
MHC PROTEIN COMPLEX,0.0,0.0,0.07692307692307693,0.0,0.46153846153846156,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.6923076923076923,1.0,0.3076923076923077,0.3076923076923077,0.0
PHAGOCYTIC VESICLE,0.006756756756756757,0.006756756756756757,0.0472972972972973,0.0,0.10810810810810811,0.013513513513513514,0.0,0.013513513513513514,0.0,0.0,0.0,0.013513513513513514,0.02027027027027027,0.033783783783783786,0.013513513513513514,0.02027027027027027,0.013513513513513514,0.0,0.033783783783783786,0.033783783783783786,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.033783783783783786,0.12837837837837837,0.0945945945945946,0.0,0.006756756756756757,0.013513513513513514,0.013513513513513514,0.0,0.02027027027027027,0.006756756756756757,0.0,0.0,0.23648648648648649,0.05405405405405406,1.0,0.5540540540540541,0.0
PHAGOCYTIC VESICLE MEMBRANE,0.0,0.0,0.04878048780487805,0.0,0.13414634146341464,0.012195121951219513,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.012195121951219513,0.024390243902439025,0.0,0.012195121951219513,0.012195121951219513,0.0,0.024390243902439025,0.036585365853658534,0.0,0.036585365853658534,0.012195121951219513,0.024390243902439025,0.15853658536585366,0.10975609756097561,0.0,0.012195121951219513,0.0,0.012195121951219513,0.0,0.024390243902439025,0.0,0.0,0.0,0.3048780487804878,0.0975609756097561,1.0,1.0,0.0
TRANSCRIPTION FACTOR AP 1 COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
