"Task_Type","Feature_File","Module_Source","File_Stem","Dataset_ID","Dataset_Family","Target_Block","Analysis_Design","IOBR_Method","Task_ID_Base","Input_File","DEG_File","Category","Task_ID"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/ips/TCGA_COAD_01A_ATF3_ips_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_ips_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","ips","16",NA,NA,NA,"27"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/ips/TCGA_COAD_01A_ATF3_ips_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_ips_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","ips","16",NA,NA,NA,"28"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/ips/TCGA_COAD_01A_ATF3_ips_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_ips_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","ips","16",NA,NA,NA,"29"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/lsei/TCGA_COAD_01A_ATF3_lsei_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_lsei_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","lsei","17",NA,NA,NA,"30"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/lsei/TCGA_COAD_01A_ATF3_lsei_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_lsei_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","lsei","17",NA,NA,NA,"31"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/lsei/TCGA_COAD_01A_ATF3_lsei_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_lsei_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","lsei","17",NA,NA,NA,"32"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/TCGA_COAD_01A_ATF3_mcpcounter_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_mcpcounter_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","mcpcounter","18",NA,NA,NA,"33"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/TCGA_COAD_01A_ATF3_mcpcounter_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_mcpcounter_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","mcpcounter","18",NA,NA,NA,"34"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/TCGA_COAD_01A_ATF3_mcpcounter_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_mcpcounter_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","mcpcounter","18",NA,NA,NA,"35"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/quantiseq/TCGA_COAD_01A_ATF3_quantiseq_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_quantiseq_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","quantiseq","19",NA,NA,NA,"36"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/quantiseq/TCGA_COAD_01A_ATF3_quantiseq_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_quantiseq_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","quantiseq","19",NA,NA,NA,"37"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/quantiseq/TCGA_COAD_01A_ATF3_quantiseq_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_quantiseq_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","quantiseq","19",NA,NA,NA,"38"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/svr/TCGA_COAD_01A_ATF3_svr_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_svr_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","svr","20",NA,NA,NA,"39"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/svr/TCGA_COAD_01A_ATF3_svr_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_svr_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","svr","20",NA,NA,NA,"40"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/svr/TCGA_COAD_01A_ATF3_svr_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_svr_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","svr","20",NA,NA,NA,"41"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/timer/TCGA_COAD_01A_ATF3_timer_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_timer_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","timer","21",NA,NA,NA,"42"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/timer/TCGA_COAD_01A_ATF3_timer_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_timer_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","timer","21",NA,NA,NA,"43"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/timer/TCGA_COAD_01A_ATF3_timer_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_timer_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","timer","21",NA,NA,NA,"44"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/integration/TCGA_COAD_01A_ATF3_integration_scores.csv","signature_score","TCGA_COAD_01A_ATF3_integration_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","integration","22",NA,NA,NA,"45"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/integration/TCGA_COAD_01A_ATF3_integration_scores.csv","signature_score","TCGA_COAD_01A_ATF3_integration_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","integration","22",NA,NA,NA,"46"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/integration/TCGA_COAD_01A_ATF3_integration_scores.csv","signature_score","TCGA_COAD_01A_ATF3_integration_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","integration","22",NA,NA,NA,"47"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/pca/TCGA_COAD_01A_ATF3_pca_scores.csv","signature_score","TCGA_COAD_01A_ATF3_pca_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","pca","23",NA,NA,NA,"48"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/pca/TCGA_COAD_01A_ATF3_pca_scores.csv","signature_score","TCGA_COAD_01A_ATF3_pca_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","pca","23",NA,NA,NA,"49"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/pca/TCGA_COAD_01A_ATF3_pca_scores.csv","signature_score","TCGA_COAD_01A_ATF3_pca_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","pca","23",NA,NA,NA,"50"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/TCGA_COAD_01A_ATF3_ssgsea_scores.csv","signature_score","TCGA_COAD_01A_ATF3_ssgsea_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","ssgsea","24",NA,NA,NA,"51"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/TCGA_COAD_01A_ATF3_ssgsea_scores.csv","signature_score","TCGA_COAD_01A_ATF3_ssgsea_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","ssgsea","24",NA,NA,NA,"52"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/TCGA_COAD_01A_ATF3_ssgsea_scores.csv","signature_score","TCGA_COAD_01A_ATF3_ssgsea_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","ssgsea","24",NA,NA,NA,"53"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/zscore/TCGA_COAD_01A_ATF3_zscore_scores.csv","signature_score","TCGA_COAD_01A_ATF3_zscore_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","zscore","25",NA,NA,NA,"54"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/zscore/TCGA_COAD_01A_ATF3_zscore_scores.csv","signature_score","TCGA_COAD_01A_ATF3_zscore_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","zscore","25",NA,NA,NA,"55"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/zscore/TCGA_COAD_01A_ATF3_zscore_scores.csv","signature_score","TCGA_COAD_01A_ATF3_zscore_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","zscore","25",NA,NA,NA,"56"
"outlier",NA,"prepared_input","TCGA_COAD_01A","TCGA_COAD_01A",NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2",NA,NA,"57"
"outlier",NA,"prepared_input","GTEx_COLON","GTEx_COLON",NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2",NA,NA,"58"
"outlier",NA,"prepared_input","GSE114012","GSE114012",NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GSE114012_design_iobr_input.qs2",NA,NA,"59"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_ALL_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/ALL/DEG/all_genes.csv","H","60"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_ALL_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/ALL/DEG/all_genes.csv","C2","61"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_ALL_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/ALL/DEG/all_genes.csv","C5","62"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_HCT15_SW48_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1_HCT15_SW48/DEG/all_genes.csv","H","63"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_HCT15_SW48_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1_HCT15_SW48/DEG/all_genes.csv","C2","64"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_HCT15_SW48_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1_HCT15_SW48/DEG/all_genes.csv","C5","65"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_HCT15_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1_HCT15/DEG/all_genes.csv","H","66"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_HCT15_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1_HCT15/DEG/all_genes.csv","C2","67"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_HCT15_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1_HCT15/DEG/all_genes.csv","C5","68"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1/DEG/all_genes.csv","H","69"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1/DEG/all_genes.csv","C2","70"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_DLD1_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/DLD1/DEG/all_genes.csv","C5","71"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_HCT15_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/HCT15/DEG/all_genes.csv","H","72"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_HCT15_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/HCT15/DEG/all_genes.csv","C2","73"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_HCT15_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/HCT15/DEG/all_genes.csv","C5","74"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_HT55_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/HT55/DEG/all_genes.csv","H","75"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_HT55_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/HT55/DEG/all_genes.csv","C2","76"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_HT55_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/HT55/DEG/all_genes.csv","C5","77"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_RKO_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/RKO/DEG/all_genes.csv","H","78"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_RKO_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/RKO/DEG/all_genes.csv","C2","79"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_RKO_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/RKO/DEG/all_genes.csv","C5","80"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_SW48_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/SW48/DEG/all_genes.csv","H","81"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_SW48_C2","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/SW48/DEG/all_genes.csv","C2","82"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_SW48_C5","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/SW48/DEG/all_genes.csv","C5","83"
"sig_gsea",NA,"GSE114012_DEG","GSE114012_SW948_H","GSE114012",NA,NA,NA,NA,NA,NA,"/Users/solomon/Projects/CRLM_dormancy/results/ngs/GSE114012/tables/SW948/DEG/all_genes.csv","H","84"
