"TF","HVL_TOR10"
"TCF12","1.787803331552070052"
"TCF3","-1.368188526560060847"
"TCF4","2.080474440371690381"
"TCF7","0.400752960746959097"
"TCF7L2","-0.924792778987079234"
"TEAD1","1.964292187025803882"
"TEAD2","0.268673796589322167"
"TEAD4","2.427822244522806816"
"TFAP2A","1.551655835871700972"
"TFAP2C","2.177527990980961725"
"TFAP4","2.358440469311387844"
"TFDP1","-6.219302151600098583"
"TGIF2","0.629960045333490926"
"THAP1","-1.075128199852706690"
"THAP11","2.742855567338701839"
"TP53","1.091998948723372997"
"TP63","2.317174665598775718"
"TP73","0.005341420814381344"
"TWIST1","0.895349268627732786"
"USF1","1.296284867489732928"
"USF2","1.260003627434275408"
"VDR","1.522307135050781968"
"WT1","-1.707100655453547722"
"XBP1","-0.127197936734430556"
"YY1","-0.674992469211331048"
"ZBED1","-1.346627875399838858"
"ZBTB11","-3.215852687084626016"
"ZBTB33","-3.411127732240809785"
"ZBTB7A","-0.100458152460777661"
"ZEB1","0.272096744779185884"
"ZEB2","-0.778448685045919353"
"ZFX","-4.974482929793450303"
"ZKSCAN1","1.140865706175009819"
"ZNF143","0.089046626976200555"
"ZNF217","0.189165192026461454"
"ZNF24","-0.609455904714324648"
"ZNF263","-4.609496165306837590"
"ZNF274","-0.344557683007352455"
"ZNF384","-0.879018043157490214"
"ZNF592","-0.242771517174899115"
"ZNF639","5.002366643234603671"
"ZNF740","-1.730282817437511333"
