Pathway,DLX2 TARGET GENES,ZNF501 TARGET GENES,PCGF6 TARGET GENES,PPARGC1A TARGET GENES,HSF2 TARGET GENES,CSHL1 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ZNF667 TARGET GENES,ZNF524 TARGET GENES,YBX3 TARGET GENES,TASOR TARGET GENES,SETBP1 TARGET GENES,TCOF1 TARGET GENES,ZNF677 TARGET GENES,RUVBL2 TARGET GENES,EPC1 TARGET GENES,FOXR2 TARGET GENES,PBRM1 TARGET GENES,MIER1 TARGET GENES,ASXL2 TARGET GENES,NFE2L3 TARGET GENES,CREB3L2 TARGET GENES,ZNF514 TARGET GENES,ZNF101 TARGET GENES,HOXC13 TARGET GENES,HOXD11 TARGET GENES,XPO1 TARGET GENES,ZNF830 TARGET GENES,NPM1 TARGET GENES,PTTG1 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,MAPK3 TARGET GENES,MAP2K1 TARGET GENES,RBM15 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",TAFAZZIN TARGET GENES,CTR9 TARGET GENES,NR1D1 TARGET GENES
YBX3 TARGET GENES,0.034482758620689655,0.0,0.0,0.0,0.017241379310344827,0.0,0.22413793103448276,0.13793103448275862,0.06896551724137931,0.08620689655172414,1.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.017241379310344827,0.0,0.05172413793103448,0.0,0.0,0.06896551724137931,0.0,0.13793103448275862,0.05172413793103448,0.0,0.0,0.0,0.08620689655172414,0.0,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.017241379310344827
TASOR TARGET GENES,0.03436426116838488,0.0,0.003436426116838488,0.003436426116838488,0.027491408934707903,0.030927835051546393,0.024054982817869417,0.020618556701030927,0.01718213058419244,0.020618556701030927,0.0,1.0,0.5567010309278351,0.006872852233676976,0.003436426116838488,0.003436426116838488,0.08247422680412371,0.03436426116838488,0.0,0.020618556701030927,0.0,0.0,0.010309278350515464,0.003436426116838488,0.07216494845360824,0.013745704467353952,0.01718213058419244,0.0,0.0,0.027491408934707903,0.0,0.08247422680412371,0.06872852233676977,0.027491408934707903,0.003436426116838488,0.030927835051546393,0.01718213058419244,0.027491408934707903,0.013745704467353952,0.010309278350515464
SETBP1 TARGET GENES,0.035175879396984924,0.0,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.04020100502512563,0.0,0.010050251256281407,0.02512562814070352,0.03015075376884422,0.0,0.8140703517587939,1.0,0.010050251256281407,0.0,0.0,0.07035175879396985,0.06532663316582915,0.005025125628140704,0.020100502512562814,0.020100502512562814,0.0,0.005025125628140704,0.005025125628140704,0.10050251256281408,0.005025125628140704,0.02512562814070352,0.0,0.0,0.02512562814070352,0.0,0.01507537688442211,0.020100502512562814,0.0,0.0,0.0,0.005025125628140704,0.020100502512562814,0.0,0.01507537688442211
TCOF1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,1.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF677 TARGET GENES,0.0,0.0,0.0,0.005494505494505495,0.005494505494505495,0.02197802197802198,0.038461538461538464,0.01098901098901099,0.02197802197802198,0.06593406593406594,0.0,0.005494505494505495,0.0,0.0,1.0,0.005494505494505495,0.04395604395604396,0.0,0.0,0.0,0.005494505494505495,0.0,0.02197802197802198,0.0,0.01098901098901099,0.01098901098901099,0.016483516483516484,0.0,0.016483516483516484,0.02197802197802198,0.01098901098901099,0.005494505494505495,0.027472527472527472,0.0,0.0,0.027472527472527472,0.0,0.027472527472527472,0.005494505494505495,0.016483516483516484
RUVBL2 TARGET GENES,0.02564102564102564,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.15384615384615385,0.1794871794871795,0.07692307692307693,0.10256410256410256,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,1.0,0.1282051282051282,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0
EPC1 TARGET GENES,0.02544529262086514,0.005089058524173028,0.007633587786259542,0.010178117048346057,0.04071246819338423,0.035623409669211195,0.07888040712468193,0.035623409669211195,0.01272264631043257,0.061068702290076333,0.007633587786259542,0.061068702290076333,0.035623409669211195,0.005089058524173028,0.020356234096692113,0.01272264631043257,1.0,0.03816793893129771,0.0,0.01272264631043257,0.0,0.0,0.030534351145038167,0.0,0.07124681933842239,0.020356234096692113,0.022900763358778626,0.0,0.02544529262086514,0.05089058524173028,0.002544529262086514,0.04580152671755725,0.05089058524173028,0.01272264631043257,0.005089058524173028,0.022900763358778626,0.010178117048346057,0.02544529262086514,0.010178117048346057,0.005089058524173028
FOXR2 TARGET GENES,0.0,0.0,0.004273504273504274,0.008547008547008548,0.01282051282051282,0.004273504273504274,0.05982905982905983,0.04700854700854701,0.02564102564102564,0.029914529914529916,0.004273504273504274,0.042735042735042736,0.05555555555555555,0.0,0.0,0.01282051282051282,0.0641025641025641,1.0,0.004273504273504274,0.004273504273504274,0.01282051282051282,0.0,0.05128205128205128,0.0,0.04700854700854701,0.017094017094017096,0.004273504273504274,0.0,0.05982905982905983,0.05128205128205128,0.008547008547008548,0.017094017094017096,0.038461538461538464,0.02564102564102564,0.0,0.01282051282051282,0.008547008547008548,0.029914529914529916,0.008547008547008548,0.004273504273504274
PBRM1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIER1 TARGET GENES,0.007978723404255319,0.0,0.007978723404255319,0.02127659574468085,0.02127659574468085,0.007978723404255319,0.034574468085106384,0.02127659574468085,0.013297872340425532,0.03723404255319149,0.007978723404255319,0.015957446808510637,0.010638297872340425,0.0,0.0,0.0,0.013297872340425532,0.0026595744680851063,0.0,1.0,0.07712765957446809,0.0026595744680851063,0.005319148936170213,0.0,0.0398936170212766,0.007978723404255319,0.007978723404255319,0.0,0.02925531914893617,0.013297872340425532,0.007978723404255319,0.010638297872340425,0.02127659574468085,0.007978723404255319,0.0,0.023936170212765957,0.007978723404255319,0.023936170212765957,0.005319148936170213,0.0
ASXL2 TARGET GENES,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.0,0.0,0.07272727272727272,0.0,0.01818181818181818,0.0,0.0,0.05454545454545454,0.0,0.5272727272727272,1.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.0,0.0,0.0,0.01818181818181818
NFE2L3 TARGET GENES,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
CREB3L2 TARGET GENES,0.06666666666666667,0.0,0.006666666666666667,0.0,0.03333333333333333,0.013333333333333334,0.16,0.12666666666666668,0.08,0.05333333333333334,0.02666666666666667,0.02,0.006666666666666667,0.0,0.02666666666666667,0.0,0.08,0.08,0.0,0.013333333333333334,0.006666666666666667,0.006666666666666667,1.0,0.006666666666666667,0.09333333333333334,0.02666666666666667,0.04,0.0,0.006666666666666667,0.02666666666666667,0.006666666666666667,0.02666666666666667,0.07333333333333333,0.02,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.006666666666666667
ZNF514 TARGET GENES,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.625,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF101 TARGET GENES,0.012170385395537525,0.004056795131845842,0.012170385395537525,0.006085192697768763,0.018255578093306288,0.014198782961460446,0.11967545638945233,0.06490872210953347,0.0486815415821501,0.12373225152129817,0.016227180527383367,0.04259634888438134,0.04056795131845842,0.002028397565922921,0.004056795131845842,0.004056795131845842,0.056795131845841784,0.02231237322515213,0.0,0.030425963488843813,0.0,0.0,0.028397565922920892,0.010141987829614604,1.0,0.012170385395537525,0.010141987829614604,0.002028397565922921,0.032454361054766734,0.04462474645030426,0.002028397565922921,0.02434077079107505,0.036511156186612576,0.012170385395537525,0.0,0.014198782961460446,0.002028397565922921,0.04056795131845842,0.008113590263691683,0.010141987829614604
HOXC13 TARGET GENES,0.05737704918032787,0.0,0.0,0.02459016393442623,0.040983606557377046,0.0,0.040983606557377046,0.06557377049180328,0.02459016393442623,0.03278688524590164,0.02459016393442623,0.03278688524590164,0.00819672131147541,0.0,0.01639344262295082,0.0,0.06557377049180328,0.03278688524590164,0.0,0.02459016393442623,0.0,0.0,0.03278688524590164,0.00819672131147541,0.04918032786885246,1.0,0.02459016393442623,0.0,0.03278688524590164,0.040983606557377046,0.0,0.04918032786885246,0.07377049180327869,0.01639344262295082,0.0,0.0,0.0,0.01639344262295082,0.0,0.00819672131147541
HOXD11 TARGET GENES,0.02,0.0,0.013333333333333334,0.0,0.03333333333333333,0.0,0.1,0.04666666666666667,0.02666666666666667,0.05333333333333334,0.0,0.03333333333333333,0.03333333333333333,0.0,0.02,0.0,0.06,0.006666666666666667,0.0,0.02,0.0,0.0,0.04,0.006666666666666667,0.03333333333333333,0.02,1.0,0.013333333333333334,0.04,0.05333333333333334,0.013333333333333334,0.04,0.10666666666666667,0.006666666666666667,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0
XPO1 TARGET GENES,0.0625,0.0,0.0,0.0,0.03125,0.03125,0.0,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0625,1.0,0.03125,0.03125,0.0,0.0625,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
ZNF830 TARGET GENES,0.01384083044982699,0.0,0.010380622837370242,0.006920415224913495,0.01730103806228374,0.01384083044982699,0.0726643598615917,0.03806228373702422,0.01730103806228374,0.04152249134948097,0.0,0.0,0.0,0.0,0.010380622837370242,0.0,0.03460207612456748,0.04844290657439446,0.0,0.03806228373702422,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.05536332179930796,0.01384083044982699,0.020761245674740483,0.0034602076124567475,1.0,0.25951557093425603,0.0,0.031141868512110725,0.031141868512110725,0.010380622837370242,0.0,0.0034602076124567475,0.0034602076124567475,0.01730103806228374,0.006920415224913495,0.01730103806228374
NPM1 TARGET GENES,0.0,0.0,0.0027472527472527475,0.005494505494505495,0.016483516483516484,0.013736263736263736,0.07417582417582418,0.02197802197802198,0.03296703296703297,0.0521978021978022,0.013736263736263736,0.02197802197802198,0.013736263736263736,0.008241758241758242,0.01098901098901099,0.005494505494505495,0.054945054945054944,0.03296703296703297,0.0,0.013736263736263736,0.005494505494505495,0.0,0.01098901098901099,0.0,0.06043956043956044,0.013736263736263736,0.02197802197802198,0.0027472527472527475,0.20604395604395603,1.0,0.005494505494505495,0.06318681318681318,0.07967032967032966,0.016483516483516484,0.0,0.024725274725274724,0.005494505494505495,0.019230769230769232,0.0027472527472527475,0.016483516483516484
PTTG1 TARGET GENES,0.023255813953488372,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.0,0.011627906976744186,0.023255813953488372,0.0,0.03488372093023256,0.023255813953488372,0.0,0.011627906976744186,0.0,0.011627906976744186,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,1.0,0.0,0.05813953488372093,0.023255813953488372,0.0,0.011627906976744186,0.0,0.023255813953488372,0.0,0.011627906976744186
PSMB5 TARGET GENES,0.02572347266881029,0.0,0.006430868167202572,0.02572347266881029,0.03858520900321544,0.022508038585209004,0.06430868167202572,0.022508038585209004,0.0,0.03536977491961415,0.0,0.07717041800643087,0.00964630225080386,0.0,0.003215434083601286,0.003215434083601286,0.05787781350482315,0.012861736334405145,0.0,0.012861736334405145,0.006430868167202572,0.0,0.012861736334405145,0.0,0.03858520900321544,0.01929260450160772,0.01929260450160772,0.006430868167202572,0.028938906752411574,0.07395498392282958,0.0,1.0,0.3054662379421222,0.07395498392282958,0.01607717041800643,0.1189710610932476,0.03215434083601286,0.02572347266881029,0.02572347266881029,0.022508038585209004
GTF2E2 TARGET GENES,0.023980815347721823,0.0,0.0,0.004796163069544364,0.019184652278177457,0.026378896882494004,0.13908872901678657,0.06474820143884892,0.03357314148681055,0.03597122302158273,0.023980815347721823,0.047961630695443645,0.009592326139088728,0.0,0.011990407673860911,0.0,0.047961630695443645,0.02158273381294964,0.0,0.019184652278177457,0.004796163069544364,0.0,0.026378896882494004,0.0,0.04316546762589928,0.02158273381294964,0.03836930455635491,0.007194244604316547,0.02158273381294964,0.06954436450839328,0.011990407673860911,0.2278177458033573,1.0,0.03597122302158273,0.004796163069544364,0.05995203836930456,0.019184652278177457,0.02158273381294964,0.014388489208633094,0.011990407673860911
MAPK3 TARGET GENES,0.018518518518518517,0.0,0.0,0.027777777777777776,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.046296296296296294,0.009259259259259259,0.009259259259259259,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.046296296296296294,0.05555555555555555,0.0,0.027777777777777776,0.018518518518518517,0.0,0.027777777777777776,0.0,0.05555555555555555,0.018518518518518517,0.009259259259259259,0.0,0.027777777777777776,0.05555555555555555,0.018518518518518517,0.21296296296296297,0.1388888888888889,1.0,0.06481481481481481,0.12037037037037036,0.05555555555555555,0.037037037037037035,0.06481481481481481,0.037037037037037035
MAP2K1 TARGET GENES,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0
RBM15 TARGET GENES,0.015151515151515152,0.0,0.005050505050505051,0.010101010101010102,0.025252525252525252,0.030303030303030304,0.030303030303030304,0.005050505050505051,0.005050505050505051,0.03535353535353535,0.0,0.045454545454545456,0.0,0.0,0.025252525252525252,0.005050505050505051,0.045454545454545456,0.015151515151515152,0.0,0.045454545454545456,0.010101010101010102,0.0,0.005050505050505051,0.0,0.03535353535353535,0.0,0.0,0.0,0.005050505050505051,0.045454545454545456,0.005050505050505051,0.18686868686868688,0.12626262626262627,0.06565656565656566,0.010101010101010102,1.0,0.020202020202020204,0.020202020202020204,0.010101010101010102,0.015151515151515152
"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0684931506849315,0.0136986301369863,0.0,0.0,0.0,0.0547945205479452,0.0273972602739726,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0273972602739726,0.0,0.136986301369863,0.1095890410958904,0.0821917808219178,0.0,0.0547945205479452,1.0,0.0958904109589041,0.0410958904109589,0.0410958904109589
TAFAZZIN TARGET GENES,0.02663934426229508,0.0,0.0020491803278688526,0.0,0.014344262295081968,0.01639344262295082,0.028688524590163935,0.00819672131147541,0.004098360655737705,0.02459016393442623,0.004098360655737705,0.01639344262295082,0.00819672131147541,0.0,0.010245901639344262,0.0020491803278688526,0.020491803278688523,0.014344262295081968,0.0,0.018442622950819672,0.0,0.0,0.0,0.0,0.040983606557377046,0.004098360655737705,0.0020491803278688526,0.0,0.010245901639344262,0.014344262295081968,0.004098360655737705,0.01639344262295082,0.018442622950819672,0.00819672131147541,0.0020491803278688526,0.00819672131147541,0.014344262295081968,1.0,0.0020491803278688526,0.00819672131147541
CTR9 TARGET GENES,0.0,0.0,0.0,0.014285714285714285,0.05714285714285714,0.0,0.014285714285714285,0.05714285714285714,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.014285714285714285,0.0,0.05714285714285714,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.014285714285714285,0.0,0.05714285714285714,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.0,0.11428571428571428,0.08571428571428572,0.1,0.014285714285714285,0.02857142857142857,0.04285714285714286,0.014285714285714285,1.0,0.04285714285714286
NR1D1 TARGET GENES,0.024793388429752067,0.008264462809917356,0.0,0.0,0.049586776859504134,0.008264462809917356,0.09090909090909091,0.06611570247933884,0.024793388429752067,0.03305785123966942,0.008264462809917356,0.024793388429752067,0.024793388429752067,0.0,0.024793388429752067,0.0,0.01652892561983471,0.008264462809917356,0.0,0.0,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.0,0.04132231404958678,0.008264462809917356,0.0,0.008264462809917356,0.04132231404958678,0.049586776859504134,0.008264462809917356,0.05785123966942149,0.04132231404958678,0.03305785123966942,0.0,0.024793388429752067,0.024793388429752067,0.03305785123966942,0.024793388429752067,1.0
