Pathway,ATTENTION DEFICIT HYPERACTIVITY DISORDER,AUTISM,SELF INJURIOUS BEHAVIOR,"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",TONIC SEIZURE,GENERALIZED TONIC SEIZURE,MOTOR SEIZURE,BILATERAL TONIC CLONIC SEIZURE,GENERALIZED ONSET MOTOR SEIZURE,GENERALIZED ONSET SEIZURE,CLONIC SEIZURE,FOCAL ONSET SEIZURE,DIALEPTIC SEIZURE,"FEBRILE SEIZURE WITHIN THE AGE RANGE OF 3
MONTHS TO 6 YEARS",SEVERE INTELLECTUAL DISABILITY,ABSENT SPEECH,TAPERED FINGER,LARGE FACE,ABNORMAL PULMONARY VALVE MORPHOLOGY,SHORT FOOT,"APLASIA HYPOPLASIA INVOLVING BONES OF THE
FEET","APLASIA HYPOPLASIA INVOLVING BONES OF THE
LOWER LIMBS",ABNORMAL SECOND TOE MORPHOLOGY,ABDOMINAL PAIN,COLON PERFORATION,CONSTIPATION,"MALIGNANT NEOPLASM OF THE CENTRAL NERVOUS
SYSTEM",INCREASED HEAD CIRCUMFERENCE,RIDGED FINGERNAIL,X LINKED INHERITANCE,LIPOATROPHY,LIPODYSTROPHY,ST SEGMENT DEPRESSION,ABNORMALITY OF THYROID PHYSIOLOGY,BROAD FOREHEAD,"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,ABNORMALITY OF THE MITOCHONDRION,LACTIC ACIDOSIS,INCREASED CIRCULATING LACTATE CONCENTRATION
CLONIC SEIZURE,0.2857142857142857,0.23809523809523808,0.2976190476190476,0.2857142857142857,0.6547619047619048,0.44047619047619047,1.0,0.8214285714285714,0.5833333333333334,0.7023809523809523,1.0,0.9047619047619048,0.7142857142857143,0.5,0.17857142857142858,0.3333333333333333,0.08333333333333333,0.023809523809523808,0.0,0.05952380952380952,0.07142857142857142,0.07142857142857142,0.011904761904761904,0.047619047619047616,0.0,0.14285714285714285,0.0,0.09523809523809523,0.0,0.05952380952380952,0.0,0.023809523809523808,0.0,0.07142857142857142,0.05952380952380952,0.011904761904761904,0.0,0.023809523809523808,0.03571428571428571,0.047619047619047616
FOCAL ONSET SEIZURE,0.2430939226519337,0.18232044198895028,0.15193370165745856,0.2154696132596685,0.2900552486187845,0.14917127071823205,0.6767955801104972,0.6049723756906077,0.35082872928176795,0.5220994475138122,0.20994475138121546,1.0,0.5138121546961326,0.2265193370165746,0.2265193370165746,0.2955801104972376,0.06629834254143646,0.08287292817679558,0.0055248618784530384,0.04419889502762431,0.0718232044198895,0.0856353591160221,0.0055248618784530384,0.06906077348066299,0.0027624309392265192,0.22099447513812154,0.04419889502762431,0.17955801104972377,0.0,0.055248618784530384,0.016574585635359115,0.027624309392265192,0.0055248618784530384,0.1850828729281768,0.06353591160220995,0.04419889502762431,0.027624309392265192,0.08839779005524862,0.07734806629834254,0.09944751381215469
DIALEPTIC SEIZURE,0.311284046692607,0.20622568093385213,0.20622568093385213,0.28793774319066145,0.33073929961089493,0.19844357976653695,0.708171206225681,0.6848249027237354,0.4085603112840467,0.8015564202334631,0.23346303501945526,0.7237354085603113,1.0,0.33852140077821014,0.2723735408560311,0.31906614785992216,0.08560311284046693,0.08949416342412451,0.007782101167315175,0.07782101167315175,0.12062256809338522,0.13618677042801555,0.011673151750972763,0.058365758754863814,0.0,0.21011673151750973,0.023346303501945526,0.17898832684824903,0.0,0.06614785992217899,0.0038910505836575876,0.007782101167315175,0.0,0.12840466926070038,0.07782101167315175,0.01556420233463035,0.011673151750972763,0.0311284046692607,0.03501945525291829,0.054474708171206226
"FEBRILE SEIZURE WITHIN THE AGE RANGE OF 3
MONTHS TO 6 YEARS",0.2894736842105263,0.21052631578947367,0.26973684210526316,0.26973684210526316,0.34210526315789475,0.26973684210526316,0.6710526315789473,0.6513157894736842,0.4934210526315789,0.6447368421052632,0.27631578947368424,0.5394736842105263,0.5723684210526315,1.0,0.23684210526315788,0.3355263157894737,0.07894736842105263,0.06578947368421052,0.006578947368421052,0.07894736842105263,0.10526315789473684,0.1118421052631579,0.013157894736842105,0.07894736842105263,0.0,0.24342105263157895,0.019736842105263157,0.15789473684210525,0.0,0.07236842105263158,0.0,0.019736842105263157,0.0,0.09868421052631579,0.10526315789473684,0.019736842105263157,0.013157894736842105,0.03289473684210526,0.006578947368421052,0.039473684210526314
SEVERE INTELLECTUAL DISABILITY,0.19121447028423771,0.15503875968992248,0.16279069767441862,0.2248062015503876,0.10852713178294573,0.05167958656330749,0.27648578811369506,0.26098191214470284,0.13953488372093023,0.2351421188630491,0.03875968992248062,0.21188630490956073,0.18087855297157623,0.09302325581395349,1.0,0.4134366925064599,0.08785529715762273,0.11886304909560723,0.01808785529715762,0.08527131782945736,0.16795865633074936,0.1937984496124031,0.00516795865633075,0.03875968992248062,0.0,0.1834625322997416,0.020671834625323,0.22739018087855298,0.0,0.10335917312661498,0.007751937984496124,0.015503875968992248,0.002583979328165375,0.14470284237726097,0.07751937984496124,0.012919896640826873,0.00516795865633075,0.028423772609819122,0.01808785529715762,0.03617571059431524
ABSENT SPEECH,0.24395604395604395,0.1934065934065934,0.1934065934065934,0.26373626373626374,0.13186813186813187,0.054945054945054944,0.3230769230769231,0.27472527472527475,0.13626373626373625,0.23736263736263735,0.06153846153846154,0.23516483516483516,0.18021978021978022,0.11208791208791209,0.3516483516483517,1.0,0.1054945054945055,0.13846153846153847,0.004395604395604396,0.09230769230769231,0.12967032967032968,0.14285714285714285,0.002197802197802198,0.026373626373626374,0.0,0.2703296703296703,0.04395604395604396,0.2087912087912088,0.0,0.07912087912087912,0.013186813186813187,0.024175824175824177,0.0,0.16263736263736264,0.07472527472527472,0.02857142857142857,0.017582417582417582,0.03956043956043956,0.026373626373626374,0.07032967032967033
TAPERED FINGER,0.20915032679738563,0.13071895424836602,0.16339869281045752,0.2549019607843137,0.08496732026143791,0.05228758169934641,0.23529411764705882,0.20261437908496732,0.11764705882352941,0.1895424836601307,0.0457516339869281,0.1568627450980392,0.1437908496732026,0.0784313725490196,0.2222222222222222,0.3137254901960784,1.0,0.19607843137254902,0.0196078431372549,0.13071895424836602,0.2549019607843137,0.29411764705882354,0.006535947712418301,0.0392156862745098,0.006535947712418301,0.2875816993464052,0.0196078431372549,0.24836601307189543,0.0,0.13071895424836602,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.1503267973856209,0.16993464052287582,0.013071895424836602,0.006535947712418301,0.026143790849673203,0.006535947712418301,0.013071895424836602
LARGE FACE,0.23024054982817868,0.14776632302405499,0.12027491408934708,0.15120274914089346,0.044673539518900345,0.01718213058419244,0.13058419243986255,0.07903780068728522,0.061855670103092786,0.12371134020618557,0.006872852233676976,0.10309278350515463,0.07903780068728522,0.03436426116838488,0.15807560137457044,0.21649484536082475,0.10309278350515463,1.0,0.061855670103092786,0.0859106529209622,0.14432989690721648,0.1718213058419244,0.006872852233676976,0.027491408934707903,0.003436426116838488,0.18213058419243985,0.044673539518900345,0.27835051546391754,0.0,0.13745704467353953,0.01718213058419244,0.030927835051546393,0.003436426116838488,0.18213058419243985,0.14432989690721648,0.006872852233676976,0.003436426116838488,0.013745704467353952,0.006872852233676976,0.01718213058419244
ABNORMAL PULMONARY VALVE MORPHOLOGY,0.2413793103448276,0.22413793103448276,0.034482758620689655,0.1206896551724138,0.0,0.0,0.034482758620689655,0.05172413793103448,0.017241379310344827,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.1206896551724138,0.034482758620689655,0.05172413793103448,0.3103448275862069,1.0,0.05172413793103448,0.22413793103448276,0.2413793103448276,0.017241379310344827,0.10344827586206896,0.0,0.29310344827586204,0.08620689655172414,0.3620689655172414,0.0,0.05172413793103448,0.034482758620689655,0.05172413793103448,0.0,0.27586206896551724,0.1896551724137931,0.017241379310344827,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827
SHORT FOOT,0.2597402597402597,0.33766233766233766,0.2597402597402597,0.2597402597402597,0.05194805194805195,0.012987012987012988,0.13636363636363635,0.09740259740259741,0.07142857142857142,0.13636363636363635,0.032467532467532464,0.1038961038961039,0.12987012987012986,0.07792207792207792,0.21428571428571427,0.2727272727272727,0.12987012987012986,0.16233766233766234,0.01948051948051948,1.0,1.0,1.0,0.03896103896103896,0.032467532467532464,0.0,0.3116883116883117,0.11038961038961038,0.37662337662337664,0.0,0.13636363636363635,0.025974025974025976,0.03896103896103896,0.0,0.2532467532467532,0.16883116883116883,0.012987012987012988,0.006493506493506494,0.012987012987012988,0.006493506493506494,0.01948051948051948
"APLASIA HYPOPLASIA INVOLVING BONES OF THE
FEET",0.16722408026755853,0.19732441471571907,0.17391304347826086,0.19732441471571907,0.03678929765886288,0.013377926421404682,0.10367892976588629,0.09364548494983277,0.056856187290969896,0.11036789297658862,0.020066889632107024,0.08695652173913043,0.10367892976588629,0.05351170568561873,0.21739130434782608,0.19732441471571907,0.13043478260869565,0.14046822742474915,0.043478260869565216,0.5150501672240803,1.0,1.0,0.03678929765886288,0.04013377926421405,0.0,0.22073578595317725,0.06688963210702341,0.27759197324414714,0.0,0.10033444816053512,0.023411371237458192,0.030100334448160536,0.0,0.20735785953177258,0.13043478260869565,0.010033444816053512,0.0033444816053511705,0.010033444816053512,0.0033444816053511705,0.016722408026755852
"APLASIA HYPOPLASIA INVOLVING BONES OF THE
LOWER LIMBS",0.13602015113350127,0.15113350125944586,0.13350125944584382,0.15869017632241814,0.03526448362720403,0.015113350125944584,0.09319899244332494,0.08312342569269521,0.04785894206549118,0.09571788413098237,0.015113350125944584,0.07808564231738035,0.08816120906801007,0.042821158690176324,0.1889168765743073,0.163727959697733,0.11335012594458438,0.12594458438287154,0.03526448362720403,0.3879093198992443,0.7531486146095718,1.0,0.027707808564231738,0.04534005037783375,0.0025188916876574307,0.1889168765743073,0.05037783375314862,0.2619647355163728,0.0025188916876574307,0.09571788413098237,0.020151133501259445,0.027707808564231738,0.0,0.18639798488664988,0.11586901763224182,0.012594458438287154,0.005037783375314861,0.015113350125944584,0.007556675062972292,0.022670025188916875
ABNORMAL SECOND TOE MORPHOLOGY,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.2,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.4,0.7333333333333333,0.7333333333333333,1.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
ABDOMINAL PAIN,0.1489971346704871,0.09169054441260745,0.03151862464183381,0.025787965616045846,0.02005730659025788,0.014326647564469915,0.07163323782234957,0.04297994269340974,0.03151862464183381,0.04871060171919771,0.011461318051575931,0.07163323782234957,0.04297994269340974,0.034383954154727794,0.04297994269340974,0.034383954154727794,0.017191977077363897,0.022922636103151862,0.017191977077363897,0.014326647564469915,0.034383954154727794,0.05157593123209169,0.0057306590257879654,1.0,0.04011461318051576,0.3008595988538682,0.12034383954154727,0.10888252148997135,0.0,0.04871060171919771,0.011461318051575931,0.02005730659025788,0.008595988538681949,0.18051575931232092,0.09455587392550144,0.022922636103151862,0.008595988538681949,0.05157593123209169,0.02865329512893983,0.02865329512893983
COLON PERFORATION,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,1.0,0.9333333333333333,0.3333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
CONSTIPATION,0.3436213991769547,0.22839506172839505,0.14814814814814814,0.1934156378600823,0.053497942386831275,0.02880658436213992,0.16049382716049382,0.15637860082304528,0.09670781893004116,0.14609053497942387,0.024691358024691357,0.1646090534979424,0.1111111111111111,0.07613168724279835,0.14609053497942387,0.25308641975308643,0.09053497942386832,0.10905349794238683,0.03497942386831276,0.09876543209876543,0.13580246913580246,0.15432098765432098,0.00411522633744856,0.21604938271604937,0.02880658436213992,1.0,0.102880658436214,0.19958847736625515,0.0,0.06378600823045268,0.01440329218106996,0.026748971193415638,0.006172839506172839,0.34156378600823045,0.11934156378600823,0.02263374485596708,0.01440329218106996,0.059670781893004114,0.05555555555555555,0.0720164609053498
"MALIGNANT NEOPLASM OF THE CENTRAL NERVOUS
SYSTEM",0.3673469387755102,0.24489795918367346,0.19387755102040816,0.17346938775510204,0.02040816326530612,0.01020408163265306,0.11224489795918367,0.061224489795918366,0.061224489795918366,0.08163265306122448,0.0,0.16326530612244897,0.061224489795918366,0.030612244897959183,0.08163265306122448,0.20408163265306123,0.030612244897959183,0.1326530612244898,0.05102040816326531,0.17346938775510204,0.20408163265306123,0.20408163265306123,0.0,0.42857142857142855,0.05102040816326531,0.5102040816326531,1.0,0.2653061224489796,0.0,0.02040816326530612,0.030612244897959183,0.061224489795918366,0.0,0.3673469387755102,0.1326530612244898,0.01020408163265306,0.0,0.01020408163265306,0.0,0.01020408163265306
INCREASED HEAD CIRCUMFERENCE,0.22410147991543342,0.12896405919661733,0.09302325581395349,0.13530655391120508,0.04439746300211417,0.010570824524312896,0.1416490486257928,0.1331923890063425,0.0507399577167019,0.1014799154334038,0.016913319238900635,0.13742071881606766,0.09725158562367865,0.0507399577167019,0.18604651162790697,0.20084566596194503,0.080338266384778,0.17124735729386892,0.04439746300211417,0.1226215644820296,0.17547568710359407,0.21987315010570824,0.004228329809725159,0.080338266384778,0.0021141649048625794,0.20507399577167018,0.05496828752642706,1.0,0.008456659619450317,0.09513742071881606,0.016913319238900635,0.02959830866807611,0.004228329809725159,0.15856236786469344,0.17970401691331925,0.012684989429175475,0.006342494714587738,0.03171247357293869,0.012684989429175475,0.014799154334038054
RIDGED FINGERNAIL,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X LINKED INHERITANCE,0.12927756653992395,0.11406844106463879,0.11406844106463879,0.11787072243346007,0.053231939163498096,0.026615969581749048,0.11026615969581749,0.10266159695817491,0.057034220532319393,0.11026615969581749,0.019011406844106463,0.07604562737642585,0.06463878326996197,0.04182509505703422,0.1520912547528517,0.13688212927756654,0.07604562737642585,0.1520912547528517,0.011406844106463879,0.07984790874524715,0.11406844106463879,0.1444866920152091,0.0076045627376425855,0.06463878326996197,0.0076045627376425855,0.11787072243346007,0.0076045627376425855,0.17110266159695817,0.0076045627376425855,1.0,0.011406844106463879,0.019011406844106463,0.0,0.09505703422053231,0.08745247148288973,0.011406844106463879,0.0076045627376425855,0.030418250950570342,0.022813688212927757,0.030418250950570342
LIPOATROPHY,0.02531645569620253,0.02531645569620253,0.0379746835443038,0.02531645569620253,0.012658227848101266,0.0,0.05063291139240506,0.0379746835443038,0.02531645569620253,0.06329113924050633,0.0,0.0759493670886076,0.012658227848101266,0.0,0.0379746835443038,0.0759493670886076,0.012658227848101266,0.06329113924050633,0.02531645569620253,0.05063291139240506,0.08860759493670886,0.10126582278481013,0.0,0.05063291139240506,0.0,0.08860759493670886,0.0379746835443038,0.10126582278481013,0.0,0.0379746835443038,1.0,1.0,0.0379746835443038,0.21518987341772153,0.08860759493670886,0.012658227848101266,0.0,0.05063291139240506,0.02531645569620253,0.02531645569620253
LIPODYSTROPHY,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.031746031746031744,0.023809523809523808,0.007936507936507936,0.05555555555555555,0.05555555555555555,0.031746031746031744,0.06349206349206349,0.015873015873015872,0.07936507936507936,0.015873015873015872,0.023809523809523808,0.047619047619047616,0.0873015873015873,0.007936507936507936,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.07142857142857142,0.0873015873015873,0.0,0.05555555555555555,0.0,0.10317460317460317,0.047619047619047616,0.1111111111111111,0.0,0.03968253968253968,0.626984126984127,1.0,0.023809523809523808,0.19047619047619047,0.07936507936507936,0.007936507936507936,0.0,0.031746031746031744,0.015873015873015872,0.015873015873015872
ST SEGMENT DEPRESSION,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0,0.23076923076923078,0.23076923076923078,1.0,0.38461538461538464,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.0
ABNORMALITY OF THYROID PHYSIOLOGY,0.23963133640552994,0.2511520737327189,0.1175115207373272,0.1152073732718894,0.02534562211981567,0.013824884792626729,0.14746543778801843,0.12442396313364056,0.08525345622119816,0.11981566820276497,0.013824884792626729,0.1543778801843318,0.07603686635944701,0.03456221198156682,0.12903225806451613,0.17050691244239632,0.052995391705069124,0.12211981566820276,0.03686635944700461,0.08986175115207373,0.14285714285714285,0.17050691244239632,0.009216589861751152,0.14516129032258066,0.004608294930875576,0.3824884792626728,0.08294930875576037,0.1728110599078341,0.0,0.0576036866359447,0.03917050691244239,0.055299539170506916,0.01152073732718894,1.0,0.1175115207373272,0.03456221198156682,0.020737327188940093,0.08755760368663594,0.07603686635944701,0.07834101382488479
BROAD FOREHEAD,0.32547169811320753,0.22641509433962265,0.16037735849056603,0.14622641509433962,0.02830188679245283,0.018867924528301886,0.10849056603773585,0.12735849056603774,0.04716981132075472,0.10849056603773585,0.02358490566037736,0.10849056603773585,0.09433962264150944,0.07547169811320754,0.14150943396226415,0.16037735849056603,0.12264150943396226,0.19811320754716982,0.05188679245283019,0.12264150943396226,0.18396226415094338,0.2169811320754717,0.009433962264150943,0.15566037735849056,0.0047169811320754715,0.27358490566037735,0.06132075471698113,0.4009433962264151,0.0,0.10849056603773585,0.0330188679245283,0.04716981132075472,0.018867924528301886,0.24056603773584906,1.0,0.0047169811320754715,0.0,0.018867924528301886,0.0047169811320754715,0.0
"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",0.006622516556291391,0.019867549668874173,0.013245033112582781,0.013245033112582781,0.006622516556291391,0.006622516556291391,0.2052980132450331,0.13245033112582782,0.08609271523178808,0.1456953642384106,0.006622516556291391,0.10596026490066225,0.026490066225165563,0.019867549668874173,0.033112582781456956,0.08609271523178808,0.013245033112582781,0.013245033112582781,0.006622516556291391,0.013245033112582781,0.019867549668874173,0.033112582781456956,0.0,0.052980132450331126,0.0,0.0728476821192053,0.006622516556291391,0.039735099337748346,0.0,0.019867549668874173,0.006622516556291391,0.006622516556291391,0.0,0.09933774834437085,0.006622516556291391,1.0,0.6754966887417219,1.0,0.6291390728476821,0.6556291390728477
