Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,MATURATION OF SSU RRNA,RRNA METABOLIC PROCESS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,TRNA METABOLIC PROCESS,RNA METHYLATION,MACROMOLECULE METHYLATION,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,DNA TEMPLATED DNA REPLICATION,DNA REPLICATION,DNA REPLICATION INITIATION,RECOMBINATIONAL REPAIR,CELL CYCLE CHECKPOINT SIGNALING,DNA INTEGRITY CHECKPOINT SIGNALING,MITOTIC CELL CYCLE CHECKPOINT SIGNALING,PROTEIN LOCALIZATION TO CHROMOSOME,RNA LOCALIZATION,RNA EXPORT FROM NUCLEUS,ESTABLISHMENT OF RNA LOCALIZATION,MRNA TRANSPORT,"POSITIVE REGULATION OF CHROMOSOME
ORGANIZATION",REGULATION OF CHROMOSOME ORGANIZATION,"POSITIVE REGULATION OF DNA BIOSYNTHETIC
PROCESS",REGULATION OF CHROMOSOME SEGREGATION,POSITIVE REGULATION OF CHROMOSOME SEPARATION,CHROMOSOME SEGREGATION,CHROMOSOME SEPARATION,REGULATION OF SISTER CHROMATID SEGREGATION,SISTER CHROMATID SEGREGATION,MITOTIC SISTER CHROMATID SEGREGATION,NUCLEAR CHROMOSOME SEGREGATION,MITOTIC SISTER CHROMATID SEPARATION,REGULATION OF NUCLEAR DIVISION,"POSITIVE REGULATION OF CELL CYCLE PHASE
TRANSITION",POSITIVE REGULATION OF CELL CYCLE PROCESS,"POSITIVE REGULATION OF MITOTIC CELL CYCLE
PHASE TRANSITION",SPLICEOSOMAL SNRNP ASSEMBLY,PROTEIN RNA COMPLEX ORGANIZATION,FATTY ACID BETA OXIDATION
DNA REPLICATION,0.03115264797507788,0.009345794392523364,0.0,0.01557632398753894,0.0,0.003115264797507788,0.0,0.003115264797507788,0.018691588785046728,0.5420560747663551,1.0,0.13395638629283488,0.21495327102803738,0.1588785046728972,0.14018691588785046,0.11838006230529595,0.06230529595015576,0.024922118380062305,0.006230529595015576,0.01557632398753894,0.009345794392523364,0.09657320872274143,0.14018691588785046,0.03426791277258567,0.03426791277258567,0.0,0.08411214953271028,0.021806853582554516,0.028037383177570093,0.04361370716510903,0.03426791277258567,0.06230529595015576,0.01557632398753894,0.037383177570093455,0.059190031152647975,0.11838006230529595,0.0529595015576324,0.0,0.01557632398753894,0.0
DNA REPLICATION INITIATION,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.23255813953488372,0.27906976744186046,0.27906976744186046,0.16279069767441862,0.06976744186046512,0.0,0.0,0.0,0.0,0.046511627906976744,0.06976744186046512,0.0,0.023255813953488372,0.0,0.11627906976744186,0.0,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.0,0.0,0.13953488372093023,0.13953488372093023,0.13953488372093023,0.0,0.0,0.0
RECOMBINATIONAL REPAIR,0.015306122448979591,0.00510204081632653,0.0,0.01020408163265306,0.00510204081632653,0.0,0.0,0.015306122448979591,0.00510204081632653,0.25510204081632654,0.3520408163265306,0.05102040816326531,1.0,0.1683673469387755,0.12244897959183673,0.12755102040816327,0.1377551020408163,0.03571428571428571,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.12755102040816327,0.20408163265306123,0.01020408163265306,0.07653061224489796,0.01020408163265306,0.15306122448979592,0.05102040816326531,0.061224489795918366,0.08163265306122448,0.061224489795918366,0.11734693877551021,0.03571428571428571,0.05102040816326531,0.025510204081632654,0.09693877551020408,0.025510204081632654,0.0,0.025510204081632654,0.0
CELL CYCLE CHECKPOINT SIGNALING,0.024509803921568627,0.014705882352941176,0.0,0.0196078431372549,0.00980392156862745,0.004901960784313725,0.004901960784313725,0.00980392156862745,0.004901960784313725,0.20588235294117646,0.25,0.058823529411764705,0.16176470588235295,1.0,0.6519607843137255,0.7254901960784313,0.12254901960784313,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.08823529411764706,0.3480392156862745,0.03431372549019608,0.30392156862745096,0.05392156862745098,0.35294117647058826,0.28431372549019607,0.29901960784313725,0.3235294117647059,0.3088235294117647,0.3431372549019608,0.27941176470588236,0.30392156862745096,0.08333333333333333,0.20098039215686275,0.0784313725490196,0.00980392156862745,0.03431372549019608,0.0
DNA INTEGRITY CHECKPOINT SIGNALING,0.03759398496240601,0.022556390977443608,0.0,0.03007518796992481,0.015037593984962405,0.0,0.0,0.0,0.007518796992481203,0.2781954887218045,0.3383458646616541,0.09022556390977443,0.18045112781954886,1.0,1.0,0.6090225563909775,0.10526315789473684,0.015037593984962405,0.0,0.015037593984962405,0.0,0.06015037593984962,0.09774436090225563,0.05263157894736842,0.03759398496240601,0.007518796992481203,0.09022556390977443,0.015037593984962405,0.03759398496240601,0.06015037593984962,0.045112781954887216,0.07518796992481203,0.015037593984962405,0.03759398496240601,0.06766917293233082,0.09774436090225563,0.06015037593984962,0.007518796992481203,0.045112781954887216,0.0
MITOTIC CELL CYCLE CHECKPOINT SIGNALING,0.02702702702702703,0.02027027027027027,0.0,0.02027027027027027,0.013513513513513514,0.0,0.0,0.006756756756756757,0.006756756756756757,0.19594594594594594,0.25675675675675674,0.0472972972972973,0.16891891891891891,1.0,0.5472972972972973,1.0,0.14189189189189189,0.02027027027027027,0.006756756756756757,0.02027027027027027,0.006756756756756757,0.11486486486486487,0.47297297297297297,0.013513513513513514,0.41216216216216217,0.07432432432432433,0.4527027027027027,0.3918918918918919,0.41216216216216217,0.4391891891891892,0.4189189189189189,0.44594594594594594,0.38513513513513514,0.39864864864864863,0.10135135135135136,0.25675675675675674,0.0945945945945946,0.006756756756756757,0.04054054054054054,0.0
PROTEIN LOCALIZATION TO CHROMOSOME,0.017094017094017096,0.0,0.0,0.02564102564102564,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.11965811965811966,0.17094017094017094,0.02564102564102564,0.23076923076923078,0.21367521367521367,0.11965811965811966,0.1794871794871795,1.0,0.02564102564102564,0.008547008547008548,0.02564102564102564,0.017094017094017096,0.17094017094017094,0.3504273504273504,0.02564102564102564,0.15384615384615385,0.02564102564102564,0.27350427350427353,0.1282051282051282,0.1282051282051282,0.18803418803418803,0.18803418803418803,0.2222222222222222,0.11965811965811966,0.1282051282051282,0.05128205128205128,0.13675213675213677,0.042735042735042736,0.0,0.03418803418803419,0.0
RNA LOCALIZATION,0.06698564593301436,0.05263157894736842,0.014354066985645933,0.05263157894736842,0.019138755980861243,0.019138755980861243,0.019138755980861243,0.023923444976076555,0.004784688995215311,0.019138755980861243,0.03827751196172249,0.0,0.03349282296650718,0.019138755980861243,0.009569377990430622,0.014354066985645933,0.014354066985645933,1.0,0.4688995215311005,0.7942583732057417,0.645933014354067,0.11004784688995216,0.14354066985645933,0.07655502392344497,0.019138755980861243,0.0,0.07177033492822966,0.009569377990430622,0.014354066985645933,0.0430622009569378,0.0430622009569378,0.05263157894736842,0.009569377990430622,0.014354066985645933,0.0,0.019138755980861243,0.0,0.009569377990430622,0.07655502392344497,0.0
RNA EXPORT FROM NUCLEUS,0.05102040816326531,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.030612244897959183,0.0,0.01020408163265306,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.0,0.01020408163265306,0.01020408163265306,1.0,1.0,1.0,0.8877551020408163,0.030612244897959183,0.07142857142857142,0.01020408163265306,0.01020408163265306,0.0,0.04081632653061224,0.01020408163265306,0.01020408163265306,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.01020408163265306,0.02040816326530612,0.0,0.030612244897959183,0.0,0.0,0.04081632653061224,0.0
ESTABLISHMENT OF RNA LOCALIZATION,0.030120481927710843,0.012048192771084338,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.018072289156626505,0.012048192771084338,0.018072289156626505,0.0,0.024096385542168676,0.030120481927710843,0.0,0.018072289156626505,0.024096385542168676,0.012048192771084338,0.018072289156626505,0.018072289156626505,1.0,0.5903614457831325,1.0,0.8132530120481928,0.04216867469879518,0.06626506024096386,0.024096385542168676,0.012048192771084338,0.0,0.0783132530120482,0.012048192771084338,0.012048192771084338,0.04819277108433735,0.04819277108433735,0.060240963855421686,0.012048192771084338,0.018072289156626505,0.0,0.018072289156626505,0.0,0.0,0.04216867469879518,0.0
MRNA TRANSPORT,0.022222222222222223,0.007407407407407408,0.0,0.007407407407407408,0.0,0.007407407407407408,0.014814814814814815,0.022222222222222223,0.0,0.014814814814814815,0.022222222222222223,0.0,0.014814814814814815,0.014814814814814815,0.0,0.007407407407407408,0.014814814814814815,1.0,0.6444444444444445,1.0,1.0,0.02962962962962963,0.05925925925925926,0.014814814814814815,0.007407407407407408,0.0,0.06666666666666667,0.007407407407407408,0.007407407407407408,0.037037037037037035,0.037037037037037035,0.044444444444444446,0.007407407407407408,0.014814814814814815,0.0,0.022222222222222223,0.0,0.0,0.037037037037037035,0.0
"POSITIVE REGULATION OF CHROMOSOME
ORGANIZATION",0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.009523809523809525,0.12380952380952381,0.29523809523809524,0.01904761904761905,0.23809523809523808,0.17142857142857143,0.0761904761904762,0.1619047619047619,0.19047619047619047,0.21904761904761905,0.02857142857142857,0.06666666666666667,0.0380952380952381,1.0,1.0,0.21904761904761905,0.23809523809523808,0.1619047619047619,0.2857142857142857,0.2,0.1523809523809524,0.24761904761904763,0.22857142857142856,0.2571428571428571,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.3047619047619048,0.06666666666666667,0.0,0.08571428571428572,0.0
REGULATION OF CHROMOSOME ORGANIZATION,0.039525691699604744,0.03162055335968379,0.007905138339920948,0.05928853754940711,0.015810276679841896,0.007905138339920948,0.0,0.003952569169960474,0.003952569169960474,0.08300395256916997,0.17786561264822134,0.011857707509881422,0.15810276679841898,0.28063241106719367,0.05138339920948617,0.2766798418972332,0.16205533596837945,0.11857707509881422,0.02766798418972332,0.043478260869565216,0.03162055335968379,0.4150197628458498,1.0,0.09090909090909091,0.5019762845849802,0.12648221343873517,0.5533596837944664,0.32806324110671936,0.45849802371541504,0.5138339920948617,0.36363636363636365,0.525691699604743,0.28063241106719367,0.2845849802371542,0.10276679841897234,0.2845849802371542,0.09486166007905138,0.003952569169960474,0.043478260869565216,0.0
"POSITIVE REGULATION OF DNA BIOSYNTHETIC
PROCESS",0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.25,0.0,0.045454545454545456,0.1590909090909091,0.1590909090909091,0.045454545454545456,0.06818181818181818,0.36363636363636365,0.022727272727272728,0.09090909090909091,0.045454545454545456,0.5227272727272727,0.5227272727272727,1.0,0.022727272727272728,0.0,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.0,0.06818181818181818,0.0,0.0,0.13636363636363635,0.0
REGULATION OF CHROMOSOME SEGREGATION,0.013888888888888888,0.013888888888888888,0.006944444444444444,0.027777777777777776,0.006944444444444444,0.0,0.0,0.006944444444444444,0.0,0.034722222222222224,0.0763888888888889,0.006944444444444444,0.10416666666666667,0.4305555555555556,0.034722222222222224,0.4236111111111111,0.125,0.027777777777777776,0.006944444444444444,0.013888888888888888,0.006944444444444444,0.1736111111111111,0.8819444444444444,0.006944444444444444,1.0,0.22916666666666666,1.0,0.5972222222222222,0.8055555555555556,0.875,0.6111111111111112,0.9166666666666666,0.4930555555555556,0.5069444444444444,0.18055555555555555,0.4583333333333333,0.1736111111111111,0.006944444444444444,0.013888888888888888,0.0
POSITIVE REGULATION OF CHROMOSOME SEPARATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.3333333333333333,0.030303030303030304,0.3333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.5151515151515151,0.9696969696969697,0.0,1.0,1.0,1.0,1.0,0.7272727272727273,0.9696969696969697,0.9393939393939394,0.9696969696969697,0.696969696969697,0.6666666666666666,0.6060606060606061,1.0,0.5757575757575758,0.0,0.0,0.0
CHROMOSOME SEGREGATION,0.019736842105263157,0.015350877192982455,0.010964912280701754,0.021929824561403508,0.010964912280701754,0.0,0.0,0.008771929824561403,0.0021929824561403508,0.03289473684210526,0.05921052631578947,0.010964912280701754,0.06578947368421052,0.15789473684210525,0.02631578947368421,0.14692982456140352,0.07017543859649122,0.03289473684210526,0.008771929824561403,0.02850877192982456,0.019736842105263157,0.06578947368421052,0.30701754385964913,0.0043859649122807015,0.3157894736842105,0.07236842105263158,1.0,0.20394736842105263,0.2543859649122807,0.5548245614035088,0.4649122807017544,0.7587719298245614,0.1600877192982456,0.18421052631578946,0.07675438596491228,0.20833333333333334,0.07236842105263158,0.0043859649122807015,0.013157894736842105,0.0
CHROMOSOME SEPARATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.053763440860215055,0.07526881720430108,0.0,0.10752688172043011,0.6236559139784946,0.021505376344086023,0.6236559139784946,0.16129032258064516,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.22580645161290322,0.8924731182795699,0.010752688172043012,0.9247311827956989,0.3548387096774194,1.0,1.0,0.7956989247311828,0.9139784946236559,0.8817204301075269,0.9247311827956989,0.7849462365591398,0.7634408602150538,0.23655913978494625,0.5698924731182796,0.22580645161290322,0.021505376344086023,0.03225806451612903,0.0
REGULATION OF SISTER CHROMATID SEGREGATION,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.034482758620689655,0.008620689655172414,0.0,0.0,0.008620689655172414,0.0,0.04310344827586207,0.07758620689655173,0.008620689655172414,0.10344827586206896,0.5258620689655172,0.04310344827586207,0.5258620689655172,0.12931034482758622,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.008620689655172414,0.13793103448275862,1.0,0.008620689655172414,1.0,0.20689655172413793,1.0,0.6379310344827587,1.0,1.0,0.6724137931034483,1.0,0.603448275862069,0.6120689655172413,0.21551724137931033,0.4482758620689655,0.20689655172413793,0.008620689655172414,0.017241379310344827,0.0
SISTER CHROMATID SEGREGATION,0.015810276679841896,0.011857707509881422,0.007905138339920948,0.019762845849802372,0.007905138339920948,0.0,0.0,0.007905138339920948,0.003952569169960474,0.02766798418972332,0.05533596837944664,0.007905138339920948,0.06324110671936758,0.2608695652173913,0.03162055335968379,0.25691699604743085,0.08695652173913043,0.03557312252964427,0.015810276679841896,0.03162055335968379,0.019762845849802372,0.10276679841897234,0.5138339920948617,0.003952569169960474,0.4980237154150198,0.12648221343873517,1.0,0.3359683794466403,0.45849802371541504,1.0,0.8379446640316206,1.0,0.2885375494071146,0.2964426877470356,0.1067193675889328,0.2924901185770751,0.10276679841897234,0.003952569169960474,0.011857707509881422,0.0
MITOTIC SISTER CHROMATID SEGREGATION,0.014150943396226415,0.009433962264150943,0.0047169811320754715,0.009433962264150943,0.0047169811320754715,0.0,0.0,0.009433962264150943,0.0047169811320754715,0.02830188679245283,0.05188679245283019,0.0047169811320754715,0.05660377358490566,0.2971698113207547,0.02830188679245283,0.29245283018867924,0.10377358490566038,0.04245283018867924,0.018867924528301886,0.03773584905660377,0.02358490566037736,0.11320754716981132,0.4339622641509434,0.0047169811320754715,0.41509433962264153,0.14622641509433962,1.0,0.3867924528301887,0.36792452830188677,1.0,1.0,1.0,0.3443396226415094,0.3490566037735849,0.11320754716981132,0.330188679245283,0.11320754716981132,0.0047169811320754715,0.014150943396226415,0.0
NUCLEAR CHROMOSOME SEGREGATION,0.017341040462427744,0.014450867052023121,0.008670520231213872,0.02023121387283237,0.008670520231213872,0.0,0.0,0.008670520231213872,0.002890173410404624,0.031791907514450865,0.057803468208092484,0.014450867052023121,0.06647398843930635,0.2023121387283237,0.028901734104046242,0.1907514450867052,0.07514450867052024,0.031791907514450865,0.011560693641618497,0.028901734104046242,0.017341040462427744,0.07803468208092486,0.38439306358381503,0.002890173410404624,0.3815028901734104,0.09248554913294797,1.0,0.24855491329479767,0.3352601156069364,0.7312138728323699,0.6127167630057804,1.0,0.21098265895953758,0.23699421965317918,0.08959537572254335,0.24855491329479767,0.0838150289017341,0.002890173410404624,0.011560693641618497,0.0
MITOTIC SISTER CHROMATID SEPARATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0547945205479452,0.0684931506849315,0.0,0.0958904109589041,0.7808219178082192,0.0273972602739726,0.7808219178082192,0.1917808219178082,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.1643835616438356,0.9726027397260274,0.0136986301369863,0.9726027397260274,0.3150684931506849,1.0,1.0,0.958904109589041,1.0,1.0,1.0,1.0,0.958904109589041,0.2876712328767123,0.589041095890411,0.2876712328767123,0.0136986301369863,0.0273972602739726,0.0
REGULATION OF NUCLEAR DIVISION,0.006369426751592357,0.006369426751592357,0.0,0.006369426751592357,0.0,0.0,0.0,0.012738853503184714,0.0,0.03821656050955414,0.07643312101910828,0.0,0.06369426751592357,0.39490445859872614,0.03184713375796178,0.37579617834394907,0.09554140127388536,0.01910828025477707,0.012738853503184714,0.01910828025477707,0.012738853503184714,0.07643312101910828,0.4585987261146497,0.025477707006369428,0.46496815286624205,0.14012738853503184,0.535031847133758,0.45222929936305734,0.45222929936305734,0.47770700636942676,0.4713375796178344,0.5222929936305732,0.445859872611465,1.0,0.15286624203821655,0.5859872611464968,0.15286624203821655,0.012738853503184714,0.01910828025477707,0.0
"POSITIVE REGULATION OF CELL CYCLE PHASE
TRANSITION",0.032520325203252036,0.0,0.0,0.0,0.008130081300813009,0.008130081300813009,0.032520325203252036,0.032520325203252036,0.008130081300813009,0.10569105691056911,0.15447154471544716,0.04878048780487805,0.04065040650406504,0.13821138211382114,0.07317073170731707,0.12195121951219512,0.04878048780487805,0.0,0.0,0.0,0.0,0.07317073170731707,0.21138211382113822,0.0,0.21138211382113822,0.16260162601626016,0.2845528455284553,0.17886178861788618,0.2032520325203252,0.21951219512195122,0.1951219512195122,0.25203252032520324,0.17073170731707318,0.1951219512195122,1.0,1.0,0.8373983739837398,0.0,0.008130081300813009,0.008130081300813009
POSITIVE REGULATION OF CELL CYCLE PROCESS,0.02127659574468085,0.0070921985815602835,0.0,0.014184397163120567,0.0035460992907801418,0.0035460992907801418,0.014184397163120567,0.014184397163120567,0.0035460992907801418,0.09574468085106383,0.1347517730496454,0.02127659574468085,0.0673758865248227,0.1453900709219858,0.04609929078014184,0.1347517730496454,0.05673758865248227,0.014184397163120567,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.11347517730496454,0.2553191489361702,0.010638297872340425,0.23404255319148937,0.11702127659574468,0.33687943262411346,0.1879432624113475,0.18439716312056736,0.2624113475177305,0.24822695035460993,0.3049645390070922,0.1524822695035461,0.3262411347517731,0.43617021276595747,1.0,0.36524822695035464,0.0,0.0035460992907801418,0.0035460992907801418
"POSITIVE REGULATION OF MITOTIC CELL CYCLE
PHASE TRANSITION",0.02912621359223301,0.0,0.0,0.0,0.0,0.009708737864077669,0.038834951456310676,0.038834951456310676,0.0,0.11650485436893204,0.1650485436893204,0.05825242718446602,0.04854368932038835,0.1553398058252427,0.07766990291262135,0.13592233009708737,0.04854368932038835,0.0,0.0,0.0,0.0,0.06796116504854369,0.23300970873786409,0.0,0.24271844660194175,0.18446601941747573,0.32038834951456313,0.20388349514563106,0.23300970873786409,0.2524271844660194,0.23300970873786409,0.2815533980582524,0.20388349514563106,0.23300970873786409,1.0,1.0,1.0,0.0,0.0,0.009708737864077669
