Pathway,OXIDATIVE PHOSPHORYLATION,PARKINSONS DISEASE,HUNTINGTONS DISEASE,ALZHEIMERS DISEASE,CITRATE CYCLE TCA CYCLE,PEROXISOME,FATTY ACID METABOLISM,TERPENOID BACKBONE BIOSYNTHESIS,CARDIAC MUSCLE CONTRACTION,DILATED CARDIOMYOPATHY,LYSOSOME,VIBRIO CHOLERAE INFECTION,ABC TRANSPORTERS,RIBOSOME,PENTOSE AND GLUCURONATE INTERCONVERSIONS,ASCORBATE AND ALDARATE METABOLISM,STARCH AND SUCROSE METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,RETINOL METABOLISM,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,DRUG METABOLISM CYTOCHROME P450,DRUG METABOLISM OTHER ENZYMES,STEROID HORMONE BIOSYNTHESIS,SPLICEOSOME,ECM RECEPTOR INTERACTION,FOCAL ADHESION,CELL CYCLE,DNA REPLICATION,MISMATCH REPAIR,NUCLEOTIDE EXCISION REPAIR,PROXIMAL TUBULE BICARBONATE RECLAMATION,ALDOSTERONE REGULATED SODIUM REABSORPTION,GLYCEROPHOSPHOLIPID METABOLISM,GLYCEROLIPID METABOLISM,PYRUVATE METABOLISM,PROPANOATE METABOLISM,NICOTINATE AND NICOTINAMIDE METABOLISM,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,ALLOGRAFT REJECTION,MATURITY ONSET DIABETES OF THE YOUNG
STEROID HORMONE BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.41818181818181815,0.509090909090909,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECM RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7738095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOCAL ADHESION,0.0,0.0,0.0,0.02512562814070352,0.0,0.0,0.0,0.0,0.005025125628140704,0.12562814070351758,0.0,0.02512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32663316582914576,1.0,0.020100502512562814,0.0,0.0,0.0,0.0,0.07537688442211055,0.0,0.0,0.0,0.0,0.0,0.16080402010050251,0.0,0.0
CELL CYCLE,0.0,0.0,0.04,0.008,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,1.0,0.056,0.008,0.032,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA REPLICATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,1.0,0.4444444444444444,0.5277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISMATCH REPAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.6956521739130435,1.0,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEOTIDE EXCISION REPAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.4318181818181818,0.3409090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROXIMAL TUBULE BICARBONATE RECLAMATION,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.391304347826087,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0
ALDOSTERONE REGULATED SODIUM REABSORPTION,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.21428571428571427,0.023809523809523808,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.35714285714285715,0.023809523809523808,0.0,0.0,0.0,0.21428571428571427,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.023809523809523808
GLYCEROPHOSPHOLIPID METABOLISM,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2987012987012987,0.0,0.0,0.0,0.0,0.0,0.0
GLYCEROLIPID METABOLISM,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.10204081632653061,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46938775510204084,1.0,0.12244897959183673,0.10204081632653061,0.0,0.0,0.0,0.0
PYRUVATE METABOLISM,0.0,0.0,0.0,0.0,0.25,0.0,0.175,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.15,1.0,0.4,0.0,0.0,0.0,0.025
PROPANOATE METABOLISM,0.0,0.0,0.0,0.0,0.12121212121212122,0.06060606060606061,0.3333333333333333,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.48484848484848486,1.0,0.0,0.0,0.0,0.0
NICOTINATE AND NICOTINAMIDE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NATURAL KILLER CELL MEDIATED CYTOTOXICITY,0.0,0.0072992700729927005,0.0072992700729927005,0.0948905109489051,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0364963503649635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23357664233576642,0.0,0.0,0.0,0.0,0.0,0.10218978102189781,0.0,0.0,0.0,0.0,0.0,1.0,0.08029197080291971,0.0
ALLOGRAFT REJECTION,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,1.0,0.0
MATURITY ONSET DIABETES OF THE YOUNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0
