Pathway,PEPTIDE ANTIGEN BINDING,ANTIGEN BINDING,MHC CLASS II RECEPTOR ACTIVITY,GATED CHANNEL ACTIVITY,LIGAND GATED CHANNEL ACTIVITY,"LIGAND GATED MONOATOMIC CATION CHANNEL
ACTIVITY",LIGAND GATED SODIUM CHANNEL ACTIVITY,"POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR
ACTIVITY","NEUROTRANSMITTER RECEPTOR ACTIVITY INVOLVED
IN REGULATION OF POSTSYNAPTIC MEMBRANE
POTENTIAL",MONOATOMIC CATION CHANNEL ACTIVITY,SODIUM CHANNEL ACTIVITY,VOLTAGE GATED SODIUM CHANNEL ACTIVITY,POTASSIUM CHANNEL ACTIVITY,METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,"POTASSIUM ION TRANSMEMBRANE TRANSPORTER
ACTIVITY","VOLTAGE GATED MONOATOMIC CATION CHANNEL
ACTIVITY",VOLTAGE GATED CHANNEL ACTIVITY,VOLTAGE GATED CALCIUM CHANNEL ACTIVITY,CALMODULIN BINDING,STRUCTURAL CONSTITUENT OF CHROMATIN,MHC PROTEIN BINDING,MHC CLASS I PROTEIN BINDING,MHC PROTEIN COMPLEX BINDING,MHC CLASS IB RECEPTOR ACTIVITY,"TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY","TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY",GROWTH FACTOR RECEPTOR BINDING,HORMONE BINDING,MONOCARBOXYLIC ACID BINDING,GLUCURONOSYLTRANSFERASE ACTIVITY,"MAP KINASE TYROSINE SERINE THREONINE
PHOSPHATASE ACTIVITY",MAP KINASE PHOSPHATASE ACTIVITY,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,IMMUNOGLOBULIN BINDING,CHEMOKINE ACTIVITY,CCR CHEMOKINE RECEPTOR BINDING,SNARE BINDING,SYNTAXIN 1 BINDING,ARACHIDONATE MONOOXYGENASE ACTIVITY,SIALYLTRANSFERASE ACTIVITY
VOLTAGE GATED CHANNEL ACTIVITY,0.0,0.0,0.0,1.0,0.327683615819209,0.3163841807909605,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.9096045197740112,0.0847457627118644,0.062146892655367235,0.5706214689265536,0.8700564971751412,0.5706214689265536,0.8135593220338984,1.0,0.23728813559322035,0.07344632768361582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022598870056497175,0.005649717514124294,0.0,0.0
VOLTAGE GATED CALCIUM CHANNEL ACTIVITY,0.0,0.0,0.0,1.0,0.21428571428571427,0.21428571428571427,0.023809523809523808,0.0,0.0,1.0,0.047619047619047616,0.047619047619047616,0.023809523809523808,1.0,0.023809523809523808,1.0,1.0,1.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0
CALMODULIN BINDING,0.0,0.0,0.0,0.09268292682926829,0.05365853658536585,0.05365853658536585,0.004878048780487805,0.0,0.0,0.12682926829268293,0.01951219512195122,0.00975609756097561,0.04390243902439024,0.16585365853658537,0.05365853658536585,0.05853658536585366,0.06341463414634146,0.01951219512195122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004878048780487805,0.0,0.0,0.0,0.03414634146341464,0.02926829268292683,0.0,0.0
STRUCTURAL CONSTITUENT OF CHROMATIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHC PROTEIN BINDING,0.2682926829268293,0.3170731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4878048780487805,0.21951219512195122,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
MHC CLASS I PROTEIN BINDING,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHC PROTEIN COMPLEX BINDING,0.4594594594594595,0.5405405405405406,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.24324324324324326,0.10810810810810811,1.0,0.13513513513513514,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0
MHC CLASS IB RECEPTOR ACTIVITY,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06451612903225806,0.04838709677419355,0.016129032258064516,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,1.0,0.05,0.0625,0.0125,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GROWTH FACTOR RECEPTOR BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.028169014084507043,0.028169014084507043,1.0,0.02112676056338028,0.0,0.0,0.0,0.0,0.02112676056338028,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0
HORMONE BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.05319148936170213,0.031914893617021274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONOCARBOXYLIC ACID BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0,1.0,0.13953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0
GLUCURONOSYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MAP KINASE TYROSINE SERINE THREONINE
PHOSPHATASE ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP KINASE PHOSPHATASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.011049723756906077,0.0,0.0055248618784530384,0.0,0.0055248618784530384,0.016574585635359115,0.016574585635359115,0.0,0.0,0.0,0.0,0.0,1.0,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNOGLOBULIN BINDING,0.03333333333333333,0.1,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMOKINE ACTIVITY,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,0.0,0.0,0.0,0.0
CCR CHEMOKINE RECEPTOR BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,1.0,0.0,0.0,0.0,0.0
SNARE BINDING,0.0,0.0,0.0,0.04672897196261682,0.018691588785046728,0.018691588785046728,0.018691588785046728,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.018691588785046728,0.009345794392523364,0.028037383177570093,0.056074766355140186,0.028037383177570093,0.028037383177570093,0.037383177570093455,0.009345794392523364,0.06542056074766354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17757009345794392,0.0,0.0
SYNTAXIN 1 BINDING,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ARACHIDONATE MONOOXYGENASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SIALYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
