"TF","HMVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD4","3.16228868455863887","3.16228868455863887","3.16228868455863887","Activated","11","viper","11","3.16228868455863887",NA,NA,"6","ENCODE--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=42); Enrichr--Queries(rank=43); Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=154); GTEx--Coexpression(rank=1197)","92","0.02580000000000000","ARCHS4 Coexpression,0.0258"
"RARA","3.09748266076571133","3.09748266076571133","3.09748266076571133","Activated","12","viper","12","3.09748266076571133",NA,NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=77); GTEx--Coexpression(rank=828); Enrichr--Queries(rank=845); ARCHS4--Coexpression(rank=1308)","882","0.25929999999999997","ReMap ChIP-seq,0.2593"
"THAP11","3.08226001463002675","3.08226001463002675","3.08226001463002675","Activated","13","viper","13","3.08226001463002675",NA,NA,"5","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=67); Enrichr--Queries(rank=196); ARCHS4--Coexpression(rank=312); GTEx--Coexpression(rank=1054)","504","0.13960000000000000","Enrichr Queries,0.1396"
"PDX1","3.05878096198796223","3.05878096198796223","3.05878096198796223","Activated","14","viper","14","3.05878096198796223",NA,NA,"5","Literature--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=695); GTEx--Coexpression(rank=1249); ARCHS4--Coexpression(rank=1269)","891","0.26219999999999999","Literature ChIP-seq,0.2622"
"EBF1","3.04827871710438281","3.04827871710438281","3.04827871710438281","Activated","15","viper","15","3.04827871710438281",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=965); Enrichr--Queries(rank=1129); ARCHS4--Coexpression(rank=1413)","920","0.27270000000000000","ReMap ChIP-seq,0.2727"
"TCF12","2.97025485299117697","2.97025485299117697","2.97025485299117697","Activated","16","viper","16","2.97025485299117697",NA,NA,"5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=204); Enrichr--Queries(rank=300); GTEx--Coexpression(rank=1606)","454","0.12529999999999999","ARCHS4 Coexpression,0.1253"
"NFYB","-2.94715046658916879","-2.94715046658916879","2.94715046658916879","Repressed","17","viper","17","2.94715046658916879",NA,NA,"5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=31); Enrichr--Queries(rank=74); GTEx--Coexpression(rank=552)","65","0.01904000000000000","ARCHS4 Coexpression,0.01904"
"RFX1","2.92037411228899391","2.92037411228899391","2.92037411228899391","Activated","18","viper","18","2.92037411228899391",NA,NA,"4","ReMap--ChIP-seq(rank=54); GTEx--Coexpression(rank=412); Enrichr--Queries(rank=1324); ARCHS4--Coexpression(rank=1429)","650","0.18179999999999999","ReMap ChIP-seq,0.1818"
"TEAD1","2.85260278099705378","2.85260278099705378","2.85260278099705378","Activated","19","viper","19","2.85260278099705378",NA,NA,"4","ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=868); Enrichr--Queries(rank=1190); GTEx--Coexpression(rank=1510)","1413","0.53320000000000001","ARCHS4 Coexpression,0.5332"
"PBX3","2.83796003759451088","2.83796003759451088","2.83796003759451088","Activated","20","viper","20","2.83796003759451088",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=76); Enrichr--Queries(rank=202); ARCHS4--Coexpression(rank=981); GTEx--Coexpression(rank=1487)","516","0.14390000000000000","Enrichr Queries,0.1439"
"STAT1","2.81348153303443471","2.81348153303443471","2.81348153303443471","Activated","21","viper","21","2.81348153303443471",NA,NA,"6","ENCODE--ChIP-seq(rank=30); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=163); Enrichr--Queries(rank=283); ARCHS4--Coexpression(rank=1374)","64","0.01867000000000000","GTEx Coexpression,0.01867"
"SP2","-2.80303077792518218","-2.80303077792518218","2.80303077792518218","Repressed","22","viper","22","2.80303077792518218",NA,NA,"5","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=19); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=1247); ARCHS4--Coexpression(rank=1327)","241","0.06397000000000000","ReMap ChIP-seq,0.06397"
"PRDM14","2.74485148717370331","2.74485148717370331","2.74485148717370331","Activated","23","viper","23","2.74485148717370331",NA,NA,"5","Literature--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=149); ReMap--ChIP-seq(rank=181); GTEx--Coexpression(rank=247); Enrichr--Queries(rank=717)","339","0.09152000000000000","ARCHS4 Coexpression,0.09152"
"NCOA2","2.70243573734642517","2.70243573734642517","2.70243573734642517","Activated","24","viper","24","2.70243573734642517",NA,NA,"4","ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=851); ARCHS4--Coexpression(rank=1168); Enrichr--Queries(rank=1348)","1409","0.52959999999999996","GTEx Coexpression,0.5296"
"NANOG","2.68053339771406884","2.68053339771406884","2.68053339771406884","Activated","25","viper","25","2.68053339771406884",NA,NA,"6","Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=254); ARCHS4--Coexpression(rank=260); GTEx--Coexpression(rank=601)","380","0.10370000000000000","Literature ChIP-seq,0.1037"
"ZNF639","2.67710788350096296","2.67710788350096296","2.67710788350096296","Activated","26","viper","26","2.67710788350096296",NA,NA,"4","Enrichr--Queries(rank=75); ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=331); GTEx--Coexpression(rank=1590)","203","0.05342000000000000","Enrichr Queries,0.05342"
"OTX2","2.54765327377614037","2.54765327377614037","2.54765327377614037","Activated","27","viper","27","2.54765327377614037",NA,NA,"4","ARCHS4--Coexpression(rank=125); ReMap--ChIP-seq(rank=240); Enrichr--Queries(rank=503); GTEx--Coexpression(rank=924)","286","0.07678000000000000","ARCHS4 Coexpression,0.07678"
"POU5F1","2.53092500958744093","2.53092500958744093","2.53092500958744093","Activated","28","viper","28","2.53092500958744093",NA,NA,"5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=123); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=1066)","314","0.08415000000000000","ARCHS4 Coexpression,0.08415"
"RFX2","2.48014967331103087","2.48014967331103087","2.48014967331103087","Activated","29","viper","29","2.48014967331103087",NA,NA,"4","ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=351); Enrichr--Queries(rank=894)","415","0.11360000000000001","ARCHS4 Coexpression,0.1136"
"NFE2","2.47419520008116089","2.47419520008116089","2.47419520008116089","Activated","30","viper","30","2.47419520008116089",NA,NA,"5","ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=256); Enrichr--Queries(rank=368); ARCHS4--Coexpression(rank=997); GTEx--Coexpression(rank=1286)","890","0.26210000000000000","Enrichr Queries,0.2621"
"TAL1","2.46936755932604557","2.46936755932604557","2.46936755932604557","Activated","31","viper","31","2.46936755932604557",NA,NA,"6","Literature--ChIP-seq(rank=63); ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=444); ARCHS4--Coexpression(rank=1232); GTEx--Coexpression(rank=1441)","1025","0.31619999999999998","Enrichr Queries,0.3162"
"MEF2A","2.46784760072299081","2.46784760072299081","2.46784760072299081","Activated","32","viper","32","2.46784760072299081",NA,NA,"6","ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=290); GTEx--Coexpression(rank=1164); ARCHS4--Coexpression(rank=1192); Enrichr--Queries(rank=1297)","1567","0.72430000000000005","GTEx Coexpression,0.7243"
"EHF","2.45662813352736142","2.45662813352736142","2.45662813352736142","Activated","33","viper","33","2.45662813352736142",NA,NA,"4","ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=630); GTEx--Coexpression(rank=936); ARCHS4--Coexpression(rank=1363)","1288","0.44869999999999999","Enrichr Queries,0.4487"
"MBD1","2.39052086414723375","2.39052086414723375","2.39052086414723375","Activated","34","viper","34","2.39052086414723375",NA,NA,"3","GTEx--Coexpression(rank=168); Enrichr--Queries(rank=345); ARCHS4--Coexpression(rank=1184)","383","0.10450000000000000","GTEx Coexpression,0.1045"
"RBPJ","2.37908071255627984","2.37908071255627984","2.37908071255627984","Activated","35","viper","35","2.37908071255627984",NA,NA,"5","ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=139); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=1119)","396","0.10770000000000000","ReMap ChIP-seq,0.1077"
"NCOA1","2.37787633503248363","2.37787633503248363","2.37787633503248363","Activated","36","viper","36","2.37787633503248363",NA,NA,"4","ReMap--ChIP-seq(rank=242); ARCHS4--Coexpression(rank=744); Enrichr--Queries(rank=967); GTEx--Coexpression(rank=1093)","1299","0.45700000000000002","ARCHS4 Coexpression,0.457"
"ZBTB33","-2.35539056357648047","-2.35539056357648047","2.35539056357648047","Repressed","37","viper","37","2.35539056357648047",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=249); ARCHS4--Coexpression(rank=258); Enrichr--Queries(rank=427)","557","0.15490000000000001","GTEx Coexpression,0.1549"
"MYCN","-2.34542595585393210","-2.34542595585393210","2.34542595585393210","Repressed","38","viper","38","2.34542595585393210",NA,NA,"5","Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=50); ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=107); GTEx--Coexpression(rank=706)","109","0.03071000000000000","ARCHS4 Coexpression,0.03071"
"CLOCK","2.33555758150176995","2.33555758150176995","2.33555758150176995","Activated","39","viper","39","2.33555758150176995",NA,NA,"5","ReMap--ChIP-seq(rank=97); Literature--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=1159); Enrichr--Queries(rank=1395); GTEx--Coexpression(rank=1562)","1050","0.32660000000000000","ReMap ChIP-seq,0.3266"
"HNF1B","2.31647210149399330","2.31647210149399330","2.31647210149399330","Activated","40","viper","40","2.31647210149399330",NA,NA,"3","ReMap--ChIP-seq(rank=175); Enrichr--Queries(rank=1105); ARCHS4--Coexpression(rank=1433)","1479","0.58919999999999983","ReMap ChIP-seq,0.5892"
"GRHL2","2.30660415461251311","2.30660415461251311","2.30660415461251311","Activated","41","viper","41","2.30660415461251311",NA,NA,"5","ReMap--ChIP-seq(rank=56); Literature--ChIP-seq(rank=69); GTEx--Coexpression(rank=464); Enrichr--Queries(rank=604); ARCHS4--Coexpression(rank=1000)","674","0.18859999999999999","ReMap ChIP-seq,0.1886"
"NFYA","-2.20149895568436893","-2.20149895568436893","2.20149895568436893","Repressed","42","viper","42","2.20149895568436893",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=88); Enrichr--Queries(rank=187); ARCHS4--Coexpression(rank=224)","91","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"SNAPC4","-2.20033941164033875","-2.20033941164033875","2.20033941164033875","Repressed","43","viper","43","2.20033941164033875",NA,NA,"4","ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=280); Enrichr--Queries(rank=284); ARCHS4--Coexpression(rank=582)","623","0.17419999999999999","GTEx Coexpression,0.1742"
"SMAD5","-2.19980194795604822","-2.19980194795604822","2.19980194795604822","Repressed","44","viper","44","2.19980194795604822",NA,NA,"4","ReMap--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=308); Enrichr--Queries(rank=808); GTEx--Coexpression(rank=1098)","604","0.16839999999999999","ReMap ChIP-seq,0.1684"
"FOXO1","2.19262129258823979","2.19262129258823979","2.19262129258823979","Activated","45","viper","45","2.19262129258823979",NA,NA,"5","Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=174); ARCHS4--Coexpression(rank=201); Enrichr--Queries(rank=828); GTEx--Coexpression(rank=1379)","448","0.12350000000000001","ARCHS4 Coexpression,0.1235"
"MEIS1","2.18472903423838005","2.18472903423838005","2.18472903423838005","Activated","46","viper","46","2.18472903423838005",NA,NA,"5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=1089); GTEx--Coexpression(rank=1236); ARCHS4--Coexpression(rank=1559)","1463","0.57320000000000004","Literature ChIP-seq,0.5732"
"NR2C2","-2.18423477954673162","-2.18423477954673162","2.18423477954673162","Repressed","47","viper","47","2.18423477954673162",NA,NA,"5","ReMap--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=101); GTEx--Coexpression(rank=826); Enrichr--Queries(rank=937); ARCHS4--Coexpression(rank=1432)","719","0.20200000000000001","ReMap ChIP-seq,0.202"
"E2F7","-2.17478550558008754","-2.17478550558008754","2.17478550558008754","Repressed","48","viper","48","2.17478550558008754",NA,NA,"5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=93)","6","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"MAFG","2.17438305633875339","2.17438305633875339","2.17438305633875339","Activated","49","viper","49","2.17438305633875339",NA,NA,"4","ReMap--ChIP-seq(rank=276); ARCHS4--Coexpression(rank=1072); Enrichr--Queries(rank=1222); GTEx--Coexpression(rank=1516)","1536","0.65849999999999997","ARCHS4 Coexpression,0.6585"
"NFKB1","2.16110264775852512","2.16110264775852512","2.16110264775852512","Activated","50","viper","50","2.16110264775852512",NA,NA,"4","ReMap--ChIP-seq(rank=62); GTEx--Coexpression(rank=80); Enrichr--Queries(rank=1318); ARCHS4--Coexpression(rank=1508)","188","0.04978000000000000","GTEx Coexpression,0.04978"
"MAZ","-2.14313388742117805","-2.14313388742117805","2.14313388742117805","Repressed","51","viper","51","2.14313388742117805",NA,NA,"5","ENCODE--ChIP-seq(rank=20); Enrichr--Queries(rank=82); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=189); GTEx--Coexpression(rank=722)","219","0.05840000000000000","Enrichr Queries,0.0584"
"MNT","2.14023933529983479","2.14023933529983479","2.14023933529983479","Activated","52","viper","52","2.14023933529983479",NA,NA,"4","ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=738); Enrichr--Queries(rank=954); ARCHS4--Coexpression(rank=1355)","1302","0.45920000000000000","GTEx Coexpression,0.4592"
"POU4F2","2.12698373288272435","2.12698373288272435","2.12698373288272435","Activated","53","viper","53","2.12698373288272435",NA,NA,"4","ReMap--ChIP-seq(rank=22); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=965); Enrichr--Queries(rank=1047)","276","0.07407000000000000","ReMap ChIP-seq,0.07407"
"TP53","2.11629530319882653","2.11629530319882653","2.11629530319882653","Activated","54","viper","54","2.11629530319882653",NA,NA,"5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","0.01351000000000000","ARCHS4 Coexpression,0.01351"
"LYL1","2.10242132716234709","2.10242132716234709","2.10242132716234709","Activated","55","viper","55","2.10242132716234709",NA,NA,"5","Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=1233); ARCHS4--Coexpression(rank=1247); Enrichr--Queries(rank=1378)","1588","0.76090000000000002","ReMap ChIP-seq,0.7609"
"ELF3","2.10146774770556632","2.10146774770556632","2.10146774770556632","Activated","56","viper","56","2.10146774770556632",NA,NA,"4","ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=546); Enrichr--Queries(rank=893); GTEx--Coexpression(rank=1388)","359","0.09764000000000000","ReMap ChIP-seq,0.09764"
"YY1","-2.09436152319739222","-2.09436152319739222","2.09436152319739222","Repressed","57","viper","57","2.09436152319739222",NA,NA,"6","ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=62); Enrichr--Queries(rank=170); GTEx--Coexpression(rank=429)","140","0.03808000000000000","ARCHS4 Coexpression,0.03808"
"RUNX2","2.09327664907751565","2.09327664907751565","2.09327664907751565","Activated","58","viper","58","2.09327664907751565",NA,NA,"5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=1078); GTEx--Coexpression(rank=1157); Enrichr--Queries(rank=1188)","905","0.26829999999999998","Literature ChIP-seq,0.2683"
"MBD2","2.06823033709745152","2.06823033709745152","2.06823033709745152","Activated","59","viper","59","2.06823033709745152",NA,NA,"4","ReMap--ChIP-seq(rank=202); Enrichr--Queries(rank=221); GTEx--Coexpression(rank=446); ARCHS4--Coexpression(rank=1212)","566","0.15740000000000001","Enrichr Queries,0.1574"
"MAFB","2.06136087261323153","2.06136087261323153","2.06136087261323153","Activated","60","viper","60","2.06136087261323153",NA,NA,"4","GTEx--Coexpression(rank=272); ReMap--ChIP-seq(rank=279); Enrichr--Queries(rank=1265); ARCHS4--Coexpression(rank=1497)","606","0.16930000000000001","GTEx Coexpression,0.1693"
"ETV1","2.01026476031817936","2.01026476031817936","2.01026476031817936","Activated","61","viper","61","2.01026476031817936",NA,NA,"4","ReMap--ChIP-seq(rank=162); Enrichr--Queries(rank=607); GTEx--Coexpression(rank=735); ARCHS4--Coexpression(rank=1593)","1255","0.43230000000000002","Enrichr Queries,0.4323"
"SP3","1.99513069837827617","1.99513069837827617","1.99513069837827617","Activated","62","viper","62","1.99513069837827617",NA,NA,"3","Enrichr--Queries(rank=247); GTEx--Coexpression(rank=402); ARCHS4--Coexpression(rank=469)","630","0.17590000000000000","Enrichr Queries,0.1759"
"HNF4A","1.96800112874802502","1.96800112874802502","1.96800112874802502","Activated","63","viper","63","1.96800112874802502",NA,NA,"6","Literature--ChIP-seq(rank=87); ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=486); ARCHS4--Coexpression(rank=552); Enrichr--Queries(rank=1219)","996","0.30240000000000000","GTEx Coexpression,0.3024"
"MEIS2","1.95940839358634245","1.95940839358634245","1.95940839358634245","Activated","64","viper","64","1.95940839358634245",NA,NA,"4","ReMap--ChIP-seq(rank=238); GTEx--Coexpression(rank=590); Enrichr--Queries(rank=835); ARCHS4--Coexpression(rank=960)","1131","0.36709999999999998","GTEx Coexpression,0.3671"
"ZBTB11","-1.94298478604571034","-1.94298478604571034","1.94298478604571034","Repressed","65","viper","65","1.94298478604571034",NA,NA,"4","ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=493); Enrichr--Queries(rank=963); GTEx--Coexpression(rank=1238)","997","0.30280000000000001","ARCHS4 Coexpression,0.3028"
"HMBOX1","-1.90139958155275579","-1.90139958155275579","1.90139958155275579","Repressed","66","viper","66","1.90139958155275579",NA,NA,"4","ReMap--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=341); GTEx--Coexpression(rank=1110); Enrichr--Queries(rank=1261)","741","0.20949999999999999","ARCHS4 Coexpression,0.2095"
"SPI1","1.90058817516519363","1.90058817516519363","1.90058817516519363","Activated","67","viper","67","1.90058817516519363",NA,NA,"6","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=1192); Enrichr--Queries(rank=1385); ARCHS4--Coexpression(rank=1463)","483","0.13410000000000000","Literature ChIP-seq,0.1341"
"NR2F1","1.89943107316734427","1.89943107316734427","1.89943107316734427","Activated","68","viper","68","1.89943107316734427",NA,NA,"4","ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=1061); Enrichr--Queries(rank=1174); ARCHS4--Coexpression(rank=1186)","1259","0.43430000000000002","ReMap ChIP-seq,0.4343"
"ARNT","1.89806340966244758","1.89806340966244758","1.89806340966244758","Activated","69","viper","69","1.89806340966244758",NA,NA,"5","Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=736); GTEx--Coexpression(rank=821); Enrichr--Queries(rank=831)","1292","0.45210000000000000","ARCHS4 Coexpression,0.4521"
"GATA3","1.86364443924334977","1.86364443924334977","1.86364443924334977","Activated","70","viper","70","1.86364443924334977",NA,NA,"6","Literature--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=250); GTEx--Coexpression(rank=301); Enrichr--Queries(rank=398); ARCHS4--Coexpression(rank=1011)","671","0.18729999999999999","GTEx Coexpression,0.1873"
"HNF4G","1.84968598956352248","1.84968598956352248","1.84968598956352248","Activated","71","viper","71","1.84968598956352248",NA,NA,"5","ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=687); ARCHS4--Coexpression(rank=771); Enrichr--Queries(rank=1240)","1246","0.42749999999999999","GTEx Coexpression,0.4275"
"ZNF274","-1.84005986166171032","-1.84005986166171032","1.84005986166171032","Repressed","72","viper","72","1.84005986166171032",NA,NA,"6","ENCODE--ChIP-seq(rank=106); Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=944); ARCHS4--Coexpression(rank=1028); GTEx--Coexpression(rank=1057)","1448","0.56230000000000002","ReMap ChIP-seq,0.5623"
"PROX1","1.83667835100599075","1.83667835100599075","1.83667835100599075","Activated","73","viper","73","1.83667835100599075",NA,NA,"4","ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=517); Enrichr--Queries(rank=797); GTEx--Coexpression(rank=824)","1028","0.31759999999999999","ARCHS4 Coexpression,0.3176"
"NR4A1","1.83130501551101688","1.83130501551101688","1.83130501551101688","Activated","74","viper","74","1.83130501551101688",NA,NA,"4","ReMap--ChIP-seq(rank=214); ARCHS4--Coexpression(rank=472); GTEx--Coexpression(rank=562); Enrichr--Queries(rank=867)","967","0.28989999999999999","ARCHS4 Coexpression,0.2899"
"BCL6","-1.82697030184710663","-1.82697030184710663","1.82697030184710663","Repressed","75","viper","75","1.82697030184710663",NA,NA,"5","Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=192); GTEx--Coexpression(rank=799); Enrichr--Queries(rank=856); ARCHS4--Coexpression(rank=1486)","1369","0.49719999999999998","GTEx Coexpression,0.4972"
"NFE2L2","1.80063433045819776","1.80063433045819776","1.80063433045819776","Activated","76","viper","76","1.80063433045819776",NA,NA,"5","Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=749); Enrichr--Queries(rank=1182); ARCHS4--Coexpression(rank=1292)","1317","0.46610000000000001","GTEx Coexpression,0.4661"
"MEF2C","1.79772604223145827","1.79772604223145827","1.79772604223145827","Activated","77","viper","77","1.79772604223145827",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=723); GTEx--Coexpression(rank=1050); ARCHS4--Coexpression(rank=1542)","1385","0.51500000000000001","Enrichr Queries,0.515"
"CREB3","-1.79638349515180007","-1.79638349515180007","1.79638349515180007","Repressed","78","viper","78","1.79638349515180007",NA,NA,"4","ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=777); GTEx--Coexpression(rank=889); ARCHS4--Coexpression(rank=1441)","1366","0.49490000000000001","ReMap ChIP-seq,0.4949"
