Pathway,PNEUMOTHORAX,ABNORMAL PLEURA MORPHOLOGY,SPONTANEOUS PNEUMOTHORAX,EOSINOPHILIC INFILTRATION OF THE ESOPHAGUS,CAROTID ARTERY DILATATION,DESCENDING AORTIC DISSECTION,AORTIC ROOT ANEURYSM,ASCENDING TUBULAR AORTA ANEURYSM,HEMOPTYSIS,ABDOMINAL AORTIC ANEURYSM,PERIPHERAL ARTERIAL STENOSIS,ABNORMAL CARDIAC VENTRICULAR FUNCTION,ABNORMAL SPINAL MENINGEAL MORPHOLOGY,HYPOVOLEMIA,EXERTIONAL DYSPNEA,BRUISING SUSCEPTIBILITY,ARTERIAL DISSECTION,SUBCUTANEOUS HEMORRHAGE,SOFT SKIN,DERMAL TRANSLUCENCY,ATYPICAL SCARRING OF SKIN,SCARRING,BLEPHAROCHALASIS,PULMONARY ARTERY ANEURYSM,DERMAL ATROPHY,LACK OF SKIN ELASTICITY,ABNORMAL ELASTICITY OF SKIN,DERMATOCHALASIS,URETHRAL DIVERTICULUM,VASCULAR TORTUOSITY,APLASIA HYPOPLASIA OF THE OVARY,STREAK OVARY,HYPERLYSINURIA,CHERRY RED SPOT OF THE MACULA,PSYCHOMOTOR DETERIORATION,SUBCUTANEOUS NODULE,SYRINGOMYELIA,INTERSTITIAL PNEUMONITIS,PANCREATIC ISLET CELL HYPERPLASIA,LOSS OF CONSCIOUSNESS
PERIPHERAL ARTERIAL STENOSIS,0.6060606060606061,0.6060606060606061,0.21212121212121213,0.18181818181818182,0.6060606060606061,0.6060606060606061,0.6363636363636364,0.3333333333333333,0.6060606060606061,0.6060606060606061,1.0,0.8484848484848485,0.6060606060606061,0.6060606060606061,0.6666666666666666,0.696969696969697,0.18181818181818182,0.696969696969697,0.21212121212121213,0.21212121212121213,0.18181818181818182,0.21212121212121213,0.0,0.09090909090909091,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.15151515151515152
ABNORMAL CARDIAC VENTRICULAR FUNCTION,0.14204545454545456,0.1590909090909091,0.03977272727272727,0.03409090909090909,0.11363636363636363,0.11363636363636363,0.125,0.08522727272727272,0.14204545454545456,0.11931818181818182,0.1590909090909091,1.0,0.11363636363636363,0.11363636363636363,0.5,0.14204545454545456,0.03409090909090909,0.14204545454545456,0.03977272727272727,0.056818181818181816,0.03409090909090909,0.056818181818181816,0.0,0.017045454545454544,0.07954545454545454,0.09090909090909091,0.10795454545454546,0.017045454545454544,0.017045454545454544,0.07386363636363637,0.005681818181818182,0.005681818181818182,0.0,0.0,0.005681818181818182,0.05113636363636364,0.0,0.0,0.0,0.1875
ABNORMAL SPINAL MENINGEAL MORPHOLOGY,0.8,0.84,0.28,0.24,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.84,0.24,0.84,0.28,0.28,0.28,0.32,0.04,0.12,0.32,0.36,0.44,0.04,0.04,0.32,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.08
HYPOVOLEMIA,0.6060606060606061,0.6666666666666666,0.21212121212121213,0.21212121212121213,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.30303030303030304,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,1.0,0.6363636363636364,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.21212121212121213,0.18181818181818182,0.18181818181818182,0.21212121212121213,0.0,0.09090909090909091,0.24242424242424243,0.2727272727272727,0.30303030303030304,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091
EXERTIONAL DYSPNEA,0.1554054054054054,0.1891891891891892,0.060810810810810814,0.0472972972972973,0.13513513513513514,0.13513513513513514,0.1554054054054054,0.08108108108108109,0.16216216216216217,0.13513513513513514,0.14864864864864866,0.5945945945945946,0.13513513513513514,0.14189189189189189,1.0,0.25,0.04054054054054054,0.2702702702702703,0.0472972972972973,0.05405405405405406,0.0472972972972973,0.05405405405405406,0.0,0.02027027027027027,0.10810810810810811,0.08783783783783784,0.12162162162162163,0.006756756756756757,0.006756756756756757,0.0472972972972973,0.006756756756756757,0.006756756756756757,0.0,0.0,0.006756756756756757,0.013513513513513514,0.0,0.0472972972972973,0.0,0.17567567567567569
BRUISING SUSCEPTIBILITY,0.16129032258064516,0.21505376344086022,0.06989247311827956,0.043010752688172046,0.11290322580645161,0.11827956989247312,0.16666666666666666,0.08602150537634409,0.13440860215053763,0.10752688172043011,0.12365591397849462,0.13440860215053763,0.11290322580645161,0.11290322580645161,0.1989247311827957,1.0,0.06989247311827956,1.0,0.13440860215053763,0.08064516129032258,0.16129032258064516,0.17204301075268819,0.03225806451612903,0.03763440860215054,0.23655913978494625,0.16666666666666666,0.3548387096774194,0.021505376344086023,0.005376344086021506,0.06989247311827956,0.005376344086021506,0.0,0.0,0.005376344086021506,0.0,0.07526881720430108,0.010752688172043012,0.010752688172043012,0.0,0.026881720430107527
ARTERIAL DISSECTION,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.9230769230769231,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.0,1.0,1.0,0.7692307692307693,0.6153846153846154,0.9230769230769231,0.9230769230769231,0.23076923076923078,0.38461538461538464,0.9230769230769231,0.7692307692307693,1.0,0.23076923076923078,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
SUBCUTANEOUS HEMORRHAGE,0.12,0.2,0.052,0.032,0.084,0.088,0.124,0.068,0.132,0.084,0.092,0.1,0.084,0.084,0.16,0.744,0.052,1.0,0.1,0.06,0.124,0.132,0.024,0.028,0.192,0.128,0.272,0.016,0.004,0.052,0.004,0.0,0.0,0.008,0.0,0.076,0.008,0.024,0.0,0.024
SOFT SKIN,0.22916666666666666,0.22916666666666666,0.125,0.125,0.14583333333333334,0.16666666666666666,0.3541666666666667,0.125,0.1875,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.5208333333333334,0.20833333333333334,0.5208333333333334,1.0,0.2708333333333333,0.4166666666666667,0.4583333333333333,0.08333333333333333,0.08333333333333333,0.375,0.20833333333333334,1.0,0.08333333333333333,0.020833333333333332,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0625,0.020833333333333332,0.0,0.0,0.020833333333333332
DERMAL TRANSLUCENCY,0.375,0.40625,0.1875,0.125,0.1875,0.25,0.4375,0.28125,0.25,0.1875,0.21875,0.3125,0.21875,0.1875,0.25,0.46875,0.25,0.46875,0.40625,1.0,0.34375,0.375,0.125,0.15625,0.46875,0.34375,0.71875,0.125,0.0625,0.3125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0625
ATYPICAL SCARRING OF SKIN,0.19480519480519481,0.22077922077922077,0.11688311688311688,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2077922077922078,0.11688311688311688,0.11688311688311688,0.07792207792207792,0.07792207792207792,0.07792207792207792,0.09090909090909091,0.07792207792207792,0.09090909090909091,0.38961038961038963,0.15584415584415584,0.4025974025974026,0.2597402597402597,0.14285714285714285,1.0,1.0,0.05194805194805195,0.06493506493506493,0.6233766233766234,0.15584415584415584,0.42857142857142855,0.03896103896103896,0.0,0.11688311688311688,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.05194805194805195,0.0,0.0,0.025974025974025976
SCARRING,0.17142857142857143,0.2,0.08571428571428572,0.06666666666666667,0.0761904761904762,0.0761904761904762,0.1619047619047619,0.09523809523809523,0.11428571428571428,0.0761904761904762,0.06666666666666667,0.09523809523809523,0.0761904761904762,0.06666666666666667,0.0761904761904762,0.3047619047619048,0.11428571428571428,0.3142857142857143,0.20952380952380953,0.11428571428571428,0.7333333333333333,1.0,0.0380952380952381,0.05714285714285714,0.4666666666666667,0.13333333333333333,0.34285714285714286,0.0380952380952381,0.009523809523809525,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0380952380952381,0.0,0.0,0.0380952380952381
BLEPHAROCHALASIS,0.25,0.25,0.125,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.75,0.375,0.75,0.5,0.5,0.5,0.5,1.0,0.125,0.75,0.5,0.875,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.0
PULMONARY ARTERY ANEURYSM,0.625,0.625,0.5,0.375,0.5,0.5,0.875,0.75,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.875,0.625,0.875,0.5,0.625,0.625,0.75,0.125,1.0,0.75,0.75,0.875,0.25,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0
DERMAL ATROPHY,0.16964285714285715,0.20535714285714285,0.08928571428571429,0.0625,0.08035714285714286,0.08035714285714286,0.16964285714285715,0.11607142857142858,0.10714285714285714,0.07142857142857142,0.08928571428571429,0.125,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.39285714285714285,0.10714285714285714,0.42857142857142855,0.16071428571428573,0.13392857142857142,0.42857142857142855,0.4375,0.05357142857142857,0.05357142857142857,1.0,0.38392857142857145,0.6071428571428571,0.026785714285714284,0.0,0.07142857142857142,0.008928571428571428,0.008928571428571428,0.0,0.0,0.0,0.11607142857142858,0.026785714285714284,0.026785714285714284,0.0,0.017857142857142856
LACK OF SKIN ELASTICITY,0.2459016393442623,0.2459016393442623,0.13114754098360656,0.11475409836065574,0.16393442622950818,0.14754098360655737,0.2459016393442623,0.19672131147540983,0.18032786885245902,0.14754098360655737,0.18032786885245902,0.26229508196721313,0.14754098360655737,0.14754098360655737,0.21311475409836064,0.5081967213114754,0.16393442622950818,0.5245901639344263,0.16393442622950818,0.18032786885245902,0.19672131147540983,0.22950819672131148,0.06557377049180328,0.09836065573770492,0.7049180327868853,1.0,1.0,0.09836065573770492,0.04918032786885246,0.18032786885245902,0.0,0.0,0.0,0.0,0.0,0.16393442622950818,0.04918032786885246,0.01639344262295082,0.0,0.03278688524590164
ABNORMAL ELASTICITY OF SKIN,0.11836734693877551,0.1306122448979592,0.04897959183673469,0.0326530612244898,0.044897959183673466,0.04897959183673469,0.11020408163265306,0.06938775510204082,0.061224489795918366,0.04081632653061224,0.04897959183673469,0.07755102040816327,0.044897959183673466,0.04081632653061224,0.07346938775510205,0.2693877551020408,0.053061224489795916,0.27755102040816326,0.19591836734693877,0.09387755102040816,0.1346938775510204,0.1469387755102041,0.02857142857142857,0.02857142857142857,0.27755102040816326,0.24897959183673468,1.0,0.024489795918367346,0.012244897959183673,0.0653061224489796,0.00816326530612245,0.004081632653061225,0.004081632653061225,0.0,0.012244897959183673,0.07346938775510205,0.02040816326530612,0.00816326530612245,0.004081632653061225,0.02857142857142857
DERMATOCHALASIS,0.25,0.25,0.0,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.5,0.5,1.0,0.25,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
URETHRAL DIVERTICULUM,0.5,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.5,0.5,1.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VASCULAR TORTUOSITY,0.29411764705882354,0.29411764705882354,0.20588235294117646,0.20588235294117646,0.23529411764705882,0.23529411764705882,0.3235294117647059,0.20588235294117646,0.23529411764705882,0.20588235294117646,0.20588235294117646,0.38235294117647056,0.23529411764705882,0.20588235294117646,0.20588235294117646,0.38235294117647056,0.2647058823529412,0.38235294117647056,0.29411764705882354,0.29411764705882354,0.2647058823529412,0.29411764705882354,0.029411764705882353,0.14705882352941177,0.23529411764705882,0.3235294117647059,0.47058823529411764,0.08823529411764706,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353
APLASIA HYPOPLASIA OF THE OVARY,0.010309278350515464,0.030927835051546393,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.0,1.0,0.41237113402061853,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.010309278350515464
STREAK OVARY,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
HYPERLYSINURIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHERRY RED SPOT OF THE MACULA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0
PSYCHOMOTOR DETERIORATION,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0
SUBCUTANEOUS NODULE,0.08695652173913043,0.2717391304347826,0.03260869565217391,0.0,0.010869565217391304,0.021739130434782608,0.05434782608695652,0.03260869565217391,0.2608695652173913,0.03260869565217391,0.021739130434782608,0.09782608695652174,0.021739130434782608,0.010869565217391304,0.021739130434782608,0.15217391304347827,0.043478260869565216,0.20652173913043478,0.03260869565217391,0.043478260869565216,0.11956521739130435,0.16304347826086957,0.03260869565217391,0.021739130434782608,0.14130434782608695,0.10869565217391304,0.1956521739130435,0.03260869565217391,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.010869565217391304,0.0,1.0,0.05434782608695652,0.0,0.010869565217391304,0.05434782608695652
SYRINGOMYELIA,0.18181818181818182,0.21212121212121213,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.030303030303030304,0.0,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,1.0,0.0,0.0,0.030303030303030304
INTERSTITIAL PNEUMONITIS,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.3684210526315789,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,0.0,0.05263157894736842
PANCREATIC ISLET CELL HYPERPLASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.25
LOSS OF CONSCIOUSNESS,0.014084507042253521,0.04225352112676056,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.02112676056338028,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.035211267605633804,0.2323943661971831,0.014084507042253521,0.02112676056338028,0.18309859154929578,0.035211267605633804,0.0,0.04225352112676056,0.007042253521126761,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0,0.014084507042253521,0.014084507042253521,0.04929577464788732,0.0,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,0.035211267605633804,0.007042253521126761,0.007042253521126761,0.02112676056338028,1.0
