Pathway,SOX9 B1,SOX5 01,SRY 02,TCCATTKW UNKNOWN,STAT5A 03,TCF1P Q6,NKX22 01,YNGTTNNNATT UNKNOWN,YATTNATC UNKNOWN,PAX4 02,POU3F2 02,CDC5 01,CART1 01,FOXO4 02,FOXO3 01,FOXO1 02,FOXO1 01,FOXO4 01,HLF 01,DR4 Q2,TCF4 Q5,LEF1 Q6,ACAWYAAAG UNKNOWN,WGGAATGY TEF1 Q6,MAF Q6,SRY 01,LEF1 Q2,OCT Q6,OCT1 Q5 01,OCT1 B,YATGNWAAT OCT C,IRF1 01,NF1 Q6 01,SRF Q6,SRF 01,SRF C,SRF Q4,SRF Q5 01,SP1 Q6,SP1 Q4 01
TCF4 Q5,0.07377049180327869,0.08196721311475409,0.06967213114754098,0.05737704918032787,0.07377049180327869,0.05737704918032787,0.06967213114754098,0.0942622950819672,0.12295081967213115,0.11475409836065574,0.06147540983606557,0.09016393442622951,0.06967213114754098,0.05327868852459016,0.04918032786885246,0.0860655737704918,0.07377049180327869,0.0860655737704918,0.05327868852459016,0.06967213114754098,1.0,0.42213114754098363,0.07377049180327869,0.0778688524590164,0.09836065573770492,0.06147540983606557,0.23770491803278687,0.0778688524590164,0.0778688524590164,0.04918032786885246,0.07377049180327869,0.06557377049180328,0.05327868852459016,0.05737704918032787,0.00819672131147541,0.036885245901639344,0.06967213114754098,0.06967213114754098,0.020491803278688523,0.02459016393442623
LEF1 Q6,0.10486891385767791,0.07865168539325842,0.07116104868913857,0.0449438202247191,0.08239700374531835,0.056179775280898875,0.03745318352059925,0.06367041198501873,0.0898876404494382,0.06741573033707865,0.04868913857677903,0.08614232209737828,0.056179775280898875,0.06741573033707865,0.056179775280898875,0.07116104868913857,0.07116104868913857,0.07865168539325842,0.06367041198501873,0.0599250936329588,0.3857677902621723,1.0,0.10112359550561797,0.0749063670411985,0.07116104868913857,0.0599250936329588,0.09737827715355805,0.08614232209737828,0.07116104868913857,0.0749063670411985,0.09363295880149813,0.0449438202247191,0.06367041198501873,0.0449438202247191,0.00749063670411985,0.0299625468164794,0.052434456928838954,0.04868913857677903,0.02247191011235955,0.0299625468164794
ACAWYAAAG UNKNOWN,0.08411214953271028,0.102803738317757,0.09345794392523364,0.04672897196261682,0.06542056074766354,0.056074766355140186,0.07476635514018691,0.11214953271028037,0.102803738317757,0.07476635514018691,0.11214953271028037,0.16822429906542055,0.06542056074766354,0.07476635514018691,0.08411214953271028,0.07476635514018691,0.056074766355140186,0.037383177570093455,0.09345794392523364,0.06542056074766354,0.16822429906542055,0.2523364485981308,1.0,0.09345794392523364,0.102803738317757,0.056074766355140186,0.08411214953271028,0.12149532710280374,0.09345794392523364,0.09345794392523364,0.12149532710280374,0.028037383177570093,0.037383177570093455,0.06542056074766354,0.0,0.018691588785046728,0.07476635514018691,0.06542056074766354,0.04672897196261682,0.037383177570093455
WGGAATGY TEF1 Q6,0.041343669250646,0.05426356589147287,0.05167958656330749,0.04392764857881137,0.05426356589147287,0.05426356589147287,0.03617571059431524,0.056847545219638244,0.07751937984496124,0.03617571059431524,0.06718346253229975,0.06976744186046512,0.059431524547803614,0.059431524547803614,0.056847545219638244,0.07235142118863049,0.05167958656330749,0.06718346253229975,0.03359173126614987,0.06459948320413436,0.04909560723514212,0.05167958656330749,0.025839793281653745,1.0,0.06718346253229975,0.03875968992248062,0.041343669250646,0.05426356589147287,0.056847545219638244,0.05167958656330749,0.06718346253229975,0.028423772609819122,0.056847545219638244,0.05426356589147287,0.007751937984496124,0.056847545219638244,0.056847545219638244,0.04392764857881137,0.020671834625323,0.01808785529715762
MAF Q6,0.03787878787878788,0.06439393939393939,0.06818181818181818,0.04924242424242424,0.056818181818181816,0.07575757575757576,0.06060606060606061,0.11363636363636363,0.09848484848484848,0.08712121212121213,0.07575757575757576,0.07954545454545454,0.07954545454545454,0.09090909090909091,0.07954545454545454,0.06818181818181818,0.07575757575757576,0.06439393939393939,0.06060606060606061,0.07196969696969698,0.09090909090909091,0.07196969696969698,0.041666666666666664,0.09848484848484848,1.0,0.056818181818181816,0.045454545454545456,0.06439393939393939,0.06439393939393939,0.06818181818181818,0.07196969696969698,0.05303030303030303,0.05303030303030303,0.04924242424242424,0.007575757575757576,0.06060606060606061,0.06060606060606061,0.07575757575757576,0.07954545454545454,0.07196969696969698
SRY 01,0.06578947368421052,0.10964912280701754,0.20175438596491227,0.02631578947368421,0.06140350877192982,0.07017543859649122,0.06140350877192982,0.08771929824561403,0.10087719298245613,0.08333333333333333,0.05701754385964912,0.08771929824561403,0.09210526315789473,0.14473684210526316,0.12280701754385964,0.13157894736842105,0.12719298245614036,0.10087719298245613,0.04824561403508772,0.043859649122807015,0.06578947368421052,0.07017543859649122,0.02631578947368421,0.06578947368421052,0.06578947368421052,1.0,0.12719298245614036,0.07456140350877193,0.07456140350877193,0.07456140350877193,0.07456140350877193,0.09210526315789473,0.05701754385964912,0.03508771929824561,0.0043859649122807015,0.03070175438596491,0.043859649122807015,0.04824561403508772,0.039473684210526314,0.03508771929824561
LEF1 Q2,0.030303030303030304,0.0735930735930736,0.06926406926406926,0.025974025974025976,0.03463203463203463,0.05194805194805195,0.025974025974025976,0.03896103896103896,0.05194805194805195,0.047619047619047616,0.030303030303030304,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.04329004329004329,0.03896103896103896,0.05194805194805195,0.030303030303030304,0.021645021645021644,0.05194805194805195,0.2510822510822511,0.11255411255411256,0.03896103896103896,0.06926406926406926,0.05194805194805195,0.12554112554112554,1.0,0.047619047619047616,0.04329004329004329,0.03896103896103896,0.05627705627705628,0.06060606060606061,0.047619047619047616,0.04329004329004329,0.008658008658008658,0.05194805194805195,0.03463203463203463,0.03463203463203463,0.012987012987012988,0.021645021645021644
OCT Q6,0.07116104868913857,0.09737827715355805,0.06741573033707865,0.0449438202247191,0.07865168539325842,0.03745318352059925,0.0599250936329588,0.09363295880149813,0.08614232209737828,0.07116104868913857,0.19101123595505617,0.09363295880149813,0.09363295880149813,0.04868913857677903,0.06367041198501873,0.07865168539325842,0.10486891385767791,0.10112359550561797,0.0599250936329588,0.03745318352059925,0.07116104868913857,0.08614232209737828,0.04868913857677903,0.07865168539325842,0.06367041198501873,0.06367041198501873,0.04119850187265917,1.0,0.9026217228464419,0.7640449438202247,0.6367041198501873,0.07116104868913857,0.04119850187265917,0.056179775280898875,0.011235955056179775,0.052434456928838954,0.06741573033707865,0.056179775280898875,0.033707865168539325,0.026217228464419477
OCT1 Q5 01,0.06181818181818182,0.09090909090909091,0.06545454545454546,0.05090909090909091,0.08,0.03636363636363636,0.05818181818181818,0.09090909090909091,0.09454545454545454,0.07272727272727272,0.17454545454545456,0.09090909090909091,0.10909090909090909,0.05090909090909091,0.06181818181818182,0.07636363636363637,0.08363636363636363,0.09818181818181818,0.05818181818181818,0.03636363636363636,0.06909090909090909,0.06909090909090909,0.03636363636363636,0.08,0.06181818181818182,0.06181818181818182,0.03636363636363636,0.8763636363636363,1.0,0.6727272727272727,0.5818181818181818,0.07272727272727272,0.04363636363636364,0.06181818181818182,0.014545454545454545,0.05090909090909091,0.07272727272727272,0.05454545454545454,0.02909090909090909,0.02181818181818182
OCT1 B,0.055762081784386616,0.08550185873605948,0.055762081784386616,0.048327137546468404,0.055762081784386616,0.048327137546468404,0.06319702602230483,0.09293680297397769,0.07063197026022305,0.06691449814126393,0.1449814126394052,0.08550185873605948,0.07063197026022305,0.05204460966542751,0.07063197026022305,0.08178438661710037,0.10037174721189591,0.09293680297397769,0.07063197026022305,0.03717472118959108,0.04460966542750929,0.07434944237918216,0.03717472118959108,0.07434944237918216,0.06691449814126393,0.06319702602230483,0.03345724907063197,0.758364312267658,0.6877323420074349,1.0,0.5650557620817844,0.07434944237918216,0.04460966542750929,0.05947955390334572,0.007434944237918215,0.040892193308550186,0.06691449814126393,0.05204460966542751,0.040892193308550186,0.03345724907063197
