"TF","HMVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NCOA2","3.656499300386977680","3.656499300386977680","3.656499300386977680","Activated","21","viper","21","3.656499300386977680",NA,NA,"4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=416); ARCHS4--Coexpression(rank=551); Enrichr--Queries(rank=819)","794","0.258900000000000019","GTEx Coexpression,0.2589"
"OTX2","3.640715994984115689","3.640715994984115689","3.640715994984115689","Activated","22","viper","22","3.640715994984115689",NA,NA,"4","GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=706); Enrichr--Queries(rank=1107)","121","0.028000000000000001","GTEx Coexpression,0.028"
"ZBTB11","3.538832185678382203","3.538832185678382203","3.538832185678382203","Activated","23","viper","23","3.538832185678382203",NA,NA,"4","ReMap--ChIP-seq(rank=279); ARCHS4--Coexpression(rank=1131); Enrichr--Queries(rank=1374); GTEx--Coexpression(rank=1522)","1491","0.694699999999999984","ARCHS4 Coexpression,0.6947"
"SIX2","3.527264927484338397","3.527264927484338397","3.527264927484338397","Activated","24","viper","24","3.527264927484338397",NA,NA,"4","ReMap--ChIP-seq(rank=61); Enrichr--Queries(rank=511); ARCHS4--Coexpression(rank=686); GTEx--Coexpression(rank=1286)","663","0.205399999999999999","ReMap ChIP-seq,0.2054"
"E2F4","-3.448675819492544203","-3.448675819492544203","3.448675819492544203","Repressed","25","viper","25","3.448675819492544203",NA,NA,"6","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=128); Literature--ChIP-seq(rank=153); Enrichr--Queries(rank=1249); GTEx--Coexpression(rank=1255); ARCHS4--Coexpression(rank=1299)","1158","0.430999999999999994","ReMap ChIP-seq,0.431"
"POU4F2","3.374681448398775707","3.374681448398775707","3.374681448398775707","Activated","26","viper","26","3.374681448398775707",NA,NA,"4","ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=588); GTEx--Coexpression(rank=942); Enrichr--Queries(rank=1309)","1021","0.361200000000000021","ARCHS4 Coexpression,0.3612"
"RBPJ","3.336270549808195263","3.336270549808195263","3.336270549808195263","Activated","27","viper","27","3.336270549808195263",NA,NA,"5","Literature--ChIP-seq(rank=145); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=745); GTEx--Coexpression(rank=836); ARCHS4--Coexpression(rank=1083)","1299","0.520199999999999996","GTEx Coexpression,0.5202"
"MEIS2","3.306219651306542495","3.306219651306542495","3.306219651306542495","Activated","28","viper","28","3.306219651306542495",NA,NA,"4","Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=165); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=711)","205","0.049860000000000002","Enrichr Queries,0.04986"
"MEIS1","3.292518435057629755","3.292518435057629755","3.292518435057629755","Activated","29","viper","29","3.292518435057629755",NA,NA,"5","Enrichr--Queries(rank=44); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=286); GTEx--Coexpression(rank=406)","136","0.031340000000000000","Enrichr Queries,0.03134"
"THAP1","-3.227683167055769076","-3.227683167055769076","3.227683167055769076","Repressed","30","viper","30","3.227683167055769076",NA,NA,"5","ReMap--ChIP-seq(rank=117); ENCODE--ChIP-seq(rank=118); Enrichr--Queries(rank=1239); GTEx--Coexpression(rank=1536); ARCHS4--Coexpression(rank=1607)","1090","0.393899999999999972","ReMap ChIP-seq,0.3939"
