"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TCF7","1.095143288998694953","1.095143288998694953","0.273453866230546516202792872718418948352336883545","HMVL_ALL=1.095","Activated","211","collectri","211","1.095143288998694953",NA,"5","Literature--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=462); GTEx--Coexpression(rank=798); Enrichr--Queries(rank=1360)","951","0.28380000000000000","ARCHS4 Coexpression,0.2838"
"ETV7","1.095066539411422957","1.095066539411422957","0.273487486504273458187697087851120159029960632324","HMVL_ALL=1.095","Activated","212","collectri","212","1.095066539411422957",NA,"3","GTEx--Coexpression(rank=194); Enrichr--Queries(rank=375); ARCHS4--Coexpression(rank=1419)","441","0.12070000000000000","GTEx Coexpression,0.1207"
"PATZ1","1.093492441329122267","1.093492441329122267","0.274177645919381041128559672870323993265628814697","HMVL_ALL=1.093","Activated","213","collectri","213","1.093492441329122267",NA,"3","GTEx--Coexpression(rank=198); Enrichr--Queries(rank=206); ARCHS4--Coexpression(rank=544)","446","0.12320000000000000","GTEx Coexpression,0.1232"
"DBP","1.089642264680447781","-1.089642264680447781","0.275870757744783978715474859200185164809226989746","HMVL_ALL=-1.09","Repressed","214","collectri","214","1.089642264680447781",NA,"3","Enrichr--Queries(rank=1170); ARCHS4--Coexpression(rank=1381); GTEx--Coexpression(rank=1403)","1614","0.83330000000000004","Enrichr Queries,0.8333"
"HOXB13","1.075660644637130181","-1.075660644637130181","0.282079054453148625469793842057697474956512451172","HMVL_ALL=-1.076","Repressed","215","collectri","215","1.075660644637130181",NA,"4","ReMap--ChIP-seq(rank=204); GTEx--Coexpression(rank=344); Enrichr--Queries(rank=381); ARCHS4--Coexpression(rank=1239)","752","0.21410000000000001","GTEx Coexpression,0.2141"
"CEBPB","1.074721521218075626","1.074721521218075626","0.282499425441902818345596415383624844253063201904","HMVL_ALL=1.075","Activated","216","collectri","216","1.074721521218075626",NA,"6","Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=767); GTEx--Coexpression(rank=1311); ARCHS4--Coexpression(rank=1380)","590","0.16460000000000000","Literature ChIP-seq,0.1646"
"MECP2","1.062870439148525969","1.062870439148525969","0.287840710298527258093059799648472107946872711182","HMVL_ALL=1.063","Activated","217","collectri","217","1.062870439148525969",NA,"3","GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=857); Enrichr--Queries(rank=952)","1043","0.32419999999999999","GTEx Coexpression,0.3242"
"LYL1","1.059081407708618361","-1.059081407708618361","0.289562706494907284859863239034893922507762908936","HMVL_ALL=-1.059","Repressed","218","collectri","218","1.059081407708618361",NA,"5","Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=1233); ARCHS4--Coexpression(rank=1247); Enrichr--Queries(rank=1378)","1588","0.76090000000000002","ReMap ChIP-seq,0.7609"
"MBD1","1.058900821357450228","-1.058900821357450228","0.289644950180878435475051446701399981975555419922","HMVL_ALL=-1.059","Repressed","219","collectri","219","1.058900821357450228",NA,"3","GTEx--Coexpression(rank=168); Enrichr--Queries(rank=345); ARCHS4--Coexpression(rank=1184)","383","0.10450000000000000","GTEx Coexpression,0.1045"
"NFYC","1.058699553623646539","1.058699553623646539","0.289736631235825492503010991640621796250343322754","HMVL_ALL=1.059","Activated","220","collectri","220","1.058699553623646539",NA,"3","Enrichr--Queries(rank=193); GTEx--Coexpression(rank=918); ARCHS4--Coexpression(rank=1286)","494","0.13750000000000001","Enrichr Queries,0.1375"
