"TF","MVL_HUB098"
"PAX6","-2.574685221499271925"
"PAX8","0.420187888471778903"
"PBX2","0.057853464426527626"
"PBX3","-0.626862007496477358"
"PDX1","2.327426148796639893"
"PGR","-0.697162206487119573"
"PKNOX1","-2.327789811209932225"
"POU2F1","-1.654606426027017907"
"POU2F2","-0.961593139458828405"
"POU4F2","1.329250744200417333"
"POU5F1","0.604344487927578999"
"PPARA","-0.456481849152975183"
"PPARG","1.070769337393278064"
"PRDM1","0.925304782804573844"
"PRDM14","-3.552076757482822700"
"PROX1","-0.629640509031600182"
"RARA","-1.790316777133812653"
"RBPJ","1.169640607340949545"
"REL","-1.579780474384393507"
"RELA","-0.224141860411158106"
"RELB","0.467196833534739508"
"RFX1","-0.263295032125691053"
"RFX2","-0.839562836850755057"
"RFX5","2.571370755033131950"
"RUNX1","-1.550611539910027314"
"RUNX2","-0.603867510666379892"
"RUNX3","-0.807227895531323902"
"RXRA","-0.223390403775825391"
"SIX2","1.328407327775062097"
"SIX5","-2.654544140521271078"
"SMAD1","-0.895268143435352881"
"SMAD3","-0.407937838363710670"
"SMAD4","-3.441719172554061235"
"SMAD5","2.091184459990126143"
"SNAI2","3.591358788873577623"
"SNAPC4","-2.234346344056718614"
"SOX10","0.493670078100683529"
"SOX11","0.824663472836443812"
"SOX13","-0.240764102861856510"
"SOX6","-0.240916758100245015"
"SOX9","-1.527023439737065891"
"SP1","-2.743883659486733073"
"SP2","-1.068736033866200197"
"SP3","0.340685317941195387"
"SP4","0.117036717844607910"
"SPI1","-0.479451682553485248"
"SPIB","-1.307202254055958468"
"SREBF1","-3.124721707082805722"
"SREBF2","-3.487127072523026339"
"SRF","-1.716628752055340712"
"STAT1","1.428597387308026878"
"STAT2","2.396128119043850813"
"STAT3","-1.095812662873527632"
"STAT4","-0.480178558063892591"
"STAT5A","-1.922937476755588015"
"STAT5B","-0.723177053752938281"
"STAT6","-0.030350974409911226"
"TAL1","2.294316903608722313"
"TBP","-2.153097724420966141"
"TBX21","-0.239115150207946853"
"TCF12","0.284002317979455299"
"TCF3","0.079958700889742065"
"TCF4","1.367413767723728135"
"TCF7","0.012758425278052958"
"TCF7L2","-0.338960644472860895"
"TEAD1","1.795312491945991074"
"TEAD2","-1.059760554951379552"
"TEAD4","-0.421300768534002945"
"TFAP2A","-1.877744125435326206"
"TFAP2C","-1.922116818812310779"
"TFAP4","-2.625471361571821038"
"TFDP1","2.213952230765800167"
"TGIF2","2.981772200509816173"
"THAP1","-3.766771899370805698"
"THAP11","0.334930496067876615"
"TP53","1.173691839047677599"
"TP63","-1.551643568741400303"
"TP73","-0.126066916239853138"
"TWIST1","-0.102796559790334641"
"USF1","-1.789238920367063557"
"USF2","-0.512405646815880411"
"VDR","1.415080719844651336"
"WT1","1.467025590529077661"
"XBP1","-1.479807863794802891"
"YY1","-0.261742055230465731"
"ZBED1","0.408357336735975851"
"ZBTB11","3.351587110710093853"
"ZBTB33","2.313853608867838751"
"ZBTB7A","7.594660841398662932"
"ZEB1","4.629599855177193746"
"ZEB2","-0.183076979318219313"
"ZFX","1.269285709564309750"
"ZKSCAN1","-3.103507523649107647"
"ZNF143","-2.715747257077107957"
"ZNF217","-1.416597697659488508"
"ZNF24","1.968883100565290034"
"ZNF263","6.496088183731273169"
"ZNF274","-3.240707520066282044"
"ZNF384","-0.956478015273086957"
"ZNF592","-1.577337954697915823"
"ZNF639","-3.660539057884834246"
"ZNF740","-2.062905451648300748"
