Pathway,CYTOSOLIC RIBOSOME,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,ACTIN FILAMENT BUNDLE,ACTOMYOSIN,ADHERENS JUNCTION,CELL LEADING EDGE,RUFFLE,RUFFLE MEMBRANE,LEADING EDGE MEMBRANE,SITE OF POLARIZED GROWTH,DISTAL AXON,FILOPODIUM,ACTIN BASED CELL PROJECTION,LAMELLIPODIUM,SPINDLE,MIDBODY,MICROTUBULE,CYTOPLASMIC SIDE OF PLASMA MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,CELL PROJECTION MEMBRANE,MICROVILLUS MEMBRANE,APICAL PLASMA MEMBRANE,BRUSH BORDER,MEMBRANE MICRODOMAIN,CELL CORTEX,CORTICAL CYTOSKELETON,PLATELET DENSE TUBULAR NETWORK MEMBRANE,SPLICEOSOMAL COMPLEX,NUCLEAR SPECK,NUCLEAR RIBONUCLEOPROTEIN GRANULE,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,CLATHRIN COATED PIT,CLATHRIN COATED VESICLE,VESICLE LUMEN
RUFFLE,0.010526315789473684,0.010526315789473684,0.0,0.005263157894736842,0.0,0.2736842105263158,0.07894736842105263,0.06842105263157895,0.08947368421052632,1.0,1.0,0.531578947368421,0.5526315789473685,0.08947368421052632,0.10526315789473684,0.14210526315789473,0.1631578947368421,0.30526315789473685,0.05263157894736842,0.02631578947368421,0.06842105263157895,0.04736842105263158,0.05263157894736842,0.03684210526315789,0.5894736842105263,0.031578947368421054,0.08947368421052632,0.04736842105263158,0.07894736842105263,0.19473684210526315,0.08947368421052632,0.0,0.0,0.015789473684210527,0.015789473684210527,0.005263157894736842,0.005263157894736842,0.021052631578947368,0.03684210526315789,0.05263157894736842
RUFFLE MEMBRANE,0.019801980198019802,0.019801980198019802,0.0,0.009900990099009901,0.0,0.31683168316831684,0.04950495049504951,0.039603960396039604,0.09900990099009901,1.0,1.0,1.0,1.0,0.06930693069306931,0.0891089108910891,0.13861386138613863,0.16831683168316833,0.24752475247524752,0.039603960396039604,0.019801980198019802,0.0594059405940594,0.0297029702970297,0.07920792079207921,0.04950495049504951,1.0,0.039603960396039604,0.07920792079207921,0.0297029702970297,0.10891089108910891,0.18811881188118812,0.09900990099009901,0.0,0.0,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.0297029702970297,0.039603960396039604
LEADING EDGE MEMBRANE,0.0106951871657754,0.0106951871657754,0.0,0.0053475935828877,0.0,0.22459893048128343,0.03208556149732621,0.026737967914438502,0.06951871657754011,1.0,0.5614973262032086,0.5401069518716578,1.0,0.058823529411764705,0.12834224598930483,0.11764705882352941,0.18181818181818182,0.24064171122994651,0.026737967914438502,0.026737967914438502,0.0427807486631016,0.03208556149732621,0.09090909090909091,0.0748663101604278,0.9732620320855615,0.0213903743315508,0.0962566844919786,0.0213903743315508,0.11229946524064172,0.12834224598930483,0.06417112299465241,0.0,0.0,0.016042780748663103,0.016042780748663103,0.0053475935828877,0.0053475935828877,0.016042780748663103,0.0213903743315508,0.026737967914438502
SITE OF POLARIZED GROWTH,0.0,0.0058823529411764705,0.0,0.0,0.0,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.03529411764705882,0.2529411764705882,0.1,0.041176470588235294,0.06470588235294118,1.0,0.9705882352941176,0.15294117647058825,0.18235294117647058,0.18235294117647058,0.07647058823529412,0.07058823529411765,0.16470588235294117,0.01764705882352941,0.029411764705882353,0.011764705882352941,0.1,0.0,0.047058823529411764,0.029411764705882353,0.07058823529411765,0.16470588235294117,0.047058823529411764,0.0,0.0058823529411764705,0.01764705882352941,0.029411764705882353,0.0,0.0,0.01764705882352941,0.011764705882352941,0.029411764705882353
DISTAL AXON,0.0,0.0036363636363636364,0.0,0.0,0.0,0.06545454545454546,0.01818181818181818,0.01818181818181818,0.02909090909090909,0.21454545454545454,0.07272727272727272,0.03272727272727273,0.08727272727272728,0.6,1.0,0.09454545454545454,0.12363636363636364,0.12,0.05818181818181818,0.05090909090909091,0.12,0.014545454545454545,0.05090909090909091,0.03636363636363636,0.11636363636363636,0.0,0.05818181818181818,0.02181818181818182,0.06181818181818182,0.11636363636363636,0.04,0.0,0.0036363636363636364,0.014545454545454545,0.02181818181818182,0.0,0.0,0.025454545454545455,0.04363636363636364,0.01818181818181818
FILOPODIUM,0.0,0.0,0.0,0.0,0.0,0.1941747572815534,0.06796116504854369,0.04854368932038835,0.10679611650485436,0.5631067961165048,0.2621359223300971,0.13592233009708737,0.21359223300970873,0.2524271844660194,0.2524271844660194,1.0,1.0,0.4563106796116505,0.02912621359223301,0.019417475728155338,0.0970873786407767,0.038834951456310676,0.10679611650485436,0.0970873786407767,0.3592233009708738,0.06796116504854369,0.13592233009708737,0.04854368932038835,0.0970873786407767,0.1553398058252427,0.07766990291262135,0.0,0.0,0.019417475728155338,0.02912621359223301,0.0,0.0,0.02912621359223301,0.019417475728155338,0.02912621359223301
ACTIN BASED CELL PROJECTION,0.0,0.0,0.0,0.0,0.0,0.1091703056768559,0.043668122270742356,0.03056768558951965,0.07423580786026202,0.3318777292576419,0.13537117903930132,0.07423580786026202,0.14847161572052403,0.13537117903930132,0.14847161572052403,0.4497816593886463,1.0,0.23580786026200873,0.034934497816593885,0.021834061135371178,0.05240174672489083,0.017467248908296942,0.13537117903930132,0.1091703056768559,0.3406113537117904,0.14410480349344978,0.22707423580786026,0.10480349344978165,0.08296943231441048,0.1572052401746725,0.07860262008733625,0.0,0.0,0.008733624454148471,0.013100436681222707,0.0,0.0,0.03056768558951965,0.03056768558951965,0.026200873362445413
LAMELLIPODIUM,0.004807692307692308,0.004807692307692308,0.0,0.004807692307692308,0.0,0.30288461538461536,0.09134615384615384,0.09134615384615384,0.11538461538461539,1.0,0.27884615384615385,0.1201923076923077,0.21634615384615385,0.14903846153846154,0.15865384615384615,0.22596153846153846,0.25961538461538464,1.0,0.052884615384615384,0.038461538461538464,0.04807692307692308,0.03365384615384615,0.09615384615384616,0.08173076923076923,0.25,0.02403846153846154,0.10096153846153846,0.028846153846153848,0.08173076923076923,0.21153846153846154,0.09615384615384616,0.0,0.004807692307692308,0.028846153846153848,0.028846153846153848,0.004807692307692308,0.004807692307692308,0.014423076923076924,0.02403846153846154,0.038461538461538464
SPINDLE,0.00234192037470726,0.00468384074941452,0.0,0.00468384074941452,0.00234192037470726,0.04918032786885246,0.01639344262295082,0.01639344262295082,0.00702576112412178,0.053864168618266976,0.0234192037470726,0.00936768149882904,0.0117096018735363,0.03044496487119438,0.03747072599531616,0.00702576112412178,0.01873536299765808,0.02576112412177986,1.0,0.22950819672131148,0.41217798594847777,0.02810304449648712,0.01873536299765808,0.0117096018735363,0.0234192037470726,0.00234192037470726,0.0117096018735363,0.00468384074941452,0.0117096018735363,0.07494145199063232,0.01873536299765808,0.0,0.00702576112412178,0.03278688524590164,0.0351288056206089,0.00234192037470726,0.00468384074941452,0.0117096018735363,0.00702576112412178,0.01405152224824356
MIDBODY,0.005319148936170213,0.005319148936170213,0.0,0.005319148936170213,0.0,0.06914893617021277,0.02127659574468085,0.026595744680851064,0.015957446808510637,0.05851063829787234,0.026595744680851064,0.010638297872340425,0.026595744680851064,0.06382978723404255,0.07446808510638298,0.010638297872340425,0.026595744680851064,0.0425531914893617,0.5212765957446809,1.0,0.30319148936170215,0.0797872340425532,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0,0.026595744680851064,0.005319148936170213,0.015957446808510637,0.11170212765957446,0.015957446808510637,0.0,0.005319148936170213,0.02127659574468085,0.02127659574468085,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.015957446808510637
MICROTUBULE,0.0,0.004073319755600814,0.0,0.0,0.0,0.034623217922606926,0.012219959266802444,0.012219959266802444,0.02240325865580448,0.05702647657841141,0.026476578411405296,0.012219959266802444,0.016293279022403257,0.05702647657841141,0.06720977596741344,0.020366598778004074,0.024439918533604887,0.020366598778004074,0.35845213849287166,0.11608961303462322,1.0,0.02240325865580448,0.018329938900203666,0.012219959266802444,0.020366598778004074,0.0,0.020366598778004074,0.004073319755600814,0.016293279022403257,0.05702647657841141,0.02240325865580448,0.0,0.002036659877800407,0.008146639511201629,0.008146639511201629,0.0,0.0,0.012219959266802444,0.006109979633401222,0.014256619144602852
CYTOPLASMIC SIDE OF PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.09580838323353294,0.029940119760479042,0.029940119760479042,0.07784431137724551,0.08982035928143713,0.05389221556886228,0.017964071856287425,0.03592814371257485,0.017964071856287425,0.023952095808383235,0.023952095808383235,0.023952095808383235,0.041916167664670656,0.0718562874251497,0.08982035928143713,0.0658682634730539,1.0,0.0658682634730539,0.05389221556886228,0.08383233532934131,0.0,0.08383233532934131,0.029940119760479042,0.0658682634730539,0.10778443113772455,0.05389221556886228,0.0,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.03592814371257485,0.04790419161676647,0.011976047904191617
BASAL PART OF CELL,0.0,0.0,0.0,0.0,0.0,0.10461538461538461,0.018461538461538463,0.018461538461538463,0.08615384615384615,0.11076923076923077,0.03076923076923077,0.024615384615384615,0.052307692307692305,0.015384615384615385,0.043076923076923075,0.033846153846153845,0.09538461538461539,0.06153846153846154,0.024615384615384615,0.012307692307692308,0.027692307692307693,0.033846153846153845,1.0,0.8430769230769231,0.15692307692307692,0.036923076923076927,0.40307692307692305,0.05846153846153846,0.11076923076923077,0.07384615384615385,0.04,0.0,0.0,0.003076923076923077,0.003076923076923077,0.0,0.0,0.027692307692307693,0.04923076923076923,0.021538461538461538
BASOLATERAL PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.09124087591240876,0.010948905109489052,0.010948905109489052,0.09124087591240876,0.10218978102189781,0.025547445255474453,0.01824817518248175,0.051094890510948905,0.0072992700729927005,0.0364963503649635,0.0364963503649635,0.09124087591240876,0.06204379562043796,0.01824817518248175,0.014598540145985401,0.021897810218978103,0.032846715328467155,1.0,1.0,0.16058394160583941,0.040145985401459854,0.42700729927007297,0.058394160583941604,0.12043795620437957,0.06204379562043796,0.0364963503649635,0.0,0.0,0.0,0.0,0.0,0.0,0.021897810218978103,0.040145985401459854,0.021897810218978103
CELL PROJECTION MEMBRANE,0.0055248618784530384,0.0055248618784530384,0.0,0.0027624309392265192,0.0,0.1464088397790055,0.022099447513812154,0.019337016574585635,0.049723756906077346,0.5303867403314917,0.30939226519337015,0.27900552486187846,0.5027624309392266,0.04696132596685083,0.08839779005524862,0.10220994475138122,0.2154696132596685,0.143646408839779,0.027624309392265192,0.022099447513812154,0.027624309392265192,0.03867403314917127,0.1408839779005525,0.12154696132596685,1.0,0.09116022099447514,0.26795580110497236,0.17403314917127072,0.09116022099447514,0.08839779005524862,0.03867403314917127,0.0055248618784530384,0.0,0.008287292817679558,0.008287292817679558,0.0027624309392265192,0.0027624309392265192,0.027624309392265192,0.027624309392265192,0.019337016574585635
MICROVILLUS MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.15151515151515152,0.21212121212121213,0.18181818181818182,0.12121212121212122,0.12121212121212122,0.0,0.0,0.21212121212121213,1.0,0.15151515151515152,0.030303030303030304,0.0,0.0,0.0,0.36363636363636365,0.3333333333333333,1.0,1.0,0.7272727272727273,0.2727272727272727,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.030303030303030304
APICAL PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.07363420427553444,0.019002375296912115,0.019002375296912115,0.06175771971496437,0.09501187648456057,0.040380047505938245,0.019002375296912115,0.04275534441805225,0.019002375296912115,0.03800475059382423,0.0332541567695962,0.12351543942992874,0.0498812351543943,0.011876484560570071,0.011876484560570071,0.023752969121140142,0.0332541567695962,0.31116389548693585,0.27790973871733965,0.23040380047505937,0.057007125890736345,1.0,0.15914489311163896,0.10926365795724466,0.07600950118764846,0.03800475059382423,0.0,0.0,0.0023752969121140144,0.0023752969121140144,0.0,0.0,0.023752969121140142,0.04513064133016627,0.011876484560570071
BRUSH BORDER,0.0,0.0,0.0,0.0,0.0,0.12844036697247707,0.09174311926605505,0.07339449541284404,0.05504587155963303,0.13761467889908258,0.08256880733944955,0.027522935779816515,0.03669724770642202,0.045871559633027525,0.05504587155963303,0.045871559633027525,0.22018348623853212,0.05504587155963303,0.01834862385321101,0.009174311926605505,0.01834862385321101,0.045871559633027525,0.1743119266055046,0.14678899082568808,0.5779816513761468,0.08256880733944955,0.6146788990825688,1.0,0.08256880733944955,0.1651376146788991,0.09174311926605505,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.045871559633027525,0.027522935779816515,0.027522935779816515
MEMBRANE MICRODOMAIN,0.0,0.0,0.0,0.0,0.0,0.13898305084745763,0.010169491525423728,0.010169491525423728,0.07796610169491526,0.11864406779661017,0.05084745762711865,0.03728813559322034,0.0711864406779661,0.04067796610169491,0.0576271186440678,0.03389830508474576,0.06440677966101695,0.0576271186440678,0.01694915254237288,0.010169491525423728,0.02711864406779661,0.03728813559322034,0.12203389830508475,0.11186440677966102,0.11186440677966102,0.01694915254237288,0.15593220338983052,0.030508474576271188,1.0,0.07796610169491526,0.04406779661016949,0.0,0.0,0.006779661016949152,0.006779661016949152,0.0,0.0,0.01694915254237288,0.03389830508474576,0.04067796610169491
CELL CORTEX,0.0030864197530864196,0.006172839506172839,0.0,0.0,0.0,0.17901234567901234,0.07407407407407407,0.06790123456790123,0.09259259259259259,0.23148148148148148,0.11419753086419752,0.05864197530864197,0.07407407407407407,0.08641975308641975,0.09876543209876543,0.04938271604938271,0.1111111111111111,0.13580246913580246,0.09876543209876543,0.06481481481481481,0.08641975308641975,0.05555555555555555,0.07407407407407407,0.05246913580246913,0.09876543209876543,0.006172839506172839,0.09876543209876543,0.05555555555555555,0.07098765432098765,1.0,0.3333333333333333,0.006172839506172839,0.0030864197530864196,0.0,0.0,0.0,0.0,0.018518518518518517,0.027777777777777776,0.05246913580246913
CORTICAL CYTOSKELETON,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.3055555555555556,0.06481481481481481,0.05555555555555555,0.18518518518518517,0.28703703703703703,0.1574074074074074,0.09259259259259259,0.1111111111111111,0.07407407407407407,0.10185185185185185,0.07407407407407407,0.16666666666666666,0.18518518518518517,0.07407407407407407,0.027777777777777776,0.10185185185185185,0.08333333333333333,0.12037037037037036,0.09259259259259259,0.12962962962962962,0.009259259259259259,0.14814814814814814,0.09259259259259259,0.12037037037037036,1.0,1.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.027777777777777776,0.1111111111111111
PLATELET DENSE TUBULAR NETWORK MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0,0.0091324200913242,0.0,0.0045662100456621,0.0045662100456621,0.0136986301369863,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0045662100456621,0.0136986301369863,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,1.0,0.3378995433789954,0.3561643835616438,0.0,0.0,0.0,0.0045662100456621,0.0091324200913242
NUCLEAR SPECK,0.0049382716049382715,0.012345679012345678,0.0,0.0024691358024691358,0.0024691358024691358,0.019753086419753086,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.022222222222222223,0.007407407407407408,0.0049382716049382715,0.007407407407407408,0.007407407407407408,0.009876543209876543,0.0049382716049382715,0.0049382716049382715,0.014814814814814815,0.0345679012345679,0.009876543209876543,0.009876543209876543,0.0024691358024691358,0.0024691358024691358,0.0,0.007407407407407408,0.0,0.0024691358024691358,0.0,0.0049382716049382715,0.0,0.0,0.0,0.18271604938271604,1.0,1.0,0.0,0.0024691358024691358,0.0,0.0024691358024691358,0.007407407407407408
NUCLEAR RIBONUCLEOPROTEIN GRANULE,0.004158004158004158,0.010395010395010396,0.0,0.002079002079002079,0.002079002079002079,0.016632016632016633,0.002079002079002079,0.002079002079002079,0.004158004158004158,0.018711018711018712,0.006237006237006237,0.004158004158004158,0.006237006237006237,0.010395010395010396,0.012474012474012475,0.006237006237006237,0.006237006237006237,0.012474012474012475,0.031185031185031187,0.008316008316008316,0.008316008316008316,0.002079002079002079,0.002079002079002079,0.0,0.006237006237006237,0.0,0.002079002079002079,0.0,0.004158004158004158,0.0,0.0,0.0,0.16216216216216217,0.841995841995842,1.0,0.0,0.002079002079002079,0.0,0.002079002079002079,0.006237006237006237
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,1.0,1.0,0.0,1.0,0.0,0.43902439024390244,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.024390243902439025
SMALL RIBOSOMAL SUBUNIT,0.5540540540540541,1.0,0.0,1.0,0.04054054054054054,0.25675675675675674,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.5540540540540541,1.0,0.0,0.0,0.013513513513513514
CLATHRIN COATED PIT,0.0,0.0,0.0,0.0,0.0,0.08974358974358974,0.0,0.0,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.038461538461538464,0.038461538461538464,0.08974358974358974,0.038461538461538464,0.08974358974358974,0.038461538461538464,0.0641025641025641,0.01282051282051282,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.1282051282051282,0.038461538461538464,0.1282051282051282,0.0641025641025641,0.0641025641025641,0.07692307692307693,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6282051282051282,0.02564102564102564
CLATHRIN COATED VESICLE,0.0,0.0,0.0,0.0,0.0,0.05726872246696035,0.0,0.0,0.013215859030837005,0.06167400881057269,0.030837004405286344,0.013215859030837005,0.01762114537444934,0.00881057268722467,0.05286343612334802,0.00881057268722467,0.030837004405286344,0.022026431718061675,0.013215859030837005,0.00881057268722467,0.013215859030837005,0.03524229074889868,0.07048458149779736,0.048458149779735685,0.04405286343612335,0.0,0.08370044052863436,0.013215859030837005,0.04405286343612335,0.039647577092511016,0.013215859030837005,0.0,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.0,0.0,0.21585903083700442,1.0,0.039647577092511016
VESICLE LUMEN,0.006006006006006006,0.009009009009009009,0.0,0.003003003003003003,0.0,0.06606606606606606,0.009009009009009009,0.009009009009009009,0.021021021021021023,0.042042042042042045,0.03003003003003003,0.012012012012012012,0.015015015015015015,0.015015015015015015,0.015015015015015015,0.009009009009009009,0.018018018018018018,0.024024024024024024,0.018018018018018018,0.009009009009009009,0.021021021021021023,0.006006006006006006,0.021021021021021023,0.018018018018018018,0.021021021021021023,0.003003003003003003,0.015015015015015015,0.009009009009009009,0.036036036036036036,0.05105105105105105,0.036036036036036036,0.0,0.006006006006006006,0.009009009009009009,0.009009009009009009,0.003003003003003003,0.003003003003003003,0.006006006006006006,0.02702702702702703,1.0
