"TF","DLD1_HCT15_SW48"
"MYCN","-3.209040609517416875"
"MYOD1","1.422046409481052098"
"NANOG","1.860429535819575486"
"NCOA1","3.153520373611205851"
"NCOA2","1.750272519933816717"
"NCOA3","2.599215181265283281"
"NEUROD1","2.427180090494406528"
"NFATC1","2.149932131207475283"
"NFE2","0.856950028824117083"
"NFE2L1","0.108287265853740683"
"NFE2L2","-0.240257109601755003"
"NFIC","-1.166748919569462917"
"NFKB1","3.081337749257144321"
"NFKB2","-1.721632738919816941"
"NFYA","-0.318928806689599886"
"NFYB","-1.169767238541939314"
"NR1H2","1.494360711563626820"
"NR1H3","0.733495652725517755"
"NR2C2","-2.828635618007741215"
"NR2F1","-0.486516913939109674"
"NR2F6","0.808953776320861517"
"NR3C1","-1.290528189430445449"
"NR4A1","2.584485221044086511"
"NR5A2","0.621170073111815935"
"NRF1","1.267615653016879840"
"ONECUT1","0.655921685995975112"
"OTX2","2.101062603337200407"
"PAX5","0.278875680760436007"
"PAX6","1.521640580224461914"
"PAX8","0.522239559457464364"
"PBX2","1.880772734054503070"
"PBX3","2.125143106623320399"
"PDX1","0.953585736613049462"
"PGR","-0.108565307819889573"
"PKNOX1","0.890944215258918093"
"POU2F1","2.272578963965636412"
"POU4F2","1.254362906755354334"
"POU5F1","2.552954278703214008"
"PPARA","0.949407663903681032"
"PPARG","1.627829597257845595"
"PRDM1","0.566286327398420775"
"PRDM14","3.002770085962218616"
"PROX1","0.978534357071697780"
"RARA","1.886160354493257474"
"RBPJ","2.404457897148966961"
"REL","2.340650729983974276"
"RELA","2.762209000950641258"
"RELB","3.235257657105929052"
"RFX1","-0.411545909850163816"
"RFX2","0.342763928606412360"
"RFX5","0.109504705748638534"
"RUNX1","0.984486340963950934"
"RUNX2","2.600421887251301634"
"RUNX3","-0.654177930469659219"
"RXRA","0.284000371965960063"
"SIX2","1.410926657980025700"
"SIX5","-2.950368986609824162"
"SMAD1","-0.254492795794201476"
"SMAD3","2.472611501566603032"
"SMAD4","2.591523337828877782"
"SMAD5","-2.757237568749914658"
"SNAI2","-0.004324432544169051"
"SNAPC4","-3.886450272022666130"
"SOX11","1.666575120383846809"
"SOX13","0.160584946464868955"
"SOX6","-0.613397166358626178"
"SOX9","0.911621844289192573"
"SP1","0.943197731680495699"
"SP2","0.178829658675933589"
"SP3","2.849619192775588061"
"SP4","0.054812159923967076"
"SPI1","0.231656992206237422"
"SPIB","0.014752392157260853"
"SREBF1","-3.684165657629519863"
"SREBF2","-4.220277935631229660"
"SRF","-0.502805817326799964"
"STAT1","4.668978438378457163"
"STAT2","1.307431659817758884"
"STAT3","2.205077529227015276"
"STAT4","1.000139489480277533"
"STAT5A","2.935474002133922955"
"STAT5B","3.298048197400391679"
"STAT6","1.084317237378277232"
"TAL1","1.259663008032446685"
"TBP","1.666032333280205835"
"TBX21","0.490254172682125455"
"TCF12","2.875012331922964570"
"TCF3","-1.618420190454383123"
"TCF4","1.899649640892880242"
"TCF7","0.649358323424686690"
"TCF7L2","0.300138750876648319"
"TEAD1","4.487431573850769517"
"TEAD2","1.138042278861626233"
"TEAD4","1.397726182719437382"
"TFAP2A","1.479347676545230694"
"TFAP2C","0.861820720706953147"
"TFAP4","2.499245516255911959"
"TFDP1","-2.943194488281438925"
"TGIF2","-0.009003735909376982"
"THAP1","-2.300035050617552645"
"THAP11","1.624355639923499961"
"TP53","4.726415224276871108"
"TP63","1.630021604001119284"
"TP73","0.121941030725050886"
"TWIST1","0.423925031279190456"
"USF1","-0.963219881350563023"
"USF2","0.659231217108450895"
"VDR","0.942558554429005824"
"WT1","2.019001819078331206"
"XBP1","0.044834070648437287"
"YY1","-2.611857145651097944"
"ZBED1","-1.113003989436741170"
"ZBTB11","2.296555375396274634"
"ZBTB33","1.127606992881744707"
"ZBTB7A","-0.426540180352011800"
"ZEB1","0.033900790994840564"
"ZEB2","-1.115728099276273255"
"ZFX","-0.232490153801202193"
"ZKSCAN1","1.405676925054805348"
"ZNF143","0.446925901593123676"
"ZNF217","2.733335294349986899"
"ZNF24","-1.719360558209196199"
"ZNF263","0.771799207741120319"
"ZNF274","-1.294764102405738138"
"ZNF384","2.768561823597264659"
"ZNF592","2.364587458217899396"
"ZNF639","-1.997623470184864525"
"ZNF740","0.257207798465456827"
