Pathway,AR Q6,DR3 Q4,LXR DR4 Q3,NFAT Q6,CIZ 01,WCAANNNYCAG UNKNOWN,SNACANNNYSYAGA UNKNOWN,RRAGTTGT UNKNOWN,AACWWCAANK UNKNOWN,TCCCRNNRTGC UNKNOWN,SOX9 B1,SRY 02,SOX5 01,HNF6 Q6,FOXJ2 02,NCX 01,HOXA4 Q2,CHX10 01,TITF1 Q3,TTF1 Q6,RTTTNNNYTGGM UNKNOWN,CEBPB 02,CEBP C,HNF4 Q6,PR 01,PR 02,GR 01,PR Q2,CACCCBINDINGFACTOR Q6,TCF1P Q6,E12 Q6,TAL1ALPHAE47 01,AHRARNT 02,FOXO4 01,STAT5A 04,NRSF 01,GCCATNTTG YY1 Q6,ATGGYGGA UNKNOWN,TAANNYSGCG UNKNOWN,SMTTTTGT UNKNOWN
SOX9 B1,0.05439330543933055,0.03347280334728033,0.0,0.08786610878661087,0.06694560669456066,0.06276150627615062,0.008368200836820083,0.04184100418410042,0.04602510460251046,0.029288702928870293,1.0,0.25523012552301255,0.26359832635983266,0.09205020920502092,0.08368200836820083,0.04184100418410042,0.0794979079497908,0.07112970711297072,0.05439330543933055,0.07112970711297072,0.0502092050209205,0.06694560669456066,0.08368200836820083,0.05439330543933055,0.0502092050209205,0.04184100418410042,0.09205020920502092,0.06694560669456066,0.04184100418410042,0.07531380753138076,0.04184100418410042,0.0502092050209205,0.0,0.10460251046025104,0.058577405857740586,0.008368200836820083,0.100418410041841,0.02092050209205021,0.012552301255230125,0.1297071129707113
SRY 02,0.08108108108108109,0.05791505791505792,0.02702702702702703,0.0694980694980695,0.0888030888030888,0.06177606177606178,0.011583011583011582,0.06563706563706563,0.04247104247104247,0.02702702702702703,0.23552123552123552,1.0,0.44015444015444016,0.09266409266409266,0.09652509652509653,0.03861003861003861,0.10424710424710425,0.0694980694980695,0.09652509652509653,0.05791505791505792,0.0694980694980695,0.05791505791505792,0.03861003861003861,0.05405405405405406,0.04633204633204633,0.03474903474903475,0.05405405405405406,0.07722007722007722,0.06177606177606178,0.10038610038610038,0.03861003861003861,0.0694980694980695,0.003861003861003861,0.11196911196911197,0.06177606177606178,0.007722007722007722,0.08108108108108109,0.019305019305019305,0.011583011583011582,0.2277992277992278
SOX5 01,0.0708955223880597,0.03731343283582089,0.011194029850746268,0.06716417910447761,0.07462686567164178,0.055970149253731345,0.018656716417910446,0.07462686567164178,0.04477611940298507,0.022388059701492536,0.23507462686567165,0.4253731343283582,1.0,0.09701492537313433,0.12313432835820895,0.055970149253731345,0.08955223880597014,0.0708955223880597,0.08955223880597014,0.06716417910447761,0.05970149253731343,0.08955223880597014,0.048507462686567165,0.048507462686567165,0.041044776119402986,0.029850746268656716,0.06343283582089553,0.06343283582089553,0.06716417910447761,0.08955223880597014,0.029850746268656716,0.06343283582089553,0.0,0.12686567164179105,0.06343283582089553,0.0037313432835820895,0.07835820895522388,0.014925373134328358,0.018656716417910446,0.11567164179104478
HNF6 Q6,0.04583333333333333,0.020833333333333332,0.025,0.07916666666666666,0.11666666666666667,0.04583333333333333,0.016666666666666666,0.07916666666666666,0.029166666666666667,0.016666666666666666,0.09166666666666666,0.1,0.10833333333333334,1.0,0.125,0.07916666666666666,0.125,0.125,0.1125,0.0625,0.07916666666666666,0.08333333333333333,0.07916666666666666,0.05416666666666667,0.05,0.0375,0.04583333333333333,0.08333333333333333,0.10416666666666667,0.06666666666666667,0.05,0.058333333333333334,0.0,0.09583333333333334,0.075,0.025,0.07083333333333333,0.03333333333333333,0.004166666666666667,0.12083333333333333
FOXJ2 02,0.06172839506172839,0.03292181069958848,0.00823045267489712,0.06584362139917696,0.102880658436214,0.053497942386831275,0.0205761316872428,0.04938271604938271,0.0411522633744856,0.02880658436213992,0.0823045267489712,0.102880658436214,0.13580246913580246,0.12345679012345678,1.0,0.04526748971193416,0.10699588477366255,0.09465020576131687,0.07407407407407407,0.053497942386831275,0.0411522633744856,0.07818930041152264,0.07818930041152264,0.0411522633744856,0.0411522633744856,0.02880658436213992,0.02880658436213992,0.09053497942386832,0.02880658436213992,0.07818930041152264,0.02880658436213992,0.06172839506172839,0.00411522633744856,0.09053497942386832,0.0823045267489712,0.00823045267489712,0.0411522633744856,0.01646090534979424,0.00823045267489712,0.13991769547325103
NCX 01,0.09659090909090909,0.022727272727272728,0.03409090909090909,0.11363636363636363,0.08522727272727272,0.028409090909090908,0.0,0.07386363636363637,0.056818181818181816,0.005681818181818182,0.056818181818181816,0.056818181818181816,0.08522727272727272,0.10795454545454546,0.0625,1.0,0.20454545454545456,0.16477272727272727,0.056818181818181816,0.056818181818181816,0.06818181818181818,0.05113636363636364,0.07954545454545454,0.05113636363636364,0.06818181818181818,0.028409090909090908,0.06818181818181818,0.0625,0.0625,0.0625,0.05113636363636364,0.05113636363636364,0.0,0.11931818181818182,0.0625,0.011363636363636364,0.07954545454545454,0.045454545454545456,0.056818181818181816,0.1534090909090909
HOXA4 Q2,0.07352941176470588,0.04044117647058824,0.03308823529411765,0.09926470588235294,0.08088235294117647,0.04411764705882353,0.011029411764705883,0.051470588235294115,0.03308823529411765,0.014705882352941176,0.06985294117647059,0.09926470588235294,0.08823529411764706,0.11029411764705882,0.09558823529411764,0.1323529411764706,1.0,0.24632352941176472,0.08455882352941177,0.06985294117647059,0.0625,0.05514705882352941,0.10661764705882353,0.04411764705882353,0.07352941176470588,0.058823529411764705,0.0661764705882353,0.058823529411764705,0.05514705882352941,0.09191176470588236,0.03676470588235294,0.08088235294117647,0.0,0.07352941176470588,0.06985294117647059,0.011029411764705883,0.04779411764705882,0.022058823529411766,0.022058823529411766,0.125
CHX10 01,0.09649122807017543,0.043859649122807015,0.013157894736842105,0.06578947368421052,0.07894736842105263,0.03508771929824561,0.008771929824561403,0.06140350877192982,0.04824561403508772,0.008771929824561403,0.07456140350877193,0.07894736842105263,0.08333333333333333,0.13157894736842105,0.10087719298245613,0.12719298245614036,0.29385964912280704,1.0,0.10526315789473684,0.06578947368421052,0.07894736842105263,0.05701754385964912,0.07894736842105263,0.04824561403508772,0.04824561403508772,0.03508771929824561,0.039473684210526314,0.10087719298245613,0.05701754385964912,0.07456140350877193,0.04824561403508772,0.06578947368421052,0.0,0.07894736842105263,0.039473684210526314,0.008771929824561403,0.07017543859649122,0.017543859649122806,0.021929824561403508,0.10087719298245613
TITF1 Q3,0.0942622950819672,0.036885245901639344,0.036885245901639344,0.06967213114754098,0.0778688524590164,0.02459016393442623,0.02459016393442623,0.0778688524590164,0.045081967213114756,0.03278688524590164,0.05327868852459016,0.10245901639344263,0.09836065573770492,0.11065573770491803,0.07377049180327869,0.040983606557377046,0.0942622950819672,0.09836065573770492,1.0,0.14344262295081966,0.06147540983606557,0.08196721311475409,0.0778688524590164,0.045081967213114756,0.036885245901639344,0.04918032786885246,0.04918032786885246,0.0942622950819672,0.040983606557377046,0.0860655737704918,0.03278688524590164,0.040983606557377046,0.0,0.09016393442622951,0.06967213114754098,0.004098360655737705,0.10245901639344263,0.028688524590163935,0.02459016393442623,0.13524590163934427
TTF1 Q6,0.055970149253731345,0.022388059701492536,0.026119402985074626,0.06716417910447761,0.10074626865671642,0.05970149253731343,0.014925373134328358,0.055970149253731345,0.026119402985074626,0.014925373134328358,0.06343283582089553,0.055970149253731345,0.06716417910447761,0.055970149253731345,0.048507462686567165,0.03731343283582089,0.0708955223880597,0.055970149253731345,0.13059701492537312,1.0,0.05223880597014925,0.03731343283582089,0.048507462686567165,0.07462686567164178,0.041044776119402986,0.033582089552238806,0.04477611940298507,0.04477611940298507,0.09328358208955224,0.06343283582089553,0.014925373134328358,0.048507462686567165,0.0037313432835820895,0.06716417910447761,0.026119402985074626,0.007462686567164179,0.07835820895522388,0.018656716417910446,0.022388059701492536,0.07462686567164178
RTTTNNNYTGGM UNKNOWN,0.05806451612903226,0.01935483870967742,0.03870967741935484,0.11612903225806452,0.08387096774193549,0.05806451612903226,0.025806451612903226,0.08387096774193549,0.05806451612903226,0.025806451612903226,0.07741935483870968,0.11612903225806452,0.1032258064516129,0.12258064516129032,0.06451612903225806,0.07741935483870968,0.10967741935483871,0.11612903225806452,0.0967741935483871,0.09032258064516129,1.0,0.05806451612903226,0.07096774193548387,0.07096774193548387,0.05161290322580645,0.01935483870967742,0.05161290322580645,0.03225806451612903,0.07096774193548387,0.05806451612903226,0.03870967741935484,0.07741935483870968,0.0,0.12258064516129032,0.06451612903225806,0.012903225806451613,0.05161290322580645,0.0,0.0064516129032258064,0.12903225806451613
CEBPB 02,0.12781954887218044,0.045112781954887216,0.011278195488721804,0.05639097744360902,0.10150375939849623,0.03759398496240601,0.0037593984962406013,0.06390977443609022,0.022556390977443608,0.0037593984962406013,0.06015037593984962,0.05639097744360902,0.09022556390977443,0.07518796992481203,0.07142857142857142,0.03383458646616541,0.05639097744360902,0.04887218045112782,0.07518796992481203,0.03759398496240601,0.03383458646616541,1.0,0.11654135338345864,0.04887218045112782,0.03759398496240601,0.03383458646616541,0.03759398496240601,0.05639097744360902,0.06015037593984962,0.045112781954887216,0.03007518796992481,0.06015037593984962,0.0,0.07894736842105263,0.07518796992481203,0.0037593984962406013,0.05263157894736842,0.011278195488721804,0.015037593984962405,0.09398496240601503
CEBP C,0.033816425120772944,0.03864734299516908,0.03864734299516908,0.0821256038647343,0.06763285024154589,0.033816425120772944,0.014492753623188406,0.0821256038647343,0.028985507246376812,0.024154589371980676,0.0966183574879227,0.04830917874396135,0.06280193236714976,0.09178743961352658,0.09178743961352658,0.06763285024154589,0.14009661835748793,0.08695652173913043,0.09178743961352658,0.06280193236714976,0.05314009661835749,0.1497584541062802,1.0,0.09178743961352658,0.04830917874396135,0.033816425120772944,0.06280193236714976,0.07729468599033816,0.06280193236714976,0.07729468599033816,0.04830917874396135,0.05314009661835749,0.0,0.0821256038647343,0.057971014492753624,0.028985507246376812,0.07246376811594203,0.033816425120772944,0.00966183574879227,0.0821256038647343
HNF4 Q6,0.04428044280442804,0.033210332103321034,0.01845018450184502,0.04059040590405904,0.04797047970479705,0.06642066420664207,0.007380073800738007,0.05904059040590406,0.01845018450184502,0.007380073800738007,0.04797047970479705,0.05166051660516605,0.04797047970479705,0.04797047970479705,0.03690036900369004,0.033210332103321034,0.04428044280442804,0.04059040590405904,0.04059040590405904,0.07380073800738007,0.04059040590405904,0.04797047970479705,0.07011070110701106,1.0,0.02952029520295203,0.014760147601476014,0.04059040590405904,0.04059040590405904,0.05166051660516605,0.03690036900369004,0.02214022140221402,0.02952029520295203,0.0036900369003690036,0.055350553505535055,0.03690036900369004,0.0036900369003690036,0.04059040590405904,0.007380073800738007,0.01107011070110701,0.055350553505535055
PR 01,0.10067114093959731,0.040268456375838924,0.013422818791946308,0.0738255033557047,0.09395973154362416,0.06040268456375839,0.013422818791946308,0.04697986577181208,0.026845637583892617,0.026845637583892617,0.08053691275167785,0.08053691275167785,0.0738255033557047,0.08053691275167785,0.06711409395973154,0.08053691275167785,0.1342281879194631,0.0738255033557047,0.06040268456375839,0.0738255033557047,0.053691275167785234,0.06711409395973154,0.06711409395973154,0.053691275167785234,1.0,0.5167785234899329,0.6577181208053692,0.16778523489932887,0.0738255033557047,0.0738255033557047,0.040268456375838924,0.06040268456375839,0.0,0.087248322147651,0.06040268456375839,0.006711409395973154,0.06040268456375839,0.026845637583892617,0.006711409395973154,0.12080536912751678
PR 02,0.08888888888888889,0.02962962962962963,0.014814814814814815,0.07407407407407407,0.08888888888888889,0.05185185185185185,0.007407407407407408,0.05925925925925926,0.05185185185185185,0.022222222222222223,0.07407407407407407,0.06666666666666667,0.05925925925925926,0.06666666666666667,0.05185185185185185,0.037037037037037035,0.11851851851851852,0.05925925925925926,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.05185185185185185,0.02962962962962963,0.5703703703703704,1.0,0.7407407407407407,0.2518518518518518,0.08888888888888889,0.06666666666666667,0.02962962962962963,0.044444444444444446,0.0,0.07407407407407407,0.05925925925925926,0.007407407407407408,0.05925925925925926,0.02962962962962963,0.007407407407407408,0.1259259259259259
GR 01,0.08866995073891626,0.029556650246305417,0.014778325123152709,0.06896551724137931,0.07881773399014778,0.06403940886699508,0.009852216748768473,0.04433497536945813,0.03940886699507389,0.024630541871921183,0.10837438423645321,0.06896551724137931,0.08374384236453201,0.054187192118226604,0.034482758620689655,0.059113300492610835,0.08866995073891626,0.04433497536945813,0.059113300492610835,0.059113300492610835,0.03940886699507389,0.04926108374384237,0.06403940886699508,0.054187192118226604,0.4827586206896552,0.49261083743842365,1.0,0.19704433497536947,0.07389162561576355,0.07881773399014778,0.029556650246305417,0.04926108374384237,0.0,0.06403940886699508,0.06896551724137931,0.009852216748768473,0.06896551724137931,0.029556650246305417,0.014778325123152709,0.11330049261083744
PR Q2,0.05204460966542751,0.03345724907063197,0.007434944237918215,0.03717472118959108,0.06691449814126393,0.05204460966542751,0.01486988847583643,0.05204460966542751,0.03345724907063197,0.01486988847583643,0.05947955390334572,0.07434944237918216,0.06319702602230483,0.07434944237918216,0.08178438661710037,0.040892193308550186,0.05947955390334572,0.08550185873605948,0.08550185873605948,0.04460966542750929,0.01858736059479554,0.055762081784386616,0.05947955390334572,0.040892193308550186,0.09293680297397769,0.12639405204460966,0.14869888475836432,1.0,0.07806691449814127,0.06319702602230483,0.03345724907063197,0.07063197026022305,0.0,0.04460966542750929,0.06691449814126393,0.007434944237918215,0.040892193308550186,0.03717472118959108,0.01486988847583643,0.09293680297397769
CACCCBINDINGFACTOR Q6,0.04428044280442804,0.03690036900369004,0.025830258302583026,0.055350553505535055,0.033210332103321034,0.055350553505535055,0.01107011070110701,0.04428044280442804,0.02214022140221402,0.014760147601476014,0.03690036900369004,0.05904059040590406,0.06642066420664207,0.09225092250922509,0.025830258302583026,0.04059040590405904,0.055350553505535055,0.04797047970479705,0.03690036900369004,0.09225092250922509,0.04059040590405904,0.05904059040590406,0.04797047970479705,0.05166051660516605,0.04059040590405904,0.04428044280442804,0.055350553505535055,0.07749077490774908,1.0,0.08856088560885608,0.04797047970479705,0.055350553505535055,0.0036900369003690036,0.05904059040590406,0.033210332103321034,0.01107011070110701,0.08487084870848709,0.014760147601476014,0.025830258302583026,0.11439114391143912
TCF1P Q6,0.06642066420664207,0.025830258302583026,0.02214022140221402,0.07749077490774908,0.07011070110701106,0.033210332103321034,0.007380073800738007,0.055350553505535055,0.01107011070110701,0.014760147601476014,0.06642066420664207,0.0959409594095941,0.08856088560885608,0.05904059040590406,0.07011070110701106,0.04059040590405904,0.09225092250922509,0.06273062730627306,0.07749077490774908,0.06273062730627306,0.033210332103321034,0.04428044280442804,0.05904059040590406,0.03690036900369004,0.04059040590405904,0.033210332103321034,0.05904059040590406,0.06273062730627306,0.08856088560885608,1.0,0.04059040590405904,0.055350553505535055,0.007380073800738007,0.08487084870848709,0.033210332103321034,0.0,0.07749077490774908,0.014760147601476014,0.01845018450184502,0.12546125461254612
E12 Q6,0.026415094339622643,0.01509433962264151,0.0,0.022641509433962263,0.018867924528301886,0.03018867924528302,0.011320754716981131,0.026415094339622643,0.01509433962264151,0.03018867924528302,0.03773584905660377,0.03773584905660377,0.03018867924528302,0.045283018867924525,0.026415094339622643,0.033962264150943396,0.03773584905660377,0.04150943396226415,0.03018867924528302,0.01509433962264151,0.022641509433962263,0.03018867924528302,0.03773584905660377,0.022641509433962263,0.022641509433962263,0.01509433962264151,0.022641509433962263,0.033962264150943396,0.04905660377358491,0.04150943396226415,1.0,0.09433962264150944,0.0,0.033962264150943396,0.026415094339622643,0.011320754716981131,0.018867924528301886,0.0037735849056603774,0.007547169811320755,0.04905660377358491
TAL1ALPHAE47 01,0.054474708171206226,0.04669260700389105,0.027237354085603113,0.07782101167315175,0.054474708171206226,0.054474708171206226,0.007782101167315175,0.054474708171206226,0.027237354085603113,0.019455252918287938,0.04669260700389105,0.07003891050583658,0.06614785992217899,0.054474708171206226,0.058365758754863814,0.03501945525291829,0.08560311284046693,0.058365758754863814,0.038910505836575876,0.05058365758754864,0.04669260700389105,0.0622568093385214,0.042801556420233464,0.0311284046692607,0.03501945525291829,0.023346303501945526,0.038910505836575876,0.07392996108949416,0.058365758754863814,0.058365758754863814,0.09727626459143969,1.0,0.0,0.0622568093385214,0.03501945525291829,0.0038910505836575876,0.042801556420233464,0.038910505836575876,0.01556420233463035,0.08949416342412451
AHRARNT 02,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,1.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
FOXO4 01,0.08536585365853659,0.036585365853658534,0.032520325203252036,0.1016260162601626,0.10569105691056911,0.036585365853658534,0.012195121951219513,0.08536585365853659,0.052845528455284556,0.028455284552845527,0.1016260162601626,0.11788617886178862,0.13821138211382114,0.09349593495934959,0.08943089430894309,0.08536585365853659,0.08130081300813008,0.07317073170731707,0.08943089430894309,0.07317073170731707,0.07723577235772358,0.08536585365853659,0.06910569105691057,0.06097560975609756,0.052845528455284556,0.04065040650406504,0.052845528455284556,0.04878048780487805,0.06504065040650407,0.09349593495934959,0.036585365853658534,0.06504065040650407,0.008130081300813009,1.0,0.11788617886178862,0.008130081300813009,0.052845528455284556,0.036585365853658534,0.028455284552845527,0.12601626016260162
STAT5A 04,0.0794392523364486,0.06074766355140187,0.028037383177570093,0.06542056074766354,0.1261682242990654,0.0514018691588785,0.014018691588785047,0.08878504672897196,0.0514018691588785,0.014018691588785047,0.06542056074766354,0.07476635514018691,0.0794392523364486,0.08411214953271028,0.09345794392523364,0.0514018691588785,0.08878504672897196,0.04205607476635514,0.0794392523364486,0.03271028037383177,0.04672897196261682,0.09345794392523364,0.056074766355140186,0.04672897196261682,0.04205607476635514,0.037383177570093455,0.06542056074766354,0.08411214953271028,0.04205607476635514,0.04205607476635514,0.03271028037383177,0.04205607476635514,0.009345794392523364,0.13551401869158877,1.0,0.018691588785046728,0.0514018691588785,0.037383177570093455,0.009345794392523364,0.09345794392523364
NRSF 01,0.041237113402061855,0.020618556701030927,0.0,0.010309278350515464,0.0,0.010309278350515464,0.0,0.010309278350515464,0.0,0.0,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.061855670103092786,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.061855670103092786,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.0,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.041237113402061855,1.0,0.020618556701030927,0.010309278350515464,0.0,0.030927835051546393
GCCATNTTG YY1 Q6,0.036613272311212815,0.02288329519450801,0.018306636155606407,0.041189931350114416,0.029748283752860413,0.034324942791762014,0.018306636155606407,0.041189931350114416,0.029748283752860413,0.041189931350114416,0.05491990846681922,0.04805491990846682,0.04805491990846682,0.038901601830663615,0.02288329519450801,0.032036613272311214,0.029748283752860413,0.036613272311212815,0.057208237986270026,0.04805491990846682,0.018306636155606407,0.032036613272311214,0.034324942791762014,0.02517162471395881,0.020594965675057208,0.018306636155606407,0.032036613272311214,0.02517162471395881,0.05263157894736842,0.04805491990846682,0.011441647597254004,0.02517162471395881,0.0,0.029748283752860413,0.02517162471395881,0.004576659038901602,1.0,0.04805491990846682,0.016018306636155607,0.17391304347826086
