"TF","HMVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"RUNX1","2.561870431385044888","2.561870431385044888","2.561870431385044888","Activated","43","viper","43","2.561870431385044888",NA,NA,"5","Literature--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=194); Enrichr--Queries(rank=388); GTEx--Coexpression(rank=976); ARCHS4--Coexpression(rank=1403)","923","0.27639999999999998","Enrichr Queries,0.2764"
"MEIS2","2.561583683034185821","2.561583683034185821","2.561583683034185821","Activated","44","viper","44","2.561583683034185821",NA,NA,"4","ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=954); Enrichr--Queries(rank=984); GTEx--Coexpression(rank=1453)","1451","0.58599999999999997","ARCHS4 Coexpression,0.586"
"PRDM14","2.560732127880490427","2.560732127880490427","2.560732127880490427","Activated","45","viper","45","2.560732127880490427",NA,NA,"5","ReMap--ChIP-seq(rank=122); Literature--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=954); Enrichr--Queries(rank=1194)","510","0.13510000000000000","ARCHS4 Coexpression,0.1351"
"ESR1","2.535833089938051010","2.535833089938051010","2.535833089938051010","Activated","46","viper","46","2.535833089938051010",NA,NA,"6","Literature--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=456); GTEx--Coexpression(rank=798); ARCHS4--Coexpression(rank=928)","1040","0.32319999999999999","Literature ChIP-seq,0.3232"
"POU4F2","2.488135668752187613","2.488135668752187613","2.488135668752187613","Activated","47","viper","47","2.488135668752187613",NA,NA,"4","ReMap--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=424); GTEx--Coexpression(rank=982); Enrichr--Queries(rank=1309)","886","0.26040000000000002","ARCHS4 Coexpression,0.2604"
"IRF4","2.469530541853625749","2.469530541853625749","2.469530541853625749","Activated","48","viper","48","2.469530541853625749",NA,NA,"5","GTEx--Coexpression(rank=41); ReMap--ChIP-seq(rank=73); ENCODE--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=880); Enrichr--Queries(rank=898)","92","0.02551000000000000","GTEx Coexpression,0.02551"
"CTCFL","-2.445641278131007290","-2.445641278131007290","2.445641278131007290","Repressed","49","viper","49","2.445641278131007290",NA,NA,"5","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=108); ENCODE--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=398); GTEx--Coexpression(rank=944)","228","0.06061000000000000","ReMap ChIP-seq,0.06061"
"SMAD5","-2.441789245789691254","-2.441789245789691254","2.441789245789691254","Repressed","50","viper","50","2.441789245789691254",NA,NA,"4","ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=189); GTEx--Coexpression(rank=936); Enrichr--Queries(rank=1343)","438","0.11609999999999999","ARCHS4 Coexpression,0.1161"
"RBPJ","2.429863219468023416","2.429863219468023416","2.429863219468023416","Activated","51","viper","51","2.429863219468023416",NA,NA,"5","Literature--ChIP-seq(rank=153); ReMap--ChIP-seq(rank=230); Enrichr--Queries(rank=414); GTEx--Coexpression(rank=1384); ARCHS4--Coexpression(rank=1430)","971","0.29490000000000000","Enrichr Queries,0.2949"
"TCF4","2.402369538749293376","2.402369538749293376","2.402369538749293376","Activated","52","viper","52","2.402369538749293376",NA,NA,"5","ReMap--ChIP-seq(rank=87); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=820); ARCHS4--Coexpression(rank=827); GTEx--Coexpression(rank=1409)","965","0.29289999999999999","ReMap ChIP-seq,0.2929"
"SOX11","2.375659530583210000","2.375659530583210000","2.375659530583210000","Activated","53","viper","53","2.375659530583210000",NA,NA,"5","ReMap--ChIP-seq(rank=36); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=234); GTEx--Coexpression(rank=999); ARCHS4--Coexpression(rank=1028)","459","0.12120000000000000","ReMap ChIP-seq,0.1212"
"JUN","2.320160613323662524","2.320160613323662524","2.320160613323662524","Activated","54","viper","54","2.320160613323662524",NA,NA,"6","ENCODE--ChIP-seq(rank=41); Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=301); Enrichr--Queries(rank=310); ARCHS4--Coexpression(rank=552)","663","0.18729999999999999","GTEx Coexpression,0.1873"
"HNF1A","2.314425543628607418","2.314425543628607418","2.314425543628607418","Activated","55","viper","55","2.314425543628607418",NA,NA,"3","ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=406); Enrichr--Queries(rank=638)","602","0.16710000000000000","ARCHS4 Coexpression,0.1671"
"CREB3L1","-2.300267479469625620","-2.300267479469625620","2.300267479469625620","Repressed","56","viper","56","2.300267479469625620",NA,NA,"4","ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=345); ARCHS4--Coexpression(rank=529); GTEx--Coexpression(rank=921)","840","0.24570000000000000","Enrichr Queries,0.2457"
"RFX2","2.280572874571759279","2.280572874571759279","2.280572874571759279","Activated","57","viper","57","2.280572874571759279",NA,NA,"4","ARCHS4--Coexpression(rank=95); ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=215); GTEx--Coexpression(rank=897)","220","0.05835000000000000","ARCHS4 Coexpression,0.05835"
"LYL1","2.256101219691811988","2.256101219691811988","2.256101219691811988","Activated","58","viper","58","2.256101219691811988",NA,NA,"5","Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=240); Enrichr--Queries(rank=667); ARCHS4--Coexpression(rank=1061); GTEx--Coexpression(rank=1251)","1309","0.47510000000000002","Enrichr Queries,0.4751"
