Pathway,PML PATHWAY,TID PATHWAY,NFKB PATHWAY,RELA PATHWAY,TNFR2 PATHWAY,CD40 PATHWAY,MAPK PATHWAY,TOLL PATHWAY,NTHI PATHWAY,IL1R PATHWAY,AKT PATHWAY,PCAF PATHWAY,RANKL PATHWAY,TGFB PATHWAY,ALK PATHWAY,WNT PATHWAY,CARM ER PATHWAY,MONOCYTE PATHWAY,LYMPHOCYTE PATHWAY,LYM PATHWAY,IL6 PATHWAY,STAT3 PATHWAY,IL22BP PATHWAY,IL4 PATHWAY,INTEGRIN PATHWAY,TFF PATHWAY,IGF1R PATHWAY,GLEEVEC PATHWAY,TPO PATHWAY,EGF PATHWAY,IGF1 PATHWAY,FCER1 PATHWAY,BCR PATHWAY,IL3 PATHWAY,EPO PATHWAY,IL2 PATHWAY,MTOR PATHWAY,FOSB PATHWAY,NDKDYNAMIN PATHWAY,CACAM PATHWAY
AKT PATHWAY,0.045454545454545456,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.22727272727272727,0.2727272727272727,0.22727272727272727,0.22727272727272727,1.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.36363636363636365,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0
PCAF PATHWAY,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,1.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0
RANKL PATHWAY,0.0,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
TGFB PATHWAY,0.05263157894736842,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.3684210526315789,0.10526315789473684,0.3684210526315789,0.2631578947368421,0.0,0.05263157894736842,0.0,1.0,0.42105263157894735,0.2631578947368421,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0
ALK PATHWAY,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.16216216216216217,0.02702702702702703,0.10810810810810811,0.10810810810810811,0.0,0.02702702702702703,0.0,0.21621621621621623,1.0,0.2702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT PATHWAY,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.20833333333333334,0.4166666666666667,1.0,0.125,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0
CARM ER PATHWAY,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.11538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONOCYTE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYMPHOCYTE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYM PATHWAY,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6 PATHWAY,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.23809523809523808,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.6190476190476191,0.0,0.0,0.0,0.0
STAT3 PATHWAY,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,0.625,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.125,0.25,0.125,0.25,0.25,0.375,0.125,0.0,0.0,0.0
IL22BP PATHWAY,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,1.0,0.2222222222222222,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0
IL4 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.0,0.0,0.0
INTEGRIN PATHWAY,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.058823529411764705,0.0,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.058823529411764705,0.0,0.058823529411764705,1.0,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.2647058823529412,0.2647058823529412,0.29411764705882354,0.2647058823529412,0.20588235294117646,0.2647058823529412,0.2647058823529412,0.0,0.0,0.0,0.0
TFF PATHWAY,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.0,0.125,0.3333333333333333,1.0,0.4166666666666667,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.125,0.0,0.0,0.0
IGF1R PATHWAY,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.08695652173913043,0.0,0.17391304347826086,0.34782608695652173,0.43478260869565216,1.0,0.43478260869565216,0.391304347826087,0.391304347826087,0.4782608695652174,0.43478260869565216,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.13043478260869565,0.0,0.0,0.0
GLEEVEC PATHWAY,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.5217391304347826,0.21739130434782608,0.0,0.13043478260869565,0.21739130434782608,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.391304347826087,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.43478260869565216,0.391304347826087,0.43478260869565216,1.0,0.6521739130434783,0.6521739130434783,0.5217391304347826,0.6086956521739131,0.43478260869565216,0.43478260869565216,0.5217391304347826,0.4782608695652174,0.13043478260869565,0.0,0.0,0.0
TPO PATHWAY,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.375,0.08333333333333333,0.0,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.5,0.125,0.20833333333333334,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.625,1.0,0.7916666666666666,0.5833333333333334,0.5833333333333334,0.5,0.4583333333333333,0.5833333333333334,0.5,0.08333333333333333,0.0,0.0,0.0
EGF PATHWAY,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.48148148148148145,0.2222222222222222,0.0,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.5185185185185185,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.5555555555555556,0.7037037037037037,1.0,0.5925925925925926,0.6296296296296297,0.5555555555555556,0.3333333333333333,0.5185185185185185,0.5185185185185185,0.07407407407407407,0.0,0.0,0.0
IGF1 PATHWAY,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.19047619047619047,0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.6190476190476191,0.047619047619047616,0.0,0.14285714285714285,0.42857142857142855,0.38095238095238093,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.7619047619047619,1.0,0.6666666666666666,0.5238095238095238,0.38095238095238093,0.5714285714285714,0.5714285714285714,0.09523809523809523,0.0,0.0,0.0
FCER1 PATHWAY,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.38461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.2564102564102564,0.05128205128205128,0.0,0.05128205128205128,0.2564102564102564,0.23076923076923078,0.2564102564102564,0.358974358974359,0.358974358974359,0.4358974358974359,0.358974358974359,1.0,0.717948717948718,0.20512820512820512,0.3076923076923077,0.3076923076923077,0.05128205128205128,0.0,0.15384615384615385,0.07692307692307693
BCR PATHWAY,0.030303030303030304,0.0,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.3939393939393939,0.18181818181818182,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.030303030303030304,0.0,0.06060606060606061,0.2727272727272727,0.15151515151515152,0.21212121212121213,0.30303030303030304,0.36363636363636365,0.45454545454545453,0.3333333333333333,0.8484848484848485,1.0,0.24242424242424243,0.36363636363636365,0.36363636363636365,0.0,0.0,0.18181818181818182,0.09090909090909091
IL3 PATHWAY,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.4666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.13333333333333333,0.2,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.6666666666666666,0.7333333333333333,0.6,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0
EPO PATHWAY,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.5263157894736842,0.21052631578947367,0.0,0.10526315789473684,0.0,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.631578947368421,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.47368421052631576,0.2631578947368421,0.3684210526315789,0.631578947368421,0.7368421052631579,0.7368421052631579,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,1.0,0.7368421052631579,0.0,0.0,0.0,0.0
IL2 PATHWAY,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.18181818181818182,0.0,0.09090909090909091,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.5909090909090909,0.13636363636363635,0.18181818181818182,0.22727272727272727,0.4090909090909091,0.22727272727272727,0.3181818181818182,0.5,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.6363636363636364,1.0,0.0,0.0,0.0,0.0
MTOR PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FOSB PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NDKDYNAMIN PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,1.0,0.17647058823529413
CACAM PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0
