Pathway,RELA DN.V1 DN,NOTCH DN.V1 DN,CYCLIN D1 UP.V1 UP,RAPA EARLY UP.V1 DN,JAK2 DN.V1 UP,PRC2 EED DN.V1 DN,PRC1 BMI UP.V1 DN,PTEN DN.V2 DN,ATF2 UP.V1 UP,RB P130 DN.V1 UP,CSR LATE UP.V1 UP,SIRNA EIF4GI DN,RAF UP.V1 UP,ERBB2 UP.V1 UP,PGF UP.V1 UP,VEGF A UP.V1 DN,ERBB2 UP.V1 DN,TBK1.DF DN,RAPA EARLY UP.V1 UP,PDGF ERK DN.V1 DN,KRAS.600 UP.V1 DN,KRAS.BREAST UP.V1 DN,JNK DN.V1 DN,PGF UP.V1 DN,VEGF A UP.V1 UP,SRC UP.V1 UP,BCAT BILD ET AL UP,ESC V6.5 UP LATE.V1 DN,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,CRX DN.V1 DN,SINGH KRAS DEPENDENCY SIGNATURE,RELA DN.V1 UP,PDGF UP.V1 UP,P53 DN.V2 UP,HINATA NFKB IMMU INF,IL21 UP.V1 UP,IL15 UP.V1 UP,IL2 UP.V1 UP,RB P130 DN.V1 DN
KRAS.BREAST UP.V1 DN,0.03496503496503497,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.027972027972027972,0.006993006993006993,0.04895104895104895,0.013986013986013986,0.02097902097902098,0.006993006993006993,0.0,0.006993006993006993,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.0,0.0,0.006993006993006993,0.02097902097902098,0.006993006993006993,0.3706293706293706,1.0,0.055944055944055944,0.03496503496503497,0.03496503496503497,0.02097902097902098,0.013986013986013986,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.0,0.013986013986013986,0.006993006993006993,0.02097902097902098,0.0,0.027972027972027972,0.006993006993006993,0.006993006993006993,0.006993006993006993
JNK DN.V1 DN,0.02631578947368421,0.0,0.031578947368421054,0.031578947368421054,0.015789473684210527,0.04736842105263158,0.03684210526315789,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.02631578947368421,0.005263157894736842,0.005263157894736842,0.021052631578947368,0.031578947368421054,0.05263157894736842,0.015789473684210527,0.015789473684210527,0.031578947368421054,0.02631578947368421,0.031578947368421054,0.042105263157894736,1.0,0.06315789473684211,0.05263157894736842,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.0,0.02631578947368421,0.005263157894736842,0.0,0.0,0.015789473684210527,0.04736842105263158,0.031578947368421054,0.0
PGF UP.V1 DN,0.005235602094240838,0.020942408376963352,0.031413612565445025,0.02617801047120419,0.04712041884816754,0.005235602094240838,0.02617801047120419,0.02617801047120419,0.015706806282722512,0.005235602094240838,0.0,0.005235602094240838,0.005235602094240838,0.041884816753926704,0.0,0.0,0.0,0.0,0.05235602094240838,0.015706806282722512,0.05235602094240838,0.02617801047120419,0.06282722513089005,1.0,0.14659685863874344,0.010471204188481676,0.005235602094240838,0.010471204188481676,0.015706806282722512,0.015706806282722512,0.015706806282722512,0.0,0.031413612565445025,0.010471204188481676,0.041884816753926704,0.0,0.02617801047120419,0.02617801047120419,0.020942408376963352,0.0
VEGF A UP.V1 UP,0.020512820512820513,0.015384615384615385,0.046153846153846156,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.005128205128205128,0.0,0.005128205128205128,0.010256410256410256,0.035897435897435895,0.0,0.0,0.010256410256410256,0.005128205128205128,0.02564102564102564,0.010256410256410256,0.041025641025641026,0.02564102564102564,0.05128205128205128,0.14358974358974358,1.0,0.005128205128205128,0.010256410256410256,0.015384615384615385,0.005128205128205128,0.02564102564102564,0.010256410256410256,0.0,0.02564102564102564,0.03076923076923077,0.041025641025641026,0.005128205128205128,0.041025641025641026,0.035897435897435895,0.010256410256410256,0.0
SRC UP.V1 UP,0.0056179775280898875,0.0056179775280898875,0.02247191011235955,0.0,0.016853932584269662,0.02247191011235955,0.06179775280898876,0.011235955056179775,0.03932584269662921,0.0056179775280898875,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.016853932584269662,0.028089887640449437,0.016853932584269662,0.011235955056179775,0.011235955056179775,0.0056179775280898875,1.0,0.02247191011235955,0.016853932584269662,0.0056179775280898875,0.0,0.0056179775280898875,0.0,0.011235955056179775,0.0056179775280898875,0.011235955056179775,0.0,0.016853932584269662,0.033707865168539325,0.02247191011235955,0.0
BCAT BILD ET AL UP,0.0,0.0,0.044444444444444446,0.0,0.0,0.06666666666666667,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.08888888888888889,1.0,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.044444444444444446,0.0,0.0,0.0
ESC V6.5 UP LATE.V1 DN,0.00558659217877095,0.027932960893854747,0.0335195530726257,0.00558659217877095,0.01675977653631285,0.0335195530726257,0.0,0.01675977653631285,0.0111731843575419,0.0111731843575419,0.0223463687150838,0.0,0.0223463687150838,0.01675977653631285,0.00558659217877095,0.0223463687150838,0.0223463687150838,0.01675977653631285,0.00558659217877095,0.01675977653631285,0.01675977653631285,0.0111731843575419,0.00558659217877095,0.0111731843575419,0.01675977653631285,0.01675977653631285,0.00558659217877095,1.0,0.2346368715083799,0.22346368715083798,0.0446927374301676,0.0111731843575419,0.027932960893854747,0.01675977653631285,0.0111731843575419,0.00558659217877095,0.01675977653631285,0.03910614525139665,0.03910614525139665,0.00558659217877095
ESC V6.5 UP EARLY.V1 DN,0.012345679012345678,0.037037037037037035,0.037037037037037035,0.024691358024691357,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.012345679012345678,0.024691358024691357,0.012345679012345678,0.030864197530864196,0.006172839506172839,0.037037037037037035,0.030864197530864196,0.0,0.012345679012345678,0.030864197530864196,0.018518518518518517,0.012345679012345678,0.018518518518518517,0.012345679012345678,0.006172839506172839,0.012345679012345678,0.018518518518518517,0.006172839506172839,0.006172839506172839,0.012345679012345678,0.25925925925925924,1.0,0.18518518518518517,0.08641975308641975,0.006172839506172839,0.043209876543209874,0.012345679012345678,0.006172839506172839,0.0,0.006172839506172839,0.037037037037037035,0.043209876543209874,0.037037037037037035
ESC J1 UP EARLY.V1 DN,0.011627906976744186,0.01744186046511628,0.05232558139534884,0.011627906976744186,0.01744186046511628,0.023255813953488372,0.0,0.01744186046511628,0.011627906976744186,0.005813953488372093,0.01744186046511628,0.0,0.011627906976744186,0.023255813953488372,0.005813953488372093,0.023255813953488372,0.029069767441860465,0.029069767441860465,0.0,0.040697674418604654,0.046511627906976744,0.005813953488372093,0.005813953488372093,0.01744186046511628,0.029069767441860465,0.0,0.01744186046511628,0.23255813953488372,0.1744186046511628,1.0,0.05232558139534884,0.011627906976744186,0.046511627906976744,0.023255813953488372,0.01744186046511628,0.0,0.01744186046511628,0.05232558139534884,0.040697674418604654,0.01744186046511628
CRX DN.V1 DN,0.007575757575757576,0.022727272727272728,0.03787878787878788,0.007575757575757576,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.030303030303030304,0.022727272727272728,0.007575757575757576,0.022727272727272728,0.007575757575757576,0.007575757575757576,0.015151515151515152,0.03787878787878788,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.0,0.06060606060606061,0.10606060606060606,0.06818181818181818,1.0,0.007575757575757576,0.03787878787878788,0.03787878787878788,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.045454545454545456,0.05303030303030303,0.007575757575757576
SINGH KRAS DEPENDENCY SIGNATURE,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.05,1.0,0.1,0.05,0.0,0.0,0.05,0.0,0.0,0.0
RELA DN.V1 UP,0.0,0.020134228187919462,0.040268456375838924,0.006711409395973154,0.013422818791946308,0.006711409395973154,0.03355704697986577,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.020134228187919462,0.006711409395973154,0.0,0.026845637583892617,0.020134228187919462,0.040268456375838924,0.040268456375838924,0.020134228187919462,0.013422818791946308,0.03355704697986577,0.040268456375838924,0.03355704697986577,0.013422818791946308,0.0,0.03355704697986577,0.04697986577181208,0.053691275167785234,0.03355704697986577,0.013422818791946308,1.0,0.04697986577181208,0.03355704697986577,0.006711409395973154,0.026845637583892617,0.06040268456375839,0.0738255033557047,0.013422818791946308
PDGF UP.V1 UP,0.0,0.00684931506849315,0.03424657534246575,0.00684931506849315,0.0,0.00684931506849315,0.00684931506849315,0.0,0.0273972602739726,0.0,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.02054794520547945,0.0273972602739726,0.0410958904109589,0.03424657534246575,0.0273972602739726,0.0136986301369863,0.02054794520547945,0.0136986301369863,0.00684931506849315,0.00684931506849315,0.0136986301369863,0.0410958904109589,0.00684931506849315,0.00684931506849315,0.02054794520547945,0.0136986301369863,0.0273972602739726,0.03424657534246575,0.00684931506849315,0.04794520547945205,1.0,0.0273972602739726,0.0,0.02054794520547945,0.0821917808219178,0.0547945205479452,0.0136986301369863
P53 DN.V2 UP,0.02702702702702703,0.006756756756756757,0.02027027027027027,0.02027027027027027,0.013513513513513514,0.033783783783783786,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.006756756756756757,0.02702702702702703,0.006756756756756757,0.013513513513513514,0.033783783783783786,0.0,0.0,0.0,0.02027027027027027,0.02702702702702703,0.006756756756756757,0.060810810810810814,0.02027027027027027,0.0,0.05405405405405406,0.05405405405405406,0.013513513513513514,0.0,0.013513513513513514,0.006756756756756757,0.02027027027027027,0.006756756756756757,0.0,0.033783783783783786,0.02702702702702703,1.0,0.04054054054054054,0.033783783783783786,0.02702702702702703,0.033783783783783786,0.006756756756756757
HINATA NFKB IMMU INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.4,1.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
IL21 UP.V1 UP,0.021505376344086023,0.03763440860215054,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.026881720430107527,0.03225806451612903,0.010752688172043012,0.021505376344086023,0.005376344086021506,0.005376344086021506,0.0,0.016129032258064516,0.03763440860215054,0.010752688172043012,0.016129032258064516,0.0,0.010752688172043012,0.016129032258064516,0.0,0.021505376344086023,0.021505376344086023,0.016129032258064516,0.026881720430107527,0.043010752688172046,0.016129032258064516,0.010752688172043012,0.016129032258064516,0.005376344086021506,0.016129032258064516,0.005376344086021506,0.005376344086021506,0.021505376344086023,0.016129032258064516,0.026881720430107527,0.005376344086021506,1.0,0.1881720430107527,0.21505376344086022,0.016129032258064516
IL15 UP.V1 UP,0.005291005291005291,0.015873015873015872,0.021164021164021163,0.026455026455026454,0.037037037037037035,0.015873015873015872,0.010582010582010581,0.015873015873015872,0.010582010582010581,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.047619047619047616,0.021164021164021163,0.010582010582010581,0.037037037037037035,0.015873015873015872,0.015873015873015872,0.010582010582010581,0.05291005291005291,0.047619047619047616,0.005291005291005291,0.047619047619047616,0.026455026455026454,0.037037037037037035,0.031746031746031744,0.0,0.037037037037037035,0.031746031746031744,0.047619047619047616,0.031746031746031744,0.0,0.047619047619047616,0.06349206349206349,0.021164021164021163,0.0,0.18518518518518517,1.0,0.5714285714285714,0.031746031746031744
