Pathway,NKT PATHWAY,TOB1 PATHWAY,TH1TH2 PATHWAY,ASBCELL PATHWAY,IL5 PATHWAY,EOSINOPHILS PATHWAY,CTLA4 PATHWAY,TCRA PATHWAY,BLYMPHOCYTE PATHWAY,MHC PATHWAY,IL17 PATHWAY,INFLAM PATHWAY,STEM PATHWAY,DC PATHWAY,CYTOKINE PATHWAY,IL10 PATHWAY,NKCELLS PATHWAY,TRKA PATHWAY,IL2RB PATHWAY,IL12 PATHWAY,NO2IL12 PATHWAY,CTL PATHWAY,TCAPOPTOSIS PATHWAY,TCYTOTOXIC PATHWAY,THELPER PATHWAY,STATHMIN PATHWAY,NUCLEARRS PATHWAY,MRP PATHWAY,ATM PATHWAY,ATRBRCA PATHWAY,G2 PATHWAY,PLK3 PATHWAY,TSP1 PATHWAY,CASPASE PATHWAY,D4GDI PATHWAY,PPARA PATHWAY,FXR PATHWAY,DSP PATHWAY,RANKL PATHWAY,SRCRPTP PATHWAY
CYTOKINE PATHWAY,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.21052631578947367,0.7368421052631579,0.3684210526315789,0.42105263157894735,1.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0
IL10 PATHWAY,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.3076923076923077,1.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
NKCELLS PATHWAY,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.1,0.25,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.0,0.0
TRKA PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.21428571428571427
IL2RB PATHWAY,0.0,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.13513513513513514,0.1891891891891892,1.0,0.0,0.0,0.05405405405405406,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.21621621621621623,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703
IL12 PATHWAY,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.0,0.0,0.0,0.21052631578947367,0.21052631578947367,0.0,0.0,0.21052631578947367,0.05263157894736842,0.0,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,1.0,0.631578947368421,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.0
NO2IL12 PATHWAY,0.4,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.3333333333333333,0.0,0.0,0.4,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.8,1.0,0.26666666666666666,0.4,0.3333333333333333,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
CTL PATHWAY,0.0,0.3076923076923077,0.0,0.15384615384615385,0.0,0.0,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.3076923076923077,0.3076923076923077,1.0,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
TCAPOPTOSIS PATHWAY,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.6666666666666666,1.0,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCYTOTOXIC PATHWAY,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.0,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.0,0.5,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.9166666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THELPER PATHWAY,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.4166666666666667,0.5,0.3333333333333333,0.0,0.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5833333333333334,0.5,0.9166666666666666,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATHMIN PATHWAY,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.2,0.2,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1
NUCLEARRS PATHWAY,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.11764705882352941,0.0,0.0,0.0
MRP PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATM PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,0.4,0.2,0.05,0.0,0.05,0.15,0.0,0.05,0.15,0.0
ATRBRCA PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,1.0,0.2727272727272727,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.25,1.0,0.2916666666666667,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.20833333333333334
PLK3 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
TSP1 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
CASPASE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,1.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
D4GDI PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,1.0,0.08333333333333333,0.0,0.0,0.0,0.0
PPARA PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.019230769230769232,0.038461538461538464,0.057692307692307696,0.07692307692307693,0.15384615384615385,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.11538461538461539,0.057692307692307696,0.0,0.057692307692307696,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,1.0,0.057692307692307696,0.038461538461538464,0.019230769230769232,0.038461538461538464
FXR PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.0,0.0
DSP PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,1.0,0.1111111111111111,0.0
RANKL PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
SRCRPTP PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,1.0
