"TF","DLD1","HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"KLF5","4.94405759019489999","-0.721326517252965038","2.11136553647096736","2.83269205372393262","Activated","26","viper","26","2.83269205372393262",NA,NA,"5","Enrichr--Queries(rank=8); Literature--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=32); GTEx--Coexpression(rank=130); ReMap--ChIP-seq(rank=218)","23","0.00569800000000000","Enrichr Queries,0.005698"
"NEUROD1","3.74492329462422635","1.785660089981590426","2.76529169230290828","2.76529169230290828","Activated","27","viper","27","2.76529169230290828",NA,NA,"4","ReMap--ChIP-seq(rank=57); GTEx--Coexpression(rank=977); ARCHS4--Coexpression(rank=984); Enrichr--Queries(rank=1268)","667","0.19189999999999999","ReMap ChIP-seq,0.1919"
"TEAD1","3.61061148602807114","1.760668164825927917","2.68563982542699975","2.68563982542699975","Activated","28","viper","28","2.68563982542699975",NA,NA,"4","ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=256); GTEx--Coexpression(rank=415); Enrichr--Queries(rank=931)","557","0.15720000000000001","ARCHS4 Coexpression,0.1572"
"IRF3","2.76173009759628618","-2.584259778268803043","0.08873515966374157","2.67299493793254461","Activated","29","viper","29","2.67299493793254461",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=708); Enrichr--Queries(rank=810); GTEx--Coexpression(rank=1546)","1219","0.43490000000000001","ARCHS4 Coexpression,0.4349"
"SNAPC4","-1.46799961831939840","-3.821282092932502206","-2.64464085562595042","2.64464085562595042","Repressed","30","viper","30","2.64464085562595042",NA,NA,"4","ReMap--ChIP-seq(rank=280); GTEx--Coexpression(rank=1008); ARCHS4--Coexpression(rank=1287); Enrichr--Queries(rank=1359)","1468","0.62729999999999997","GTEx Coexpression,0.6273"
"NFKB1","1.07213145676141508","4.214355302981851459","2.64324337987163327","2.64324337987163327","Activated","31","viper","31","2.64324337987163327",NA,NA,"4","ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=818); GTEx--Coexpression(rank=1119)","234","0.06143000000000000","ARCHS4 Coexpression,0.06143"
"FOSL1",NA,"2.578728010166063456","2.57872801016606346","2.57872801016606346","Activated","32","viper","32","2.57872801016606346",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=62); GTEx--Coexpression(rank=223)","56","0.01347000000000000","ReMap ChIP-seq,0.01347"
"ETV4","1.40505100827174090","3.724344957546380730","2.56469798290906059","2.56469798290906059","Activated","33","viper","33","2.56469798290906059",NA,NA,"4","Enrichr--Queries(rank=16); GTEx--Coexpression(rank=95); ReMap--ChIP-seq(rank=139); ARCHS4--Coexpression(rank=777)","49","0.01140000000000000","Enrichr Queries,0.0114"
"HIF1A","2.70918050759820472","2.382768585626033886","2.54597454661211930","2.54597454661211930","Activated","34","viper","34","2.54597454661211930",NA,NA,"5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=283); Enrichr--Queries(rank=796); GTEx--Coexpression(rank=1522)","563","0.15850000000000000","Literature ChIP-seq,0.1585"
"PBX3","4.03127299976483311","-1.051286903123621164","1.48999304832060586","2.54127995144422725","Activated","35","viper","35","2.54127995144422725",NA,NA,"5","ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=671); Enrichr--Queries(rank=753); ARCHS4--Coexpression(rank=1102)","1182","0.41749999999999998","GTEx Coexpression,0.4175"
"JUN","1.62917822369168164","3.451864185640127314","2.54052120466590470","2.54052120466590470","Activated","36","viper","36","2.54052120466590470",NA,NA,"6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=38)","4","0.00124500000000000","GTEx Coexpression,0.001245"
"MAZ","1.63051633030538201","-3.411337092621974154","-0.89041038115829607","2.52092671146367797","Repressed","37","viper","37","2.52092671146367797",NA,NA,"5","ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=151); GTEx--Coexpression(rank=237); ARCHS4--Coexpression(rank=1179); Enrichr--Queries(rank=1271)","525","0.14749999999999999","GTEx Coexpression,0.1475"
"RELA","1.24731340464919405","3.791390201820280748","2.51935180323473729","2.51935180323473729","Activated","38","viper","38","2.51935180323473729",NA,NA,"6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=664); GTEx--Coexpression(rank=1134); ARCHS4--Coexpression(rank=1295)","52","0.01220000000000000","Literature ChIP-seq,0.0122"
"WT1","1.62032597465482664","3.354981633814162478","2.48765380423449445","2.48765380423449445","Activated","39","viper","39","2.48765380423449445",NA,NA,"4","Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=92); Enrichr--Queries(rank=264); ARCHS4--Coexpression(rank=720)","73","0.01829000000000000","Literature ChIP-seq,0.01829"
"RELB","2.19578300471818411","2.661002567306789857","2.42839278601248676","2.42839278601248676","Activated","40","viper","40","2.42839278601248676",NA,NA,"4","Enrichr--Queries(rank=27); ARCHS4--Coexpression(rank=39); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=896)","76","0.01923000000000000","Enrichr Queries,0.01923"
"LEF1","-3.88113704122071601","-0.945501079766534414","-2.41331906049362521","2.41331906049362521","Repressed","41","viper","41","2.41331906049362521",NA,NA,"4","ARCHS4--Coexpression(rank=66); ReMap--ChIP-seq(rank=286); Enrichr--Queries(rank=307); GTEx--Coexpression(rank=380)","159","0.04054000000000000","ARCHS4 Coexpression,0.04054"
"ELF1","2.48714301265684901","2.270814987590156875","2.37897900012350316","2.37897900012350316","Activated","42","viper","42","2.37897900012350316",NA,NA,"5","ENCODE--ChIP-seq(rank=103); Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=839); GTEx--Coexpression(rank=1034)","1342","0.51539999999999997","ARCHS4 Coexpression,0.5154"
"CLOCK","3.10139164604865325","1.651995414660614170","2.37669353035463349","2.37669353035463349","Activated","43","viper","43","2.37669353035463349",NA,NA,"5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=600); Enrichr--Queries(rank=1253); GTEx--Coexpression(rank=1523)","1055","0.35370000000000001","Literature ChIP-seq,0.3537"
"REL","1.83386415372079448","2.899556700774973628","2.36671042724788405","2.36671042724788405","Activated","44","viper","44","2.36671042724788405",NA,NA,"3","Enrichr--Queries(rank=385); GTEx--Coexpression(rank=933); ARCHS4--Coexpression(rank=1472)","871","0.27420000000000000","Enrichr Queries,0.2742"
"MYCN","-4.25169913215898543","0.467515773535302159","-1.89209167931184163","2.35960745284714379","Repressed","45","viper","45","2.35960745284714379",NA,NA,"5","Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=324); GTEx--Coexpression(rank=713); ARCHS4--Coexpression(rank=1277)","767","0.23080000000000001","Enrichr Queries,0.2308"
"NFATC1","2.58263515967603174","2.123155490890110908","2.35289532528307133","2.35289532528307133","Activated","46","viper","46","2.35289532528307133",NA,NA,"5","ENCODE--ChIP-seq(rank=95); GTEx--Coexpression(rank=252); ReMap--ChIP-seq(rank=273); Enrichr--Queries(rank=343); ARCHS4--Coexpression(rank=446)","556","0.15679999999999999","GTEx Coexpression,0.1568"
"SIX5","1.43320376453322340","-3.247139464344354742","-0.90696784990556567","2.34017161443878896","Repressed","47","viper","47","2.34017161443878896",NA,NA,"5","ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=250); Enrichr--Queries(rank=257); ARCHS4--Coexpression(rank=926); GTEx--Coexpression(rank=1478)","641","0.18300000000000000","Enrichr Queries,0.183"
"ESR1","2.74697651144673927","1.907512322220784151","2.32724441683376160","2.32724441683376160","Activated","48","viper","48","2.32724441683376160",NA,NA,"6","Literature--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=190); Enrichr--Queries(rank=345); ARCHS4--Coexpression(rank=653)","98","0.02439000000000000","Literature ChIP-seq,0.02439"
"TFAP4","4.54345748374447833","0.012697120319263884","2.27807730203187120","2.27807730203187120","Activated","49","viper","49","2.27807730203187120",NA,NA,"4","ReMap--ChIP-seq(rank=222); Enrichr--Queries(rank=840); GTEx--Coexpression(rank=1018); ARCHS4--Coexpression(rank=1365)","1437","0.59830000000000017","Enrichr Queries,0.5983"
"STAT3","1.14211210120723816","3.409344999119916064","2.27572855016357689","2.27572855016357689","Activated","50","viper","50","2.27572855016357689",NA,NA,"6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=44); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=755); GTEx--Coexpression(rank=1117)","109","0.02703000000000000","ARCHS4 Coexpression,0.02703"
"STAT5B","1.52738396603196036","2.901933350067649631","2.21465865804980488","2.21465865804980488","Activated","51","viper","51","2.21465865804980488",NA,NA,"4","ReMap--ChIP-seq(rank=26); GTEx--Coexpression(rank=145); Enrichr--Queries(rank=681); ARCHS4--Coexpression(rank=743)","327","0.08754000000000001","ReMap ChIP-seq,0.08754"
"MAFG","3.36451796125361868","-1.059928133101713410","1.15229491407595264","2.21222304717766605","Activated","52","viper","52","2.21222304717766605",NA,NA,"4","Enrichr--Queries(rank=42); GTEx--Coexpression(rank=94); ReMap--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=447)","120","0.02991000000000000","Enrichr Queries,0.02991"
"HNF4G","3.39335201558553345","-1.018724264295553184","1.18731387564499014","2.20603813994054310","Activated","53","viper","53","2.20603813994054310",NA,NA,"5","ReMap--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=183); GTEx--Coexpression(rank=407); Enrichr--Queries(rank=786)","418","0.11240000000000000","ARCHS4 Coexpression,0.1124"
"STAT5A","1.71532910585733145","2.651798466570373325","2.18356378621385261","2.18356378621385261","Activated","54","viper","54","2.18356378621385261",NA,NA,"6","ReMap--ChIP-seq(rank=81); ENCODE--ChIP-seq(rank=83); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=146); ARCHS4--Coexpression(rank=199); Enrichr--Queries(rank=207)","336","0.09085000000000000","GTEx Coexpression,0.09085"
"E2F3","-3.63900859024534284","0.725023802001434903","-1.45699239412195403","2.18201619612338904","Repressed","55","viper","55","2.18201619612338904",NA,NA,"3","GTEx--Coexpression(rank=452); ARCHS4--Coexpression(rank=814); Enrichr--Queries(rank=929)","887","0.28129999999999999","GTEx Coexpression,0.2813"
