"TF","HMVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"IRF3","3.575066045216745092","3.575066045216745092","3.575066045216745092","Activated","15","viper","15","3.575066045216745092",NA,NA,"5","ENCODE--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=73); ReMap--ChIP-seq(rank=191); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=1047)","190","0.04484000000000000","ARCHS4 Coexpression,0.04484"
"KLF1","3.479423958121090177","3.479423958121090177","3.479423958121090177","Activated","16","viper","16","3.479423958121090177",NA,NA,"5","ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=243); ARCHS4--Coexpression(rank=521); GTEx--Coexpression(rank=1409)","565","0.14810000000000001","ReMap ChIP-seq,0.1481"
"NR2F1","3.444203618220296192","3.444203618220296192","3.444203618220296192","Activated","17","viper","17","3.444203618220296192",NA,NA,"4","ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=126); GTEx--Coexpression(rank=946); ARCHS4--Coexpression(rank=1057)","56","0.01347000000000000","ReMap ChIP-seq,0.01347"
"ZFX","-3.341044680591964688","-3.341044680591964688","3.341044680591964688","Repressed","18","viper","18","3.341044680591964688",NA,NA,"5","Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=201); GTEx--Coexpression(rank=1276); Enrichr--Queries(rank=1398); ARCHS4--Coexpression(rank=1570)","1505","0.67679999999999985","ReMap ChIP-seq,0.6768"
"MAZ","3.221132492774085421","3.221132492774085421","3.221132492774085421","Activated","19","viper","19","3.221132492774085421",NA,NA,"5","ReMap--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=49); GTEx--Coexpression(rank=981); Enrichr--Queries(rank=1311); ARCHS4--Coexpression(rank=1617)","116","0.02694000000000000","ReMap ChIP-seq,0.02694"
"SIX5","3.201372957767967264","3.201372957767967264","3.201372957767967264","Activated","20","viper","20","3.201372957767967264",NA,NA,"5","ReMap--ChIP-seq(rank=74); ENCODE--ChIP-seq(rank=108); Enrichr--Queries(rank=213); GTEx--Coexpression(rank=458); ARCHS4--Coexpression(rank=863)","577","0.15170000000000000","Enrichr Queries,0.1517"
"E2F3","-3.188771850063338853","-3.188771850063338853","3.188771850063338853","Repressed","21","viper","21","3.188771850063338853",NA,NA,"3","Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=708); GTEx--Coexpression(rank=1387)","470","0.11820000000000000","Enrichr Queries,0.1182"
"TEAD2","3.170913727639052659","3.170913727639052659","3.170913727639052659","Activated","22","viper","22","3.170913727639052659",NA,NA,"4","Enrichr--Queries(rank=59); ReMap--ChIP-seq(rank=259); GTEx--Coexpression(rank=425); ARCHS4--Coexpression(rank=846)","177","0.04202000000000000","Enrichr Queries,0.04202"
"MBD2","3.142192848497511015","3.142192848497511015","3.142192848497511015","Activated","23","viper","23","3.142192848497511015",NA,NA,"4","ReMap--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=569); GTEx--Coexpression(rank=977); Enrichr--Queries(rank=1049)","445","0.11110000000000000","ReMap ChIP-seq,0.1111"
"RFX2","3.088323264953711789","3.088323264953711789","3.088323264953711789","Activated","24","viper","24","3.088323264953711789",NA,NA,"4","ARCHS4--Coexpression(rank=1); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=290); GTEx--Coexpression(rank=552)","1","0.00061430000000000","ARCHS4 Coexpression,6.143E-4"
"RFX5","3.014136422538042037","3.014136422538042037","3.014136422538042037","Activated","25","viper","25","3.014136422538042037",NA,NA,"5","ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=189); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=383); ARCHS4--Coexpression(rank=1129)","467","0.11760000000000000","GTEx Coexpression,0.1176"
"KLF9","3.003005523218831296","3.003005523218831296","3.003005523218831296","Activated","26","viper","26","3.003005523218831296",NA,NA,"4","ReMap--ChIP-seq(rank=23); ARCHS4--Coexpression(rank=193); Enrichr--Queries(rank=442); GTEx--Coexpression(rank=1160)","323","0.07743999999999999","ReMap ChIP-seq,0.07744"
"TFAP4","2.994336427721970839","2.994336427721970839","2.994336427721970839","Activated","27","viper","27","2.994336427721970839",NA,NA,"4","ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=391); Enrichr--Queries(rank=555); GTEx--Coexpression(rank=1266)","100","0.02357000000000000","ReMap ChIP-seq,0.02357"
"SMAD3","2.915929204646750872","2.915929204646750872","2.915929204646750872","Activated","28","viper","28","2.915929204646750872",NA,NA,"5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=286); Enrichr--Queries(rank=428); GTEx--Coexpression(rank=712)","650","0.17570000000000000","ARCHS4 Coexpression,0.1757"
"ATF6","-2.897088784847903220","-2.897088784847903220","2.897088784847903220","Repressed","29","viper","29","2.897088784847903220",NA,NA,"3","Enrichr--Queries(rank=665); ARCHS4--Coexpression(rank=834); GTEx--Coexpression(rank=1119)","1279","0.47360000000000002","Enrichr Queries,0.4736"
"ASCL1","2.892036707867400303","2.892036707867400303","2.892036707867400303","Activated","30","viper","30","2.892036707867400303",NA,NA,"4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=310); Enrichr--Queries(rank=767); ARCHS4--Coexpression(rank=857)","15","0.00336700000000000","ReMap ChIP-seq,0.003367"
"ZBTB33","-2.857030597436689412","-2.857030597436689412","2.857030597436689412","Repressed","31","viper","31","2.857030597436689412",NA,NA,"5","ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=1100); Enrichr--Queries(rank=1319); ARCHS4--Coexpression(rank=1428)","1228","0.44109999999999999","ReMap ChIP-seq,0.4411"
"NFKB1","2.654843987368421754","2.654843987368421754","2.654843987368421754","Activated","32","viper","32","2.654843987368421754",NA,NA,"4","ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=532); ARCHS4--Coexpression(rank=743); Enrichr--Queries(rank=899)","1033","0.33110000000000001","GTEx Coexpression,0.3311"
"ESRRA","2.643506498524642812","2.643506498524642812","2.643506498524642812","Activated","33","viper","33","2.643506498524642812",NA,NA,"5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=1059); Enrichr--Queries(rank=1077); GTEx--Coexpression(rank=1298)","1236","0.44440000000000002","ReMap ChIP-seq,0.4444"
"BATF","-2.596243864378474875","-2.596243864378474875","2.596243864378474875","Repressed","34","viper","34","2.596243864378474875",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=252); ARCHS4--Coexpression(rank=339); GTEx--Coexpression(rank=430); Enrichr--Queries(rank=468)","746","0.20820000000000000","ARCHS4 Coexpression,0.2082"
"SPI1","2.587830226058012606","2.587830226058012606","2.587830226058012606","Activated","35","viper","35","2.587830226058012606",NA,NA,"6","Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=134); ReMap--ChIP-seq(rank=134); Enrichr--Queries(rank=304); GTEx--Coexpression(rank=722)","341","0.08230999999999999","ARCHS4 Coexpression,0.08231"
"LYL1","2.539465114226409082","2.539465114226409082","2.539465114226409082","Activated","36","viper","36","2.539465114226409082",NA,NA,"5","Enrichr--Queries(rank=114); Literature--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=169); ReMap--ChIP-seq(rank=179); GTEx--Coexpression(rank=870)","338","0.08119999999999999","Enrichr Queries,0.0812"
"STAT2","2.511305172483621728","2.511305172483621728","2.511305172483621728","Activated","37","viper","37","2.511305172483621728",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ARCHS4--Coexpression(rank=29); Enrichr--Queries(rank=198); ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=453)","79","0.01781000000000000","ARCHS4 Coexpression,0.01781"
"REST","-2.441778279381191297","-2.441778279381191297","2.441778279381191297","Repressed","38","viper","38","2.441778279381191297",NA,NA,"6","ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1392)","777","0.22339999999999999","GTEx Coexpression,0.2234"
"TFDP1","-2.431183873944670282","-2.431183873944670282","2.431183873944670282","Repressed","39","viper","39","2.431183873944670282",NA,NA,"4","GTEx--Coexpression(rank=1); Enrichr--Queries(rank=50); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=1087)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"NR1H2","2.399866660355760128","2.399866660355760128","2.399866660355760128","Activated","40","viper","40","2.399866660355760128",NA,NA,"4","ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=151); Enrichr--Queries(rank=744); GTEx--Coexpression(rank=1098)","380","0.09275000000000001","ARCHS4 Coexpression,0.09275"
"ARID3A","2.343272846602852511","2.343272846602852511","2.343272846602852511","Activated","41","viper","41","2.343272846602852511",NA,NA,"5","ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=203); GTEx--Coexpression(rank=433); Enrichr--Queries(rank=543); ARCHS4--Coexpression(rank=988)","899","0.26939999999999997","GTEx Coexpression,0.2694"
"SP3","2.264029920892428382","2.264029920892428382","2.264029920892428382","Activated","42","viper","42","2.264029920892428382",NA,NA,"3","GTEx--Coexpression(rank=1068); Enrichr--Queries(rank=1199); ARCHS4--Coexpression(rank=1309)","1494","0.66459999999999997","GTEx Coexpression,0.6646"
"CREB1","-2.233600992283813813","-2.233600992283813813","2.233600992283813813","Repressed","43","viper","43","2.233600992283813813",NA,NA,"6","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=94); Literature--ChIP-seq(rank=139); Enrichr--Queries(rank=1127); GTEx--Coexpression(rank=1199); ARCHS4--Coexpression(rank=1402)","1002","0.31650000000000000","ReMap ChIP-seq,0.3165"
"KLF3","-2.172867455243590484","-2.172867455243590484","2.172867455243590484","Repressed","44","viper","44","2.172867455243590484",NA,NA,"4","ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=462); GTEx--Coexpression(rank=524); ARCHS4--Coexpression(rank=933)","1020","0.32610000000000000","GTEx Coexpression,0.3261"
"NR2C2","-2.128337932343474126","-2.128337932343474126","2.128337932343474126","Repressed","45","viper","45","2.128337932343474126",NA,NA,"5","ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=1330); ARCHS4--Coexpression(rank=1452); GTEx--Coexpression(rank=1592)","1376","0.55889999999999995","ReMap ChIP-seq,0.5589"
"FOXL2","2.117690505597769945","2.117690505597769945","2.117690505597769945","Activated","46","viper","46","2.117690505597769945",NA,NA,"3","ARCHS4--Coexpression(rank=503); Enrichr--Queries(rank=760); GTEx--Coexpression(rank=1207)","990","0.30900000000000000","ARCHS4 Coexpression,0.309"
"STAT1","2.111689296534078331","2.111689296534078331","2.111689296534078331","Activated","47","viper","47","2.111689296534078331",NA,NA,"6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=77); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=106)","70","0.01618000000000000","GTEx Coexpression,0.01618"
"ESR2","2.098101098100606077","2.098101098100606077","2.098101098100606077","Activated","48","viper","48","2.098101098100606077",NA,NA,"5","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=716); GTEx--Coexpression(rank=790); ARCHS4--Coexpression(rank=891)","581","0.15240000000000001","Literature ChIP-seq,0.1524"
"RARA","2.088555072154844261","2.088555072154844261","2.088555072154844261","Activated","49","viper","49","2.088555072154844261",NA,NA,"5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=178); Enrichr--Queries(rank=624); GTEx--Coexpression(rank=1005)","438","0.10929999999999999","ARCHS4 Coexpression,0.1093"
"MAX","2.077656416040919218","2.077656416040919218","2.077656416040919218","Activated","50","viper","50","2.077656416040919218",NA,NA,"5","ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=46); GTEx--Coexpression(rank=531); ARCHS4--Coexpression(rank=774); Enrichr--Queries(rank=1215)","588","0.15490000000000001","ReMap ChIP-seq,0.1549"
"ERG","2.018152370683903740","2.018152370683903740","2.018152370683903740","Activated","51","viper","51","2.018152370683903740",NA,NA,"5","Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=148); GTEx--Coexpression(rank=551); ARCHS4--Coexpression(rank=659)","423","0.10539999999999999","Enrichr Queries,0.1054"
"NCOA3","-2.017032939053183593","-2.017032939053183593","2.017032939053183593","Repressed","52","viper","52","2.017032939053183593",NA,NA,"4","ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=496); GTEx--Coexpression(rank=598); ARCHS4--Coexpression(rank=1325)","1075","0.35330000000000000","Enrichr Queries,0.3533"
"ZEB1","-2.014394867760522345","-2.014394867760522345","2.014394867760522345","Repressed","53","viper","53","2.014394867760522345",NA,NA,"5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=32); Enrichr--Queries(rank=173); GTEx--Coexpression(rank=295); ARCHS4--Coexpression(rank=526)","145","0.03367000000000000","ReMap ChIP-seq,0.03367"
"TEAD4","1.928790842377626991","1.928790842377626991","1.928790842377626991","Activated","54","viper","54","1.928790842377626991",NA,NA,"6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=113); Literature--ChIP-seq(rank=138); Enrichr--Queries(rank=426); ARCHS4--Coexpression(rank=1099); GTEx--Coexpression(rank=1118)","147","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"HNF4A","1.923564185997795661","1.923564185997795661","1.923564185997795661","Activated","55","viper","55","1.923564185997795661",NA,NA,"6","Literature--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=214); GTEx--Coexpression(rank=421); ARCHS4--Coexpression(rank=425); Enrichr--Queries(rank=874)","881","0.26110000000000000","ARCHS4 Coexpression,0.2611"
"E2F5","-1.917078702894131403","-1.917078702894131403","1.917078702894131403","Repressed","56","viper","56","1.917078702894131403",NA,NA,"4","ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=252); ARCHS4--Coexpression(rank=809); GTEx--Coexpression(rank=1107)","662","0.17949999999999999","Enrichr Queries,0.1795"
"NR1H3","1.867833241368443087","1.867833241368443087","1.867833241368443087","Activated","57","viper","57","1.867833241368443087",NA,NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=177); Enrichr--Queries(rank=241); GTEx--Coexpression(rank=469)","436","0.10870000000000000","ARCHS4 Coexpression,0.1087"
"MNT","-1.863522423918934745","-1.863522423918934745","1.863522423918934745","Repressed","58","viper","58","1.863522423918934745",NA,NA,"4","ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=435); GTEx--Coexpression(rank=715); Enrichr--Queries(rank=1151)","875","0.25929999999999997","ReMap ChIP-seq,0.2593"
"FOXP1","1.857945123932844389","1.857945123932844389","1.857945123932844389","Activated","59","viper","59","1.857945123932844389",NA,NA,"5","Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=474); GTEx--Coexpression(rank=512); Enrichr--Queries(rank=728)","303","0.07317000000000000","Literature ChIP-seq,0.07317"
"ZNF740","1.781459999276347794","1.781459999276347794","1.781459999276347794","Activated","60","viper","60","1.781459999276347794",NA,NA,"4","ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=1137); ARCHS4--Coexpression(rank=1201); GTEx--Coexpression(rank=1210)","1437","0.60940000000000016","ReMap ChIP-seq,0.6094"
"MYCN","-1.765068765145616281","-1.765068765145616281","1.765068765145616281","Repressed","61","viper","61","1.765068765145616281",NA,NA,"5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=38); Enrichr--Queries(rank=406); ARCHS4--Coexpression(rank=751); GTEx--Coexpression(rank=1246)","181","0.04268000000000000","Literature ChIP-seq,0.04268"
"ZKSCAN1","1.748434957186692840","1.748434957186692840","1.748434957186692840","Activated","62","viper","62","1.748434957186692840",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=764); ARCHS4--Coexpression(rank=983); Enrichr--Queries(rank=1217)","1015","0.32319999999999999","ReMap ChIP-seq,0.3232"
"RELA","1.711163851175422135","1.711163851175422135","1.711163851175422135","Activated","63","viper","63","1.711163851175422135",NA,NA,"6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=827); GTEx--Coexpression(rank=1162); ARCHS4--Coexpression(rank=1290)","156","0.03659000000000000","Literature ChIP-seq,0.03659"
"VDR","1.702454830856453105","1.702454830856453105","1.702454830856453105","Activated","64","viper","64","1.702454830856453105",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=294); GTEx--Coexpression(rank=529)","331","0.07926999999999999","Literature ChIP-seq,0.07927"
"BHLHE40","-1.695105720650514902","-1.695105720650514902","1.695105720650514902","Repressed","65","viper","65","1.695105720650514902",NA,NA,"4","ReMap--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=55); GTEx--Coexpression(rank=117); ARCHS4--Coexpression(rank=728)","301","0.07281000000000000","GTEx Coexpression,0.07281"
"REL","1.677464506552057699","1.677464506552057699","1.677464506552057699","Activated","66","viper","66","1.677464506552057699",NA,NA,"3","GTEx--Coexpression(rank=333); ARCHS4--Coexpression(rank=406); Enrichr--Queries(rank=992)","743","0.20720000000000000","GTEx Coexpression,0.2072"
"CREB3L1","1.665827228029278739","1.665827228029278739","1.665827228029278739","Activated","67","viper","67","1.665827228029278739",NA,NA,"4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=54); ReMap--ChIP-seq(rank=144); GTEx--Coexpression(rank=811)","63","0.01474000000000000","ARCHS4 Coexpression,0.01474"
"PBX3","1.661276605450023869","1.661276605450023869","1.661276605450023869","Activated","68","viper","68","1.661276605450023869",NA,NA,"5","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=67); Enrichr--Queries(rank=265); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=1353)","551","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"CTCFL","1.656002966166314927","1.656002966166314927","1.656002966166314927","Activated","69","viper","69","1.656002966166314927",NA,NA,"5","ReMap--ChIP-seq(rank=52); ENCODE--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=290); Enrichr--Queries(rank=782); GTEx--Coexpression(rank=1358)","647","0.17510000000000001","ReMap ChIP-seq,0.1751"
"ELK4","-1.650719478709262944","-1.650719478709262944","1.650719478709262944","Repressed","70","viper","70","1.650719478709262944",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=153); GTEx--Coexpression(rank=1167); ARCHS4--Coexpression(rank=1312); Enrichr--Queries(rank=1328)","1324","0.51519999999999999","ReMap ChIP-seq,0.5152"
"STAT5B","1.629041872073310637","1.629041872073310637","1.629041872073310637","Activated","71","viper","71","1.629041872073310637",NA,NA,"4","ARCHS4--Coexpression(rank=123); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=835); GTEx--Coexpression(rank=1283)","315","0.07555000000000001","ARCHS4 Coexpression,0.07555"
"EBF1","1.601972481706471330","1.601972481706471330","1.601972481706471330","Activated","72","viper","72","1.601972481706471330",NA,NA,"5","ReMap--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=60); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=450); ARCHS4--Coexpression(rank=1085)","360","0.08754000000000001","ReMap ChIP-seq,0.08754"
"ATF1","-1.595375192441982559","-1.595375192441982559","1.595375192441982559","Repressed","73","viper","73","1.595375192441982559",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=137); ARCHS4--Coexpression(rank=818); Enrichr--Queries(rank=1075); GTEx--Coexpression(rank=1506)","1259","0.46129999999999999","ReMap ChIP-seq,0.4613"
"ARID2","-1.567747291483773786","-1.567747291483773786","1.567747291483773786","Repressed","74","viper","74","1.567747291483773786",NA,NA,"4","ReMap--ChIP-seq(rank=180); ARCHS4--Coexpression(rank=1269); GTEx--Coexpression(rank=1314); Enrichr--Queries(rank=1337)","1434","0.60609999999999997","ReMap ChIP-seq,0.6061"
"FOXM1","-1.529448891325184245","-1.529448891325184245","1.529448891325184245","Repressed","75","viper","75","1.529448891325184245",NA,NA,"6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","0.00124500000000000","GTEx Coexpression,0.001245"
"EGR1","1.506371201918759395","1.506371201918759395","1.506371201918759395","Activated","76","viper","76","1.506371201918759395",NA,NA,"6","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=69); Enrichr--Queries(rank=130); ARCHS4--Coexpression(rank=808); GTEx--Coexpression(rank=912)","378","0.09259000000000001","Enrichr Queries,0.09259"
"SOX13","1.480293610724306763","1.480293610724306763","1.480293610724306763","Activated","77","viper","77","1.480293610724306763",NA,NA,"4","Enrichr--Queries(rank=222); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=257); ARCHS4--Coexpression(rank=417)","601","0.15809999999999999","Enrichr Queries,0.1581"
"HOXA9","1.477285318705681361","1.477285318705681361","1.477285318705681361","Activated","78","viper","78","1.477285318705681361",NA,NA,"4","ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=491); GTEx--Coexpression(rank=772); ARCHS4--Coexpression(rank=900)","1069","0.34970000000000001","Enrichr Queries,0.3497"
"THAP11","1.470581396283692222","1.470581396283692222","1.470581396283692222","Activated","79","viper","79","1.470581396283692222",NA,NA,"5","Literature--ChIP-seq(rank=153); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=1045); Enrichr--Queries(rank=1349); GTEx--Coexpression(rank=1450)","1360","0.54879999999999995","ReMap ChIP-seq,0.5488"
