"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"POU2F1","0.759879782008616056","0.759879782008616056","0.4473264478384849640590914532","HMVL_TOR10=0.7599","Activated","398","collectri","398","0.759879782008616056",NA,"4","ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=451); GTEx--Coexpression(rank=661); Enrichr--Queries(rank=952)","924","0.277000000000000024","ARCHS4 Coexpression,0.277"
"EPAS1","0.756711752628459022","0.756711752628459022","0.4492225721791731074539200108","HMVL_TOR10=0.7567","Activated","399","collectri","399","0.756711752628459022",NA,"4","ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=669)","986","0.300400000000000000","ARCHS4 Coexpression,0.3004"
"GCM1","0.750460874132365841","-0.750460874132365841","0.4529771798248134473396930844","HMVL_TOR10=-0.7505","Repressed","400","collectri","400","0.750460874132365841",NA,"3","ARCHS4--Coexpression(rank=359); Enrichr--Queries(rank=799); GTEx--Coexpression(rank=1058)","771","0.220500000000000002","ARCHS4 Coexpression,0.2205"
"BATF","0.749445765442751211","0.749445765442751211","0.4535885756656497513894521489","HMVL_TOR10=0.7494","Activated","401","collectri","401","0.749445765442751211",NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=232); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=668)","533","0.142499999999999988","ARCHS4 Coexpression,0.1425"
"DDIT3","0.746747250202396518","-0.746747250202396518","0.4552161422918357125411148445","HMVL_TOR10=-0.7467","Repressed","402","collectri","402","0.746747250202396518",NA,"3","Enrichr--Queries(rank=194); ARCHS4--Coexpression(rank=730); GTEx--Coexpression(rank=1055)","518","0.138199999999999990","Enrichr Queries,0.1382"
"MBD1","0.745947849051417977","0.745947849051417977","0.4556989189731584510845152636","HMVL_TOR10=0.7459","Activated","403","collectri","403","0.745947849051417977",NA,"3","Enrichr--Queries(rank=473); GTEx--Coexpression(rank=482); ARCHS4--Coexpression(rank=1440)","985","0.299900000000000000","GTEx Coexpression,0.2999"
"ETV6","0.745061708551656987","0.745061708551656987","0.4562344160659190239748284057","HMVL_TOR10=0.7451","Activated","404","collectri","404","0.745061708551656987",NA,"4","ReMap--ChIP-seq(rank=266); ARCHS4--Coexpression(rank=432); Enrichr--Queries(rank=844); GTEx--Coexpression(rank=1076)","898","0.265400000000000025","ARCHS4 Coexpression,0.2654"
"KDM5B","0.737659135420461354","-0.737659135420461354","0.4607216104226302677560056509","HMVL_TOR10=-0.7377","Repressed","405","collectri","405","0.737659135420461354",NA,"5","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=273); GTEx--Coexpression(rank=386)","183","0.048779999999999997","Literature ChIP-seq,0.04878"
"REL","0.736842778843423751","-0.736842778843423751","0.4612179649225237043630443168","HMVL_TOR10=-0.7368","Repressed","406","collectri","406","0.736842778843423751",NA,"3","Enrichr--Queries(rank=339); GTEx--Coexpression(rank=393); ARCHS4--Coexpression(rank=492)","828","0.241499999999999992","Enrichr Queries,0.2415"
"HOXA1","0.735726846589754291","0.735726846589754291","0.4618969481309396774015851861","HMVL_TOR10=0.7357","Activated","407","collectri","407","0.735726846589754291",NA,"3","ARCHS4--Coexpression(rank=30); GTEx--Coexpression(rank=485); Enrichr--Queries(rank=567)","65","0.018429999999999998","ARCHS4 Coexpression,0.01843"
"CREB1","0.727007331828869785","0.727007331828869785","0.4672214643364694941496395586","HMVL_TOR10=0.727","Activated","408","collectri","408","0.727007331828869785",NA,"6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=210); Enrichr--Queries(rank=1295); ARCHS4--Coexpression(rank=1426)","253","0.067070000000000005","Literature ChIP-seq,0.06707"
"BMAL1","0.720205046344343680","-0.720205046344343680","0.4713987573269820541277397297","HMVL_TOR10=-0.7202","Repressed","409","collectri","409","0.720205046344343680",NA,"0","",NA,NA,NA
"FOXN1","0.714940281280310619","0.714940281280310619","0.4746459451793230699401249240","HMVL_TOR10=0.7149","Activated","410","collectri","410","0.714940281280310619",NA,"3","GTEx--Coexpression(rank=157); Enrichr--Queries(rank=237); ARCHS4--Coexpression(rank=668)","369","0.097699999999999995","GTEx Coexpression,0.0977"
"CREBBP","0.714885976556660863","0.714885976556660863","0.4746795029842219570959116481","HMVL_TOR10=0.7149","Activated","411","collectri","411","0.714885976556660863",NA,"0","",NA,NA,NA
"MECOM","0.711576455528523777","-0.711576455528523777","0.4767270909816295199057378795","HMVL_TOR10=-0.7116","Repressed","412","collectri","412","0.711576455528523777",NA,"3","Literature--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=306)","538","0.145600000000000007","ARCHS4 Coexpression,0.1456"
"ARX","0.709734003688239912","0.709734003688239912","0.4778691015393787266951619586","HMVL_TOR10=0.7097","Activated","413","collectri","413","0.709734003688239912",NA,"3","ARCHS4--Coexpression(rank=442); Enrichr--Queries(rank=1201); GTEx--Coexpression(rank=1201)","912","0.271500000000000019","ARCHS4 Coexpression,0.2715"
