"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"DLX5","221","221.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=221, adjP=0.659)","DLX5 mouse","409","1.80249230328000487056","enrichr","409","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","GTEx--Coexpression(rank=340); ARCHS4--Coexpression(rank=735); Enrichr--Queries(rank=912)","740","0.211600000000000010","GTEx Coexpression,0.2116"
"ILF2","221","221.00000000000000","1","0.99978539854220860316758034969097934663295745849609375000000000000000000000000000000000000000000000000000000000","0.999785398542208492145277887175325304269790649414062500000000000000000000000000000000000000000000000000000000","0.00003824639890907493","Transcription_Factor_PPIs(rank=221, adjP=1)","ILF2","410","0.00003824639890907493","enrichr","410","0.00003824639890907493","0.99978539854220860316758034969097934663295745849609375000000000000000000000000000000000000000000000000000000000","0.999785398542208492145277887175325304269790649414062500000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"RAC3","222","222.00000000000000","1","0.07852244031413874170155509091273415833711624145507812500000000000000000000000000000000000000000000000000000000","0.264607103595246140326224804084631614387035369873046875000000000000000000000000000000000000000000000000000000","2.98120275501282794295","ChEA_2022(rank=222, adjP=0.265)","RAC3 21632823 ChIP-Seq H3396 Human","411","2.98120275501282794295","enrichr","411","2.98120275501282794295","0.07852244031413874170155509091273415833711624145507812500000000000000000000000000000000000000000000000000000000","0.264607103595246140326224804084631614387035369873046875000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"EGR2","222","222.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=222, adjP=0.659)","EGR2 human","412","1.80249230328000487056","enrichr","412","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","Enrichr--Queries(rank=137); GTEx--Coexpression(rank=222); ARCHS4--Coexpression(rank=236)","366","0.097580000000000000","Enrichr Queries,0.09758"
"EWSR1","225","225.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=225, adjP=0.659)","EWSR1 human","413","1.80249230328000487056","enrichr","413","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"GLI3","227","227.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=227, adjP=0.659)","GLI3 mouse","414","1.80249230328000487056","enrichr","414","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","GTEx--Coexpression(rank=312); ARCHS4--Coexpression(rank=511); Enrichr--Queries(rank=858)","687","0.194200000000000012","GTEx Coexpression,0.1942"
"HIPK2","228","228.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=228, adjP=0.659)","HIPK2 human","415","1.80249230328000487056","enrichr","415","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"MAFA","229","229.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=229, adjP=0.659)","MAFA mouse","416","1.80249230328000487056","enrichr","416","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","Enrichr--Queries(rank=819); GTEx--Coexpression(rank=1237); ARCHS4--Coexpression(rank=1259)","1446","0.583300000000000041","Enrichr Queries,0.5833"
"NKX2-5","230","240.00000000000000","2","0.10467224870490932087108149062260054051876068115234375000000000000000000000000000000000000000000000000000000000","0.312077237316198741190476084739202633500099182128906250000000000000000000000000000000000000000000000000000000","2.68867030201024981295","TRRUST_Transcription_Factors_2019(rank=230, adjP=0.659); ChEA_2022(rank=250, adjP=0.312)","NKX2-5 human; NKX2-5 21415370 ChIP-Seq HL-1 Mouse","417","2.68867030201024981295","enrichr","417","2.68867030201024981295","0.10467224870490932087108149062260054051876068115234375000000000000000000000000000000000000000000000000000000000","0.312077237316198741190476084739202633500099182128906250000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"NR2F1","231","231.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=231, adjP=0.659)","NR2F1 human","418","1.80249230328000487056","enrichr","418","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","4","ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=824); ARCHS4--Coexpression(rank=1316)","1129","0.359700000000000020","Enrichr Queries,0.3597"
"PER1","233","233.00000000000000","1","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.80249230328000487056","TRRUST_Transcription_Factors_2019(rank=233, adjP=0.659)","PER1 mouse","419","1.80249230328000487056","enrichr","419","1.80249230328000487056","0.41404710872959826772898850322235375642776489257812500000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
