"TF","RKO"
"HINFP","-2.07026742126504537"
"HMBOX1","-2.47263415429464217"
"HNF1B","2.84384789744952249"
"HNF4A","0.18259558931555203"
"HNF4G","2.51986738390010245"
"HOXA9","2.31670818604689321"
"HOXB13","2.09699576804280463"
"HSF1","-1.33962583594867102"
"IKZF1","2.38032587376645077"
"IRF1","1.04194132461950839"
"IRF2","1.25883407263805247"
"IRF3","-1.82253496457934383"
"IRF4","3.85247168130896700"
"IRF9","3.28748012574077508"
"JUN","1.67189574493321613"
"JUNB","3.31366905478986951"
"JUND","-0.08395108038829271"
"KDM5B","2.34260766888699523"
"KLF1","1.71028679971110176"
"KLF13","1.19311905486538028"
"KLF3","1.38083673510584304"
"KLF4","1.55506260831136434"
"KLF5","1.60414518141385010"
"KLF6","2.17067341124255897"
"KLF9","4.59200860944812650"
"KMT2A","-2.83451321588002703"
"LEF1","-0.43606143172071349"
"LYL1","1.29083768947739497"
"MAF","1.20328125511352568"
"MAFB","6.43735310179684550"
"MAFF","3.01800923282767641"
"MAFG","2.77093099799646803"
"MAFK","4.66097596853987639"
"MAX","2.26495386493213680"
"MAZ","-1.14723430394437509"
"MBD1","2.51562875667237584"
"MBD2","2.37933406481911547"
"MEF2A","4.92376697532787588"
"MEF2B","1.46022492323379782"
"MEF2C","2.13744851420222304"
"MEIS1","3.05129024142624017"
"MEIS2","3.03152648738245656"
"MITF","1.45057803305954880"
"MNT","-1.10754286625031062"
"MXI1","-0.82930720269514047"
"MYB","-1.35998889256942368"
"MYBL2","0.66633973746868824"
"MYC","-7.01354852713843613"
"MYCN","-2.01195438520171166"
"MYOD1","2.47579878619988980"
"NANOG","2.06349879333288344"
"NCOA1","3.29323832080154100"
"NCOA2","4.09180570112830022"
"NCOA3","3.72296336916204229"
"NEUROD1","1.01216247268369552"
"NFATC1","1.93792437799432515"
"NFE2","3.29103495960961423"
"NFE2L1","2.89172434230260755"
"NFE2L2","-0.05326156493896921"
"NFIC","-2.46551711679609742"
"NFKB1","2.84376968989052470"
"NFKB2","-0.67977856842879814"
"NFYA","-2.34045420202856169"
"NFYB","-1.76621740400793725"
"NR1H2","0.51510046509565832"
"NR1H3","-0.04623456246777939"
"NR2C2","-3.22791540842908375"
"NR2F1","1.35500834126384873"
"NR2F6","-0.79573248232365423"
"NR3C1","0.87148588449206321"
"NR4A1","0.63097454435091360"
"NR5A2","2.17502517652547223"
"NRF1","-0.73312625203614479"
"ONECUT1","2.85458627551429167"
"OTX2","2.11787726825294520"
"PAX5","1.16885800707180532"
"PBX2","3.04189466214709592"
"PBX3","2.78818548632796182"
"PDX1","4.43573830593788010"
"PKNOX1","0.82198726066839856"
"POU2F1","0.16283420028281434"
"POU4F2","2.75616825449838077"
"POU5F1","4.69938778566034543"
"PPARA","-1.10810935323363946"
"PPARG","1.24445513630758997"
"PRDM1","1.64268628865266031"
"PRDM14","6.02766912346866235"
"PROX1","1.90733680121167160"
"RARA","0.97955422625360666"
"RBPJ","3.88113159152128828"
"REL","0.62701416928413634"
"RELA","1.74056697764386237"
"RELB","0.94811854793716588"
"RFX1","1.77594601743313296"
"RFX2","1.47715692404131294"
"RUNX1","3.08216647667233490"
"RUNX2","2.91263367564217290"
"RUNX3","0.88046747023302319"
"RXRA","0.22298960190136644"
"SIX2","3.95755636035039471"
"SIX5","-1.60276440059062075"
"SMAD1","2.12315508165114375"
"SMAD3","2.19048209664481419"
"SMAD4","0.68123332499556644"
"SMAD5","-1.50690810912793416"
"SNAI2","-1.14757169002946036"
"SNAPC4","-1.95175449900899656"
"SOX11","2.57879575261251714"
"SOX13","3.76623187912492741"
"SOX6","3.44678376724246682"
"SP1","-0.34945157119374276"
"SP2","0.10982270683428445"
"SP3","2.47889688660023566"
"SP4","-0.37254778408757322"
"SPI1","3.25192837727715123"
"SPIB","2.04698710679092732"
"SREBF1","-3.34380084027821356"
"SREBF2","-7.02344137780292055"
"SRF","-2.31710465847851133"
"STAT1","5.20369491683402430"
"STAT2","2.28654066246918086"
"STAT3","1.19986643888486721"
"STAT4","0.57034252368033411"
"STAT5A","0.88685878715934341"
"STAT5B","1.99924554626922846"
"STAT6","0.91810033627639720"
"TAL1","3.71684242090585570"
"TBP","0.57729537531693853"
"TBX21","3.38163927981033208"
"TCF12","4.94376558836613356"
"TCF3","-1.35855257848127597"
"TCF4","4.06504208897999320"
"TCF7","1.19284932042247682"
"TCF7L2","0.35926622652596624"
"TEAD1","4.88667082632229999"
"TEAD2","1.52946192006481230"
"TEAD4","3.99237775559047048"
"TFAP2A","2.00276651354713220"
"TFAP2C","0.87688515018523183"
"TFAP4","2.76725086361043315"
"TFDP1","-3.54299345479076422"
"TGIF2","0.31544854803745259"
"THAP1","0.18679082366553409"
"THAP11","3.12694101585984408"
"TP53","6.16470370666977185"
"TP63","1.59063150199389280"
"TP73","3.01376587020489684"
"TWIST1","2.64413584035401694"
"USF1","-1.82692903765175174"
"USF2","0.41612604284426569"
"VDR","0.93739211130171296"
"WT1","0.50513673678405602"
"XBP1","1.92827023396126762"
"YY1","-0.80867204808852677"
"ZBED1","-0.99665396125124961"
"ZBTB11","-0.19290984229912883"
"ZBTB33","-1.15839036893880287"
"ZBTB7A","-1.79379379875600464"
"ZEB1","0.36936821709688844"
"ZEB2","-3.75156920263839222"
"ZFX","-1.14212773979732884"
"ZKSCAN1","0.50285381484160918"
"ZNF143","1.63479739689411296"
"ZNF217","2.80621601782414842"
"ZNF24","-0.90078477999541973"
"ZNF263","-5.74830045247221744"
"ZNF274","-3.55491884514819656"
"ZNF384","3.10398010311963768"
"ZNF592","1.13959843040602360"
"ZNF639","1.02264637702598393"
"ZNF740","0.19145882541352335"
