"Tissue","Target_Gene","Target_Feature_ID","Sample_ID","Subject_ID","Target_Expression_Assay","Target_Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Expression_Group"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZYWO-1626-SM-5E44H","GTEX-ZYWO","tpm",TRUE,"2.1642610613302442","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-QEL4-1926-SM-4R1JI","GTEX-QEL4","tpm",TRUE,"3.2049470038966210","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-Y114-1626-SM-4TT7I","GTEX-Y114","tpm",TRUE,"3.6353724883405154","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-148VJ-2626-SM-5QGPI","GTEX-148VJ","tpm",TRUE,"4.1443190642471075","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1399U-2226-SM-5KLZI","GTEX-1399U","tpm",TRUE,"2.3770911053898618","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WYJK-2226-SM-4ONDJ","GTEX-WYJK","tpm",TRUE,"2.7369557121915813","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-11P82-1026-SM-5BC5J","GTEX-11P82","tpm",TRUE,"4.1679782558532530","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-YEC4-1926-SM-5IFHJ","GTEX-YEC4","tpm",TRUE,"5.7445022294932730","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-X15G-1326-SM-4PQZJ","GTEX-X15G","tpm",TRUE,"3.7317216000324165","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1211K-1726-SM-5FQUJ","GTEX-1211K","tpm",TRUE,"2.2129546347996061","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZYVF-2826-SM-5GIDK","GTEX-ZYVF","tpm",TRUE,"6.2987661911686779","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-11ZU8-1126-SM-5EQ5K","GTEX-11ZU8","tpm",TRUE,"7.1944682011911532","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-13111-1926-SM-5GCOL","GTEX-13111","tpm",TRUE,"4.8905738776421019","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-13OW6-2126-SM-5N9GL","GTEX-13OW6","tpm",TRUE,"3.9278260854582769","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-Y5LM-1426-SM-5RQJL","GTEX-Y5LM","tpm",TRUE,"3.3835334001258399","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1122O-1526-SM-5N9CL","GTEX-1122O","tpm",TRUE,"3.5522541664235563","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-YEC3-2026-SM-4WWFL","GTEX-YEC3","tpm",TRUE,"7.6885043812049378","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZY6K-1226-SM-5GZYL","GTEX-ZY6K","tpm",TRUE,"3.6318624198350937","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-139D8-2926-SM-5IJBM","GTEX-139D8","tpm",TRUE,"4.1721157049775410","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-X15G-1526-SM-4PQZM","GTEX-X15G","tpm",TRUE,"4.9164794406753147","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-Y8E4-2426-SM-4WWDN","GTEX-Y8E4","tpm",TRUE,"7.6970348273452602","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-QLQ7-1126-SM-4R1KN","GTEX-QLQ7","tpm",TRUE,"2.7933262133227093","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-133LE-1526-SM-5IFEN","GTEX-133LE","tpm",TRUE,"2.6466472718018301","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-11EM3-1526-SM-5A5KN","GTEX-11EM3","tpm",TRUE,"2.2842695936003459","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-13FTW-1826-SM-5IJEN","GTEX-13FTW","tpm",TRUE,"2.7446585613886243","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-14A5H-1626-SM-5SIAN","GTEX-14A5H","tpm",TRUE,"4.5025106956580867","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-11GSP-1626-SM-5986N","GTEX-11GSP","tpm",TRUE,"3.7427049015984486","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZVT2-1726-SM-51MRO","GTEX-ZVT2","tpm",TRUE,"1.8307102948600289","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-11EM3-1626-SM-5N9CO","GTEX-11EM3","tpm",TRUE,"4.7232582479985066","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-11VI4-1426-SM-5GU6O","GTEX-11VI4","tpm",TRUE,"3.7486285952995271","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-XBEW-1926-SM-4SOJO","GTEX-XBEW","tpm",TRUE,"1.6658768843185121","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WQUQ-2526-SM-4MVNO","GTEX-WQUQ","tpm",TRUE,"6.1717262133292543","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-111YS-1826-SM-5GIEP","GTEX-111YS","tpm",TRUE,"4.0302275146356159","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-14A5I-2426-SM-5Q5CP","GTEX-14A5I","tpm",TRUE,"2.9130103938497056","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-12KS4-2426-SM-5LU8P","GTEX-12KS4","tpm",TRUE,"5.4499825203851211","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-WQUQ-2626-SM-4MVNP","GTEX-WQUQ","tpm",TRUE,"2.9744487057819287","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-13OVG-1426-SM-5K7VP","GTEX-13OVG","tpm",TRUE,"6.0363182532887487","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-WOFM-1926-SM-4OOSP","GTEX-WOFM","tpm",TRUE,"1.9021257110313246","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-U3ZN-2126-SM-4DXU1","GTEX-U3ZN","tpm",TRUE,"2.7609752280679962","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-139TS-2226-SM-5J2N1","GTEX-139TS","tpm",TRUE,"3.2451997891105084","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WOFM-2026-SM-4OOSQ","GTEX-WOFM","tpm",TRUE,"1.4639085224357704","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WHWD-1226-SM-4OOS1","GTEX-WHWD","tpm",TRUE,"2.0895866129679286","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WEY5-1426-SM-4LMJ3","GTEX-WEY5","tpm",TRUE,"7.9691480203831064","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-U4B1-1126-SM-4DXV3","GTEX-U4B1","tpm",TRUE,"2.1283187558941612","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WFON-1426-SM-4LVMT","GTEX-WFON","tpm",TRUE,"2.4560078465937365","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-X5EB-0926-SM-46MVT","GTEX-X5EB","tpm",TRUE,"3.3549546355220650","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-13O3P-2326-SM-5KM55","GTEX-13O3P","tpm",TRUE,"6.7280999300482431","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-WH7G-1426-SM-4LVMU","GTEX-WH7G","tpm",TRUE,"3.0920377510520196","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-13N2G-2226-SM-5IJCU","GTEX-13N2G","tpm",TRUE,"3.4436622513618640","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-QMRM-1226-SM-447C6","GTEX-QMRM","tpm",TRUE,"3.0353148033960635","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-WHWD-1526-SM-4OORV","GTEX-WHWD","tpm",TRUE,"5.9961991815464986","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-139T6-1426-SM-5P9J7","GTEX-139T6","tpm",TRUE,"4.0276653819168198","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-146FH-2426-SM-5Q5EW","GTEX-146FH","tpm",TRUE,"5.8549798265369821","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-XV7Q-2126-SM-4BRVX","GTEX-XV7Q","tpm",TRUE,"2.3542758232800125","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-RWS6-1826-SM-47JXX","GTEX-RWS6","tpm",TRUE,"3.6383456146377280","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-Z93S-2626-SM-57WBX","GTEX-Z93S","tpm",TRUE,"3.1956774022997356","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-TKQ2-1326-SM-4DXT9","GTEX-TKQ2","tpm",TRUE,"3.1750226039245661","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-111YS-1626-SM-5GZZ9","GTEX-111YS","tpm",TRUE,"2.8196095905249847","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-148VJ-2426-SM-5NQ9Y","GTEX-148VJ","tpm",TRUE,"5.0688704186792242","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-13CF3-1426-SM-5K7YY","GTEX-13CF3","tpm",TRUE,"6.5559912826857838","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-13OW8-2726-SM-5L3FZ","GTEX-13OW8","tpm",TRUE,"2.6486175276501749","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZTSS-1226-SM-51MSZ","GTEX-ZTSS","tpm",TRUE,"5.5620534902589309","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1399R-2126-SM-5K7WZ","GTEX-1399R","tpm",TRUE,"2.1267467872135764","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZQUD-1026-SM-4YCEZ","GTEX-ZQUD","tpm",TRUE,"2.8167415176081745","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-S7SF-1926-SM-4AT5B","GTEX-S7SF","tpm",TRUE,"2.5484860889371879","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-W5WG-2026-SM-4LMIB","GTEX-W5WG","tpm",TRUE,"1.9793256652792253","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-XXEK-1826-SM-4BRVC","GTEX-XXEK","tpm",TRUE,"2.6505616696531842","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-XQ8I-2326-SM-4BOQC","GTEX-XQ8I","tpm",TRUE,"6.7190778604325248","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-XXEK-1926-SM-4BRVD","GTEX-XXEK","tpm",TRUE,"3.6142900549162316","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-UPIC-1726-SM-4IHKG","GTEX-UPIC","tpm",TRUE,"5.2657037404746481","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-PWOO-1326-SM-48TCJ","GTEX-PWOO","tpm",TRUE,"5.0792743870508366","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-VJYA-2026-SM-4KL1K","GTEX-VJYA","tpm",TRUE,"2.6242778680146759","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-TML8-1326-SM-4DXTO","GTEX-TML8","tpm",TRUE,"2.7502108637871676","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-R53T-1326-SM-48FCQ","GTEX-R53T","tpm",TRUE,"1.7063185111967389","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-TKQ1-0626-SM-4DXTS","GTEX-TKQ1","tpm",TRUE,"7.4976697133249113","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-SE5C-1526-SM-4BRWU","GTEX-SE5C","tpm",TRUE,"4.6380274648969690","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-XAJ8-0726-SM-47JY5","GTEX-XAJ8","tpm",TRUE,"1.9594839807392070","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-Q734-1126-SM-48TZY","GTEX-Q734","tpm",TRUE,"2.6641891968302835","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-XMK1-1726-SM-4B64Z","GTEX-XMK1","tpm",TRUE,"2.5878306171062238","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-VJYA-2126-SM-4KL1O","GTEX-VJYA","tpm",TRUE,"4.5073117093681327","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-PLZ6-0926-SM-3P5ZQ","GTEX-PLZ6","tpm",TRUE,"3.8512705556699842","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-PLZ5-1126-SM-3P613","GTEX-PLZ5","tpm",TRUE,"1.5426518454360285","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1IKOE-2026-SM-AHZ31","GTEX-1IKOE","tpm",TRUE,"2.9525958395193110","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1JMPY-1026-SM-ARZN1","GTEX-1JMPY","tpm",TRUE,"3.6793337524735104","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1JMQJ-2626-SM-CY8HQ","GTEX-1JMQJ","tpm",TRUE,"4.4069691266108757","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1LB8K-2526-SM-DIPEQ","GTEX-1LB8K","tpm",TRUE,"5.3260697672170743","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1LVAM-1726-SM-DHXKQ","GTEX-1LVAM","tpm",TRUE,"7.0432666561814052","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1MGNQ-2026-SM-EAZ51","GTEX-1MGNQ","tpm",TRUE,"4.3689707867965266","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1N2DV-1426-SM-DPRYQ","GTEX-1N2DV","tpm",TRUE,"1.6886052825290896","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1PIGE-1426-SM-E9U61","GTEX-1PIGE","tpm",TRUE,"3.9950061852116283","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1R9K5-2126-SM-E8VN1","GTEX-1R9K5","tpm",TRUE,"5.0073509660759692","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1S5ZA-1426-SM-E6CJQ","GTEX-1S5ZA","tpm",TRUE,"5.7633119083490865","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1S82P-2026-SM-E9TIQ","GTEX-1S82P","tpm",TRUE,"7.1146024413536866","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZLV1-1326-SM-DO11Q","GTEX-ZLV1","tpm",TRUE,"7.6267150020505223","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1R7EU-1926-SM-E9U62","GTEX-1R7EU","tpm",TRUE,"2.2594907952641101","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-OIZF-1426-SM-2HML2","GTEX-OIZF","tpm",TRUE,"1.8393199099672428","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-S4Z8-1526-SM-731D2","GTEX-S4Z8","tpm",TRUE,"2.7578031215077452","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZLWG-1726-SM-DNZZ2","GTEX-ZLWG","tpm",TRUE,"3.0216025625290541","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1QCLZ-1926-SM-E6CR3","GTEX-1QCLZ","tpm",TRUE,"3.3810026001990208","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1QP29-2526-SM-E6CQ3","GTEX-1QP29","tpm",TRUE,"2.9490072491838677","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1QW4Y-1426-SM-E76P3","GTEX-1QW4Y","tpm",TRUE,"3.0596336586141235","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1RAZA-1726-SM-DPS13","GTEX-1RAZA","tpm",TRUE,"2.0231612016186946","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-PSDG-1826-SM-EAZ2S","GTEX-PSDG","tpm",TRUE,"6.6824087726281363","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1R9JW-2126-SM-E76QT","GTEX-1R9JW","tpm",TRUE,"6.0976538074518949","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1RDX4-1826-SM-EVR54","GTEX-1RDX4","tpm",TRUE,"5.2333169986390935","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1RAZQ-2126-SM-DTX9V","GTEX-1RAZQ","tpm",TRUE,"4.7863936801398888","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1QPFJ-2326-SM-E6CR7","GTEX-1QPFJ","tpm",TRUE,"4.3170667007118677","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1RAZQ-2026-SM-E76P7","GTEX-1RAZQ","tpm",TRUE,"7.7342410904651127","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZDTT-1926-SM-5HL5W","GTEX-ZDTT","tpm",TRUE,"2.4904611484158075","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZG7Y-2126-SM-DO117","GTEX-ZG7Y","tpm",TRUE,"2.8301968170152363","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1QP9N-1026-SM-E6CPX","GTEX-1QP9N","tpm",TRUE,"2.9021016763273395","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1R9PM-1526-SM-DPRY8","GTEX-1R9PM","tpm",TRUE,"2.4534189965038991","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1RMOY-1626-SM-EVYC8","GTEX-1RMOY","tpm",TRUE,"3.9773763207460768","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-S4Z8-1526-SM-D4P48","GTEX-S4Z8","tpm",TRUE,"2.4767590596861315","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-U412-1726-SM-EZ6KX","GTEX-U412","tpm",TRUE,"3.4209996701039671","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-X4EO-2526-SM-EWRM8","GTEX-X4EO","tpm",TRUE,"3.9082025236626774","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-YFCO-1526-SM-5YYB8","GTEX-YFCO","tpm",TRUE,"3.0937298203264700","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1RMOY-1726-SM-EVYC9","GTEX-1RMOY","tpm",TRUE,"1.7536669669204699","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1S83E-1626-SM-EV7B9","GTEX-1S83E","tpm",TRUE,"1.9691610500752601","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-11LCK-2026-SM-5A5MA","GTEX-11LCK","tpm",TRUE,"2.6114034947024729","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-12WSM-1426-SM-5GCPA","GTEX-12WSM","tpm",TRUE,"3.6619117488754513","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-Y5LM-1526-SM-4VDTA","GTEX-Y5LM","tpm",TRUE,"1.9847514733687008","4.017118637532028","Low"
