Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,GTPASE BINDING,NUCLEOCYTOPLASMIC CARRIER ACTIVITY,CADHERIN BINDING,"CELL ADHESIVE PROTEIN BINDING INVOLVED IN
BUNDLE OF HIS CELL PURKINJE MYOCYTE
COMMUNICATION",DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",NUCLEAR RETINOIC ACID RECEPTOR BINDING,NUCLEAR RECEPTOR BINDING,TRANSCRIPTION COACTIVATOR ACTIVITY,TRANSCRIPTION COREPRESSOR ACTIVITY,OLFACTORY RECEPTOR ACTIVITY,HISTONE MODIFYING ACTIVITY,HISTONE ACETYLTRANSFERASE ACTIVITY,N ACETYLTRANSFERASE ACTIVITY,ACETYLTRANSFERASE ACTIVITY,PROTEIN N ACYLTRANSFERASE ACTIVITY,E BOX BINDING,ATP HYDROLYSIS ACTIVITY,MICROTUBULE BINDING,ACTIN FILAMENT BINDING,ACTIN BINDING,SPECTRIN BINDING,PHOSPHORIC ESTER HYDROLASE ACTIVITY,PHOSPHOPROTEIN PHOSPHATASE ACTIVITY,PHOSPHATASE ACTIVITY,PROTEIN SERINE KINASE ACTIVITY,PROTEIN SERINE THREONINE KINASE ACTIVITY,PROTEIN KINASE A BINDING,NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,LIPID ANTIGEN BINDING,MONOATOMIC CATION CHANNEL ACTIVITY,SCAFFOLD PROTEIN BINDING,HISTONE BINDING,MODIFICATION DEPENDENT PROTEIN BINDING,PHOSPHOLIPASE INHIBITOR ACTIVITY,PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,ARYLSULFATASE ACTIVITY
HISTONE MODIFYING ACTIVITY,0.0,0.009708737864077669,0.0,0.0048543689320388345,0.0,0.22815533980582525,0.1650485436893204,0.009708737864077669,0.07766990291262135,0.1941747572815534,0.11650485436893204,0.0,1.0,0.1796116504854369,0.1796116504854369,0.1796116504854369,0.1796116504854369,0.014563106796116505,0.0,0.0048543689320388345,0.0,0.014563106796116505,0.0,0.014563106796116505,0.014563106796116505,0.014563106796116505,0.12135922330097088,0.13106796116504854,0.0048543689320388345,0.0048543689320388345,0.0,0.0,0.0,0.0048543689320388345,0.1407766990291262,0.024271844660194174,0.0,0.0,0.0,0.0
HISTONE ACETYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.32432432432432434,0.1891891891891892,0.0,0.10810810810810811,0.40540540540540543,0.02702702702702703,0.0,1.0,1.0,1.0,1.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0
N ACETYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.14492753623188406,0.014492753623188406,0.10144927536231885,0.2463768115942029,0.07246376811594203,0.0,0.5362318840579711,0.5362318840579711,1.0,1.0,0.8115942028985508,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.028985507246376812,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.0
ACETYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.010416666666666666,0.0,0.15625,0.10416666666666667,0.010416666666666666,0.07291666666666667,0.17708333333333334,0.052083333333333336,0.0,0.3854166666666667,0.3854166666666667,0.71875,1.0,0.5833333333333334,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0,0.0
PROTEIN N ACYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.25,0.16071428571428573,0.017857142857142856,0.10714285714285714,0.2857142857142857,0.08928571428571429,0.0,0.6607142857142857,0.6607142857142857,1.0,1.0,1.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.03571428571428571,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.03571428571428571,0.017857142857142856,0.0,0.0,0.0,0.0
E BOX BINDING,0.0,0.0,0.0,0.0,0.0,0.47540983606557374,0.26229508196721313,0.01639344262295082,0.08196721311475409,0.0,0.04918032786885246,0.0,0.04918032786885246,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP HYDROLYSIS ACTIVITY,0.0,0.017456359102244388,0.0,0.029925187032418952,0.0,0.029925187032418952,0.017456359102244388,0.0,0.007481296758104738,0.017456359102244388,0.014962593516209476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10473815461346633,0.0199501246882793,0.029925187032418952,0.0024937655860349127,0.014962593516209476,0.004987531172069825,0.012468827930174564,0.004987531172069825,0.004987531172069825,0.0,0.0024937655860349127,0.0,0.0,0.012468827930174564,0.007481296758104738,0.04488778054862843,0.007481296758104738,0.0,0.017456359102244388,0.0,0.0
MICROTUBULE BINDING,0.003472222222222222,0.03819444444444445,0.0,0.041666666666666664,0.0,0.006944444444444444,0.0,0.0,0.0,0.006944444444444444,0.006944444444444444,0.0,0.003472222222222222,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,1.0,0.04861111111111111,0.11805555555555555,0.017361111111111112,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.03125,0.03125,0.010416666666666666,0.03125,0.013888888888888888,0.0,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.010416666666666666,0.003472222222222222,0.003472222222222222,0.0,0.0
ACTIN FILAMENT BINDING,0.0,0.10900473933649289,0.0,0.18009478672985782,0.0,0.018957345971563982,0.014218009478672985,0.004739336492890996,0.004739336492890996,0.018957345971563982,0.009478672985781991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037914691943127965,0.06635071090047394,1.0,1.0,0.037914691943127965,0.018957345971563982,0.018957345971563982,0.018957345971563982,0.004739336492890996,0.014218009478672985,0.004739336492890996,0.02843601895734597,0.004739336492890996,0.0,0.023696682464454975,0.004739336492890996,0.0,0.0,0.004739336492890996,0.0,0.0,0.0
ACTIN BINDING,0.0,0.09172259507829977,0.0,0.13870246085011187,0.0,0.013422818791946308,0.011185682326621925,0.0022371364653243847,0.0044742729306487695,0.020134228187919462,0.013422818791946308,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.026845637583892617,0.07606263982102908,0.4720357941834452,1.0,0.024608501118568233,0.024608501118568233,0.020134228187919462,0.02237136465324385,0.020134228187919462,0.026845637583892617,0.015659955257270694,0.03803131991051454,0.013422818791946308,0.0,0.017897091722595078,0.008948545861297539,0.0044742729306487695,0.0022371364653243847,0.0044742729306487695,0.0,0.0,0.0
SPECTRIN BINDING,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.18518518518518517,0.2962962962962963,0.4074074074074074,1.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0
PHOSPHORIC ESTER HYDROLASE ACTIVITY,0.0,0.005420054200542005,0.0,0.02981029810298103,0.0,0.013550135501355014,0.013550135501355014,0.0,0.0,0.01084010840108401,0.005420054200542005,0.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0027100271002710027,0.01084010840108401,0.02981029810298103,0.005420054200542005,1.0,0.47696476964769646,0.7506775067750677,0.008130081300813009,0.01084010840108401,0.0,0.016260162601626018,0.01084010840108401,0.0,0.0,0.005420054200542005,0.0,0.005420054200542005,0.0,0.0,0.0,0.0
PHOSPHOPROTEIN PHOSPHATASE ACTIVITY,0.0,0.0,0.0,0.056818181818181816,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.017045454545454544,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.005681818181818182,0.022727272727272728,0.05113636363636364,0.005681818181818182,1.0,1.0,1.0,0.011363636363636364,0.017045454545454544,0.0,0.005681818181818182,0.005681818181818182,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0.0
PHOSPHATASE ACTIVITY,0.0,0.0036101083032490976,0.0,0.036101083032490974,0.0,0.018050541516245487,0.018050541516245487,0.0,0.0,0.010830324909747292,0.0,0.0,0.010830324909747292,0.0,0.0,0.0,0.0,0.0,0.018050541516245487,0.0036101083032490976,0.01444043321299639,0.036101083032490974,0.0036101083032490976,1.0,0.6353790613718412,1.0,0.010830324909747292,0.01444043321299639,0.0,0.007220216606498195,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0
PROTEIN SERINE KINASE ACTIVITY,0.0,0.04696132596685083,0.0,0.024861878453038673,0.0,0.052486187845303865,0.03314917127071823,0.0,0.013812154696132596,0.022099447513812154,0.008287292817679558,0.0,0.06906077348066299,0.0027624309392265192,0.0027624309392265192,0.0027624309392265192,0.0027624309392265192,0.0,0.0055248618784530384,0.024861878453038673,0.0027624309392265192,0.024861878453038673,0.0,0.008287292817679558,0.0055248618784530384,0.008287292817679558,1.0,1.0,0.013812154696132596,0.016574585635359115,0.011049723756906077,0.0,0.0055248618784530384,0.019337016574585635,0.008287292817679558,0.0,0.0,0.0,0.0,0.0
PROTEIN SERINE THREONINE KINASE ACTIVITY,0.0,0.0449438202247191,0.0,0.029213483146067417,0.0,0.04719101123595506,0.029213483146067417,0.0,0.011235955056179775,0.02696629213483146,0.006741573033707865,0.0,0.060674157303370786,0.0044943820224719105,0.0044943820224719105,0.0044943820224719105,0.0044943820224719105,0.0,0.0044943820224719105,0.020224719101123594,0.006741573033707865,0.02696629213483146,0.0,0.008988764044943821,0.006741573033707865,0.008988764044943821,0.8134831460674158,1.0,0.011235955056179775,0.01348314606741573,0.008988764044943821,0.0,0.0044943820224719105,0.024719101123595506,0.015730337078651686,0.0044943820224719105,0.0,0.0,0.0,0.0
PROTEIN KINASE A BINDING,0.018518518518518517,0.09259259259259259,0.0,0.05555555555555555,0.0,0.09259259259259259,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.018518518518518517,0.12962962962962962,0.0,0.0,0.0,0.0,0.09259259259259259,0.09259259259259259,1.0,0.07407407407407407,0.05555555555555555,0.0,0.05555555555555555,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,0.0,0.2124248496993988,0.004008016032064128,0.03406813627254509,0.0,0.006012024048096192,0.004008016032064128,0.0,0.0,0.006012024048096192,0.002004008016032064,0.0,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.0,0.002004008016032064,0.018036072144288578,0.012024048096192385,0.03406813627254509,0.0,0.012024048096192385,0.002004008016032064,0.004008016032064128,0.012024048096192385,0.012024048096192385,0.008016032064128256,1.0,0.48096192384769537,0.0,0.0,0.002004008016032064,0.004008016032064128,0.004008016032064128,0.0,0.0,0.0,0.0
GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,0.0,0.23333333333333334,0.0,0.03333333333333333,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.004166666666666667,0.025,0.0,0.016666666666666666,0.004166666666666667,0.004166666666666667,0.016666666666666666,0.016666666666666666,0.0125,1.0,1.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,0.0
LIPID ANTIGEN BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONOATOMIC CATION CHANNEL ACTIVITY,0.0,0.0029411764705882353,0.0,0.011764705882352941,0.0,0.0029411764705882353,0.0029411764705882353,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0029411764705882353,0.014705882352941176,0.023529411764705882,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.008823529411764706,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.08823529411764706,0.0,0.0
SCAFFOLD PROTEIN BINDING,0.0,0.06944444444444445,0.0,0.06944444444444445,0.013888888888888888,0.05555555555555555,0.041666666666666664,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.013888888888888888,0.013888888888888888,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0,0.09722222222222222,0.1527777777777778,0.05555555555555555,0.013888888888888888,0.0,0.0,0.1388888888888889,1.0,0.013888888888888888,0.027777777777777776,0.0,0.0,0.0,0.0
HISTONE BINDING,0.0,0.02857142857142857,0.011428571428571429,0.005714285714285714,0.0,0.10857142857142857,0.09142857142857143,0.0,0.04,0.10857142857142857,0.09714285714285714,0.0,0.1657142857142857,0.011428571428571429,0.011428571428571429,0.011428571428571429,0.011428571428571429,0.0,0.10285714285714286,0.005714285714285714,0.0,0.011428571428571429,0.0,0.0,0.0,0.0,0.017142857142857144,0.04,0.0,0.011428571428571429,0.005714285714285714,0.0,0.0,0.005714285714285714,1.0,0.045714285714285714,0.005714285714285714,0.0,0.0,0.0
MODIFICATION DEPENDENT PROTEIN BINDING,0.0,0.0,0.0,0.012195121951219513,0.0,0.04878048780487805,0.024390243902439025,0.0,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.0,0.06097560975609756,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,0.036585365853658534,0.036585365853658534,0.0,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.0,0.024390243902439025,0.0,0.024390243902439025,0.012195121951219513,0.0,0.0,0.024390243902439025,0.0975609756097561,1.0,0.0,0.0,0.0,0.0
PHOSPHOLIPASE INHIBITOR ACTIVITY,0.0,0.0,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,1.0,0.0,0.0,0.0
PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374331550802139,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16042780748663102,0.0,0.0,0.0,0.0,1.0,0.2192513368983957,0.0
NADH DEHYDROGENASE UBIQUINONE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ARYLSULFATASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
