"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","SMARCA4","HVL_HUB098","0.25870984655330403","0.551175815637458432760809","SMARCA4","226","trrust","226","0.25870984655330403","0.551175815637458432760809",NA,"","0","",NA,NA,NA
"ora","TFCP2","HVL_HUB098","0.25870984655330403","0.551175815637458432760809","TFCP2","227","trrust","227","0.25870984655330403","0.551175815637458432760809",NA,"","3","Enrichr--Queries(rank=1043); ARCHS4--Coexpression(rank=1269); GTEx--Coexpression(rank=1476)","1565","0.74290000000000000","Enrichr Queries,0.7429"
"ora","ETV4","HVL_HUB098","0.24417294016411656","0.569937272682656814737356","ETV4","228","trrust","228","0.24417294016411656","0.569937272682656814737356",NA,"","4","Enrichr--Queries(rank=26); GTEx--Coexpression(rank=28); ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=205)","62","0.01742000000000000","GTEx Coexpression,0.01742"
"ora","NR5A1","HVL_HUB098","0.24417294016411656","0.569937272682656814737356","NR5A1","229","trrust","229","0.24417294016411656","0.569937272682656814737356",NA,"","3","ARCHS4--Coexpression(rank=555); Enrichr--Queries(rank=849); GTEx--Coexpression(rank=916)","1025","0.34089999999999998","ARCHS4 Coexpression,0.3409"
"ora","NKX3-1","HVL_HUB098","0.22958220503254176","0.589410400499116415851120","NKX3-1","230","trrust","230","0.22958220503254176","0.589410400499116415851120",NA,"","0","",NA,NA,NA
"ora","NR0B1","HVL_HUB098","0.22958220503254176","0.589410400499116415851120","NR0B1","231","trrust","231","0.22958220503254176","0.589410400499116415851120",NA,"","4","Literature--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=574); GTEx--Coexpression(rank=773); Enrichr--Queries(rank=871)","724","0.21340000000000001","Literature ChIP-seq,0.2134"
"ora","POU2F2","HVL_HUB098","0.22958220503254176","0.589410400499116415851120","POU2F2","232","trrust","232","0.22958220503254176","0.589410400499116415851120",NA,"","5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=168); GTEx--Coexpression(rank=370); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=679)","774","0.23019999999999999","GTEx Coexpression,0.2302"
"ora","TFAP2C","HVL_HUB098","0.22958220503254176","0.589410400499116415851120","TFAP2C","233","trrust","233","0.22958220503254176","0.589410400499116415851120",NA,"","6","ReMap--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=57); Enrichr--Queries(rank=273); GTEx--Coexpression(rank=474); ARCHS4--Coexpression(rank=524)","605","0.16839999999999999","ReMap ChIP-seq,0.1684"
"ora","ZBTB16","HVL_HUB098","0.22958220503254176","0.589410400499116415851120","ZBTB16","234","trrust","234","0.22958220503254176","0.589410400499116415851120",NA,"","4","ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=309); GTEx--Coexpression(rank=412); ARCHS4--Coexpression(rank=478)","744","0.22009999999999999","Enrichr Queries,0.2201"
"ora","ATF1","HVL_HUB098","0.20892966262352816","0.618116500817398217826337","ATF1","235","trrust","235","0.20892966262352816","0.618116500817398217826337",NA,"","5","ENCODE--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=138); Enrichr--Queries(rank=868); ARCHS4--Coexpression(rank=891); GTEx--Coexpression(rank=1520)","1248","0.46460000000000001","ReMap ChIP-seq,0.4646"
"ora","HDAC4","HVL_HUB098","0.20892966262352816","0.618116500817398217826337","HDAC4","236","trrust","236","0.20892966262352816","0.618116500817398217826337",NA,"","0","",NA,NA,NA
"ora","POU5F1","HVL_HUB098","0.20892966262352816","0.618116500817398217826337","POU5F1","237","trrust","237","0.20892966262352816","0.618116500817398217826337",NA,"","5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=18); GTEx--Coexpression(rank=236); ARCHS4--Coexpression(rank=582); Enrichr--Queries(rank=980)","243","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ora","FOXP3","HVL_HUB098","0.20454434310427083","0.624389594493613975245694","FOXP3","238","trrust","238","0.20454434310427083","0.624389594493613975245694",NA,"","4","Literature--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=457); GTEx--Coexpression(rank=1043); Enrichr--Queries(rank=1067)","892","0.28070000000000001","ARCHS4 Coexpression,0.2807"
"ora","MEF2A","HVL_HUB098","0.20454434310427083","0.624389594493613975245694","MEF2A","239","trrust","239","0.20454434310427083","0.624389594493613975245694",NA,"","6","ENCODE--ChIP-seq(rank=91); Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=377); ARCHS4--Coexpression(rank=610); GTEx--Coexpression(rank=870)","863","0.26850000000000002","Enrichr Queries,0.2685"
"ora","PITX2","HVL_HUB098","0.20454434310427083","0.624389594493613975245694","PITX2","240","trrust","240","0.20454434310427083","0.624389594493613975245694",NA,"","3","Enrichr--Queries(rank=754); ARCHS4--Coexpression(rank=908); GTEx--Coexpression(rank=1256)","1364","0.53700000000000003","Enrichr Queries,0.537"
"ora","NR3C1","HVL_HUB098","0.19445173777513883","0.639069751868747815137795","NR3C1","241","trrust","241","0.19445173777513883","0.639069751868747815137795",NA,"","6","ENCODE--ChIP-seq(rank=35); Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=120); Enrichr--Queries(rank=391); GTEx--Coexpression(rank=1078)","298","0.07371000000000000","ARCHS4 Coexpression,0.07371"
"ora","PGR","HVL_HUB098","0.19341241538518125","0.640600959197483721396793","PGR","242","trrust","242","0.19341241538518125","0.640600959197483721396793",NA,"","4","ReMap--ChIP-seq(rank=162); ARCHS4--Coexpression(rank=193); GTEx--Coexpression(rank=290); Enrichr--Queries(rank=770)","452","0.11860000000000000","ARCHS4 Coexpression,0.1186"
"ora","NR5A2","HVL_HUB098","0.18283776544216951","0.656390420977048694162193","NR5A2","243","trrust","243","0.18283776544216951","0.656390420977048694162193",NA,"","4","ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=390); GTEx--Coexpression(rank=1177); ARCHS4--Coexpression(rank=1194)","883","0.27779999999999999","Enrichr Queries,0.2778"
"ora","SF1","HVL_HUB098","0.18283776544216951","0.656390420977048694162193","SF1","244","trrust","244","0.18283776544216951","0.656390420977048694162193",NA,"","0","",NA,NA,NA
"ora","KAT2B","HVL_HUB098","0.16388716854936553","0.685666342183576804636402","KAT2B","245","trrust","245","0.16388716854936553","0.685666342183576804636402",NA,"","0","",NA,NA,NA
"ora","ZEB1","HVL_HUB098","0.16388716854936553","0.685666342183576804636402","ZEB1","246","trrust","246","0.16388716854936553","0.685666342183576804636402",NA,"","5","ENCODE--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=85); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=196); GTEx--Coexpression(rank=225)","210","0.05221000000000000","ARCHS4 Coexpression,0.05221"
