"TF","MVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF639","3.80276684255257136","3.80276684255257136","3.80276684255257136","Activated","11","viper","11","3.80276684255257136",NA,NA,"4","Enrichr--Queries(rank=85); ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=326); GTEx--Coexpression(rank=1454)","233","0.06054000000000000","Enrichr Queries,0.06054"
"SP2","-3.69081485340182081","-3.69081485340182081","3.69081485340182081","Repressed","12","viper","12","3.69081485340182081",NA,NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=740); ARCHS4--Coexpression(rank=745); Enrichr--Queries(rank=997)","360","0.09428000000000000","ReMap ChIP-seq,0.09428"
"ESR1","3.62324665469259477","3.62324665469259477","3.62324665469259477","Activated","13","viper","13","3.62324665469259477",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=110); Enrichr--Queries(rank=523); GTEx--Coexpression(rank=698); ARCHS4--Coexpression(rank=984)","308","0.07926999999999999","Literature ChIP-seq,0.07927"
"WT1","-3.53845160449913410","-3.53845160449913410","3.53845160449913410","Repressed","14","viper","14","3.53845160449913410",NA,NA,"4","Literature--ChIP-seq(rank=40); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=542); GTEx--Coexpression(rank=1085)","839","0.24390000000000001","Literature ChIP-seq,0.2439"
"RUNX2","3.42862430362528237","3.42862430362528237","3.42862430362528237","Activated","15","viper","15","3.42862430362528237",NA,NA,"5","Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=365); ARCHS4--Coexpression(rank=581); GTEx--Coexpression(rank=827)","885","0.26000000000000001","Enrichr Queries,0.26"
"ZBTB11","-3.37656787785127221","-3.37656787785127221","3.37656787785127221","Repressed","16","viper","16","3.37656787785127221",NA,NA,"4","ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=1293); Enrichr--Queries(rank=1364); ARCHS4--Coexpression(rank=1517)","1543","0.70369999999999999","ReMap ChIP-seq,0.7037"
"HNF4A","3.32318763804518857","3.32318763804518857","3.32318763804518857","Activated","17","viper","17","3.32318763804518857",NA,NA,"6","Literature--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=121); GTEx--Coexpression(rank=145); ARCHS4--Coexpression(rank=156); Enrichr--Queries(rank=703)","347","0.09023000000000000","GTEx Coexpression,0.09023"
"SMAD5","-3.30793754667540485","-3.30793754667540485","3.30793754667540485","Repressed","18","viper","18","3.30793754667540485",NA,NA,"4","ReMap--ChIP-seq(rank=156); ARCHS4--Coexpression(rank=264); GTEx--Coexpression(rank=1348); Enrichr--Queries(rank=1390)","592","0.16220000000000001","ARCHS4 Coexpression,0.1622"
"THAP1","-3.29628871810373880","-3.29628871810373880","3.29628871810373880","Repressed","19","viper","19","3.29628871810373880",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=123); Enrichr--Queries(rank=1101); ARCHS4--Coexpression(rank=1573); GTEx--Coexpression(rank=1601)","1207","0.41410000000000002","ReMap ChIP-seq,0.4141"
"IKZF1","3.27931237129693232","3.27931237129693232","3.27931237129693232","Activated","20","viper","20","3.27931237129693232",NA,NA,"6","Literature--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=134); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=589)","319","0.08230999999999999","ARCHS4 Coexpression,0.08231"
"NFYB","-3.26104370148852274","-3.26104370148852274","3.26104370148852274","Repressed","21","viper","21","3.26104370148852274",NA,NA,"5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=40); Enrichr--Queries(rank=109); GTEx--Coexpression(rank=1456)","46","0.01347000000000000","ReMap ChIP-seq,0.01347"
"ZFX","-3.17401413146396782","-3.17401413146396782","3.17401413146396782","Repressed","22","viper","22","3.17401413146396782",NA,NA,"5","ReMap--ChIP-seq(rank=87); Literature--ChIP-seq(rank=161); Enrichr--Queries(rank=1395); GTEx--Coexpression(rank=1508); ARCHS4--Coexpression(rank=1541)","963","0.29289999999999999","ReMap ChIP-seq,0.2929"
"MNT","3.09042129908671281","3.09042129908671281","3.09042129908671281","Activated","23","viper","23","3.09042129908671281",NA,NA,"4","ReMap--ChIP-seq(rank=53); Enrichr--Queries(rank=596); GTEx--Coexpression(rank=829); ARCHS4--Coexpression(rank=1437)","648","0.17849999999999999","ReMap ChIP-seq,0.1785"
"ELF3","3.06079549617652757","3.06079549617652757","3.06079549617652757","Activated","24","viper","24","3.06079549617652757",NA,NA,"4","ReMap--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=50); GTEx--Coexpression(rank=144); Enrichr--Queries(rank=289)","111","0.03071000000000000","ARCHS4 Coexpression,0.03071"
"POU2F1","3.04789602149161354","3.04789602149161354","3.04789602149161354","Activated","25","viper","25","3.04789602149161354",NA,NA,"4","ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=390); ARCHS4--Coexpression(rank=578); Enrichr--Queries(rank=1067)","835","0.24270000000000000","GTEx Coexpression,0.2427"
"THAP11","2.91892179152857167","2.91892179152857167","2.91892179152857167","Activated","26","viper","26","2.91892179152857167",NA,NA,"5","Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=790); Enrichr--Queries(rank=865); GTEx--Coexpression(rank=1583)","1272","0.45450000000000002","ReMap ChIP-seq,0.4545"
"NFYA","-2.88532033176574165","-2.88532033176574165","2.88532033176574165","Repressed","27","viper","27","2.88532033176574165",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=100); Enrichr--Queries(rank=722); ARCHS4--Coexpression(rank=1044)","125","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"FOSL1","2.88501585180427078","2.88501585180427078","2.88501585180427078","Activated","28","viper","28","2.88501585180427078",NA,NA,"5","Enrichr--Queries(rank=45); ENCODE--ChIP-seq(rank=66); ARCHS4--Coexpression(rank=117); ReMap--ChIP-seq(rank=232); GTEx--Coexpression(rank=721)","117","0.03205000000000000","Enrichr Queries,0.03205"
"RUNX1","2.85541849503696499","2.85541849503696499","2.85541849503696499","Activated","29","viper","29","2.85541849503696499",NA,NA,"5","Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=253); Enrichr--Queries(rank=569); GTEx--Coexpression(rank=940); ARCHS4--Coexpression(rank=1031)","1190","0.40529999999999999","Enrichr Queries,0.4053"
"ZBTB33","-2.84534570308498225","-2.84534570308498225","2.84534570308498225","Repressed","30","viper","30","2.84534570308498225",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=1117); Enrichr--Queries(rank=1298)","706","0.19850000000000001","GTEx Coexpression,0.1985"
"TCF12","2.79975993140146739","2.79975993140146739","2.79975993140146739","Activated","31","viper","31","2.79975993140146739",NA,NA,"5","ReMap--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=540); GTEx--Coexpression(rank=690); Enrichr--Queries(rank=1264)","562","0.15490000000000001","ReMap ChIP-seq,0.1549"
"JUN","2.77518139638547190","2.77518139638547190","2.77518139638547190","Activated","32","viper","32","2.77518139638547190",NA,NA,"6","Literature--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=45); GTEx--Coexpression(rank=115); ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=376); Enrichr--Queries(rank=414)","275","0.07156000000000000","GTEx Coexpression,0.07156"
"TEAD1","2.75028385207660397","2.75028385207660397","2.75028385207660397","Activated","33","viper","33","2.75028385207660397",NA,NA,"4","ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=1146); GTEx--Coexpression(rank=1278)","1317","0.48340000000000000","ARCHS4 Coexpression,0.4834"
"PDX1","2.73681623147138886","2.73681623147138886","2.73681623147138886","Activated","34","viper","34","2.73681623147138886",NA,NA,"5","Literature--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=803); ARCHS4--Coexpression(rank=1148); GTEx--Coexpression(rank=1295)","1369","0.51219999999999999","Literature ChIP-seq,0.5122"
"IRF3","-2.72865006342241134","-2.72865006342241134","2.72865006342241134","Repressed","35","viper","35","2.72865006342241134",NA,NA,"5","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=458); Enrichr--Queries(rank=1202); GTEx--Coexpression(rank=1251)","18","0.00673400000000000","ReMap ChIP-seq,0.006734"
"TP63","2.72115620275073322","2.72115620275073322","2.72115620275073322","Activated","36","viper","36","2.72115620275073322",NA,NA,"5","Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=171); Enrichr--Queries(rank=279); ARCHS4--Coexpression(rank=424)","405","0.10639999999999999","GTEx Coexpression,0.1064"
"ESRRA","2.71425490669525526","2.71425490669525526","2.71425490669525526","Activated","37","viper","37","2.71425490669525526",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=918); ARCHS4--Coexpression(rank=1512); GTEx--Coexpression(rank=1578)","1337","0.49490000000000001","ReMap ChIP-seq,0.4949"
"EHF","2.69129158761880616","2.69129158761880616","2.69129158761880616","Activated","38","viper","38","2.69129158761880616",NA,NA,"4","ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=218); Enrichr--Queries(rank=381); GTEx--Coexpression(rank=614)","501","0.13389999999999999","ARCHS4 Coexpression,0.1339"
"TFAP2C","2.68003122846435815","2.68003122846435815","2.68003122846435815","Activated","39","viper","39","2.68003122846435815",NA,NA,"6","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=92); GTEx--Coexpression(rank=143); Enrichr--Queries(rank=411); ARCHS4--Coexpression(rank=831)","344","0.08899000000000000","GTEx Coexpression,0.08899"
"MYCN","2.64573350071859936","2.64573350071859936","2.64573350071859936","Activated","40","viper","40","2.64573350071859936",NA,NA,"5","Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=58); Enrichr--Queries(rank=97); GTEx--Coexpression(rank=734)","97","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"STAT4","2.61905278812634768","2.61905278812634768","2.61905278812634768","Activated","41","viper","41","2.61905278812634768",NA,NA,"4","Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=601); ARCHS4--Coexpression(rank=856)","1136","0.37400000000000000","GTEx Coexpression,0.374"
"CREB3L1","-2.60846085572726638","-2.60846085572726638","2.60846085572726638","Repressed","42","viper","42","2.60846085572726638",NA,NA,"4","ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=502); GTEx--Coexpression(rank=1150)","602","0.16520000000000001","Enrichr Queries,0.1652"
"HNF4G","2.59741574523207852","2.59741574523207852","2.59741574523207852","Activated","43","viper","43","2.59741574523207852",NA,NA,"5","ARCHS4--Coexpression(rank=49); ENCODE--ChIP-seq(rank=60); GTEx--Coexpression(rank=75); ReMap--ChIP-seq(rank=92); Enrichr--Queries(rank=481)","109","0.03010000000000000","ARCHS4 Coexpression,0.0301"
"SOX11","2.58150982858058597","2.58150982858058597","2.58150982858058597","Activated","44","viper","44","2.58150982858058597",NA,NA,"5","ReMap--ChIP-seq(rank=71); Literature--ChIP-seq(rank=80); Enrichr--Queries(rank=238); GTEx--Coexpression(rank=786); ARCHS4--Coexpression(rank=882)","617","0.16950000000000001","Enrichr Queries,0.1695"
"STAT1","2.52133781234276100","2.52133781234276100","2.52133781234276100","Activated","45","viper","45","2.52133781234276100",NA,NA,"6","GTEx--Coexpression(rank=22); Literature--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=160); Enrichr--Queries(rank=467)","48","0.01369000000000000","GTEx Coexpression,0.01369"
"POU5F1","2.44520756825622732","2.44520756825622732","2.44520756825622732","Activated","46","viper","46","2.44520756825622732",NA,NA,"5","Literature--ChIP-seq(rank=30); Enrichr--Queries(rank=119); ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=187); GTEx--Coexpression(rank=535)","329","0.08476000000000000","Enrichr Queries,0.08476"
"RBPJ","2.44003624488467086","2.44003624488467086","2.44003624488467086","Activated","47","viper","47","2.44003624488467086",NA,NA,"5","Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=231); Enrichr--Queries(rank=653); ARCHS4--Coexpression(rank=1400); GTEx--Coexpression(rank=1473)","1289","0.46510000000000001","Enrichr Queries,0.4651"
"POU4F2","2.43903483750717109","2.43903483750717109","2.43903483750717109","Activated","48","viper","48","2.43903483750717109",NA,NA,"4","ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=400); GTEx--Coexpression(rank=609); Enrichr--Queries(rank=1016)","842","0.24570000000000000","ARCHS4 Coexpression,0.2457"
"RFX2","2.43796572721256011","2.43796572721256011","2.43796572721256011","Activated","49","viper","49","2.43796572721256011",NA,NA,"4","ARCHS4--Coexpression(rank=57); ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=290); GTEx--Coexpression(rank=880)","130","0.03501000000000000","ARCHS4 Coexpression,0.03501"
"SIX5","-2.43736373192423406","-2.43736373192423406","2.43736373192423406","Repressed","50","viper","50","2.43736373192423406",NA,NA,"5","ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=695); GTEx--Coexpression(rank=960); ARCHS4--Coexpression(rank=1045)","767","0.21890000000000001","ReMap ChIP-seq,0.2189"
"RARA","2.41573078510173778","2.41573078510173778","2.41573078510173778","Activated","51","viper","51","2.41573078510173778",NA,NA,"5","ReMap--ChIP-seq(rank=57); Literature--ChIP-seq(rank=82); Enrichr--Queries(rank=479); ARCHS4--Coexpression(rank=652); GTEx--Coexpression(rank=852)","689","0.19189999999999999","ReMap ChIP-seq,0.1919"
"FOXA1","2.37482909396809250","2.37482909396809250","2.37482909396809250","Activated","52","viper","52","2.37482909396809250",NA,NA,"6","ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=318); Enrichr--Queries(rank=327); ARCHS4--Coexpression(rank=661)","704","0.19789999999999999","GTEx Coexpression,0.1979"
"CTCFL","-2.36874611817932079","-2.36874611817932079","2.36874611817932079","Repressed","53","viper","53","2.36874611817932079",NA,NA,"5","ReMap--ChIP-seq(rank=17); Enrichr--Queries(rank=96); ENCODE--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=198); GTEx--Coexpression(rank=543)","220","0.05724000000000000","ReMap ChIP-seq,0.05724"
"ATF6","-2.35767168120884074","-2.35767168120884074","2.35767168120884074","Repressed","54","viper","54","2.35767168120884074",NA,NA,"3","Enrichr--Queries(rank=866); ARCHS4--Coexpression(rank=1360); GTEx--Coexpression(rank=1367)","1465","0.61680000000000001","Enrichr Queries,0.6168"
"TCF4","2.32400358651882133","2.32400358651882133","2.32400358651882133","Activated","55","viper","55","2.32400358651882133",NA,NA,"5","ReMap--ChIP-seq(rank=107); Literature--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=804); GTEx--Coexpression(rank=1081); Enrichr--Queries(rank=1106)","1107","0.36030000000000001","ReMap ChIP-seq,0.3603"
"SNAPC4","-2.28891936968661458","-2.28891936968661458","2.28891936968661458","Repressed","56","viper","56","2.28891936968661458",NA,NA,"4","GTEx--Coexpression(rank=112); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=1175); Enrichr--Queries(rank=1192)","269","0.06970000000000000","GTEx Coexpression,0.0697"
"TFAP2A","2.27908202941933435","2.27908202941933435","2.27908202941933435","Activated","57","viper","57","2.27908202941933435",NA,NA,"6","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=150); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=335)","354","0.09214000000000000","ARCHS4 Coexpression,0.09214"
"TCF3","-2.27032188771122323","-2.27032188771122323","2.27032188771122323","Repressed","58","viper","58","2.27032188771122323",NA,NA,"6","GTEx--Coexpression(rank=27); Literature--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=111); ReMap--ChIP-seq(rank=164); Enrichr--Queries(rank=282)","60","0.01680000000000000","GTEx Coexpression,0.0168"
"MAF","2.25873022504453136","2.25873022504453136","2.25873022504453136","Activated","59","viper","59","2.25873022504453136",NA,NA,"4","ReMap--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=193); GTEx--Coexpression(rank=244); Enrichr--Queries(rank=404)","450","0.11860000000000000","ARCHS4 Coexpression,0.1186"
"AHR","2.20595792554744285","2.20595792554744285","2.20595792554744285","Activated","60","viper","60","2.20595792554744285",NA,NA,"5","Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=269); GTEx--Coexpression(rank=419); Enrichr--Queries(rank=425); ARCHS4--Coexpression(rank=1373)","888","0.26069999999999999","GTEx Coexpression,0.2607"
"ZNF740","-2.19488710020155509","-2.19488710020155509","2.19488710020155509","Repressed","61","viper","61","2.19488710020155509",NA,NA,"4","ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=1004); Enrichr--Queries(rank=1255); GTEx--Coexpression(rank=1472)","1250","0.44109999999999999","ReMap ChIP-seq,0.4411"
"GLI2","2.17910698131013802","2.17910698131013802","2.17910698131013802","Activated","62","viper","62","2.17910698131013802",NA,NA,"3","ARCHS4--Coexpression(rank=291); GTEx--Coexpression(rank=516); Enrichr--Queries(rank=1022)","650","0.17870000000000000","ARCHS4 Coexpression,0.1787"
"ARNT","2.17085206068727343","2.17085206068727343","2.17085206068727343","Activated","63","viper","63","2.17085206068727343",NA,NA,"5","ReMap--ChIP-seq(rank=48); Literature--ChIP-seq(rank=142); GTEx--Coexpression(rank=281); Enrichr--Queries(rank=1338); ARCHS4--Coexpression(rank=1521)","590","0.16159999999999999","ReMap ChIP-seq,0.1616"
"MAFG","2.15390969829098378","2.15390969829098378","2.15390969829098378","Activated","64","viper","64","2.15390969829098378",NA,NA,"4","ReMap--ChIP-seq(rank=292); Enrichr--Queries(rank=420); GTEx--Coexpression(rank=1180); ARCHS4--Coexpression(rank=1442)","974","0.29909999999999992","Enrichr Queries,0.2991"
"EBF1","2.12189234739589061","2.12189234739589061","2.12189234739589061","Activated","65","viper","65","2.12189234739589061",NA,NA,"5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=144); GTEx--Coexpression(rank=299); ARCHS4--Coexpression(rank=640); Enrichr--Queries(rank=934)","670","0.18609999999999999","GTEx Coexpression,0.1861"
"MAFB","2.11128289741975284","2.11128289741975284","2.11128289741975284","Activated","66","viper","66","2.11128289741975284",NA,NA,"4","ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=278); Enrichr--Queries(rank=287); ARCHS4--Coexpression(rank=492)","628","0.17299999999999999","GTEx Coexpression,0.173"
"TEAD4","2.09163133536457213","2.09163133536457213","2.09163133536457213","Activated","67","viper","67","2.09163133536457213",NA,NA,"6","ENCODE--ChIP-seq(rank=19); Enrichr--Queries(rank=39); ARCHS4--Coexpression(rank=58); Literature--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=158); GTEx--Coexpression(rank=1366)","98","0.02778000000000000","Enrichr Queries,0.02778"
"HNF1A","2.08297755958113395","2.08297755958113395","2.08297755958113395","Activated","68","viper","68","2.08297755958113395",NA,NA,"3","GTEx--Coexpression(rank=339); ARCHS4--Coexpression(rank=423); Enrichr--Queries(rank=634)","743","0.21099999999999999","GTEx Coexpression,0.211"
"USF2","2.06578245631930413","2.06578245631930413","2.06578245631930413","Activated","69","viper","69","2.06578245631930413",NA,NA,"5","ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=1196); Enrichr--Queries(rank=1199); GTEx--Coexpression(rank=1399)","458","0.12120000000000000","ReMap ChIP-seq,0.1212"
"BACH1","2.06119965668774574","2.06119965668774574","2.06119965668774574","Activated","70","viper","70","2.06119965668774574",NA,NA,"6","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=84); Enrichr--Queries(rank=697); GTEx--Coexpression(rank=963); ARCHS4--Coexpression(rank=1122)","183","0.04878000000000000","Literature ChIP-seq,0.04878"
"MEIS2","2.05940582243986992","2.05940582243986992","2.05940582243986992","Activated","71","viper","71","2.05940582243986992",NA,NA,"4","ReMap--ChIP-seq(rank=234); GTEx--Coexpression(rank=962); Enrichr--Queries(rank=993); ARCHS4--Coexpression(rank=1012)","1450","0.59860000000000002","GTEx Coexpression,0.5986"
"LYL1","2.05353808774534574","2.05353808774534574","2.05353808774534574","Activated","72","viper","72","2.05353808774534574",NA,NA,"5","Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=228); ARCHS4--Coexpression(rank=551); Enrichr--Queries(rank=601); GTEx--Coexpression(rank=1101)","1063","0.33850000000000002","ARCHS4 Coexpression,0.3385"
"PRDM14","2.04687292003435850","2.04687292003435850","2.04687292003435850","Activated","73","viper","73","2.04687292003435850",NA,NA,"5","Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=647); Enrichr--Queries(rank=1019)","537","0.14560000000000001","ARCHS4 Coexpression,0.1456"
"MYBL2","-2.03508318199740756","-2.03508318199740756","2.03508318199740756","Repressed","74","viper","74","2.03508318199740756",NA,NA,"6","Enrichr--Queries(rank=2); Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=29)","5","0.00142500000000000","Enrichr Queries,0.001425"
"MAZ","-2.01328310908155883","-2.01328310908155883","2.01328310908155883","Repressed","75","viper","75","2.01328310908155883",NA,NA,"5","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=15); Enrichr--Queries(rank=275); ARCHS4--Coexpression(rank=567); GTEx--Coexpression(rank=1006)","150","0.04040000000000000","ReMap ChIP-seq,0.0404"
"STAT3","2.00271336690898893","2.00271336690898893","2.00271336690898893","Activated","76","viper","76","2.00271336690898893",NA,NA,"6","Literature--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=70); GTEx--Coexpression(rank=351); ARCHS4--Coexpression(rank=572); Enrichr--Queries(rank=827)","641","0.17680000000000001","Literature ChIP-seq,0.1768"
"NANOG","1.98924606309603780","1.98924606309603780","1.98924606309603780","Activated","77","viper","77","1.98924606309603780",NA,NA,"6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=183); Enrichr--Queries(rank=348); ARCHS4--Coexpression(rank=463); GTEx--Coexpression(rank=969)","209","0.05488000000000000","Literature ChIP-seq,0.05488"
"KLF4","1.97008790085476426","1.97008790085476426","1.97008790085476426","Activated","78","viper","78","1.97008790085476426",NA,NA,"5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=23); ARCHS4--Coexpression(rank=123); GTEx--Coexpression(rank=330); Enrichr--Queries(rank=376)","158","0.04268000000000000","Literature ChIP-seq,0.04268"
