Pathway,XENOBIOTIC METABOLISM,BILE ACID METABOLISM,PEROXISOME,FATTY ACID METABOLISM,ADIPOGENESIS,OXIDATIVE PHOSPHORYLATION,MYOGENESIS,REACTIVE OXYGEN SPECIES PATHWAY,COAGULATION,COMPLEMENT,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,ALLOGRAFT REJECTION,KRAS SIGNALING UP,EPITHELIAL MESENCHYMAL TRANSITION,ANGIOGENESIS,UV RESPONSE DN,APICAL JUNCTION,MYC TARGETS V1,MYC TARGETS V2,E2F TARGETS,MTORC1 SIGNALING,CHOLESTEROL HOMEOSTASIS,HYPOXIA,GLYCOLYSIS,UV RESPONSE UP,P53 PATHWAY,UNFOLDED PROTEIN RESPONSE,PANCREAS BETA CELLS
ALLOGRAFT REJECTION,0.03,0.005,0.005,0.005,0.005,0.0,0.01,0.0,0.03,0.075,0.095,0.185,1.0,0.065,0.045,0.015,0.01,0.035,0.025,0.005,0.015,0.02,0.0,0.02,0.01,0.025,0.05,0.01,0.0
KRAS SIGNALING UP,0.05,0.015,0.005,0.015,0.02,0.0,0.025,0.005,0.05,0.05,0.115,0.08,0.065,1.0,0.045,0.015,0.01,0.035,0.0,0.0,0.0,0.025,0.01,0.055,0.03,0.015,0.045,0.005,0.005
EPITHELIAL MESENCHYMAL TRANSITION,0.025,0.0,0.005,0.01,0.015,0.0,0.1,0.0,0.09,0.06,0.11,0.065,0.045,0.045,1.0,0.06,0.1,0.085,0.005,0.0,0.005,0.01,0.01,0.09,0.07,0.035,0.035,0.005,0.0
ANGIOGENESIS,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.027777777777777776,0.1388888888888889,0.027777777777777776,0.0
UV RESPONSE DN,0.013888888888888888,0.020833333333333332,0.013888888888888888,0.013888888888888888,0.020833333333333332,0.0,0.027777777777777776,0.006944444444444444,0.027777777777777776,0.020833333333333332,0.08333333333333333,0.10416666666666667,0.013888888888888888,0.013888888888888888,0.1388888888888889,0.027777777777777776,1.0,0.0625,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.04861111111111111,0.013888888888888888,0.10416666666666667,0.034722222222222224,0.0,0.006944444444444444,0.0,0.006944444444444444
APICAL JUNCTION,0.005,0.0,0.015,0.015,0.01,0.0,0.06,0.0,0.04,0.03,0.02,0.015,0.035,0.035,0.085,0.015,0.045,1.0,0.0,0.0,0.005,0.02,0.015,0.02,0.03,0.01,0.02,0.005,0.005
MYC TARGETS V1,0.02,0.0,0.02,0.02,0.015,0.055,0.005,0.005,0.0,0.0,0.005,0.005,0.025,0.0,0.005,0.0,0.005,0.0,1.0,0.09,0.175,0.095,0.0,0.01,0.025,0.03,0.015,0.05,0.0
MYC TARGETS V2,0.017241379310344827,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.017241379310344827,0.0,0.3103448275862069,1.0,0.20689655172413793,0.15517241379310345,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,0.0,0.08620689655172414,0.0
E2F TARGETS,0.0,0.0,0.015,0.01,0.01,0.0,0.005,0.005,0.0,0.0,0.01,0.01,0.015,0.0,0.005,0.0,0.01,0.005,0.175,0.06,1.0,0.07,0.0,0.01,0.035,0.015,0.035,0.03,0.0
MTORC1 SIGNALING,0.06,0.03,0.035,0.05,0.07,0.035,0.025,0.03,0.015,0.025,0.05,0.025,0.02,0.025,0.01,0.005,0.035,0.02,0.095,0.045,0.07,1.0,0.095,0.155,0.135,0.055,0.055,0.085,0.005
CHOLESTEROL HOMEOSTASIS,0.02702702702702703,0.04054054054054054,0.04054054054054054,0.0945945945945946,0.05405405405405406,0.013513513513513514,0.04054054054054054,0.0,0.04054054054054054,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.04054054054054054,0.0,0.013513513513513514,0.0,0.25675675675675674,1.0,0.0945945945945946,0.04054054054054054,0.02702702702702703,0.02702702702702703,0.013513513513513514,0.0
HYPOXIA,0.04,0.01,0.01,0.035,0.055,0.01,0.065,0.01,0.025,0.055,0.145,0.055,0.02,0.055,0.09,0.015,0.075,0.02,0.01,0.005,0.01,0.155,0.035,1.0,0.325,0.04,0.07,0.04,0.01
GLYCOLYSIS,0.04,0.015,0.02,0.065,0.05,0.04,0.04,0.03,0.01,0.025,0.025,0.025,0.01,0.03,0.07,0.015,0.025,0.03,0.025,0.005,0.035,0.135,0.015,0.325,1.0,0.015,0.025,0.03,0.0
UV RESPONSE UP,0.06962025316455696,0.0,0.03164556962025317,0.056962025316455694,0.0379746835443038,0.0379746835443038,0.0189873417721519,0.02531645569620253,0.0189873417721519,0.06329113924050633,0.12658227848101267,0.06329113924050633,0.03164556962025317,0.0189873417721519,0.04430379746835443,0.006329113924050633,0.0,0.012658227848101266,0.0379746835443038,0.0,0.0189873417721519,0.06962025316455696,0.012658227848101266,0.05063291139240506,0.0189873417721519,1.0,0.08227848101265822,0.03164556962025317,0.0
P53 PATHWAY,0.055,0.015,0.015,0.015,0.02,0.02,0.065,0.0,0.01,0.02,0.13,0.06,0.05,0.045,0.035,0.025,0.005,0.02,0.015,0.0,0.035,0.055,0.01,0.07,0.025,0.065,1.0,0.015,0.005
UNFOLDED PROTEIN RESPONSE,0.008849557522123894,0.0,0.0,0.0,0.02654867256637168,0.008849557522123894,0.017699115044247787,0.0,0.0,0.017699115044247787,0.04424778761061947,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,0.008849557522123894,0.08849557522123894,0.04424778761061947,0.05309734513274336,0.1504424778761062,0.008849557522123894,0.07079646017699115,0.05309734513274336,0.04424778761061947,0.02654867256637168,1.0,0.02654867256637168
PANCREAS BETA CELLS,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.025,0.0,0.05,0.0,0.0,0.025,0.075,1.0
