Pathway,COMPLEMENT AND COAGULATION CASCADES,PRION DISEASES,SYSTEMIC LUPUS ERYTHEMATOSUS,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,RETINOL METABOLISM,DRUG METABOLISM OTHER ENZYMES,PORPHYRIN AND CHLOROPHYLL METABOLISM,STEROID HORMONE BIOSYNTHESIS,ASCORBATE AND ALDARATE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,STARCH AND SUCROSE METABOLISM,GLYCINE SERINE AND THREONINE METABOLISM,TYROSINE METABOLISM,PHENYLALANINE METABOLISM,ALANINE ASPARTATE AND GLUTAMATE METABOLISM,ARGININE AND PROLINE METABOLISM,PPAR SIGNALING PATHWAY,FATTY ACID METABOLISM,TRYPTOPHAN METABOLISM,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,PROPANOATE METABOLISM,BETA ALANINE METABOLISM,BUTANOATE METABOLISM,PEROXISOME,PRIMARY BILE ACID BIOSYNTHESIS,CALCIUM SIGNALING PATHWAY,GAP JUNCTION,DILATED CARDIOMYOPATHY,OLFACTORY TRANSDUCTION,CYSTEINE AND METHIONINE METABOLISM,GLYCOLYSIS GLUCONEOGENESIS,PYRUVATE METABOLISM,LINOLEIC ACID METABOLISM,ARACHIDONIC ACID METABOLISM,GLYOXYLATE AND DICARBOXYLATE METABOLISM,STEROID BIOSYNTHESIS,NEUROACTIVE LIGAND RECEPTOR INTERACTION,SPLICEOSOME,RIBOSOME
PENTOSE AND GLUCURONATE INTERCONVERSIONS,0.0,0.0,0.0,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.6785714285714286,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STARCH AND SUCROSE METABOLISM,0.0,0.0,0.0,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.36538461538461536,0.36538461538461536,0.34615384615384615,0.36538461538461536,0.40384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYCINE SERINE AND THREONINE METABOLISM,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,1.0,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.16129032258064516,0.0,0.0,0.06451612903225806,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
TYROSINE METABOLISM,0.0,0.0,0.0,0.35714285714285715,0.2857142857142857,0.16666666666666666,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.09523809523809523,1.0,0.38095238095238093,0.07142857142857142,0.09523809523809523,0.0,0.16666666666666666,0.11904761904761904,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHENYLALANINE METABOLISM,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.8888888888888888,1.0,0.16666666666666666,0.2222222222222222,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALANINE ASPARTATE AND GLUTAMATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.09375,0.09375,1.0,0.34375,0.0,0.0,0.03125,0.0625,0.03125,0.09375,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGININE AND PROLINE METABOLISM,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.0,0.0,0.09259259259259259,0.07407407407407407,0.07407407407407407,0.2037037037037037,1.0,0.0,0.09259259259259259,0.14814814814814814,0.09259259259259259,0.09259259259259259,0.12962962962962962,0.09259259259259259,0.037037037037037035,0.0,0.05555555555555555,0.0,0.0,0.0,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPAR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2463768115942029,0.014492753623188406,0.057971014492753624,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.17391304347826086,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.043478260869565216,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0
FATTY ACID METABOLISM,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.21428571428571427,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.11904761904761904,0.40476190476190477,1.0,0.2857142857142857,0.40476190476190477,0.2619047619047619,0.21428571428571427,0.2857142857142857,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.16666666666666666,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
TRYPTOPHAN METABOLISM,0.0,0.0,0.0,0.1,0.075,0.05,0.0,0.0,0.05,0.125,0.0,0.0,0.05,0.125,0.1,0.025,0.2,0.025,0.3,1.0,0.325,0.25,0.2,0.275,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.125,0.175,0.025,0.0,0.025,0.0,0.0,0.0,0.0
VALINE LEUCINE AND ISOLEUCINE DEGRADATION,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.11363636363636363,0.09090909090909091,0.38636363636363635,0.29545454545454547,1.0,0.4090909090909091,0.25,0.4090909090909091,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.13636363636363635,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROPANOATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.3333333333333333,0.30303030303030304,0.5454545454545454,1.0,0.36363636363636365,0.3333333333333333,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.36363636363636365,0.48484848484848486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BETA ALANINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.22727272727272727,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.3181818181818182,0.09090909090909091,0.4090909090909091,0.36363636363636365,0.5,0.5454545454545454,1.0,0.5,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
