Pathway,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,RELA DN.V1 UP,SINGH KRAS DEPENDENCY SIGNATURE,STK33 UP,STK33 NOMO UP,STK33 SKM UP,IL15 UP.V1 UP,IL2 UP.V1 UP,PDGF ERK DN.V1 DN,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,ALK DN.V1 UP,LEF1 UP.V1 UP,KRAS.BREAST UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 UP,KRAS.LUNG.BREAST UP.V1 UP,KRAS.600 UP.V1 UP,KRAS.300 UP.V1 UP,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,TBK1.DF UP,RAF UP.V1 DN,MTOR UP.N4.V1 UP,RB DN.V1 DN,P53 DN.V1 UP,ATF2 UP.V1 DN,EGFR UP.V1 UP,MEK UP.V1 UP,ERBB2 UP.V1 UP,RAF UP.V1 UP,CSR LATE UP.V1 DN,CAMP UP.V1 DN,TGFB UP.V1 UP,CSR EARLY UP.V1 UP,ESC J1 UP LATE.V1 UP,SNF5 DN.V1 DN,BCAT BILD ET AL UP,E2F1 UP.V1 DN
BMI1 DN.V1 UP,0.05442176870748299,0.027210884353741496,0.02040816326530612,0.0,0.05442176870748299,0.061224489795918366,0.04081632653061224,0.07482993197278912,0.07482993197278912,0.02040816326530612,1.0,0.5714285714285714,0.6054421768707483,0.10884353741496598,0.047619047619047616,0.027210884353741496,0.07482993197278912,0.061224489795918366,0.05442176870748299,0.013605442176870748,0.034013605442176874,0.027210884353741496,0.047619047619047616,0.047619047619047616,0.04081632653061224,0.061224489795918366,0.061224489795918366,0.013605442176870748,0.10884353741496598,0.047619047619047616,0.034013605442176874,0.061224489795918366,0.02040816326530612,0.006802721088435374,0.06802721088435375,0.05442176870748299,0.02040816326530612,0.047619047619047616,0.02040816326530612,0.047619047619047616
BMI1 DN MEL18 DN.V1 UP,0.041379310344827586,0.027586206896551724,0.041379310344827586,0.0,0.07586206896551724,0.07586206896551724,0.05517241379310345,0.06206896551724138,0.05517241379310345,0.027586206896551724,0.5793103448275863,1.0,0.6206896551724138,0.1310344827586207,0.06896551724137931,0.04827586206896552,0.1103448275862069,0.09655172413793103,0.06206896551724138,0.020689655172413793,0.041379310344827586,0.041379310344827586,0.08275862068965517,0.027586206896551724,0.08275862068965517,0.034482758620689655,0.06206896551724138,0.041379310344827586,0.12413793103448276,0.06206896551724138,0.041379310344827586,0.05517241379310345,0.013793103448275862,0.027586206896551724,0.09655172413793103,0.05517241379310345,0.034482758620689655,0.041379310344827586,0.006896551724137931,0.06206896551724138
MEL18 DN.V1 UP,0.028368794326241134,0.0070921985815602835,0.03546099290780142,0.0,0.06382978723404255,0.07092198581560284,0.04964539007092199,0.07801418439716312,0.07092198581560284,0.02127659574468085,0.6312056737588653,0.6382978723404256,1.0,0.1347517730496454,0.07092198581560284,0.028368794326241134,0.10638297872340426,0.07092198581560284,0.0851063829787234,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.07092198581560284,0.04964539007092199,0.07801418439716312,0.05673758865248227,0.0425531914893617,0.0425531914893617,0.12056737588652482,0.07801418439716312,0.02127659574468085,0.03546099290780142,0.02127659574468085,0.028368794326241134,0.05673758865248227,0.05673758865248227,0.028368794326241134,0.03546099290780142,0.0,0.05673758865248227
ALK DN.V1 UP,0.014184397163120567,0.02127659574468085,0.014184397163120567,0.0,0.05673758865248227,0.07092198581560284,0.028368794326241134,0.04964539007092199,0.028368794326241134,0.0070921985815602835,0.11347517730496454,0.1347517730496454,0.1347517730496454,1.0,0.06382978723404255,0.04964539007092199,0.0851063829787234,0.05673758865248227,0.05673758865248227,0.03546099290780142,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.028368794326241134,0.07801418439716312,0.03546099290780142,0.0,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.02127659574468085,0.0,0.0070921985815602835,0.0,0.014184397163120567,0.014184397163120567,0.028368794326241134,0.0,0.028368794326241134
LEF1 UP.V1 UP,0.030927835051546393,0.015463917525773196,0.015463917525773196,0.005154639175257732,0.030927835051546393,0.030927835051546393,0.02577319587628866,0.05154639175257732,0.06701030927835051,0.005154639175257732,0.03608247422680412,0.05154639175257732,0.05154639175257732,0.04639175257731959,1.0,0.020618556701030927,0.06701030927835051,0.02577319587628866,0.10824742268041238,0.041237113402061855,0.010309278350515464,0.010309278350515464,0.03608247422680412,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.04639175257731959,0.04639175257731959,0.030927835051546393,0.05670103092783505,0.061855670103092786,0.02577319587628866,0.020618556701030927,0.03608247422680412,0.061855670103092786,0.020618556701030927,0.005154639175257732,0.030927835051546393,0.005154639175257732,0.015463917525773196
KRAS.BREAST UP.V1 UP,0.02142857142857143,0.007142857142857143,0.03571428571428571,0.0,0.05714285714285714,0.07857142857142857,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.02142857142857143,0.02857142857142857,0.05,0.02857142857142857,0.05,0.02857142857142857,1.0,0.6,0.44285714285714284,0.34285714285714286,0.21428571428571427,0.02142857142857143,0.014285714285714285,0.03571428571428571,0.02142857142857143,0.0,0.02142857142857143,0.014285714285714285,0.02142857142857143,0.05714285714285714,0.007142857142857143,0.0,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.03571428571428571,0.014285714285714285,0.02142857142857143,0.04285714285714286,0.0,0.007142857142857143
KRAS.600.LUNG.BREAST UP.V1 UP,0.02142857142857143,0.014285714285714285,0.02142857142857143,0.0035714285714285713,0.05,0.060714285714285714,0.017857142857142856,0.04285714285714286,0.039285714285714285,0.0035714285714285713,0.039285714285714285,0.05714285714285714,0.05357142857142857,0.04285714285714286,0.04642857142857143,0.3,1.0,0.5,0.4357142857142857,0.2714285714285714,0.017857142857142856,0.010714285714285714,0.04285714285714286,0.02142857142857143,0.007142857142857143,0.014285714285714285,0.03571428571428571,0.02142857142857143,0.05,0.0035714285714285713,0.014285714285714285,0.014285714285714285,0.010714285714285714,0.02857142857142857,0.03214285714285714,0.025,0.017857142857142856,0.03214285714285714,0.0,0.02142857142857143
KRAS.LUNG.BREAST UP.V1 UP,0.03571428571428571,0.014285714285714285,0.02857142857142857,0.007142857142857143,0.06428571428571428,0.09285714285714286,0.007142857142857143,0.02857142857142857,0.03571428571428571,0.007142857142857143,0.06428571428571428,0.1,0.07142857142857142,0.05714285714285714,0.03571428571428571,0.44285714285714284,1.0,1.0,0.5571428571428572,0.37857142857142856,0.02142857142857143,0.0,0.07142857142857142,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.04285714285714286,0.02142857142857143,0.07857142857142857,0.007142857142857143,0.02857142857142857,0.02142857142857143,0.007142857142857143,0.03571428571428571,0.02857142857142857,0.04285714285714286,0.02142857142857143,0.04285714285714286,0.0,0.03571428571428571
KRAS.600 UP.V1 UP,0.025089605734767026,0.010752688172043012,0.017921146953405017,0.0035842293906810036,0.04659498207885305,0.06093189964157706,0.02867383512544803,0.035842293906810034,0.035842293906810034,0.007168458781362007,0.02867383512544803,0.03225806451612903,0.043010752688172046,0.02867383512544803,0.07526881720430108,0.17204301075268819,0.43727598566308246,0.27956989247311825,1.0,0.5125448028673835,0.014336917562724014,0.007168458781362007,0.043010752688172046,0.010752688172043012,0.010752688172043012,0.007168458781362007,0.03942652329749104,0.03225806451612903,0.05734767025089606,0.043010752688172046,0.04659498207885305,0.02867383512544803,0.010752688172043012,0.014336917562724014,0.021505376344086023,0.021505376344086023,0.017921146953405017,0.03942652329749104,0.0,0.025089605734767026
KRAS.300 UP.V1 UP,0.0,0.02097902097902098,0.02097902097902098,0.006993006993006993,0.04895104895104895,0.055944055944055944,0.02097902097902098,0.03496503496503497,0.04195804195804196,0.013986013986013986,0.013986013986013986,0.02097902097902098,0.027972027972027972,0.03496503496503497,0.055944055944055944,0.2097902097902098,0.5314685314685315,0.3706293706293706,1.0,1.0,0.013986013986013986,0.0,0.04195804195804196,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.04195804195804196,0.02097902097902098,0.055944055944055944,0.027972027972027972,0.04895104895104895,0.027972027972027972,0.006993006993006993,0.027972027972027972,0.02097902097902098,0.013986013986013986,0.013986013986013986,0.04895104895104895,0.0,0.027972027972027972
AKT UP MTOR DN.V1 UP,0.03932584269662921,0.03932584269662921,0.0449438202247191,0.0056179775280898875,0.05056179775280899,0.0449438202247191,0.0449438202247191,0.011235955056179775,0.033707865168539325,0.056179775280898875,0.028089887640449437,0.033707865168539325,0.028089887640449437,0.011235955056179775,0.011235955056179775,0.016853932584269662,0.028089887640449437,0.016853932584269662,0.02247191011235955,0.011235955056179775,1.0,0.6123595505617978,0.056179775280898875,0.05056179775280899,0.03932584269662921,0.028089887640449437,0.02247191011235955,0.033707865168539325,0.06179775280898876,0.05056179775280899,0.06179775280898876,0.0449438202247191,0.02247191011235955,0.011235955056179775,0.06179775280898876,0.02247191011235955,0.06179775280898876,0.0056179775280898875,0.0,0.033707865168539325
AKT UP.V1 UP,0.023668639053254437,0.023668639053254437,0.03550295857988166,0.0,0.011834319526627219,0.01775147928994083,0.01775147928994083,0.005917159763313609,0.029585798816568046,0.029585798816568046,0.023668639053254437,0.03550295857988166,0.03550295857988166,0.005917159763313609,0.011834319526627219,0.011834319526627219,0.01775147928994083,0.0,0.011834319526627219,0.0,0.6449704142011834,1.0,0.0650887573964497,0.047337278106508875,0.05917159763313609,0.03550295857988166,0.01775147928994083,0.03550295857988166,0.05325443786982249,0.07100591715976332,0.0650887573964497,0.05325443786982249,0.047337278106508875,0.011834319526627219,0.04142011834319527,0.011834319526627219,0.05325443786982249,0.01775147928994083,0.0,0.029585798816568046
TBK1.DF UP,0.010452961672473868,0.010452961672473868,0.006968641114982578,0.006968641114982578,0.0627177700348432,0.06620209059233449,0.05226480836236934,0.024390243902439025,0.020905923344947737,0.017421602787456445,0.024390243902439025,0.041811846689895474,0.03484320557491289,0.006968641114982578,0.024390243902439025,0.017421602787456445,0.041811846689895474,0.03484320557491289,0.041811846689895474,0.020905923344947737,0.03484320557491289,0.03832752613240418,1.0,0.04529616724738676,0.0313588850174216,0.017421602787456445,0.017421602787456445,0.027874564459930314,0.059233449477351915,0.059233449477351915,0.03832752613240418,0.04878048780487805,0.003484320557491289,0.027874564459930314,0.03484320557491289,0.017421602787456445,0.020905923344947737,0.013937282229965157,0.003484320557491289,0.024390243902439025
RAF UP.V1 DN,0.031088082901554404,0.010362694300518135,0.015544041450777202,0.0,0.05181347150259067,0.07253886010362694,0.04145077720207254,0.025906735751295335,0.025906735751295335,0.015544041450777202,0.03626943005181347,0.02072538860103627,0.03626943005181347,0.02072538860103627,0.031088082901554404,0.015544041450777202,0.031088082901554404,0.010362694300518135,0.015544041450777202,0.0051813471502590676,0.046632124352331605,0.04145077720207254,0.06735751295336788,1.0,0.025906735751295335,0.025906735751295335,0.046632124352331605,0.05699481865284974,0.031088082901554404,0.0,0.02072538860103627,0.0,0.015544041450777202,0.031088082901554404,0.031088082901554404,0.02072538860103627,0.025906735751295335,0.015544041450777202,0.0,0.05181347150259067
MTOR UP.N4.V1 UP,0.015306122448979591,0.02040816326530612,0.015306122448979591,0.0,0.030612244897959183,0.030612244897959183,0.025510204081632654,0.03571428571428571,0.03571428571428571,0.030612244897959183,0.030612244897959183,0.061224489795918366,0.05612244897959184,0.05612244897959184,0.01020408163265306,0.0,0.01020408163265306,0.00510204081632653,0.015306122448979591,0.00510204081632653,0.03571428571428571,0.05102040816326531,0.04591836734693878,0.025510204081632654,1.0,0.03571428571428571,0.02040816326530612,0.03571428571428571,0.04591836734693878,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.030612244897959183,0.00510204081632653,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.0,0.04591836734693878
RB DN.V1 DN,0.056910569105691054,0.032520325203252036,0.016260162601626018,0.008130081300813009,0.032520325203252036,0.024390243902439025,0.016260162601626018,0.024390243902439025,0.016260162601626018,0.032520325203252036,0.07317073170731707,0.04065040650406504,0.06504065040650407,0.04065040650406504,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.024390243902439025,0.016260162601626018,0.008130081300813009,0.04065040650406504,0.04878048780487805,0.04065040650406504,0.04065040650406504,0.056910569105691054,1.0,0.016260162601626018,0.016260162601626018,0.04878048780487805,0.032520325203252036,0.04065040650406504,0.04065040650406504,0.008130081300813009,0.032520325203252036,0.04878048780487805,0.0,0.04065040650406504,0.024390243902439025,0.008130081300813009,0.032520325203252036
P53 DN.V1 UP,0.08247422680412371,0.041237113402061855,0.010309278350515464,0.005154639175257732,0.041237113402061855,0.03608247422680412,0.041237113402061855,0.04639175257731959,0.041237113402061855,0.030927835051546393,0.04639175257731959,0.04639175257731959,0.030927835051546393,0.0,0.04639175257731959,0.010309278350515464,0.05154639175257732,0.030927835051546393,0.05670103092783505,0.030927835051546393,0.020618556701030927,0.015463917525773196,0.02577319587628866,0.04639175257731959,0.020618556701030927,0.010309278350515464,1.0,0.06701030927835051,0.061855670103092786,0.06701030927835051,0.05154639175257732,0.07731958762886598,0.02577319587628866,0.015463917525773196,0.02577319587628866,0.02577319587628866,0.03608247422680412,0.02577319587628866,0.005154639175257732,0.030927835051546393
ATF2 UP.V1 DN,0.021621621621621623,0.010810810810810811,0.02702702702702703,0.0,0.032432432432432434,0.05405405405405406,0.032432432432432434,0.043243243243243246,0.05405405405405406,0.005405405405405406,0.010810810810810811,0.032432432432432434,0.032432432432432434,0.021621621621621623,0.04864864864864865,0.016216216216216217,0.032432432432432434,0.016216216216216217,0.04864864864864865,0.016216216216216217,0.032432432432432434,0.032432432432432434,0.043243243243243246,0.05945945945945946,0.03783783783783784,0.010810810810810811,0.07027027027027027,1.0,0.05405405405405406,0.05945945945945946,0.06486486486486487,0.05405405405405406,0.043243243243243246,0.016216216216216217,0.02702702702702703,0.010810810810810811,0.021621621621621623,0.032432432432432434,0.010810810810810811,0.043243243243243246
EGFR UP.V1 UP,0.052083333333333336,0.0625,0.020833333333333332,0.005208333333333333,0.11458333333333333,0.10416666666666667,0.11458333333333333,0.052083333333333336,0.057291666666666664,0.026041666666666668,0.08333333333333333,0.09375,0.08854166666666667,0.026041666666666668,0.03125,0.041666666666666664,0.07291666666666667,0.057291666666666664,0.08333333333333333,0.041666666666666664,0.057291666666666664,0.046875,0.08854166666666667,0.03125,0.046875,0.03125,0.0625,0.052083333333333336,1.0,0.3333333333333333,0.2604166666666667,0.234375,0.015625,0.026041666666666668,0.08854166666666667,0.026041666666666668,0.0625,0.041666666666666664,0.005208333333333333,0.046875
MEK UP.V1 UP,0.05641025641025641,0.020512820512820513,0.010256410256410256,0.005128205128205128,0.041025641025641026,0.046153846153846156,0.046153846153846156,0.03076923076923077,0.035897435897435895,0.005128205128205128,0.035897435897435895,0.046153846153846156,0.05641025641025641,0.03076923076923077,0.05641025641025641,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.06153846153846154,0.020512820512820513,0.046153846153846156,0.06153846153846154,0.08717948717948718,0.0,0.02564102564102564,0.020512820512820513,0.06666666666666667,0.05641025641025641,0.3282051282051282,1.0,0.48717948717948717,0.24615384615384617,0.020512820512820513,0.03076923076923077,0.06666666666666667,0.005128205128205128,0.035897435897435895,0.020512820512820513,0.010256410256410256,0.03076923076923077
ERBB2 UP.V1 UP,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.005263157894736842,0.03684210526315789,0.05263157894736842,0.031578947368421054,0.021052631578947368,0.031578947368421054,0.015789473684210527,0.02631578947368421,0.031578947368421054,0.015789473684210527,0.03684210526315789,0.06315789473684211,0.0,0.021052631578947368,0.021052631578947368,0.06842105263157895,0.03684210526315789,0.05789473684210526,0.05789473684210526,0.05789473684210526,0.021052631578947368,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.06315789473684211,0.2631578947368421,0.5,1.0,0.22631578947368422,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.005263157894736842,0.03684210526315789,0.02631578947368421,0.015789473684210527,0.031578947368421054
RAF UP.V1 UP,0.031088082901554404,0.010362694300518135,0.010362694300518135,0.0,0.046632124352331605,0.05181347150259067,0.04145077720207254,0.046632124352331605,0.046632124352331605,0.010362694300518135,0.046632124352331605,0.04145077720207254,0.025906735751295335,0.015544041450777202,0.025906735751295335,0.010362694300518135,0.02072538860103627,0.015544041450777202,0.04145077720207254,0.02072538860103627,0.04145077720207254,0.046632124352331605,0.07253886010362694,0.0,0.025906735751295335,0.025906735751295335,0.07772020725388601,0.05181347150259067,0.23316062176165803,0.24870466321243523,0.22279792746113988,1.0,0.010362694300518135,0.015544041450777202,0.05181347150259067,0.015544041450777202,0.04145077720207254,0.025906735751295335,0.0,0.02072538860103627
CSR LATE UP.V1 DN,0.02040816326530612,0.0,0.02040816326530612,0.0,0.04081632653061224,0.013605442176870748,0.04081632653061224,0.006802721088435374,0.0,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.0,0.027210884353741496,0.013605442176870748,0.02040816326530612,0.006802721088435374,0.02040816326530612,0.006802721088435374,0.027210884353741496,0.05442176870748299,0.006802721088435374,0.02040816326530612,0.04081632653061224,0.006802721088435374,0.034013605442176874,0.05442176870748299,0.02040816326530612,0.027210884353741496,0.027210884353741496,0.013605442176870748,1.0,0.034013605442176874,0.006802721088435374,0.0,0.047619047619047616,0.006802721088435374,0.0,0.04081632653061224
CAMP UP.V1 DN,0.010050251256281407,0.02512562814070352,0.03015075376884422,0.0,0.035175879396984924,0.035175879396984924,0.035175879396984924,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.020100502512562814,0.020100502512562814,0.005025125628140704,0.035175879396984924,0.020100502512562814,0.04020100502512563,0.02512562814070352,0.020100502512562814,0.020100502512562814,0.010050251256281407,0.010050251256281407,0.04020100502512563,0.03015075376884422,0.005025125628140704,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.02512562814070352,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.02512562814070352,1.0,0.035175879396984924,0.01507537688442211,0.03015075376884422,0.010050251256281407,0.005025125628140704,0.03015075376884422
TGFB UP.V1 UP,0.0582010582010582,0.042328042328042326,0.047619047619047616,0.0,0.06349206349206349,0.05291005291005291,0.05291005291005291,0.047619047619047616,0.0582010582010582,0.042328042328042326,0.05291005291005291,0.07407407407407407,0.042328042328042326,0.0,0.06349206349206349,0.026455026455026454,0.047619047619047616,0.021164021164021163,0.031746031746031744,0.015873015873015872,0.0582010582010582,0.037037037037037035,0.05291005291005291,0.031746031746031744,0.015873015873015872,0.031746031746031744,0.026455026455026454,0.026455026455026454,0.08994708994708994,0.06878306878306878,0.031746031746031744,0.05291005291005291,0.005291005291005291,0.037037037037037035,1.0,0.0582010582010582,0.037037037037037035,0.021164021164021163,0.010582010582010581,0.015873015873015872
CSR EARLY UP.V1 UP,0.026143790849673203,0.0457516339869281,0.032679738562091505,0.0,0.0196078431372549,0.0392156862745098,0.006535947712418301,0.0457516339869281,0.032679738562091505,0.0457516339869281,0.05228758169934641,0.05228758169934641,0.05228758169934641,0.013071895424836602,0.026143790849673203,0.013071895424836602,0.0457516339869281,0.0392156862745098,0.0392156862745098,0.013071895424836602,0.026143790849673203,0.013071895424836602,0.032679738562091505,0.026143790849673203,0.0196078431372549,0.0,0.032679738562091505,0.013071895424836602,0.032679738562091505,0.006535947712418301,0.006535947712418301,0.0196078431372549,0.0,0.0196078431372549,0.0718954248366013,1.0,0.026143790849673203,0.032679738562091505,0.0,0.0196078431372549
