Pathway,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,MAPK3 TARGET GENES,RBM15 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",NPM1 TARGET GENES,ZNF239 TARGET GENES,KLF14 TARGET GENES,CASP8AP2 TARGET GENES,RUVBL1 TARGET GENES,CTR9 TARGET GENES,FOXR2 TARGET GENES,HJURP TARGET GENES,TFAM TARGET GENES,EPC1 TARGET GENES,ZNF704 TARGET GENES,ZNF354B TARGET GENES,YBX3 TARGET GENES,TAFAZZIN TARGET GENES,ATOH8 TARGET GENES,PRMT5 TARGET GENES,MED25 TARGET GENES,TBX1 TARGET GENES,ZNF101 TARGET GENES,ZNF354C TARGET GENES,CHAMP1 TARGET GENES,RAX2 TARGET GENES,DMRT1 TARGET GENES,DNMT1 TARGET GENES,ZBED4 TARGET GENES,MYBL1 TARGET GENES,NR1I2 TARGET GENES,NR2E3 TARGET GENES,NR0B1 TARGET GENES,PHF21A TARGET GENES,ZSCAN5C TARGET GENES,ZNF622 TARGET GENES,NR1H4 TARGET GENES,PPARGC1A TARGET GENES,ZNF486 TARGET GENES
CTR9 TARGET GENES,0.11428571428571428,0.08571428571428572,0.1,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.04285714285714286,0.05714285714285714,1.0,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.014285714285714285,0.0,0.02857142857142857,0.02857142857142857,0.04285714285714286,0.05714285714285714,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.014285714285714285,0.0,0.014285714285714285,0.04285714285714286,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.02857142857142857,0.014285714285714285,0.0
FOXR2 TARGET GENES,0.017094017094017096,0.038461538461538464,0.02564102564102564,0.01282051282051282,0.008547008547008548,0.05128205128205128,0.0,0.021367521367521368,0.03418803418803419,0.05128205128205128,0.008547008547008548,1.0,0.042735042735042736,0.029914529914529916,0.0641025641025641,0.008547008547008548,0.017094017094017096,0.004273504273504274,0.029914529914529916,0.0,0.008547008547008548,0.0,0.03418803418803419,0.04700854700854701,0.004273504273504274,0.0,0.01282051282051282,0.0641025641025641,0.05555555555555555,0.03418803418803419,0.03418803418803419,0.05982905982905983,0.004273504273504274,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.004273504273504274,0.017094017094017096,0.008547008547008548,0.01282051282051282
HJURP TARGET GENES,0.12698412698412698,0.15873015873015872,0.047619047619047616,0.06349206349206349,0.031746031746031744,0.07936507936507936,0.0,0.015873015873015872,0.1111111111111111,0.047619047619047616,0.0,0.15873015873015872,1.0,0.1746031746031746,0.047619047619047616,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.031746031746031744,0.09523809523809523,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.06349206349206349,0.09523809523809523,0.06349206349206349,0.015873015873015872,0.0,0.031746031746031744,0.0,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.06349206349206349,0.0
TFAM TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.05555555555555555,0.0,0.0,0.12962962962962962,0.2037037037037037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPC1 TARGET GENES,0.04580152671755725,0.05089058524173028,0.01272264631043257,0.022900763358778626,0.010178117048346057,0.05089058524173028,0.005089058524173028,0.027989821882951654,0.03816793893129771,0.022900763358778626,0.010178117048346057,0.03816793893129771,0.007633587786259542,0.0,1.0,0.01272264631043257,0.02544529262086514,0.007633587786259542,0.02544529262086514,0.002544529262086514,0.010178117048346057,0.010178117048346057,0.02544529262086514,0.07124681933842239,0.0,0.015267175572519083,0.007633587786259542,0.04834605597964377,0.03816793893129771,0.04071246819338423,0.06615776081424936,0.05597964376590331,0.0,0.05089058524173028,0.04071246819338423,0.01272264631043257,0.005089058524173028,0.015267175572519083,0.010178117048346057,0.007633587786259542
ZNF704 TARGET GENES,0.028169014084507043,0.04225352112676056,0.0,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.07042253521126761,0.08450704225352113,0.0,0.0,0.028169014084507043,0.0,0.0,0.07042253521126761,1.0,0.09859154929577464,0.04225352112676056,0.04225352112676056,0.0,0.0,0.0,0.014084507042253521,0.09859154929577464,0.0,0.028169014084507043,0.0,0.04225352112676056,0.014084507042253521,0.028169014084507043,0.056338028169014086,0.014084507042253521,0.0,0.07042253521126761,0.04225352112676056,0.028169014084507043,0.0,0.014084507042253521,0.014084507042253521,0.0
ZNF354B TARGET GENES,0.0,0.04784688995215311,0.0,0.009569377990430622,0.0,0.019138755980861243,0.0,0.05741626794258373,0.0430622009569378,0.0,0.0,0.019138755980861243,0.0,0.0,0.04784688995215311,0.03349282296650718,1.0,0.06220095693779904,0.03349282296650718,0.0,0.004784688995215311,0.0,0.019138755980861243,0.11483253588516747,0.004784688995215311,0.004784688995215311,0.0,0.028708133971291867,0.009569377990430622,0.009569377990430622,0.028708133971291867,0.0430622009569378,0.0,0.0,0.019138755980861243,0.019138755980861243,0.0,0.03349282296650718,0.0,0.009569377990430622
YBX3 TARGET GENES,0.0,0.1724137931034483,0.0,0.0,0.0,0.08620689655172414,0.0,0.034482758620689655,0.13793103448275862,0.06896551724137931,0.0,0.017241379310344827,0.0,0.0,0.05172413793103448,0.05172413793103448,0.22413793103448276,1.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.13793103448275862,0.0,0.017241379310344827,0.0,0.1896551724137931,0.05172413793103448,0.05172413793103448,0.034482758620689655,0.0,0.0,0.06896551724137931,0.0,0.017241379310344827,0.0,0.0,0.0,0.0
TAFAZZIN TARGET GENES,0.01639344262295082,0.018442622950819672,0.00819672131147541,0.00819672131147541,0.014344262295081968,0.014344262295081968,0.0020491803278688526,0.030737704918032786,0.02459016393442623,0.00819672131147541,0.0020491803278688526,0.014344262295081968,0.004098360655737705,0.0,0.020491803278688523,0.006147540983606557,0.014344262295081968,0.004098360655737705,1.0,0.010245901639344262,0.02663934426229508,0.02459016393442623,0.03278688524590164,0.040983606557377046,0.0020491803278688526,0.014344262295081968,0.0,0.040983606557377046,0.020491803278688523,0.02459016393442623,0.030737704918032786,0.02459016393442623,0.0,0.06352459016393443,0.028688524590163935,0.006147540983606557,0.0020491803278688526,0.0430327868852459,0.0,0.006147540983606557
ATOH8 TARGET GENES,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.09615384615384616,1.0,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.0,0.0,0.09615384615384616,0.0,0.0,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.057692307692307696,0.0,0.0
PRMT5 TARGET GENES,0.0761904761904762,0.10476190476190476,0.06666666666666667,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.0,0.0380952380952381,0.047619047619047616,0.05714285714285714,0.01904761904761905,0.01904761904761905,0.0,0.0,0.0380952380952381,0.0,0.009523809523809525,0.0,0.12380952380952381,0.02857142857142857,1.0,0.18095238095238095,0.10476190476190476,0.009523809523809525,0.0,0.009523809523809525,0.0,0.009523809523809525,0.02857142857142857,0.01904761904761905,0.02857142857142857,0.0380952380952381,0.0,0.09523809523809523,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.06666666666666667,0.0,0.0
MED25 TARGET GENES,0.11267605633802817,0.22535211267605634,0.07042253521126761,0.035211267605633804,0.007042253521126761,0.028169014084507043,0.014084507042253521,0.035211267605633804,0.1056338028169014,0.04225352112676056,0.014084507042253521,0.0,0.014084507042253521,0.0,0.028169014084507043,0.0,0.0,0.0,0.08450704225352113,0.02112676056338028,0.13380281690140844,1.0,0.09859154929577464,0.02112676056338028,0.0,0.014084507042253521,0.007042253521126761,0.09859154929577464,0.04929577464788732,0.04225352112676056,0.08450704225352113,0.014084507042253521,0.0,0.11971830985915492,0.04929577464788732,0.02112676056338028,0.014084507042253521,0.06338028169014084,0.0,0.014084507042253521
TBX1 TARGET GENES,0.03225806451612903,0.05241935483870968,0.012096774193548387,0.004032258064516129,0.008064516129032258,0.04435483870967742,0.012096774193548387,0.024193548387096774,0.056451612903225805,0.016129032258064516,0.012096774193548387,0.03225806451612903,0.024193548387096774,0.008064516129032258,0.04032258064516129,0.004032258064516129,0.016129032258064516,0.008064516129032258,0.06451612903225806,0.012096774193548387,0.04435483870967742,0.056451612903225805,1.0,0.04032258064516129,0.004032258064516129,0.024193548387096774,0.0,0.04032258064516129,0.04838709677419355,0.03225806451612903,0.024193548387096774,0.024193548387096774,0.0,0.06048387096774194,0.012096774193548387,0.028225806451612902,0.004032258064516129,0.04032258064516129,0.0,0.004032258064516129
ZNF101 TARGET GENES,0.02434077079107505,0.036511156186612576,0.012170385395537525,0.014198782961460446,0.002028397565922921,0.04462474645030426,0.02231237322515213,0.08924949290060852,0.058823529411764705,0.02636916835699797,0.008113590263691683,0.02231237322515213,0.0,0.002028397565922921,0.056795131845841784,0.014198782961460446,0.0486815415821501,0.016227180527383367,0.04056795131845842,0.0,0.002028397565922921,0.006085192697768763,0.02028397565922921,1.0,0.028397565922920892,0.038539553752535496,0.02028397565922921,0.038539553752535496,0.006085192697768763,0.018255578093306288,0.034482758620689655,0.02028397565922921,0.0,0.02434077079107505,0.018255578093306288,0.02028397565922921,0.006085192697768763,0.02636916835699797,0.006085192697768763,0.016227180527383367
ZNF354C TARGET GENES,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,1.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAMP1 TARGET GENES,0.004545454545454545,0.031818181818181815,0.0,0.00909090909090909,0.0,0.01818181818181818,0.00909090909090909,0.05454545454545454,0.07727272727272727,0.022727272727272728,0.004545454545454545,0.0,0.004545454545454545,0.0,0.02727272727272727,0.00909090909090909,0.004545454545454545,0.004545454545454545,0.031818181818181815,0.022727272727272728,0.004545454545454545,0.00909090909090909,0.02727272727272727,0.08636363636363636,0.004545454545454545,1.0,0.0,0.022727272727272728,0.02727272727272727,0.031818181818181815,0.045454545454545456,0.01818181818181818,0.0,0.031818181818181815,0.04090909090909091,0.02727272727272727,0.004545454545454545,0.00909090909090909,0.00909090909090909,0.004545454545454545
RAX2 TARGET GENES,0.027777777777777776,0.09722222222222222,0.027777777777777776,0.0,0.0,0.06944444444444445,0.013888888888888888,0.06944444444444445,0.013888888888888888,0.0,0.013888888888888888,0.041666666666666664,0.013888888888888888,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.1388888888888889,0.0,0.0,1.0,0.1111111111111111,0.041666666666666664,0.05555555555555555,0.041666666666666664,0.0,0.0,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.0,0.013888888888888888,0.0,0.013888888888888888
DMRT1 TARGET GENES,0.02403846153846154,0.06971153846153846,0.019230769230769232,0.002403846153846154,0.01201923076923077,0.040865384615384616,0.0,0.021634615384615384,0.04807692307692308,0.06009615384615385,0.007211538461538462,0.036057692307692304,0.004807692307692308,0.0,0.04567307692307692,0.007211538461538462,0.014423076923076924,0.026442307692307692,0.04807692307692308,0.0,0.002403846153846154,0.03365384615384615,0.02403846153846154,0.04567307692307692,0.002403846153846154,0.01201923076923077,0.019230769230769232,1.0,0.019230769230769232,0.07451923076923077,0.04567307692307692,0.06009615384615385,0.007211538461538462,0.038461538461538464,0.021634615384615384,0.016826923076923076,0.009615384615384616,0.03365384615384615,0.004807692307692308,0.002403846153846154
DNMT1 TARGET GENES,0.01282051282051282,0.02564102564102564,0.008547008547008548,0.004273504273504274,0.004273504273504274,0.05128205128205128,0.004273504273504274,0.017094017094017096,0.04700854700854701,0.017094017094017096,0.004273504273504274,0.05555555555555555,0.017094017094017096,0.02564102564102564,0.0641025641025641,0.004273504273504274,0.008547008547008548,0.01282051282051282,0.042735042735042736,0.008547008547008548,0.01282051282051282,0.029914529914529916,0.05128205128205128,0.01282051282051282,0.0,0.02564102564102564,0.01282051282051282,0.03418803418803419,1.0,0.05982905982905983,0.05982905982905983,0.029914529914529916,0.004273504273504274,0.03418803418803419,0.021367521367521368,0.02564102564102564,0.0,0.029914529914529916,0.01282051282051282,0.017094017094017096
ZBED4 TARGET GENES,0.045454545454545456,0.03896103896103896,0.025974025974025976,0.022727272727272728,0.00974025974025974,0.016233766233766232,0.0,0.012987012987012988,0.04220779220779221,0.012987012987012988,0.0,0.025974025974025976,0.01948051948051948,0.0,0.05194805194805195,0.006493506493506494,0.006493506493506494,0.00974025974025974,0.03896103896103896,0.003246753246753247,0.006493506493506494,0.01948051948051948,0.025974025974025976,0.02922077922077922,0.0,0.022727272727272728,0.012987012987012988,0.10064935064935066,0.045454545454545456,1.0,0.09090909090909091,0.08766233766233766,0.0,0.01948051948051948,0.016233766233766232,0.0,0.006493506493506494,0.025974025974025976,0.012987012987012988,0.003246753246753247
MYBL1 TARGET GENES,0.04979253112033195,0.058091286307053944,0.008298755186721992,0.016597510373443983,0.002074688796680498,0.03734439834024896,0.004149377593360996,0.026970954356846474,0.01867219917012448,0.03941908713692946,0.002074688796680498,0.016597510373443983,0.008298755186721992,0.0,0.05394190871369295,0.008298755186721992,0.012448132780082987,0.004149377593360996,0.03112033195020747,0.002074688796680498,0.006224066390041493,0.024896265560165973,0.012448132780082987,0.035269709543568464,0.0,0.02074688796680498,0.006224066390041493,0.03941908713692946,0.029045643153526972,0.058091286307053944,1.0,0.04149377593360996,0.0,0.02074688796680498,0.02074688796680498,0.01867219917012448,0.008298755186721992,0.026970954356846474,0.004149377593360996,0.006224066390041493
NR1I2 TARGET GENES,0.05459770114942529,0.034482758620689655,0.022988505747126436,0.011494252873563218,0.0028735632183908046,0.017241379310344827,0.0,0.020114942528735632,0.040229885057471264,0.034482758620689655,0.008620689655172414,0.040229885057471264,0.0028735632183908046,0.0,0.06321839080459771,0.0028735632183908046,0.02586206896551724,0.0,0.034482758620689655,0.0,0.011494252873563218,0.005747126436781609,0.017241379310344827,0.028735632183908046,0.0,0.011494252873563218,0.0,0.07183908045977011,0.020114942528735632,0.07758620689655173,0.05747126436781609,1.0,0.008620689655172414,0.028735632183908046,0.022988505747126436,0.017241379310344827,0.0028735632183908046,0.022988505747126436,0.014367816091954023,0.005747126436781609
NR2E3 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0
NR0B1 TARGET GENES,0.05013192612137203,0.05804749340369393,0.03430079155672823,0.0316622691292876,0.0079155672823219,0.0158311345646438,0.0,0.06068601583113457,0.047493403693931395,0.002638522427440633,0.005277044854881266,0.0158311345646438,0.005277044854881266,0.0,0.052770448548812667,0.013192612137203167,0.0,0.010554089709762533,0.08179419525065963,0.0,0.026385224274406333,0.044854881266490766,0.0395778364116095,0.0316622691292876,0.0,0.018469656992084433,0.002638522427440633,0.04221635883905013,0.021108179419525065,0.0158311345646438,0.026385224274406333,0.026385224274406333,0.0,1.0,0.047493403693931395,0.021108179419525065,0.0,0.0395778364116095,0.002638522427440633,0.0079155672823219
PHF21A TARGET GENES,0.027491408934707903,0.027491408934707903,0.006872852233676976,0.024054982817869417,0.006872852233676976,0.020618556701030927,0.006872852233676976,0.041237113402061855,0.024054982817869417,0.020618556701030927,0.006872852233676976,0.010309278350515464,0.0,0.0,0.054982817869415807,0.010309278350515464,0.013745704467353952,0.0,0.048109965635738834,0.003436426116838488,0.003436426116838488,0.024054982817869417,0.010309278350515464,0.030927835051546393,0.0,0.030927835051546393,0.003436426116838488,0.030927835051546393,0.01718213058419244,0.01718213058419244,0.03436426116838488,0.027491408934707903,0.0,0.061855670103092786,1.0,0.010309278350515464,0.0,0.020618556701030927,0.006872852233676976,0.010309278350515464
ZSCAN5C TARGET GENES,0.019736842105263157,0.05921052631578947,0.013157894736842105,0.0,0.006578947368421052,0.013157894736842105,0.013157894736842105,0.046052631578947366,0.05263157894736842,0.019736842105263157,0.0,0.019736842105263157,0.006578947368421052,0.0,0.03289473684210526,0.013157894736842105,0.02631578947368421,0.006578947368421052,0.019736842105263157,0.0,0.006578947368421052,0.019736842105263157,0.046052631578947366,0.06578947368421052,0.0,0.039473684210526314,0.013157894736842105,0.046052631578947366,0.039473684210526314,0.0,0.05921052631578947,0.039473684210526314,0.0,0.05263157894736842,0.019736842105263157,1.0,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.006578947368421052
ZNF622 TARGET GENES,0.0410958904109589,0.0547945205479452,0.0,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0136986301369863,0.0273972602739726,0.0,0.0273972602739726,0.0,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.0,0.0136986301369863,0.0,0.0547945205479452,0.0,0.0273972602739726,0.0547945205479452,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0136986301369863,1.0,0.0410958904109589,0.0273972602739726,0.0136986301369863
NR1H4 TARGET GENES,0.02528735632183908,0.013793103448275862,0.0,0.009195402298850575,0.004597701149425287,0.0022988505747126436,0.0,0.011494252873563218,0.011494252873563218,0.009195402298850575,0.004597701149425287,0.009195402298850575,0.0022988505747126436,0.0,0.013793103448275862,0.0022988505747126436,0.016091954022988506,0.0,0.04827586206896552,0.006896551724137931,0.016091954022988506,0.020689655172413793,0.022988505747126436,0.029885057471264367,0.0,0.004597701149425287,0.0022988505747126436,0.03218390804597701,0.016091954022988506,0.01839080459770115,0.029885057471264367,0.01839080459770115,0.004597701149425287,0.034482758620689655,0.013793103448275862,0.0022988505747126436,0.006896551724137931,1.0,0.004597701149425287,0.006896551724137931
PPARGC1A TARGET GENES,0.07920792079207921,0.019801980198019802,0.0297029702970297,0.019801980198019802,0.0,0.019801980198019802,0.0,0.04950495049504951,0.06930693069306931,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.039603960396039604,0.0,0.039603960396039604,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.019801980198019802,0.0,0.019801980198019802,0.0297029702970297,0.039603960396039604,0.019801980198019802,0.04950495049504951,0.0,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.019801980198019802,0.019801980198019802,1.0,0.009900990099009901
ZNF486 TARGET GENES,0.003289473684210526,0.02631578947368421,0.003289473684210526,0.003289473684210526,0.0,0.023026315789473683,0.0,0.009868421052631578,0.009868421052631578,0.003289473684210526,0.0,0.009868421052631578,0.0,0.0,0.009868421052631578,0.0,0.006578947368421052,0.0,0.009868421052631578,0.0,0.0,0.006578947368421052,0.003289473684210526,0.02631578947368421,0.0,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.013157894736842105,0.003289473684210526,0.009868421052631578,0.006578947368421052,0.0,0.009868421052631578,0.009868421052631578,0.003289473684210526,0.003289473684210526,0.009868421052631578,0.003289473684210526,1.0
