Pathway,NFE2L2.V2,ALK DN.V1 UP,MTOR UP.N4.V1 UP,CAHOY ASTROCYTIC,ATM DN.V1 UP,ATF2 S UP.V1 DN,RPS14 DN.V1 UP,STK33 NOMO UP,LTE2 UP.V1 UP,PKCA DN.V1 UP,ESC J1 UP LATE.V1 UP,ESC V6.5 UP LATE.V1 UP,BMI1 DN.V1 DN,EGFR UP.V1 DN,LEF1 UP.V1 DN,PTEN DN.V1 DN,KRAS.PROSTATE UP.V1 UP,RELA DN.V1 DN,JNK DN.V1 UP,ATM DN.V1 DN,CYCLIN D1 KE .V1 DN,P53 DN.V2 UP,PRC1 BMI UP.V1 UP,IL21 UP.V1 UP,PGF UP.V1 DN,VEGF A UP.V1 UP,CYCLIN D1 KE .V1 UP,P53 DN.V1 DN,KRAS.KIDNEY UP.V1 UP,KRAS.AMP.LUNG UP.V1 UP,KRAS.LUNG UP.V1 UP,KRAS.50 UP.V1 UP,IL2 UP.V1 DN,PRC1 BMI UP.V1 DN,SRC UP.V1 UP,CAHOY NEURONAL,JAK2 DN.V1 UP,PKCA DN.V1 DN,MTOR UP.V1 UP,AKT UP.V1 UP
ESC J1 UP LATE.V1 UP,0.016129032258064516,0.010752688172043012,0.016129032258064516,0.005376344086021506,0.03225806451612903,0.021505376344086023,0.026881720430107527,0.026881720430107527,0.03225806451612903,0.026881720430107527,1.0,0.44623655913978494,0.03225806451612903,0.016129032258064516,0.053763440860215055,0.026881720430107527,0.010752688172043012,0.021505376344086023,0.021505376344086023,0.016129032258064516,0.016129032258064516,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.03763440860215054,0.016129032258064516,0.03763440860215054,0.016129032258064516,0.010752688172043012,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.016129032258064516,0.005376344086021506,0.010752688172043012,0.026881720430107527,0.010752688172043012,0.016129032258064516,0.04838709677419355
ESC V6.5 UP LATE.V1 UP,0.021739130434782608,0.0,0.016304347826086956,0.005434782608695652,0.016304347826086956,0.03804347826086957,0.016304347826086956,0.021739130434782608,0.03260869565217391,0.021739130434782608,0.45108695652173914,1.0,0.03260869565217391,0.03804347826086957,0.07608695652173914,0.021739130434782608,0.005434782608695652,0.010869565217391304,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.016304347826086956,0.016304347826086956,0.010869565217391304,0.016304347826086956,0.021739130434782608,0.03260869565217391,0.02717391304347826,0.010869565217391304,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.03260869565217391,0.0,0.005434782608695652,0.016304347826086956,0.021739130434782608,0.010869565217391304,0.03804347826086957
BMI1 DN.V1 DN,0.02857142857142857,0.014285714285714285,0.02142857142857143,0.014285714285714285,0.014285714285714285,0.05714285714285714,0.014285714285714285,0.02142857142857143,0.02857142857142857,0.04285714285714286,0.04285714285714286,0.04285714285714286,1.0,0.09285714285714286,0.06428571428571428,0.02857142857142857,0.007142857142857143,0.007142857142857143,0.02857142857142857,0.02142857142857143,0.02142857142857143,0.0,0.05,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.03571428571428571,0.07142857142857142,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.03571428571428571,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.014285714285714285
EGFR UP.V1 DN,0.03571428571428571,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.00510204081632653,0.025510204081632654,0.02040816326530612,0.04081632653061224,0.00510204081632653,0.030612244897959183,0.015306122448979591,0.03571428571428571,0.0663265306122449,1.0,0.08673469387755102,0.015306122448979591,0.0,0.01020408163265306,0.02040816326530612,0.00510204081632653,0.025510204081632654,0.0,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.025510204081632654,0.015306122448979591,0.025510204081632654,0.0,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.015306122448979591,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.02040816326530612,0.01020408163265306
LEF1 UP.V1 DN,0.026737967914438502,0.026737967914438502,0.016042780748663103,0.0106951871657754,0.0053475935828877,0.0427807486631016,0.0374331550802139,0.0374331550802139,0.0481283422459893,0.0213903743315508,0.053475935828877004,0.0748663101604278,0.0481283422459893,0.09090909090909091,1.0,0.0106951871657754,0.0106951871657754,0.016042780748663103,0.026737967914438502,0.016042780748663103,0.0106951871657754,0.016042780748663103,0.0106951871657754,0.016042780748663103,0.0053475935828877,0.0,0.0106951871657754,0.016042780748663103,0.058823529411764705,0.0,0.03208556149732621,0.016042780748663103,0.0481283422459893,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.0106951871657754,0.016042780748663103,0.026737967914438502,0.026737967914438502
PTEN DN.V1 DN,0.04891304347826087,0.02717391304347826,0.005434782608695652,0.016304347826086956,0.021739130434782608,0.03260869565217391,0.03260869565217391,0.02717391304347826,0.021739130434782608,0.005434782608695652,0.02717391304347826,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.010869565217391304,1.0,0.03804347826086957,0.016304347826086956,0.03260869565217391,0.021739130434782608,0.010869565217391304,0.043478260869565216,0.016304347826086956,0.04891304347826087,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.016304347826086956,0.03804347826086957,0.02717391304347826,0.021739130434782608,0.016304347826086956,0.010869565217391304,0.05434782608695652,0.016304347826086956,0.005434782608695652,0.043478260869565216,0.005434782608695652,0.016304347826086956,0.010869565217391304
KRAS.PROSTATE UP.V1 UP,0.014598540145985401,0.029197080291970802,0.0072992700729927005,0.0,0.0072992700729927005,0.014598540145985401,0.0072992700729927005,0.021897810218978103,0.0072992700729927005,0.014598540145985401,0.014598540145985401,0.0072992700729927005,0.0072992700729927005,0.0,0.014598540145985401,0.051094890510948905,1.0,0.043795620437956206,0.029197080291970802,0.021897810218978103,0.014598540145985401,0.0364963503649635,0.014598540145985401,0.0,0.014598540145985401,0.029197080291970802,0.0,0.014598540145985401,0.0072992700729927005,0.021897810218978103,0.058394160583941604,0.08029197080291971,0.029197080291970802,0.029197080291970802,0.014598540145985401,0.029197080291970802,0.021897810218978103,0.021897810218978103,0.021897810218978103,0.0
RELA DN.V1 DN,0.03597122302158273,0.050359712230215826,0.007194244604316547,0.014388489208633094,0.02158273381294964,0.02877697841726619,0.007194244604316547,0.02877697841726619,0.014388489208633094,0.02158273381294964,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.014388489208633094,0.02158273381294964,0.02158273381294964,0.04316546762589928,1.0,0.03597122302158273,0.05755395683453238,0.02877697841726619,0.02877697841726619,0.03597122302158273,0.02877697841726619,0.007194244604316547,0.02877697841726619,0.014388489208633094,0.02158273381294964,0.007194244604316547,0.02158273381294964,0.02158273381294964,0.0,0.02158273381294964,0.014388489208633094,0.007194244604316547,0.0,0.007194244604316547,0.014388489208633094,0.007194244604316547,0.02158273381294964
JNK DN.V1 UP,0.053763440860215055,0.03763440860215054,0.021505376344086023,0.010752688172043012,0.026881720430107527,0.016129032258064516,0.043010752688172046,0.021505376344086023,0.005376344086021506,0.005376344086021506,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.026881720430107527,0.03225806451612903,0.021505376344086023,0.026881720430107527,1.0,0.04838709677419355,0.043010752688172046,0.026881720430107527,0.016129032258064516,0.010752688172043012,0.03763440860215054,0.03225806451612903,0.026881720430107527,0.03763440860215054,0.026881720430107527,0.016129032258064516,0.026881720430107527,0.005376344086021506,0.016129032258064516,0.021505376344086023,0.016129032258064516,0.010752688172043012,0.03225806451612903,0.0,0.005376344086021506,0.016129032258064516
ATM DN.V1 DN,0.02054794520547945,0.03424657534246575,0.0136986301369863,0.00684931506849315,0.0,0.0136986301369863,0.0273972602739726,0.03424657534246575,0.0136986301369863,0.0136986301369863,0.02054794520547945,0.0136986301369863,0.02054794520547945,0.00684931506849315,0.02054794520547945,0.0273972602739726,0.02054794520547945,0.0547945205479452,0.06164383561643835,1.0,0.03424657534246575,0.02054794520547945,0.0273972602739726,0.02054794520547945,0.0273972602739726,0.0410958904109589,0.00684931506849315,0.00684931506849315,0.0136986301369863,0.02054794520547945,0.02054794520547945,0.0,0.02054794520547945,0.02054794520547945,0.0,0.0136986301369863,0.0273972602739726,0.03424657534246575,0.00684931506849315,0.0
CYCLIN D1 KE .V1 DN,0.04712041884816754,0.005235602094240838,0.015706806282722512,0.005235602094240838,0.031413612565445025,0.02617801047120419,0.031413612565445025,0.02617801047120419,0.020942408376963352,0.010471204188481676,0.015706806282722512,0.010471204188481676,0.015706806282722512,0.02617801047120419,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.020942408376963352,0.041884816753926704,0.02617801047120419,1.0,0.020942408376963352,0.005235602094240838,0.015706806282722512,0.031413612565445025,0.020942408376963352,0.0,0.020942408376963352,0.02617801047120419,0.010471204188481676,0.015706806282722512,0.010471204188481676,0.015706806282722512,0.020942408376963352,0.020942408376963352,0.010471204188481676,0.015706806282722512,0.010471204188481676,0.005235602094240838,0.020942408376963352
P53 DN.V2 UP,0.04054054054054054,0.07432432432432433,0.0,0.0,0.05405405405405406,0.02702702702702703,0.0472972972972973,0.05405405405405406,0.0,0.0,0.013513513513513514,0.013513513513513514,0.0,0.0,0.02027027027027027,0.05405405405405406,0.033783783783783786,0.02702702702702703,0.033783783783783786,0.02027027027027027,0.02702702702702703,1.0,0.060810810810810814,0.033783783783783786,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.02027027027027027,0.0,0.013513513513513514,0.04054054054054054,0.02027027027027027,0.02027027027027027,0.02702702702702703,0.013513513513513514,0.006756756756756757,0.013513513513513514,0.02027027027027027,0.013513513513513514,0.0
PRC1 BMI UP.V1 UP,0.032432432432432434,0.0,0.021621621621621623,0.010810810810810811,0.005405405405405406,0.021621621621621623,0.032432432432432434,0.032432432432432434,0.005405405405405406,0.016216216216216217,0.010810810810810811,0.016216216216216217,0.03783783783783784,0.010810810810810811,0.010810810810810811,0.016216216216216217,0.010810810810810811,0.02702702702702703,0.016216216216216217,0.021621621621621623,0.005405405405405406,0.04864864864864865,1.0,0.03783783783783784,0.04864864864864865,0.016216216216216217,0.010810810810810811,0.021621621621621623,0.02702702702702703,0.016216216216216217,0.032432432432432434,0.005405405405405406,0.05405405405405406,0.010810810810810811,0.005405405405405406,0.010810810810810811,0.016216216216216217,0.005405405405405406,0.0,0.010810810810810811
IL21 UP.V1 UP,0.03225806451612903,0.043010752688172046,0.026881720430107527,0.005376344086021506,0.021505376344086023,0.03225806451612903,0.043010752688172046,0.03225806451612903,0.021505376344086023,0.005376344086021506,0.021505376344086023,0.016129032258064516,0.010752688172043012,0.005376344086021506,0.016129032258064516,0.04838709677419355,0.0,0.021505376344086023,0.010752688172043012,0.016129032258064516,0.016129032258064516,0.026881720430107527,0.03763440860215054,1.0,0.026881720430107527,0.043010752688172046,0.010752688172043012,0.03225806451612903,0.010752688172043012,0.021505376344086023,0.03763440860215054,0.0,0.0,0.03225806451612903,0.016129032258064516,0.005376344086021506,0.021505376344086023,0.016129032258064516,0.005376344086021506,0.010752688172043012
PGF UP.V1 DN,0.02617801047120419,0.015706806282722512,0.02617801047120419,0.005235602094240838,0.0,0.031413612565445025,0.020942408376963352,0.005235602094240838,0.010471204188481676,0.005235602094240838,0.010471204188481676,0.010471204188481676,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.010471204188481676,0.005235602094240838,0.03664921465968586,0.020942408376963352,0.031413612565445025,0.041884816753926704,0.04712041884816754,0.02617801047120419,1.0,0.14659685863874344,0.05235602094240838,0.03664921465968586,0.005235602094240838,0.020942408376963352,0.015706806282722512,0.0,0.005235602094240838,0.02617801047120419,0.010471204188481676,0.005235602094240838,0.04712041884816754,0.005235602094240838,0.02617801047120419,0.010471204188481676
VEGF A UP.V1 UP,0.02564102564102564,0.015384615384615385,0.02564102564102564,0.005128205128205128,0.05128205128205128,0.03076923076923077,0.041025641025641026,0.03076923076923077,0.020512820512820513,0.015384615384615385,0.035897435897435895,0.015384615384615385,0.010256410256410256,0.010256410256410256,0.0,0.015384615384615385,0.020512820512820513,0.020512820512820513,0.03076923076923077,0.03076923076923077,0.020512820512820513,0.041025641025641026,0.015384615384615385,0.041025641025641026,0.14358974358974358,1.0,0.046153846153846156,0.03076923076923077,0.010256410256410256,0.010256410256410256,0.0,0.0,0.03076923076923077,0.03076923076923077,0.005128205128205128,0.010256410256410256,0.020512820512820513,0.015384615384615385,0.010256410256410256,0.010256410256410256
CYCLIN D1 KE .V1 UP,0.026595744680851064,0.015957446808510637,0.03723404255319149,0.005319148936170213,0.010638297872340425,0.031914893617021274,0.02127659574468085,0.031914893617021274,0.010638297872340425,0.015957446808510637,0.015957446808510637,0.02127659574468085,0.02127659574468085,0.026595744680851064,0.010638297872340425,0.005319148936170213,0.0,0.010638297872340425,0.026595744680851064,0.005319148936170213,0.0,0.02127659574468085,0.010638297872340425,0.010638297872340425,0.05319148936170213,0.047872340425531915,1.0,0.02127659574468085,0.0,0.02127659574468085,0.015957446808510637,0.0,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.0,0.0,0.010638297872340425,0.005319148936170213,0.010638297872340425
P53 DN.V1 DN,0.08762886597938144,0.010309278350515464,0.020618556701030927,0.010309278350515464,0.010309278350515464,0.030927835051546393,0.08762886597938144,0.06701030927835051,0.030927835051546393,0.010309278350515464,0.03608247422680412,0.030927835051546393,0.02577319587628866,0.015463917525773196,0.015463917525773196,0.015463917525773196,0.010309278350515464,0.015463917525773196,0.03608247422680412,0.005154639175257732,0.020618556701030927,0.015463917525773196,0.020618556701030927,0.030927835051546393,0.03608247422680412,0.030927835051546393,0.020618556701030927,1.0,0.08762886597938144,0.030927835051546393,0.030927835051546393,0.020618556701030927,0.020618556701030927,0.015463917525773196,0.005154639175257732,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.015463917525773196,0.010309278350515464
KRAS.KIDNEY UP.V1 UP,0.05,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02142857142857143,0.007142857142857143,0.02142857142857143,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07857142857142857,0.05,0.007142857142857143,0.007142857142857143,0.03571428571428571,0.014285714285714285,0.03571428571428571,0.0,0.03571428571428571,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.0,0.12142857142857143,1.0,0.02857142857142857,0.05,0.14285714285714285,0.06428571428571428,0.007142857142857143,0.007142857142857143,0.05714285714285714,0.014285714285714285,0.02142857142857143,0.0,0.007142857142857143
KRAS.AMP.LUNG UP.V1 UP,0.07857142857142857,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.03571428571428571,0.04285714285714286,0.04285714285714286,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.007142857142857143,0.0,0.0,0.03571428571428571,0.02142857142857143,0.02142857142857143,0.02142857142857143,0.02142857142857143,0.014285714285714285,0.014285714285714285,0.02142857142857143,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.02857142857142857,0.04285714285714286,0.02857142857142857,1.0,0.16428571428571428,0.02142857142857143,0.02857142857142857,0.05714285714285714,0.0,0.02142857142857143,0.03571428571428571,0.007142857142857143,0.0,0.014285714285714285
KRAS.LUNG UP.V1 UP,0.03571428571428571,0.03571428571428571,0.007142857142857143,0.02857142857142857,0.0,0.02857142857142857,0.05714285714285714,0.05,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.04285714285714286,0.02857142857142857,0.05714285714285714,0.02142857142857143,0.03571428571428571,0.02142857142857143,0.02142857142857143,0.04285714285714286,0.04285714285714286,0.05,0.02142857142857143,0.0,0.02142857142857143,0.04285714285714286,0.05,0.16428571428571428,1.0,0.15,0.02857142857142857,0.02142857142857143,0.02142857142857143,0.014285714285714285,0.05,0.007142857142857143,0.0,0.0
KRAS.50 UP.V1 UP,0.10416666666666667,0.0625,0.0,0.041666666666666664,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.10416666666666667,0.0,0.0,0.041666666666666664,0.0625,0.08333333333333333,0.020833333333333332,0.0625,0.0625,0.22916666666666666,0.0,0.020833333333333332,0.0,0.041666666666666664,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0625,0.4375,1.0,0.020833333333333332,0.0,0.0,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0
IL2 UP.V1 DN,0.03125,0.010416666666666666,0.005208333333333333,0.015625,0.015625,0.010416666666666666,0.046875,0.046875,0.015625,0.005208333333333333,0.010416666666666666,0.020833333333333332,0.026041666666666668,0.010416666666666666,0.046875,0.010416666666666666,0.020833333333333332,0.015625,0.015625,0.015625,0.015625,0.015625,0.052083333333333336,0.0,0.005208333333333333,0.03125,0.010416666666666666,0.020833333333333332,0.046875,0.020833333333333332,0.020833333333333332,0.005208333333333333,1.0,0.020833333333333332,0.0,0.010416666666666666,0.005208333333333333,0.0,0.010416666666666666,0.020833333333333332
PRC1 BMI UP.V1 DN,0.03208556149732621,0.0427807486631016,0.0106951871657754,0.0106951871657754,0.0481283422459893,0.0374331550802139,0.0374331550802139,0.016042780748663103,0.016042780748663103,0.026737967914438502,0.016042780748663103,0.03208556149732621,0.0106951871657754,0.016042780748663103,0.0106951871657754,0.053475935828877004,0.0213903743315508,0.0106951871657754,0.0213903743315508,0.016042780748663103,0.0213903743315508,0.0213903743315508,0.0106951871657754,0.03208556149732621,0.026737967914438502,0.03208556149732621,0.0053475935828877,0.016042780748663103,0.0053475935828877,0.0427807486631016,0.016042780748663103,0.0,0.0213903743315508,1.0,0.058823529411764705,0.0106951871657754,0.0427807486631016,0.0,0.0053475935828877,0.0106951871657754
SRC UP.V1 UP,0.011235955056179775,0.011235955056179775,0.0056179775280898875,0.0056179775280898875,0.028089887640449437,0.016853932584269662,0.0056179775280898875,0.011235955056179775,0.011235955056179775,0.016853932584269662,0.0056179775280898875,0.0,0.016853932584269662,0.0056179775280898875,0.0056179775280898875,0.016853932584269662,0.011235955056179775,0.0056179775280898875,0.016853932584269662,0.0,0.02247191011235955,0.011235955056179775,0.0056179775280898875,0.016853932584269662,0.011235955056179775,0.0056179775280898875,0.011235955056179775,0.0056179775280898875,0.0056179775280898875,0.0,0.016853932584269662,0.0,0.0,0.06179775280898876,1.0,0.016853932584269662,0.016853932584269662,0.0056179775280898875,0.0056179775280898875,0.011235955056179775
CAHOY NEURONAL,0.02,0.01,0.01,0.0,0.02,0.05,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.0,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.0,0.02,0.08,0.03,0.02,0.04,0.02,0.02,0.03,1.0,0.05,0.0,0.01,0.02
JAK2 DN.V1 UP,0.043478260869565216,0.016304347826086956,0.005434782608695652,0.005434782608695652,0.02717391304347826,0.021739130434782608,0.03260869565217391,0.016304347826086956,0.005434782608695652,0.021739130434782608,0.02717391304347826,0.016304347826086956,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.043478260869565216,0.016304347826086956,0.005434782608695652,0.03260869565217391,0.021739130434782608,0.016304347826086956,0.010869565217391304,0.016304347826086956,0.021739130434782608,0.04891304347826087,0.021739130434782608,0.0,0.021739130434782608,0.010869565217391304,0.02717391304347826,0.03804347826086957,0.005434782608695652,0.005434782608695652,0.043478260869565216,0.016304347826086956,0.02717391304347826,1.0,0.016304347826086956,0.010869565217391304,0.010869565217391304
