Pathway,PPARA PATHWAY,PPARG PATHWAY,VDR PATHWAY,RARRXR PATHWAY,SM PATHWAY,MYOSIN PATHWAY,PAR1 PATHWAY,PLCD PATHWAY,CREB PATHWAY,AGPCR PATHWAY,GPCR PATHWAY,DREAM PATHWAY,CARM1 PATHWAY,NFAT PATHWAY,NOS1 PATHWAY,MET PATHWAY,HER2 PATHWAY,PTEN PATHWAY,GH PATHWAY,PLC PATHWAY,TPO PATHWAY,HCMV PATHWAY,EIF4 PATHWAY,CTLA4 PATHWAY,IL7 PATHWAY,PS1 PATHWAY,ALK PATHWAY,GSK3 PATHWAY,IL10 PATHWAY,IL6 PATHWAY,STAT3 PATHWAY,BARRESTIN PATHWAY,TGFB PATHWAY,HIF PATHWAY,PDZS PATHWAY,AGR PATHWAY,ACTINY PATHWAY,PROTEASOME PATHWAY,EGFR SMRTE PATHWAY,CBL PATHWAY
CTLA4 PATHWAY,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.09090909090909091,1.0,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
IL7 PATHWAY,0.4375,0.125,0.125,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.125,0.25,0.0,0.25,0.25,0.125,0.3125,0.1875,0.3125,0.1875,0.125,0.1875,1.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
PS1 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
ALK PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,1.0,0.1891891891891892,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0
GSK3 PATHWAY,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.2,0.1,0.15,0.1,0.25,0.2,0.1,0.1,0.35,0.35,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0
IL10 PATHWAY,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,1.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6 PATHWAY,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.3333333333333333,0.14285714285714285,0.0,0.19047619047619047,0.0,0.5238095238095238,0.5238095238095238,0.19047619047619047,0.42857142857142855,0.0,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.14285714285714285,1.0,0.23809523809523808,0.0,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.047619047619047616
STAT3 PATHWAY,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.125,0.0,0.25,0.0,0.375,0.375,0.25,0.375,0.0,0.375,0.25,0.375,0.0,0.25,0.0,0.0,0.0,0.25,0.625,1.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0
BARRESTIN PATHWAY,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFB PATHWAY,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.0,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.42105263157894735,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.0,1.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0
HIF PATHWAY,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,1.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
PDZS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
AGR PATHWAY,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.06060606060606061,0.06060606060606061,0.0,0.12121212121212122,0.0,0.21212121212121213,0.09090909090909091,0.12121212121212122,0.06060606060606061,0.0,0.06060606060606061,0.09090909090909091,0.06060606060606061,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304
ACTINY PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,1.0,0.08333333333333333,0.0,0.0
PROTEASOME PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,0.0,0.0
EGFR SMRTE PATHWAY,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,1.0,0.18181818181818182
CBL PATHWAY,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.25,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,1.0
