Pathway,FOXR2 TARGET GENES,EPC1 TARGET GENES,SOX11 TARGET GENES,SETBP1 TARGET GENES,TASOR TARGET GENES,PPARGC1A TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,CASP8AP2 TARGET GENES,RUVBL1 TARGET GENES,ZNF101 TARGET GENES,ZNF524 TARGET GENES,KLF14 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,GTF2E2 TARGET GENES,PSMB5 TARGET GENES,MAPK3 TARGET GENES,NPAT TARGET GENES,CHAF1A TARGET GENES,MYBL1 TARGET GENES,PHF21A TARGET GENES,DMRT1 TARGET GENES,YBX3 TARGET GENES,ZNF704 TARGET GENES,TERF1 TARGET GENES,ZNF223 TARGET GENES,ZNF622 TARGET GENES,SOX10 TARGET GENES,RAX2 TARGET GENES,TCOF1 TARGET GENES,ZBED4 TARGET GENES,ZNF581 TARGET GENES,HOXA13 TARGET GENES,NR1I2 TARGET GENES,PITX1 TARGET GENES,ZNF746 TARGET GENES,NFXL1 TARGET GENES,ZNF486 TARGET GENES
ZNF101 TARGET GENES,0.02231237322515213,0.056795131845841784,0.010141987829614604,0.04056795131845842,0.04259634888438134,0.006085192697768763,0.11967545638945233,0.06490872210953347,0.058823529411764705,0.02636916835699797,1.0,0.12373225152129817,0.08924949290060852,0.04462474645030426,0.032454361054766734,0.04259634888438134,0.036511156186612576,0.02434077079107505,0.012170385395537525,0.02028397565922921,0.006085192697768763,0.034482758620689655,0.018255578093306288,0.038539553752535496,0.016227180527383367,0.014198782961460446,0.02028397565922921,0.05476673427991886,0.006085192697768763,0.012170385395537525,0.02028397565922921,0.002028397565922921,0.018255578093306288,0.038539553752535496,0.010141987829614604,0.02028397565922921,0.030425963488843813,0.002028397565922921,0.02028397565922921,0.016227180527383367
ZNF524 TARGET GENES,0.01971830985915493,0.0676056338028169,0.005633802816901409,0.016901408450704224,0.016901408450704224,0.008450704225352112,0.14084507042253522,0.0676056338028169,0.10422535211267606,0.04507042253521127,0.17183098591549295,1.0,0.15211267605633802,0.05352112676056338,0.03380281690140845,0.04225352112676056,0.04225352112676056,0.030985915492957747,0.0028169014084507044,0.022535211267605635,0.030985915492957747,0.036619718309859155,0.03943661971830986,0.04788732394366197,0.014084507042253521,0.01971830985915493,0.014084507042253521,0.03380281690140845,0.008450704225352112,0.005633802816901409,0.0,0.0028169014084507044,0.022535211267605635,0.04507042253521127,0.005633802816901409,0.04225352112676056,0.05070422535211268,0.0,0.05070422535211268,0.01971830985915493
KLF14 TARGET GENES,0.019455252918287938,0.042801556420233464,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876,0.019455252918287938,0.2840466926070039,0.14007782101167315,0.14396887159533073,0.06614785992217899,0.17120622568093385,0.21011673151750973,1.0,0.054474708171206226,0.0311284046692607,0.0311284046692607,0.08949416342412451,0.01556420233463035,0.011673151750972763,0.0311284046692607,0.054474708171206226,0.05058365758754864,0.04669260700389105,0.03501945525291829,0.007782101167315175,0.019455252918287938,0.0038910505836575876,0.04669260700389105,0.0038910505836575876,0.0,0.019455252918287938,0.0,0.01556420233463035,0.038910505836575876,0.0,0.027237354085603113,0.0311284046692607,0.0038910505836575876,0.038910505836575876,0.011673151750972763
NPM1 TARGET GENES,0.03296703296703297,0.054945054945054944,0.0027472527472527475,0.013736263736263736,0.02197802197802198,0.005494505494505495,0.07417582417582418,0.02197802197802198,0.038461538461538464,0.02197802197802198,0.06043956043956044,0.0521978021978022,0.038461538461538464,1.0,0.20604395604395603,0.07692307692307693,0.07967032967032966,0.06318681318681318,0.016483516483516484,0.013736263736263736,0.0,0.04945054945054945,0.016483516483516484,0.046703296703296704,0.013736263736263736,0.005494505494505495,0.013736263736263736,0.008241758241758242,0.0027472527472527475,0.01098901098901099,0.013736263736263736,0.008241758241758242,0.013736263736263736,0.03296703296703297,0.0027472527472527475,0.016483516483516484,0.03021978021978022,0.005494505494505495,0.02197802197802198,0.019230769230769232
ZNF830 TARGET GENES,0.04844290657439446,0.03460207612456748,0.0034602076124567475,0.0,0.0,0.006920415224913495,0.0726643598615917,0.03806228373702422,0.03460207612456748,0.02422145328719723,0.05536332179930796,0.04152249134948097,0.02768166089965398,0.25951557093425603,1.0,0.08304498269896193,0.031141868512110725,0.031141868512110725,0.010380622837370242,0.010380622837370242,0.01384083044982699,0.03460207612456748,0.01384083044982699,0.04844290657439446,0.0,0.0034602076124567475,0.006920415224913495,0.01384083044982699,0.010380622837370242,0.020761245674740483,0.010380622837370242,0.0,0.010380622837370242,0.04498269896193772,0.0034602076124567475,0.010380622837370242,0.04498269896193772,0.0,0.02768166089965398,0.010380622837370242
ZZZ3 TARGET GENES,0.04075235109717868,0.0438871473354232,0.0,0.009404388714733543,0.012539184952978056,0.018808777429467086,0.07836990595611286,0.08463949843260188,0.050156739811912224,0.03761755485893417,0.06583072100313479,0.047021943573667714,0.025078369905956112,0.0877742946708464,0.07523510971786834,1.0,0.05956112852664577,0.05329153605015674,0.018808777429467086,0.03134796238244514,0.003134796238244514,0.034482758620689655,0.03761755485893417,0.05956112852664577,0.009404388714733543,0.003134796238244514,0.01567398119122257,0.0219435736677116,0.003134796238244514,0.018808777429467086,0.009404388714733543,0.0,0.04075235109717868,0.07210031347962383,0.003134796238244514,0.04075235109717868,0.02821316614420063,0.006269592476489028,0.03761755485893417,0.006269592476489028
GTF2E2 TARGET GENES,0.02158273381294964,0.047961630695443645,0.004796163069544364,0.009592326139088728,0.047961630695443645,0.004796163069544364,0.13908872901678657,0.06474820143884892,0.09592326139088729,0.06235011990407674,0.04316546762589928,0.03597122302158273,0.05515587529976019,0.06954436450839328,0.02158273381294964,0.045563549160671464,1.0,0.2278177458033573,0.03597122302158273,0.03836930455635491,0.009592326139088728,0.0671462829736211,0.019184652278177457,0.06954436450839328,0.023980815347721823,0.007194244604316547,0.014388489208633094,0.023980815347721823,0.009592326139088728,0.02158273381294964,0.016786570743405275,0.0,0.02877697841726619,0.047961630695443645,0.004796163069544364,0.02877697841726619,0.05275779376498801,0.004796163069544364,0.045563549160671464,0.019184652278177457
PSMB5 TARGET GENES,0.012861736334405145,0.05787781350482315,0.00964630225080386,0.00964630225080386,0.07717041800643087,0.02572347266881029,0.06430868167202572,0.022508038585209004,0.07395498392282958,0.06430868167202572,0.03858520900321544,0.03536977491961415,0.012861736334405145,0.07395498392282958,0.028938906752411574,0.05466237942122187,0.3054662379421222,1.0,0.07395498392282958,0.06752411575562701,0.01607717041800643,0.07717041800643087,0.02572347266881029,0.03215434083601286,0.0,0.006430868167202572,0.00964630225080386,0.00964630225080386,0.00964630225080386,0.006430868167202572,0.006430868167202572,0.0,0.04501607717041801,0.07395498392282958,0.003215434083601286,0.06109324758842444,0.05466237942122187,0.01607717041800643,0.06430868167202572,0.003215434083601286
MAPK3 TARGET GENES,0.05555555555555555,0.046296296296296294,0.018518518518518517,0.0,0.07407407407407407,0.027777777777777776,0.018518518518518517,0.046296296296296294,0.07407407407407407,0.05555555555555555,0.05555555555555555,0.009259259259259259,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.21296296296296297,1.0,0.09259259259259259,0.009259259259259259,0.037037037037037035,0.018518518518518517,0.07407407407407407,0.0,0.0,0.009259259259259259,0.027777777777777776,0.0,0.05555555555555555,0.018518518518518517,0.0,0.07407407407407407,0.046296296296296294,0.0,0.07407407407407407,0.05555555555555555,0.009259259259259259,0.06481481481481481,0.009259259259259259
NPAT TARGET GENES,0.017857142857142856,0.04642857142857143,0.007142857142857143,0.014285714285714285,0.08928571428571429,0.0035714285714285713,0.03214285714285714,0.025,0.18571428571428572,0.014285714285714285,0.03571428571428571,0.02857142857142857,0.02857142857142857,0.017857142857142856,0.010714285714285714,0.03571428571428571,0.05714285714285714,0.075,0.03571428571428571,1.0,0.010714285714285714,0.05,0.04285714285714286,0.05,0.0,0.0,0.0035714285714285713,0.010714285714285714,0.010714285714285714,0.017857142857142856,0.010714285714285714,0.0,0.07142857142857142,0.060714285714285714,0.007142857142857143,0.06428571428571428,0.05357142857142857,0.0,0.060714285714285714,0.007142857142857143
CHAF1A TARGET GENES,0.01020408163265306,0.04081632653061224,0.0,0.01020408163265306,0.0,0.0,0.05102040816326531,0.04081632653061224,0.04081632653061224,0.02040816326530612,0.030612244897959183,0.11224489795918367,0.14285714285714285,0.0,0.04081632653061224,0.01020408163265306,0.04081632653061224,0.05102040816326531,0.01020408163265306,0.030612244897959183,1.0,0.10204081632653061,0.07142857142857142,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.0,0.0,0.02040816326530612,0.01020408163265306,0.0,0.01020408163265306,0.02040816326530612,0.0,0.061224489795918366,0.04081632653061224
MYBL1 TARGET GENES,0.016597510373443983,0.05394190871369295,0.008298755186721992,0.014522821576763486,0.026970954356846474,0.004149377593360996,0.04979253112033195,0.026970954356846474,0.01867219917012448,0.03941908713692946,0.035269709543568464,0.026970954356846474,0.026970954356846474,0.03734439834024896,0.02074688796680498,0.022821576763485476,0.058091286307053944,0.04979253112033195,0.008298755186721992,0.029045643153526972,0.02074688796680498,1.0,0.02074688796680498,0.03941908713692946,0.004149377593360996,0.008298755186721992,0.014522821576763486,0.01037344398340249,0.008298755186721992,0.01867219917012448,0.006224066390041493,0.004149377593360996,0.058091286307053944,0.07468879668049792,0.01037344398340249,0.04149377593360996,0.05186721991701245,0.008298755186721992,0.024896265560165973,0.006224066390041493
PHF21A TARGET GENES,0.010309278350515464,0.054982817869415807,0.003436426116838488,0.010309278350515464,0.05154639175257732,0.006872852233676976,0.048109965635738834,0.010309278350515464,0.024054982817869417,0.020618556701030927,0.030927835051546393,0.048109965635738834,0.041237113402061855,0.020618556701030927,0.013745704467353952,0.041237113402061855,0.027491408934707903,0.027491408934707903,0.006872852233676976,0.041237113402061855,0.024054982817869417,0.03436426116838488,1.0,0.030927835051546393,0.0,0.010309278350515464,0.010309278350515464,0.03436426116838488,0.0,0.01718213058419244,0.003436426116838488,0.0,0.01718213058419244,0.010309278350515464,0.0,0.027491408934707903,0.027491408934707903,0.006872852233676976,0.061855670103092786,0.010309278350515464
DMRT1 TARGET GENES,0.036057692307692304,0.04567307692307692,0.009615384615384616,0.014423076923076924,0.03125,0.004807692307692308,0.06971153846153846,0.08653846153846154,0.04807692307692308,0.06009615384615385,0.04567307692307692,0.040865384615384616,0.021634615384615384,0.040865384615384616,0.03365384615384615,0.04567307692307692,0.06971153846153846,0.02403846153846154,0.019230769230769232,0.03365384615384615,0.002403846153846154,0.04567307692307692,0.021634615384615384,1.0,0.026442307692307692,0.007211538461538462,0.016826923076923076,0.019230769230769232,0.009615384615384616,0.014423076923076924,0.019230769230769232,0.004807692307692308,0.07451923076923077,0.06490384615384616,0.02403846153846154,0.06009615384615385,0.09134615384615384,0.002403846153846154,0.03365384615384615,0.002403846153846154
YBX3 TARGET GENES,0.017241379310344827,0.05172413793103448,0.0,0.0,0.0,0.0,0.22413793103448276,0.13793103448275862,0.13793103448275862,0.06896551724137931,0.13793103448275862,0.08620689655172414,0.034482758620689655,0.08620689655172414,0.0,0.05172413793103448,0.1724137931034483,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.1896551724137931,1.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.017241379310344827,0.05172413793103448,0.0,0.05172413793103448,0.0,0.0,0.0
ZNF704 TARGET GENES,0.028169014084507043,0.07042253521126761,0.0,0.0,0.0,0.014084507042253521,0.09859154929577464,0.028169014084507043,0.08450704225352113,0.0,0.09859154929577464,0.09859154929577464,0.07042253521126761,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.04225352112676056,0.028169014084507043,0.0,0.0,0.0,0.056338028169014086,0.04225352112676056,0.04225352112676056,0.04225352112676056,1.0,0.014084507042253521,0.028169014084507043,0.0,0.0,0.0,0.0,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.04225352112676056,0.0,0.028169014084507043,0.0
TERF1 TARGET GENES,0.016722408026755852,0.016722408026755852,0.0033444816053511705,0.016722408026755852,0.033444816053511704,0.0,0.006688963210702341,0.010033444816053512,0.016722408026755852,0.006688963210702341,0.033444816053511704,0.016722408026755852,0.0033444816053511705,0.016722408026755852,0.006688963210702341,0.016722408026755852,0.020066889632107024,0.010033444816053512,0.0033444816053511705,0.0033444816053511705,0.0,0.023411371237458192,0.010033444816053512,0.023411371237458192,0.0,0.0033444816053511705,1.0,0.030100334448160536,0.006688963210702341,0.026755852842809364,0.0033444816053511705,0.0,0.010033444816053512,0.016722408026755852,0.0033444816053511705,0.013377926421404682,0.013377926421404682,0.0033444816053511705,0.020066889632107024,0.016722408026755852
ZNF223 TARGET GENES,0.012195121951219513,0.04573170731707317,0.003048780487804878,0.01524390243902439,0.03048780487804878,0.009146341463414634,0.027439024390243903,0.01524390243902439,0.021341463414634148,0.009146341463414634,0.08231707317073171,0.036585365853658534,0.036585365853658534,0.009146341463414634,0.012195121951219513,0.021341463414634148,0.03048780487804878,0.009146341463414634,0.009146341463414634,0.009146341463414634,0.003048780487804878,0.01524390243902439,0.03048780487804878,0.024390243902439025,0.0,0.006097560975609756,0.027439024390243903,1.0,0.006097560975609756,0.009146341463414634,0.0,0.0,0.01524390243902439,0.024390243902439025,0.003048780487804878,0.036585365853658534,0.036585365853658534,0.0,0.018292682926829267,0.006097560975609756
ZNF622 TARGET GENES,0.0136986301369863,0.0273972602739726,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0,0.0410958904109589,0.0410958904109589,0.0,0.0410958904109589,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0410958904109589,0.0136986301369863,0.0547945205479452,0.0410958904109589,0.0,0.0410958904109589,0.0273972602739726,0.0547945205479452,0.0,0.0547945205479452,0.0,0.0,0.0273972602739726,0.0273972602739726,1.0,0.0136986301369863,0.0,0.0,0.0273972602739726,0.0,0.0,0.0136986301369863,0.0410958904109589,0.0,0.0410958904109589,0.0136986301369863
SOX10 TARGET GENES,0.0220125786163522,0.009433962264150943,0.0031446540880503146,0.0031446540880503146,0.012578616352201259,0.0,0.006289308176100629,0.006289308176100629,0.0031446540880503146,0.006289308176100629,0.018867924528301886,0.006289308176100629,0.0,0.012578616352201259,0.018867924528301886,0.018867924528301886,0.02830188679245283,0.006289308176100629,0.018867924528301886,0.015723270440251572,0.0031446540880503146,0.02830188679245283,0.015723270440251572,0.018867924528301886,0.0,0.0,0.025157232704402517,0.009433962264150943,0.0031446540880503146,1.0,0.0031446540880503146,0.0,0.025157232704402517,0.018867924528301886,0.0,0.018867924528301886,0.0220125786163522,0.0,0.015723270440251572,0.012578616352201259
RAX2 TARGET GENES,0.041666666666666664,0.041666666666666664,0.013888888888888888,0.041666666666666664,0.06944444444444445,0.0,0.1527777777777778,0.125,0.013888888888888888,0.0,0.1388888888888889,0.0,0.06944444444444445,0.06944444444444445,0.041666666666666664,0.041666666666666664,0.09722222222222222,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.0,0.041666666666666664,0.013888888888888888,0.1111111111111111,0.0,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,1.0,0.027777777777777776,0.05555555555555555,0.06944444444444445,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888
TCOF1 TARGET GENES,0.0,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0
ZBED4 TARGET GENES,0.025974025974025976,0.05194805194805195,0.00974025974025974,0.032467532467532464,0.04220779220779221,0.012987012987012988,0.05844155844155844,0.04220779220779221,0.04220779220779221,0.012987012987012988,0.02922077922077922,0.025974025974025976,0.012987012987012988,0.016233766233766232,0.00974025974025974,0.04220779220779221,0.03896103896103896,0.045454545454545456,0.025974025974025976,0.06493506493506493,0.006493506493506494,0.09090909090909091,0.016233766233766232,0.10064935064935066,0.00974025974025974,0.006493506493506494,0.00974025974025974,0.016233766233766232,0.006493506493506494,0.025974025974025976,0.012987012987012988,0.012987012987012988,1.0,0.07467532467532467,0.012987012987012988,0.08766233766233766,0.1038961038961039,0.0,0.04220779220779221,0.003246753246753247
ZNF581 TARGET GENES,0.02710843373493976,0.03614457831325301,0.006024096385542169,0.0391566265060241,0.03313253012048193,0.02108433734939759,0.0391566265060241,0.02710843373493976,0.04216867469879518,0.009036144578313253,0.0572289156626506,0.04819277108433735,0.030120481927710843,0.03614457831325301,0.0391566265060241,0.06927710843373494,0.060240963855421686,0.06927710843373494,0.015060240963855422,0.05120481927710843,0.0030120481927710845,0.10843373493975904,0.009036144578313253,0.08132530120481928,0.0030120481927710845,0.006024096385542169,0.015060240963855422,0.024096385542168676,0.0,0.018072289156626505,0.015060240963855422,0.0,0.06927710843373494,1.0,0.024096385542168676,0.09036144578313253,0.10542168674698796,0.0030120481927710845,0.015060240963855422,0.006024096385542169
HOXA13 TARGET GENES,0.07142857142857142,0.10714285714285714,0.0,0.0,0.017857142857142856,0.0,0.08928571428571429,0.08928571428571429,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.0,0.03571428571428571,0.0,0.08928571428571429,0.0,0.17857142857142858,0.05357142857142857,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,1.0,0.05357142857142857,0.08928571428571429,0.0,0.0,0.0
NR1I2 TARGET GENES,0.040229885057471264,0.06321839080459771,0.0,0.014367816091954023,0.017241379310344827,0.014367816091954023,0.05172413793103448,0.040229885057471264,0.040229885057471264,0.034482758620689655,0.028735632183908046,0.04310344827586207,0.020114942528735632,0.017241379310344827,0.008620689655172414,0.03735632183908046,0.034482758620689655,0.05459770114942529,0.022988505747126436,0.05172413793103448,0.0028735632183908046,0.05747126436781609,0.022988505747126436,0.07183908045977011,0.0,0.0028735632183908046,0.011494252873563218,0.034482758620689655,0.0028735632183908046,0.017241379310344827,0.0,0.0028735632183908046,0.07758620689655173,0.08620689655172414,0.008620689655172414,1.0,0.09195402298850575,0.0028735632183908046,0.022988505747126436,0.005747126436781609
PITX1 TARGET GENES,0.03418803418803419,0.05698005698005698,0.002849002849002849,0.005698005698005698,0.011396011396011397,0.017094017094017096,0.06552706552706553,0.04843304843304843,0.05413105413105413,0.039886039886039885,0.042735042735042736,0.05128205128205128,0.022792022792022793,0.03133903133903134,0.037037037037037035,0.02564102564102564,0.06267806267806268,0.04843304843304843,0.017094017094017096,0.042735042735042736,0.005698005698005698,0.07122507122507123,0.022792022792022793,0.10826210826210826,0.008547008547008548,0.008547008547008548,0.011396011396011397,0.03418803418803419,0.008547008547008548,0.019943019943019943,0.002849002849002849,0.0,0.09116809116809117,0.09971509971509972,0.014245014245014245,0.09116809116809117,1.0,0.005698005698005698,0.019943019943019943,0.005698005698005698
ZNF746 TARGET GENES,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.025,0.0,0.025,0.025,0.0625,0.0125,0.0,0.0,0.05,0.025,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.025,1.0,0.15,0.025
