"Method","Input_Type","Input_Name","Gene_Count","Rank_Conditions","Output_Directory","Result_Tables"
"enrichr","DEG","MVL_ALL","10","MVL_ALL","results/ngs/GSE310664/TF/DEG/MVL_ALL/enrichr","5"
"enrichr","DEG","MVL_CRC29","232","MVL_CRC29","results/ngs/GSE310664/TF/DEG/MVL_CRC29/enrichr","5"
"enrichr","DEG","MVL_HUB098","469","MVL_HUB098","results/ngs/GSE310664/TF/DEG/MVL_HUB098/enrichr","5"
"enrichr","DEG","MVL_TOR10","1059","MVL_TOR10","results/ngs/GSE310664/TF/DEG/MVL_TOR10/enrichr","5"
"trrust","DEG","HMVL_ALL","256","HMVL_ALL","results/ngs/GSE310664/TF/DEG/HMVL_ALL/trrust","1"
"trrust","DEG","HMVL_CRC29","603","HMVL_CRC29","results/ngs/GSE310664/TF/DEG/HMVL_CRC29/trrust","1"
"trrust","DEG","HMVL_HUB098","457","HMVL_HUB098","results/ngs/GSE310664/TF/DEG/HMVL_HUB098/trrust","1"
"trrust","DEG","HMVL_TOR10","1153","HMVL_TOR10","results/ngs/GSE310664/TF/DEG/HMVL_TOR10/trrust","1"
"trrust","DEG","HVL_ALL","979","HVL_ALL","results/ngs/GSE310664/TF/DEG/HVL_ALL/trrust","1"
"trrust","DEG","HVL_CRC29","3393","HVL_CRC29","results/ngs/GSE310664/TF/DEG/HVL_CRC29/trrust","1"
"trrust","DEG","HVL_HUB098","1703","HVL_HUB098","results/ngs/GSE310664/TF/DEG/HVL_HUB098/trrust","1"
"trrust","DEG","HVL_TOR10","2989","HVL_TOR10","results/ngs/GSE310664/TF/DEG/HVL_TOR10/trrust","1"
"trrust","DEG","MVL_ALL","10","MVL_ALL","results/ngs/GSE310664/TF/DEG/MVL_ALL/trrust","1"
"trrust","DEG","MVL_CRC29","232","MVL_CRC29","results/ngs/GSE310664/TF/DEG/MVL_CRC29/trrust","1"
"trrust","DEG","MVL_HUB098","469","MVL_HUB098","results/ngs/GSE310664/TF/DEG/MVL_HUB098/trrust","1"
"trrust","DEG","MVL_TOR10","1059","MVL_TOR10","results/ngs/GSE310664/TF/DEG/MVL_TOR10/trrust","1"
"viper","DEG","HMVL_ALL","256","HMVL_ALL","results/ngs/GSE310664/TF/DEG/HMVL_ALL/viper","1"
"viper","DEG","HMVL_CRC29","603","HMVL_CRC29","results/ngs/GSE310664/TF/DEG/HMVL_CRC29/viper","1"
"viper","DEG","HMVL_HUB098","457","HMVL_HUB098","results/ngs/GSE310664/TF/DEG/HMVL_HUB098/viper","1"
"viper","DEG","HMVL_TOR10","1153","HMVL_TOR10","results/ngs/GSE310664/TF/DEG/HMVL_TOR10/viper","1"
"viper","DEG","HVL_ALL","979","HVL_ALL","results/ngs/GSE310664/TF/DEG/HVL_ALL/viper","1"
"viper","DEG","HVL_CRC29","3393","HVL_CRC29","results/ngs/GSE310664/TF/DEG/HVL_CRC29/viper","1"
"viper","DEG","HVL_HUB098","1703","HVL_HUB098","results/ngs/GSE310664/TF/DEG/HVL_HUB098/viper","1"
"viper","DEG","HVL_TOR10","2989","HVL_TOR10","results/ngs/GSE310664/TF/DEG/HVL_TOR10/viper","1"
"viper","DEG","MVL_ALL","10","MVL_ALL","results/ngs/GSE310664/TF/DEG/MVL_ALL/viper","1"
"viper","DEG","MVL_CRC29","232","MVL_CRC29","results/ngs/GSE310664/TF/DEG/MVL_CRC29/viper","1"
"viper","DEG","MVL_HUB098","469","MVL_HUB098","results/ngs/GSE310664/TF/DEG/MVL_HUB098/viper","1"
"viper","DEG","MVL_TOR10","1059","MVL_TOR10","results/ngs/GSE310664/TF/DEG/MVL_TOR10/viper","1"
