Pathway,KRAS.600 UP.V1 DN,KRAS.300 UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN,KRAS.600.LUNG.BREAST UP.V1 DN,KRAS.LUNG UP.V1 DN,CAHOY ASTROGLIAL,P53 DN.V1 DN,JNK DN.V1 UP,ESC J1 UP LATE.V1 UP,ESC V6.5 UP EARLY.V1 DN,MTOR UP.V1 DN,AKT UP.V1 DN,MYC UP.V1 UP,E2F3 UP.V1 UP,E2F1 UP.V1 UP,RPS14 DN.V1 UP,STK33 NOMO UP,TBK1.DF UP,PTEN DN.V2 UP,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,P53 DN.V1 UP,EGFR UP.V1 UP,ERBB2 UP.V1 UP,MEK UP.V1 UP,LTE2 UP.V1 UP,LEF1 UP.V1 DN,BMI1 DN MEL18 DN.V1 DN,MEL18 DN.V1 DN,EIF4E UP,HOXA9 DN.V1 DN,MTOR UP.N4.V1 UP,RELA DN.V1 UP,IL2 UP.V1 UP,PDGF ERK DN.V1 DN,NRL DN.V1 UP,CYCLIN D1 UP.V1 DN,CYCLIN D1 KE .V1 DN,KRAS.KIDNEY UP.V1 DN
MTOR UP.V1 DN,0.02197802197802198,0.02197802197802198,0.01098901098901099,0.016483516483516484,0.01098901098901099,0.005494505494505495,0.016483516483516484,0.016483516483516484,0.027472527472527472,0.03296703296703297,1.0,0.2857142857142857,0.01098901098901099,0.016483516483516484,0.0,0.016483516483516484,0.027472527472527472,0.027472527472527472,0.02197802197802198,0.027472527472527472,0.016483516483516484,0.01098901098901099,0.02197802197802198,0.01098901098901099,0.016483516483516484,0.005494505494505495,0.027472527472527472,0.016483516483516484,0.016483516483516484,0.016483516483516484,0.0,0.005494505494505495,0.02197802197802198,0.005494505494505495,0.0,0.04395604395604396,0.01098901098901099,0.027472527472527472,0.016483516483516484,0.016483516483516484
AKT UP.V1 DN,0.03208556149732621,0.0213903743315508,0.0213903743315508,0.03208556149732621,0.03208556149732621,0.026737967914438502,0.0374331550802139,0.016042780748663103,0.03208556149732621,0.03208556149732621,0.27807486631016043,1.0,0.016042780748663103,0.016042780748663103,0.0,0.0106951871657754,0.016042780748663103,0.0213903743315508,0.03208556149732621,0.016042780748663103,0.016042780748663103,0.0106951871657754,0.026737967914438502,0.0213903743315508,0.03208556149732621,0.016042780748663103,0.0374331550802139,0.016042780748663103,0.016042780748663103,0.016042780748663103,0.0,0.0053475935828877,0.0374331550802139,0.0106951871657754,0.0213903743315508,0.0053475935828877,0.026737967914438502,0.016042780748663103,0.0213903743315508,0.0106951871657754
MYC UP.V1 UP,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0,0.0,0.016574585635359115,0.016574585635359115,0.0,0.011049723756906077,0.011049723756906077,0.016574585635359115,1.0,0.06077348066298342,0.011049723756906077,0.0,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.0,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0,0.022099447513812154,0.027624309392265192,0.03314917127071823,0.022099447513812154,0.03314917127071823,0.011049723756906077,0.06077348066298342,0.022099447513812154,0.0,0.0055248618784530384,0.0055248618784530384,0.0
E2F3 UP.V1 UP,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.021052631578947368,0.015789473684210527,0.0,0.015789473684210527,0.015789473684210527,0.010526315789473684,0.005263157894736842,0.015789473684210527,0.015789473684210527,0.05789473684210526,1.0,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.042105263157894736,0.005263157894736842,0.015789473684210527,0.0,0.021052631578947368,0.02631578947368421,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.0,0.010526315789473684,0.005263157894736842,0.02631578947368421,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.0
E2F1 UP.V1 UP,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.005319148936170213,0.015957446808510637,0.0,0.0,0.0,0.010638297872340425,0.010638297872340425,1.0,0.015957446808510637,0.010638297872340425,0.02127659574468085,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.02127659574468085,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.0,0.03723404255319149,0.005319148936170213,0.010638297872340425,0.010638297872340425,0.026595744680851064,0.005319148936170213,0.02127659574468085,0.015957446808510637,0.0
RPS14 DN.V1 UP,0.031413612565445025,0.010471204188481676,0.010471204188481676,0.02617801047120419,0.020942408376963352,0.015706806282722512,0.08900523560209424,0.041884816753926704,0.02617801047120419,0.031413612565445025,0.015706806282722512,0.010471204188481676,0.0,0.010471204188481676,0.015706806282722512,1.0,0.14659685863874344,0.06282722513089005,0.06282722513089005,0.05759162303664921,0.05235602094240838,0.04712041884816754,0.04712041884816754,0.031413612565445025,0.06806282722513089,0.05759162303664921,0.05235602094240838,0.03664921465968586,0.020942408376963352,0.020942408376963352,0.005235602094240838,0.010471204188481676,0.015706806282722512,0.031413612565445025,0.03664921465968586,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.031413612565445025,0.020942408376963352
STK33 NOMO UP,0.0034482758620689655,0.0,0.0,0.0,0.006896551724137931,0.010344827586206896,0.04482758620689655,0.013793103448275862,0.017241379310344827,0.02413793103448276,0.017241379310344827,0.010344827586206896,0.006896551724137931,0.010344827586206896,0.006896551724137931,0.09655172413793103,1.0,0.06551724137931035,0.027586206896551724,0.03103448275862069,0.03793103448275862,0.034482758620689655,0.02413793103448276,0.06896551724137931,0.034482758620689655,0.03103448275862069,0.03103448275862069,0.02413793103448276,0.017241379310344827,0.02413793103448276,0.006896551724137931,0.0034482758620689655,0.020689655172413793,0.041379310344827586,0.04482758620689655,0.027586206896551724,0.010344827586206896,0.010344827586206896,0.017241379310344827,0.006896551724137931
TBK1.DF UP,0.017421602787456445,0.010452961672473868,0.013937282229965157,0.013937282229965157,0.010452961672473868,0.010452961672473868,0.0313588850174216,0.013937282229965157,0.020905923344947737,0.010452961672473868,0.017421602787456445,0.013937282229965157,0.003484320557491289,0.027874564459930314,0.013937282229965157,0.041811846689895474,0.06620209059233449,1.0,0.027874564459930314,0.024390243902439025,0.041811846689895474,0.03484320557491289,0.017421602787456445,0.059233449477351915,0.03832752613240418,0.059233449477351915,0.06620209059233449,0.024390243902439025,0.010452961672473868,0.013937282229965157,0.013937282229965157,0.024390243902439025,0.0313588850174216,0.006968641114982578,0.020905923344947737,0.017421602787456445,0.024390243902439025,0.013937282229965157,0.010452961672473868,0.0
PTEN DN.V2 UP,0.05,0.03571428571428571,0.02857142857142857,0.04285714285714286,0.03571428571428571,0.03571428571428571,0.007142857142857143,0.03571428571428571,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.08571428571428572,0.05714285714285714,0.05714285714285714,1.0,0.03571428571428571,0.06428571428571428,0.03571428571428571,0.05,0.05,0.02857142857142857,0.08571428571428572,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.014285714285714285,0.03571428571428571,0.05,0.0,0.02142857142857143,0.0,0.03571428571428571,0.02142857142857143,0.0
BMI1 DN.V1 UP,0.047619047619047616,0.02040816326530612,0.006802721088435374,0.013605442176870748,0.0,0.02040816326530612,0.047619047619047616,0.027210884353741496,0.02040816326530612,0.05442176870748299,0.034013605442176874,0.02040816326530612,0.006802721088435374,0.02040816326530612,0.006802721088435374,0.07482993197278912,0.061224489795918366,0.047619047619047616,0.034013605442176874,1.0,0.5714285714285714,0.6054421768707483,0.061224489795918366,0.10884353741496598,0.034013605442176874,0.047619047619047616,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.034013605442176874,0.04081632653061224,0.02040816326530612,0.07482993197278912,0.02040816326530612,0.027210884353741496,0.05442176870748299,0.04081632653061224,0.027210884353741496
BMI1 DN MEL18 DN.V1 UP,0.034482758620689655,0.013793103448275862,0.006896551724137931,0.020689655172413793,0.013793103448275862,0.013793103448275862,0.04827586206896552,0.05517241379310345,0.034482758620689655,0.041379310344827586,0.020689655172413793,0.020689655172413793,0.013793103448275862,0.0,0.013793103448275862,0.06896551724137931,0.07586206896551724,0.08275862068965517,0.06206896551724138,0.5793103448275863,1.0,0.6206896551724138,0.06206896551724138,0.12413793103448276,0.041379310344827586,0.06206896551724138,0.020689655172413793,0.0,0.0,0.0,0.0,0.020689655172413793,0.08275862068965517,0.041379310344827586,0.05517241379310345,0.027586206896551724,0.027586206896551724,0.05517241379310345,0.027586206896551724,0.020689655172413793
MEL18 DN.V1 UP,0.02127659574468085,0.0,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.06382978723404255,0.0425531914893617,0.028368794326241134,0.028368794326241134,0.014184397163120567,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.014184397163120567,0.06382978723404255,0.07092198581560284,0.07092198581560284,0.03546099290780142,0.6312056737588653,0.6382978723404256,1.0,0.0425531914893617,0.12056737588652482,0.02127659574468085,0.07801418439716312,0.02127659574468085,0.0070921985815602835,0.0,0.0,0.0,0.05673758865248227,0.07801418439716312,0.03546099290780142,0.07092198581560284,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0070921985815602835
P53 DN.V1 UP,0.02577319587628866,0.010309278350515464,0.010309278350515464,0.015463917525773196,0.010309278350515464,0.010309278350515464,0.0,0.020618556701030927,0.03608247422680412,0.08247422680412371,0.020618556701030927,0.02577319587628866,0.005154639175257732,0.02577319587628866,0.005154639175257732,0.04639175257731959,0.03608247422680412,0.02577319587628866,0.03608247422680412,0.04639175257731959,0.04639175257731959,0.030927835051546393,1.0,0.061855670103092786,0.05154639175257732,0.06701030927835051,0.03608247422680412,0.04639175257731959,0.03608247422680412,0.030927835051546393,0.005154639175257732,0.015463917525773196,0.020618556701030927,0.010309278350515464,0.041237113402061855,0.030927835051546393,0.015463917525773196,0.020618556701030927,0.030927835051546393,0.010309278350515464
EGFR UP.V1 UP,0.036458333333333336,0.015625,0.015625,0.03125,0.005208333333333333,0.005208333333333333,0.041666666666666664,0.020833333333333332,0.0625,0.052083333333333336,0.010416666666666666,0.020833333333333332,0.0,0.026041666666666668,0.020833333333333332,0.03125,0.10416666666666667,0.08854166666666667,0.036458333333333336,0.08333333333333333,0.09375,0.08854166666666667,0.0625,1.0,0.2604166666666667,0.3333333333333333,0.20833333333333334,0.020833333333333332,0.026041666666666668,0.026041666666666668,0.0,0.041666666666666664,0.046875,0.020833333333333332,0.057291666666666664,0.026041666666666668,0.010416666666666666,0.036458333333333336,0.026041666666666668,0.0
ERBB2 UP.V1 UP,0.031578947368421054,0.015789473684210527,0.031578947368421054,0.031578947368421054,0.02631578947368421,0.010526315789473684,0.02631578947368421,0.02631578947368421,0.03684210526315789,0.02631578947368421,0.015789473684210527,0.031578947368421054,0.005263157894736842,0.021052631578947368,0.015789473684210527,0.06842105263157895,0.05263157894736842,0.05789473684210526,0.021052631578947368,0.02631578947368421,0.031578947368421054,0.015789473684210527,0.05263157894736842,0.2631578947368421,1.0,0.5,0.3,0.042105263157894736,0.042105263157894736,0.02631578947368421,0.010526315789473684,0.042105263157894736,0.02631578947368421,0.015789473684210527,0.031578947368421054,0.015789473684210527,0.021052631578947368,0.02631578947368421,0.021052631578947368,0.005263157894736842
MEK UP.V1 UP,0.03076923076923077,0.020512820512820513,0.03076923076923077,0.03076923076923077,0.020512820512820513,0.005128205128205128,0.015384615384615385,0.015384615384615385,0.035897435897435895,0.05641025641025641,0.005128205128205128,0.015384615384615385,0.010256410256410256,0.015384615384615385,0.015384615384615385,0.05641025641025641,0.046153846153846156,0.08717948717948718,0.06153846153846154,0.035897435897435895,0.046153846153846156,0.05641025641025641,0.06666666666666667,0.3282051282051282,0.48717948717948717,1.0,0.2358974358974359,0.046153846153846156,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.041025641025641026,0.02564102564102564,0.010256410256410256,0.035897435897435895,0.005128205128205128,0.020512820512820513,0.02564102564102564,0.010256410256410256,0.0
LTE2 UP.V1 UP,0.026595744680851064,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.031914893617021274,0.005319148936170213,0.031914893617021274,0.010638297872340425,0.026595744680851064,0.03723404255319149,0.005319148936170213,0.02127659574468085,0.010638297872340425,0.05319148936170213,0.047872340425531915,0.10106382978723404,0.010638297872340425,0.015957446808510637,0.015957446808510637,0.015957446808510637,0.03723404255319149,0.2127659574468085,0.30319148936170215,0.24468085106382978,1.0,0.047872340425531915,0.026595744680851064,0.02127659574468085,0.015957446808510637,0.010638297872340425,0.02127659574468085,0.02127659574468085,0.026595744680851064,0.015957446808510637,0.010638297872340425,0.015957446808510637,0.02127659574468085,0.005319148936170213
LEF1 UP.V1 DN,0.016042780748663103,0.016042780748663103,0.0213903743315508,0.0427807486631016,0.0053475935828877,0.0053475935828877,0.016042780748663103,0.026737967914438502,0.053475935828877004,0.026737967914438502,0.016042780748663103,0.016042780748663103,0.0,0.0213903743315508,0.0106951871657754,0.0374331550802139,0.0374331550802139,0.0374331550802139,0.016042780748663103,0.016042780748663103,0.0,0.0053475935828877,0.0481283422459893,0.0213903743315508,0.0427807486631016,0.0481283422459893,0.0481283422459893,1.0,0.0427807486631016,0.0481283422459893,0.0106951871657754,0.0213903743315508,0.016042780748663103,0.026737967914438502,0.016042780748663103,0.0053475935828877,0.0106951871657754,0.0053475935828877,0.0106951871657754,0.0374331550802139
BMI1 DN MEL18 DN.V1 DN,0.02040816326530612,0.006802721088435374,0.027210884353741496,0.04081632653061224,0.034013605442176874,0.013605442176870748,0.061224489795918366,0.034013605442176874,0.047619047619047616,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.027210884353741496,0.0,0.006802721088435374,0.027210884353741496,0.034013605442176874,0.02040816326530612,0.006802721088435374,0.0,0.0,0.0,0.047619047619047616,0.034013605442176874,0.05442176870748299,0.02040816326530612,0.034013605442176874,0.05442176870748299,1.0,0.5714285714285714,0.013605442176870748,0.006802721088435374,0.02040816326530612,0.027210884353741496,0.027210884353741496,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.034013605442176874,0.013605442176870748
MEL18 DN.V1 DN,0.047619047619047616,0.02040816326530612,0.034013605442176874,0.047619047619047616,0.034013605442176874,0.02040816326530612,0.06802721088435375,0.034013605442176874,0.034013605442176874,0.006802721088435374,0.02040816326530612,0.02040816326530612,0.034013605442176874,0.013605442176870748,0.006802721088435374,0.027210884353741496,0.047619047619047616,0.027210884353741496,0.0,0.0,0.0,0.0,0.04081632653061224,0.034013605442176874,0.034013605442176874,0.006802721088435374,0.027210884353741496,0.061224489795918366,0.5714285714285714,1.0,0.006802721088435374,0.027210884353741496,0.006802721088435374,0.047619047619047616,0.027210884353741496,0.006802721088435374,0.013605442176870748,0.0,0.034013605442176874,0.02040816326530612
EIF4E UP,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.06,0.01,0.0,0.01,0.02,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.03,0.02,0.02,0.01,1.0,0.01,0.04,0.0,0.02,0.02,0.0,0.0,0.01,0.0
HOXA9 DN.V1 DN,0.010526315789473684,0.005263157894736842,0.015789473684210527,0.02631578947368421,0.015789473684210527,0.0,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.021052631578947368,0.02631578947368421,0.03684210526315789,0.010526315789473684,0.005263157894736842,0.03684210526315789,0.010526315789473684,0.02631578947368421,0.015789473684210527,0.042105263157894736,0.015789473684210527,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.010526315789473684,0.021052631578947368,0.005263157894736842,0.021052631578947368,0.005263157894736842,1.0,0.06842105263157895,0.015789473684210527,0.04736842105263158,0.021052631578947368,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.0
MTOR UP.N4.V1 UP,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.015306122448979591,0.02040816326530612,0.02040816326530612,0.015306122448979591,0.015306122448979591,0.02040816326530612,0.03571428571428571,0.030612244897959183,0.01020408163265306,0.00510204081632653,0.015306122448979591,0.030612244897959183,0.04591836734693878,0.025510204081632654,0.030612244897959183,0.061224489795918366,0.05612244897959184,0.02040816326530612,0.04591836734693878,0.025510204081632654,0.025510204081632654,0.02040816326530612,0.015306122448979591,0.015306122448979591,0.00510204081632653,0.02040816326530612,0.0663265306122449,1.0,0.015306122448979591,0.03571428571428571,0.030612244897959183,0.00510204081632653,0.01020408163265306,0.015306122448979591,0.015306122448979591
RELA DN.V1 UP,0.020134228187919462,0.013422818791946308,0.026845637583892617,0.040268456375838924,0.026845637583892617,0.013422818791946308,0.026845637583892617,0.006711409395973154,0.053691275167785234,0.04697986577181208,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.040268456375838924,0.08053691275167785,0.013422818791946308,0.04697986577181208,0.020134228187919462,0.040268456375838924,0.03355704697986577,0.013422818791946308,0.026845637583892617,0.020134228187919462,0.013422818791946308,0.026845637583892617,0.03355704697986577,0.026845637583892617,0.04697986577181208,0.0,0.020134228187919462,0.020134228187919462,1.0,0.0738255033557047,0.040268456375838924,0.026845637583892617,0.013422818791946308,0.013422818791946308,0.013422818791946308
IL2 UP.V1 UP,0.021052631578947368,0.005263157894736842,0.005263157894736842,0.03684210526315789,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.021052631578947368,0.03684210526315789,0.0,0.021052631578947368,0.05789473684210526,0.021052631578947368,0.010526315789473684,0.03684210526315789,0.06842105263157895,0.031578947368421054,0.0,0.05789473684210526,0.042105263157894736,0.05263157894736842,0.042105263157894736,0.05789473684210526,0.031578947368421054,0.03684210526315789,0.02631578947368421,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.04736842105263158,0.03684210526315789,0.05789473684210526,1.0,0.04736842105263158,0.015789473684210527,0.015789473684210527,0.031578947368421054,0.015789473684210527
PDGF ERK DN.V1 DN,0.020134228187919462,0.013422818791946308,0.013422818791946308,0.026845637583892617,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.053691275167785234,0.006711409395973154,0.026845637583892617,0.006711409395973154,0.03355704697986577,0.013422818791946308,0.053691275167785234,0.03355704697986577,0.020134228187919462,0.020134228187919462,0.026845637583892617,0.020134228187919462,0.040268456375838924,0.03355704697986577,0.020134228187919462,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.026845637583892617,0.040268456375838924,0.040268456375838924,0.06040268456375839,1.0,0.026845637583892617,0.026845637583892617,0.020134228187919462,0.006711409395973154
