"TF","RKO","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"FOXO3","3.42768669243361801","4.74357462569047872","4.08563065906204859","4.08563065906204859","Activated","11","viper","11","4.08563065906204859",NA,NA,"4","Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=919)","790","0.234999999999999987","Enrichr Queries,0.235"
"TP53","6.16470370666977185","1.80511975477812037","3.98491173072394611","3.98491173072394611","Activated","12","viper","12","3.98491173072394611",NA,NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=388); Enrichr--Queries(rank=671); GTEx--Coexpression(rank=1348)","461","0.121999999999999997","Literature ChIP-seq,0.122"
"SREBF2","-7.02344137780292055","-0.94442162532854179","-3.98393150156573128","3.98393150156573128","Repressed","13","viper","13","3.98393150156573128",NA,NA,"6","ENCODE--ChIP-seq(rank=117); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=634); GTEx--Coexpression(rank=1054); ARCHS4--Coexpression(rank=1456)","1271","0.451600000000000001","Enrichr Queries,0.4516"
"HIF1A","1.68621261774774234","6.21664522934120711","3.95142892354447461","3.95142892354447461","Activated","14","viper","14","3.95142892354447461",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=553)","163","0.036589999999999998","Literature ChIP-seq,0.03659"
"FOXO1","2.86452618856993935","4.98372641252879234","3.92412630054936606","3.92412630054936606","Activated","15","viper","15","3.92412630054936606",NA,NA,"5","ReMap--ChIP-seq(rank=28); Literature--ChIP-seq(rank=46); Enrichr--Queries(rank=48); ARCHS4--Coexpression(rank=275); GTEx--Coexpression(rank=354)","153","0.034189999999999998","Enrichr Queries,0.03419"
"TCF12","4.94376558836613356","2.66541450160200677","3.80459004498406994","3.80459004498406994","Activated","16","viper","16","3.80459004498406994",NA,NA,"5","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=109); GTEx--Coexpression(rank=163); ARCHS4--Coexpression(rank=561); Enrichr--Queries(rank=1129)","392","0.101400000000000004","GTEx Coexpression,0.1014"
"RUNX2","2.91263367564217290","4.14281492670815066","3.52772430117516178","3.52772430117516178","Activated","17","viper","17","3.52772430117516178",NA,NA,"5","Enrichr--Queries(rank=20); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=89); GTEx--Coexpression(rank=718)","66","0.014250000000000001","Enrichr Queries,0.01425"
"ATF4","2.06859928895665179","4.98626365406856209","3.52743147151260672","3.52743147151260672","Activated","18","viper","18","3.52743147151260672",NA,NA,"4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=933)","1161","0.392699999999999994","GTEx Coexpression,0.3927"
"PDX1","4.43573830593788010","2.49267329544867211","3.46420580069327588","3.46420580069327588","Activated","19","viper","19","3.46420580069327588",NA,NA,"5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=123); ARCHS4--Coexpression(rank=160); Enrichr--Queries(rank=1011)","31","0.006734000000000000","ReMap ChIP-seq,0.006734"
"NCOA3","3.72296336916204229","2.99943228633719539","3.36119782774961884","3.36119782774961884","Activated","20","viper","20","3.36119782774961884",NA,NA,"4","ReMap--ChIP-seq(rank=264); ARCHS4--Coexpression(rank=297); Enrichr--Queries(rank=465); GTEx--Coexpression(rank=992)","659","0.182400000000000007","ARCHS4 Coexpression,0.1824"
"E2F2","-5.77104778642890981","-0.90035183079778913","-3.33569980861334958","3.33569980861334958","Repressed","21","viper","21","3.33569980861334958",NA,NA,"3","ARCHS4--Coexpression(rank=732); GTEx--Coexpression(rank=850); Enrichr--Queries(rank=1130)","1265","0.449600000000000000","ARCHS4 Coexpression,0.4496"
"ZBTB7A","-1.79379379875600442","4.80619611190260354","1.50620115657329956","3.29999495532930398","Activated","22","viper","22","3.29999495532930398",NA,NA,"5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=946); Enrichr--Queries(rank=1104); ARCHS4--Coexpression(rank=1474)","839","0.254199999999999982","ENCODE ChIP-seq,0.2542"
"MAFK","4.66097596853987550","1.63276619663445866","3.14687108258716730","3.14687108258716730","Activated","23","viper","23","3.14687108258716730",NA,NA,"5","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=79); GTEx--Coexpression(rank=90); Enrichr--Queries(rank=97); ARCHS4--Coexpression(rank=560)","242","0.056000000000000001","GTEx Coexpression,0.056"
"EBF1","6.14076719377003410","0.06515604328211279","3.10296161852607355","3.10296161852607355","Activated","24","viper","24","3.10296161852607355",NA,NA,"5","GTEx--Coexpression(rank=40); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=155); Enrichr--Queries(rank=676)","113","0.024889999999999999","GTEx Coexpression,0.02489"
"NCOA2","4.09180570112830022","2.03651196785638700","3.06415883449234361","3.06415883449234361","Activated","25","viper","25","3.06415883449234361",NA,NA,"4","ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=507); GTEx--Coexpression(rank=898); Enrichr--Queries(rank=977)","986","0.311400000000000010","ARCHS4 Coexpression,0.3114"
"SNAPC4","-1.95175449900899656","-4.16494672229888518","-3.05835061065394065","3.05835061065394065","Repressed","26","viper","26","3.05835061065394065",NA,NA,"4","ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=1080); ARCHS4--Coexpression(rank=1166); Enrichr--Queries(rank=1391)","1320","0.481499999999999984","ReMap ChIP-seq,0.4815"
"MAFF","3.01800923282767597","2.94281359225162609","2.98041141253965103","2.98041141253965103","Activated","27","viper","27","2.98041141253965103",NA,NA,"5","Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=206); ARCHS4--Coexpression(rank=1620)","43","0.009259000000000000","Enrichr Queries,0.009259"
"ZNF274","-3.55491884514819656","-2.40587406934976977","-2.98039645724898339","2.98039645724898339","Repressed","28","viper","28","2.98039645724898339",NA,NA,"6","GTEx--Coexpression(rank=55); ENCODE--ChIP-seq(rank=113); Literature--ChIP-seq(rank=131); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=193); ARCHS4--Coexpression(rank=395)","154","0.034229999999999997","GTEx Coexpression,0.03423"
"RBPJ","3.88113159152128828","2.05544761135782084","2.96828960143955456","2.96828960143955456","Activated","29","viper","29","2.96828960143955456",NA,NA,"5","ReMap--ChIP-seq(rank=84); Literature--ChIP-seq(rank=97); Enrichr--Queries(rank=513); GTEx--Coexpression(rank=556); ARCHS4--Coexpression(rank=1528)","920","0.282799999999999996","ReMap ChIP-seq,0.2828"
"MBD1","2.51562875667237584","3.38310507350781320","2.94936691509009474","2.94936691509009474","Activated","30","viper","30","2.94936691509009474",NA,NA,"3","Enrichr--Queries(rank=333); GTEx--Coexpression(rank=733); ARCHS4--Coexpression(rank=1259)","796","0.237199999999999994","Enrichr Queries,0.2372"
"GATA6","2.78194157184019852","3.10637489481413009","2.94415823332716453","2.94415823332716453","Activated","31","viper","31","2.94415823332716453",NA,NA,"5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=73); Enrichr--Queries(rank=127); ARCHS4--Coexpression(rank=186); GTEx--Coexpression(rank=473)","356","0.090460000000000013","Enrichr Queries,0.09046"
"ZEB2","-3.75156920263839222","-2.13207046547201395","-2.94181983405520331","2.94181983405520331","Repressed","32","viper","32","2.94181983405520331",NA,NA,"4","ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=569); ARCHS4--Coexpression(rank=685)","428","0.111799999999999997","Enrichr Queries,0.1118"
"TCF4","4.06504208897999320","1.79461636803302915","2.92982922850651128","2.92982922850651128","Activated","33","viper","33","2.92982922850651128",NA,NA,"5","Literature--ChIP-seq(rank=57); GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=225); ARCHS4--Coexpression(rank=530)","219","0.049779999999999998","GTEx Coexpression,0.04978"
"THAP1","0.18679082366553407","-5.57644329729014387","-2.69482623681230482","2.88161706047783905","Repressed","34","viper","34","2.88161706047783905",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=922); Enrichr--Queries(rank=923); ARCHS4--Coexpression(rank=1105)","1431","0.573699999999999988","GTEx Coexpression,0.5737"
"ARNTL","1.16512928806764138","4.59259453582997956","2.87886191194881036","2.87886191194881036","Activated","35","viper","35","2.87886191194881036",NA,NA,"4","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=66); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=626)","63","0.013509999999999999","ARCHS4 Coexpression,0.01351"
"ZBTB11","-0.19290984229912883","5.54335813493120533","2.67522414631603844","2.86813398861516688","Activated","36","viper","36","2.86813398861516688",NA,NA,"4","ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=577); GTEx--Coexpression(rank=1101); Enrichr--Queries(rank=1244)","1081","0.354399999999999993","ARCHS4 Coexpression,0.3544"
"GATA3","2.25025973657942702","3.45261685970296073","2.85143829814119387","2.85143829814119387","Activated","37","viper","37","2.85143829814119387",NA,NA,"6","ENCODE--ChIP-seq(rank=10); Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=116); GTEx--Coexpression(rank=128); ARCHS4--Coexpression(rank=697)","325","0.079649999999999999","GTEx Coexpression,0.07965"
"NCOA1","3.29323832080154100","2.39731350639832952","2.84527591359993526","2.84527591359993526","Activated","38","viper","38","2.84527591359993526",NA,NA,"4","ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=337); GTEx--Coexpression(rank=629); Enrichr--Queries(rank=755)","726","0.206999999999999990","ARCHS4 Coexpression,0.207"
"PBX3","2.78818548632796182","2.87666063868515165","2.83242306250655673","2.83242306250655673","Activated","39","viper","39","2.83242306250655673",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=165); Enrichr--Queries(rank=371); GTEx--Coexpression(rank=1370)","391","0.101400000000000004","ARCHS4 Coexpression,0.1014"
"ARNT","3.28237819339128567","2.37823388217269072","2.83030603778198842","2.83030603778198842","Activated","40","viper","40","2.83030603778198842",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=112); GTEx--Coexpression(rank=370); Enrichr--Queries(rank=385); ARCHS4--Coexpression(rank=627)","774","0.230199999999999988","GTEx Coexpression,0.2302"
"POU5F1","4.69938778566034543","0.94405369067112588","2.82172073816573565","2.82172073816573565","Activated","41","viper","41","2.82172073816573565",NA,NA,"5","Literature--ChIP-seq(rank=43); GTEx--Coexpression(rank=239); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=940); ARCHS4--Coexpression(rank=990)","551","0.148699999999999999","GTEx Coexpression,0.1487"
"CEBPB","2.89545976350038137","2.69497453603847470","2.79521714976942803","2.79521714976942803","Activated","42","viper","42","2.79521714976942803",NA,NA,"6","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=25); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=197); GTEx--Coexpression(rank=947)","62","0.013469999999999999","ReMap ChIP-seq,0.01347"
"HBP1","-1.91835119585910485","-3.65811998032939467","-2.78823558809424998","2.78823558809424998","Repressed","43","viper","43","2.78823558809424998",NA,NA,"4","ARCHS4--Coexpression(rank=68); Enrichr--Queries(rank=76); ReMap--ChIP-seq(rank=121); GTEx--Coexpression(rank=1237)","188","0.041770000000000002","ARCHS4 Coexpression,0.04177"
"MBD2","2.37933406481911502","-3.17573568544917828","-0.39820081031503163","2.77753487513414665","Repressed","44","viper","44","2.77753487513414665",NA,NA,"4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=572); GTEx--Coexpression(rank=706); Enrichr--Queries(rank=961)","1074","0.351399999999999990","ARCHS4 Coexpression,0.3514"
"TEAD4","3.99237775559047048","1.49531027628640611","2.74384401593843830","2.74384401593843830","Activated","45","viper","45","2.74384401593843830",NA,NA,"6","ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=73); Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=485); GTEx--Coexpression(rank=776); ARCHS4--Coexpression(rank=929)","822","0.245799999999999991","ReMap ChIP-seq,0.2458"
"JUNB","3.31366905478986951","2.16876249257050091","2.74121577368018521","2.74121577368018521","Activated","46","viper","46","2.74121577368018521",NA,NA,"4","ReMap--ChIP-seq(rank=45); GTEx--Coexpression(rank=145); Enrichr--Queries(rank=188); ARCHS4--Coexpression(rank=269)","354","0.090230000000000005","GTEx Coexpression,0.09023"
"LHX2",NA,"2.72103564627182859","2.72103564627182859","2.72103564627182859","Activated","47","viper","47","2.72103564627182859",NA,NA,"4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=138); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=563)","339","0.084769999999999998","ARCHS4 Coexpression,0.08477"
"CLOCK","3.67013625854041603","1.70330890218872266","2.68672258036456935","2.68672258036456935","Activated","48","viper","48","2.68672258036456935",NA,NA,"5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=1002); GTEx--Coexpression(rank=1531)","577","0.156000000000000000","ARCHS4 Coexpression,0.156"
"MEIS2","3.03152648738245611","2.30142034167572662","2.66647341452909137","2.66647341452909137","Activated","49","viper","49","2.66647341452909137",NA,NA,"4","ReMap--ChIP-seq(rank=59); Enrichr--Queries(rank=386); ARCHS4--Coexpression(rank=610); GTEx--Coexpression(rank=1512)","702","0.198699999999999988","ReMap ChIP-seq,0.1987"
"ZNF217","2.80621601782414842","2.47688497252913953","2.64155049517664420","2.64155049517664420","Activated","50","viper","50","2.64155049517664420",NA,NA,"6","Literature--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=135); Enrichr--Queries(rank=460); ARCHS4--Coexpression(rank=994); GTEx--Coexpression(rank=1107)","956","0.298800000000000010","Literature ChIP-seq,0.2988"
"NFIC","-2.46551711679609742","-2.81080164669781940","-2.63815938174695841","2.63815938174695841","Repressed","51","viper","51","2.63815938174695841",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=446); GTEx--Coexpression(rank=619); Enrichr--Queries(rank=796)","225","0.050849999999999999","ENCODE ChIP-seq,0.05085"
"ONECUT1","2.85458627551429167","2.36819081486392324","2.61138854518910746","2.61138854518910746","Activated","52","viper","52","2.61138854518910746",NA,NA,"4","ReMap--ChIP-seq(rank=52); GTEx--Coexpression(rank=138); Enrichr--Queries(rank=895); ARCHS4--Coexpression(rank=989)","342","0.085870000000000002","GTEx Coexpression,0.08587"
"NR2F1","1.35500834126384873","-3.86356539048218295","-1.25427852460916700","2.60928686587301595","Repressed","53","viper","53","2.60928686587301595",NA,NA,"4","ReMap--ChIP-seq(rank=266); ARCHS4--Coexpression(rank=271); Enrichr--Queries(rank=377); GTEx--Coexpression(rank=1287)","607","0.166500000000000009","ARCHS4 Coexpression,0.1665"
"ESR1","2.81524613655958555","2.31887147745194033","2.56705880700576294","2.56705880700576294","Activated","54","viper","54","2.56705880700576294",NA,NA,"6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=273); ReMap--ChIP-seq(rank=278); Enrichr--Queries(rank=311); GTEx--Coexpression(rank=496)","215","0.048779999999999997","Literature ChIP-seq,0.04878"
"CREM","2.77092618453774664","2.35909611700060040","2.56501115076917330","2.56501115076917330","Activated","55","viper","55","2.56501115076917330",NA,NA,"5","Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=88); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=148); GTEx--Coexpression(rank=1476)","210","0.047719999999999999","Enrichr Queries,0.04772"
"NFKB1","2.84376968989052470","2.26700858998757804","2.55538913993905137","2.55538913993905137","Activated","56","viper","56","2.55538913993905137",NA,NA,"4","ARCHS4--Coexpression(rank=18); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=249); GTEx--Coexpression(rank=920)","51","0.011060000000000000","ARCHS4 Coexpression,0.01106"
"MEIS1","3.05129024142624017","2.05341996778735947","2.55235510460680004","2.55235510460680004","Activated","57","viper","57","2.55235510460680004",NA,NA,"5","Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=278); ARCHS4--Coexpression(rank=299); GTEx--Coexpression(rank=1098)","663","0.183700000000000002","ARCHS4 Coexpression,0.1837"
"E2F1","-3.69788458412786225","1.38205598376635574","-1.15791430018075325","2.53997028394710878","Repressed","58","viper","58","2.53997028394710878",NA,NA,"6","ReMap--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=79); GTEx--Coexpression(rank=395); ARCHS4--Coexpression(rank=1014); Enrichr--Queries(rank=1249)","480","0.127900000000000014","ReMap ChIP-seq,0.1279"
"SIX2","3.95755636035039426","1.09081773000471127","2.52418704517755277","2.52418704517755277","Activated","59","viper","59","2.52418704517755277",NA,NA,"4","ReMap--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=268); GTEx--Coexpression(rank=620); Enrichr--Queries(rank=1071)","602","0.164599999999999996","ARCHS4 Coexpression,0.1646"
"FOXJ2","2.26072278815790595","2.75901057786570325","2.50986668301180460","2.50986668301180460","Activated","60","viper","60","2.50986668301180460",NA,NA,"4","ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=532); GTEx--Coexpression(rank=929); ARCHS4--Coexpression(rank=1380)","1134","0.378900000000000015","Enrichr Queries,0.3789"
"KLF9","4.59200860944812650","-0.40161942526156891","2.09519459209327863","2.49681401735484787","Activated","61","viper","61","2.49681401735484787",NA,NA,"4","Enrichr--Queries(rank=12); GTEx--Coexpression(rank=143); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=210)","39","0.008547000000000001","Enrichr Queries,0.008547"
"NFE2L1","2.89172434230260755","2.06609356312940529","2.47890895271600620","2.47890895271600620","Activated","62","viper","62","2.47890895271600620",NA,NA,"4","ReMap--ChIP-seq(rank=87); GTEx--Coexpression(rank=264); ARCHS4--Coexpression(rank=605); Enrichr--Queries(rank=704)","601","0.164300000000000002","GTEx Coexpression,0.1643"
"GRHL2","4.11023760344101863","0.84126630140059411","2.47575195242080648","2.47575195242080648","Activated","63","viper","63","2.47575195242080648",NA,NA,"5","ReMap--ChIP-seq(rank=50); Literature--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=673); GTEx--Coexpression(rank=764); Enrichr--Queries(rank=1092)","615","0.168399999999999994","ReMap ChIP-seq,0.1684"
"POU4F2","2.75616825449838077","2.17134992956623529","2.46375909203230803","2.46375909203230803","Activated","64","viper","64","2.46375909203230803",NA,NA,"4","ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=331); Enrichr--Queries(rank=873); GTEx--Coexpression(rank=1219)","717","0.203300000000000008","ARCHS4 Coexpression,0.2033"
"IRF4","3.85247168130896700","1.05715646156683829","2.45481407143790253","2.45481407143790253","Activated","65","viper","65","2.45481407143790253",NA,NA,"5","ARCHS4--Coexpression(rank=17); ReMap--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=82); GTEx--Coexpression(rank=305); Enrichr--Queries(rank=444)","48","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"HNF1B","2.84384789744952249","2.05901910052891779","2.45143349898922036","2.45143349898922036","Activated","66","viper","66","2.45143349898922036",NA,NA,"3","ReMap--ChIP-seq(rank=29); Enrichr--Queries(rank=279); ARCHS4--Coexpression(rank=906)","381","0.097640000000000005","ReMap ChIP-seq,0.09764"
"HNF1A",NA,"-2.44895837364355806","-2.44895837364355806","2.44895837364355806","Repressed","67","viper","67","2.44895837364355806",NA,NA,"3","Enrichr--Queries(rank=703); GTEx--Coexpression(rank=1079); ARCHS4--Coexpression(rank=1089)","1342","0.500700000000000034","Enrichr Queries,0.5007"
"OTX2","2.11787726825294520","2.73025868915184589","2.42406797870239554","2.42406797870239554","Activated","68","viper","68","2.42406797870239554",NA,NA,"4","ReMap--ChIP-seq(rank=39); GTEx--Coexpression(rank=455); Enrichr--Queries(rank=1168); ARCHS4--Coexpression(rank=1400)","491","0.131300000000000000","ReMap ChIP-seq,0.1313"
"FOXO4","2.63492587632017683","2.21175873331801398","2.42334230481909518","2.42334230481909518","Activated","69","viper","69","2.42334230481909518",NA,NA,"3","Enrichr--Queries(rank=217); ARCHS4--Coexpression(rank=576); GTEx--Coexpression(rank=1479)","572","0.154599999999999987","Enrichr Queries,0.1546"
"ZNF384","3.10398010311963768","1.71668053834953471","2.41033032073458608","2.41033032073458608","Activated","70","viper","70","2.41033032073458608",NA,NA,"5","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=697); Enrichr--Queries(rank=1239); ARCHS4--Coexpression(rank=1429)","1165","0.393899999999999972","ReMap ChIP-seq,0.3939"
"ZNF639","1.02264637702598393","-3.74430785576590131","-1.36083073936995858","2.38347711639594273","Repressed","71","viper","71","2.38347711639594273",NA,NA,"4","GTEx--Coexpression(rank=170); ReMap--ChIP-seq(rank=255); ARCHS4--Coexpression(rank=1297); Enrichr--Queries(rank=1320)","406","0.105800000000000005","GTEx Coexpression,0.1058"
"SP3","2.47889688660023566","2.25023569172096760","2.36456628916060163","2.36456628916060163","Activated","72","viper","72","2.36456628916060163",NA,NA,"3","GTEx--Coexpression(rank=607); Enrichr--Queries(rank=1217); ARCHS4--Coexpression(rank=1279)","1131","0.377699999999999980","GTEx Coexpression,0.3777"
"ELF3","4.22382638055708703","0.44557713228287743","2.33470175641998212","2.33470175641998212","Activated","73","viper","73","2.33470175641998212",NA,NA,"4","ReMap--ChIP-seq(rank=30); Enrichr--Queries(rank=238); ARCHS4--Coexpression(rank=710); GTEx--Coexpression(rank=835)","390","0.101000000000000006","ReMap ChIP-seq,0.101"
"STAT5B","1.99924554626922846","2.65637326890099512","2.32780940758511168","2.32780940758511168","Activated","74","viper","74","2.32780940758511168",NA,NA,"4","ReMap--ChIP-seq(rank=286); ARCHS4--Coexpression(rank=308); Enrichr--Queries(rank=438); GTEx--Coexpression(rank=1171)","678","0.189200000000000007","ARCHS4 Coexpression,0.1892"
"SMAD3","2.19048209664481419","2.46051975344099327","2.32550092504290351","2.32550092504290351","Activated","75","viper","75","2.32550092504290351",NA,NA,"5","ReMap--ChIP-seq(rank=6); Literature--ChIP-seq(rank=7); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=306); ARCHS4--Coexpression(rank=492)","92","0.020199999999999999","ReMap ChIP-seq,0.0202"
