Pathway,KRAS.KIDNEY UP.V1 UP,KRAS.300 UP.V1 UP,KRAS.600 UP.V1 UP,KRAS.50 UP.V1 UP,CAHOY NEURONAL,IL21 UP.V1 DN,LEF1 UP.V1 UP,PRC1 BMI UP.V1 UP,PTEN DN.V1 UP,JNK DN.V1 DN,SNF5 DN.V1 DN,STK33 UP,STK33 NOMO UP,STK33 SKM UP,RPS14 DN.V1 UP,HOXA9 DN.V1 UP,EGFR UP.V1 UP,LTE2 UP.V1 UP,ATF2 S UP.V1 DN,ATF2 UP.V1 DN,AKT UP.V1 DN,AKT UP MTOR DN.V1 DN,CAHOY ASTROGLIAL,RELA DN.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,PDGF UP.V1 UP,PDGF ERK DN.V1 DN,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,MTOR UP.V1 UP,LEF1 UP.V1 DN,LTE2 UP.V1 DN,CRX NRL DN.V1 DN,ESC V6.5 UP EARLY.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,ESC J1 UP LATE.V1 UP,TBK1.DF DN,TBK1.DN.48HRS DN,RB P107 DN.V1 DN
SNF5 DN.V1 DN,0.03184713375796178,0.044585987261146494,0.07006369426751592,0.025477707006369428,0.01910828025477707,0.03184713375796178,0.03821656050955414,0.03184713375796178,0.03184713375796178,0.050955414012738856,1.0,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.025477707006369428,0.012738853503184714,0.050955414012738856,0.01910828025477707,0.050955414012738856,0.03821656050955414,0.03821656050955414,0.025477707006369428,0.01910828025477707,0.012738853503184714,0.01910828025477707,0.012738853503184714,0.01910828025477707,0.012738853503184714,0.006369426751592357,0.01910828025477707,0.006369426751592357,0.03184713375796178,0.03821656050955414,0.012738853503184714,0.01910828025477707,0.012738853503184714,0.05732484076433121,0.006369426751592357,0.0,0.012738853503184714
STK33 UP,0.01048951048951049,0.024475524475524476,0.045454545454545456,0.01048951048951049,0.0034965034965034965,0.01048951048951049,0.02097902097902098,0.017482517482517484,0.01048951048951049,0.013986013986013986,0.017482517482517484,1.0,0.6503496503496503,0.6153846153846154,0.0944055944055944,0.07692307692307693,0.07692307692307693,0.017482517482517484,0.024475524475524476,0.02097902097902098,0.0034965034965034965,0.01048951048951049,0.006993006993006993,0.04895104895104895,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04195804195804196,0.03146853146853147,0.006993006993006993,0.0034965034965034965,0.017482517482517484,0.027972027972027972,0.01048951048951049,0.027972027972027972,0.006993006993006993,0.013986013986013986,0.027972027972027972,0.0034965034965034965,0.013986013986013986
STK33 NOMO UP,0.013793103448275862,0.027586206896551724,0.05862068965517241,0.017241379310344827,0.0034482758620689655,0.013793103448275862,0.020689655172413793,0.020689655172413793,0.0034482758620689655,0.013793103448275862,0.017241379310344827,0.6413793103448275,1.0,0.3,0.09655172413793103,0.06896551724137931,0.06896551724137931,0.03103448275862069,0.034482758620689655,0.034482758620689655,0.010344827586206896,0.013793103448275862,0.010344827586206896,0.041379310344827586,0.04482758620689655,0.03793103448275862,0.027586206896551724,0.027586206896551724,0.027586206896551724,0.010344827586206896,0.0034482758620689655,0.02413793103448276,0.020689655172413793,0.010344827586206896,0.02413793103448276,0.010344827586206896,0.017241379310344827,0.034482758620689655,0.006896551724137931,0.013793103448275862
STK33 SKM UP,0.01079136690647482,0.01079136690647482,0.02877697841726619,0.0035971223021582736,0.0,0.0035971223021582736,0.017985611510791366,0.02158273381294964,0.01079136690647482,0.007194244604316547,0.017985611510791366,0.6330935251798561,0.3129496402877698,1.0,0.08273381294964029,0.08273381294964029,0.07913669064748201,0.02158273381294964,0.025179856115107913,0.02158273381294964,0.0035971223021582736,0.014388489208633094,0.017985611510791366,0.03597122302158273,0.03237410071942446,0.03597122302158273,0.025179856115107913,0.02877697841726619,0.02877697841726619,0.01079136690647482,0.01079136690647482,0.007194244604316547,0.03597122302158273,0.014388489208633094,0.025179856115107913,0.007194244604316547,0.014388489208633094,0.03237410071942446,0.0035971223021582736,0.007194244604316547
RPS14 DN.V1 UP,0.041884816753926704,0.05235602094240838,0.08376963350785341,0.020942408376963352,0.005235602094240838,0.015706806282722512,0.03664921465968586,0.031413612565445025,0.041884816753926704,0.020942408376963352,0.020942408376963352,0.14136125654450263,0.14659685863874344,0.12041884816753927,1.0,0.17801047120418848,0.031413612565445025,0.05235602094240838,0.04712041884816754,0.04712041884816754,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.031413612565445025,0.03664921465968586,0.041884816753926704,0.020942408376963352,0.010471204188481676,0.020942408376963352,0.010471204188481676,0.0,0.03664921465968586,0.02617801047120419,0.010471204188481676,0.031413612565445025,0.02617801047120419,0.02617801047120419,0.010471204188481676,0.005235602094240838,0.005235602094240838
HOXA9 DN.V1 UP,0.015625,0.010416666666666666,0.020833333333333332,0.005208333333333333,0.0,0.0,0.005208333333333333,0.020833333333333332,0.005208333333333333,0.005208333333333333,0.010416666666666666,0.11458333333333333,0.10416666666666667,0.11979166666666667,0.17708333333333334,1.0,0.046875,0.03125,0.026041666666666668,0.041666666666666664,0.015625,0.020833333333333332,0.015625,0.026041666666666668,0.005208333333333333,0.005208333333333333,0.036458333333333336,0.005208333333333333,0.010416666666666666,0.005208333333333333,0.005208333333333333,0.036458333333333336,0.057291666666666664,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.026041666666666668,0.046875,0.005208333333333333,0.03125
EGFR UP.V1 UP,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.026041666666666668,0.0,0.015625,0.03125,0.020833333333333332,0.015625,0.041666666666666664,0.041666666666666664,0.11458333333333333,0.10416666666666667,0.11458333333333333,0.03125,0.046875,1.0,0.20833333333333334,0.0625,0.052083333333333336,0.020833333333333332,0.015625,0.005208333333333333,0.020833333333333332,0.057291666666666664,0.052083333333333336,0.03125,0.026041666666666668,0.057291666666666664,0.046875,0.005208333333333333,0.020833333333333332,0.052083333333333336,0.005208333333333333,0.052083333333333336,0.020833333333333332,0.0625,0.06770833333333333,0.010416666666666666,0.026041666666666668
LTE2 UP.V1 UP,0.015957446808510637,0.015957446808510637,0.05319148936170213,0.0,0.0,0.02127659574468085,0.047872340425531915,0.005319148936170213,0.02127659574468085,0.0425531914893617,0.015957446808510637,0.026595744680851064,0.047872340425531915,0.031914893617021274,0.05319148936170213,0.031914893617021274,0.2127659574468085,1.0,0.047872340425531915,0.047872340425531915,0.03723404255319149,0.026595744680851064,0.005319148936170213,0.02127659574468085,0.026595744680851064,0.02127659574468085,0.015957446808510637,0.015957446808510637,0.031914893617021274,0.0425531914893617,0.010638297872340425,0.047872340425531915,0.0,0.005319148936170213,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.047872340425531915,0.005319148936170213,0.02127659574468085
ATF2 S UP.V1 DN,0.0427807486631016,0.03208556149732621,0.0427807486631016,0.0213903743315508,0.026737967914438502,0.016042780748663103,0.0213903743315508,0.0213903743315508,0.03208556149732621,0.0213903743315508,0.0427807486631016,0.0374331550802139,0.053475935828877004,0.0374331550802139,0.0481283422459893,0.026737967914438502,0.06417112299465241,0.0481283422459893,1.0,0.4919786096256685,0.06417112299465241,0.026737967914438502,0.016042780748663103,0.026737967914438502,0.03208556149732621,0.0213903743315508,0.016042780748663103,0.0053475935828877,0.03208556149732621,0.03208556149732621,0.0106951871657754,0.0427807486631016,0.0213903743315508,0.0106951871657754,0.026737967914438502,0.0053475935828877,0.0213903743315508,0.026737967914438502,0.0053475935828877,0.0053475935828877
ATF2 UP.V1 DN,0.043243243243243246,0.016216216216216217,0.04864864864864865,0.005405405405405406,0.021621621621621623,0.03783783783783784,0.04864864864864865,0.03783783783783784,0.016216216216216217,0.032432432432432434,0.032432432432432434,0.032432432432432434,0.05405405405405406,0.032432432432432434,0.04864864864864865,0.043243243243243246,0.05405405405405406,0.04864864864864865,0.4972972972972973,1.0,0.06486486486486487,0.032432432432432434,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.043243243243243246,0.016216216216216217,0.005405405405405406,0.032432432432432434,0.032432432432432434,0.016216216216216217,0.032432432432432434,0.02702702702702703,0.005405405405405406,0.021621621621621623,0.0,0.021621621621621623,0.032432432432432434,0.0,0.016216216216216217
AKT UP.V1 DN,0.016042780748663103,0.0106951871657754,0.03208556149732621,0.0053475935828877,0.0,0.0053475935828877,0.0374331550802139,0.0053475935828877,0.0053475935828877,0.0213903743315508,0.03208556149732621,0.0053475935828877,0.016042780748663103,0.0053475935828877,0.0106951871657754,0.016042780748663103,0.0213903743315508,0.0374331550802139,0.06417112299465241,0.06417112299465241,1.0,0.5347593582887701,0.026737967914438502,0.0106951871657754,0.0213903743315508,0.026737967914438502,0.016042780748663103,0.0053475935828877,0.0,0.0,0.0,0.016042780748663103,0.0374331550802139,0.016042780748663103,0.03208556149732621,0.0,0.03208556149732621,0.03208556149732621,0.0053475935828877,0.0106951871657754
AKT UP MTOR DN.V1 DN,0.010752688172043012,0.010752688172043012,0.053763440860215055,0.005376344086021506,0.0,0.005376344086021506,0.03763440860215054,0.005376344086021506,0.010752688172043012,0.03225806451612903,0.021505376344086023,0.016129032258064516,0.021505376344086023,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.016129032258064516,0.026881720430107527,0.026881720430107527,0.03225806451612903,0.5376344086021505,1.0,0.021505376344086023,0.010752688172043012,0.026881720430107527,0.021505376344086023,0.026881720430107527,0.010752688172043012,0.0,0.0,0.07526881720430108,0.016129032258064516,0.03225806451612903,0.026881720430107527,0.021505376344086023,0.0,0.005376344086021506,0.03225806451612903,0.005376344086021506,0.016129032258064516
CAHOY ASTROGLIAL,0.03,0.02,0.03,0.01,0.0,0.02,0.04,0.0,0.02,0.02,0.03,0.02,0.03,0.05,0.03,0.03,0.01,0.01,0.03,0.05,0.05,0.04,1.0,0.02,0.01,0.02,0.0,0.01,0.01,0.02,0.04,0.01,0.05,0.01,0.08,0.01,0.03,0.0,0.0,0.02
RELA DN.V1 UP,0.026845637583892617,0.020134228187919462,0.03355704697986577,0.013422818791946308,0.006711409395973154,0.026845637583892617,0.020134228187919462,0.006711409395973154,0.013422818791946308,0.03355704697986577,0.013422818791946308,0.09395973154362416,0.08053691275167785,0.06711409395973154,0.040268456375838924,0.03355704697986577,0.026845637583892617,0.026845637583892617,0.03355704697986577,0.03355704697986577,0.013422818791946308,0.013422818791946308,0.013422818791946308,1.0,0.0738255033557047,0.06040268456375839,0.04697986577181208,0.040268456375838924,0.053691275167785234,0.040268456375838924,0.03355704697986577,0.03355704697986577,0.026845637583892617,0.026845637583892617,0.04697986577181208,0.013422818791946308,0.053691275167785234,0.020134228187919462,0.0,0.006711409395973154
IL2 UP.V1 UP,0.015789473684210527,0.031578947368421054,0.05263157894736842,0.005263157894736842,0.0,0.0,0.06842105263157895,0.03684210526315789,0.010526315789473684,0.031578947368421054,0.015789473684210527,0.05789473684210526,0.06842105263157895,0.04736842105263158,0.03684210526315789,0.005263157894736842,0.05789473684210526,0.02631578947368421,0.031578947368421054,0.05263157894736842,0.021052631578947368,0.02631578947368421,0.005263157894736842,0.05789473684210526,1.0,0.5684210526315789,0.042105263157894736,0.04736842105263158,0.031578947368421054,0.02631578947368421,0.015789473684210527,0.015789473684210527,0.021052631578947368,0.031578947368421054,0.03684210526315789,0.010526315789473684,0.021052631578947368,0.015789473684210527,0.005263157894736842,0.015789473684210527
IL15 UP.V1 UP,0.005291005291005291,0.026455026455026454,0.05291005291005291,0.0,0.0,0.0,0.05291005291005291,0.042328042328042326,0.026455026455026454,0.047619047619047616,0.010582010582010581,0.0582010582010582,0.0582010582010582,0.05291005291005291,0.042328042328042326,0.005291005291005291,0.05291005291005291,0.021164021164021163,0.021164021164021163,0.042328042328042326,0.026455026455026454,0.021164021164021163,0.010582010582010581,0.047619047619047616,0.5714285714285714,1.0,0.06349206349206349,0.05291005291005291,0.010582010582010581,0.005291005291005291,0.015873015873015872,0.010582010582010581,0.010582010582010581,0.042328042328042326,0.031746031746031744,0.010582010582010581,0.037037037037037035,0.015873015873015872,0.005291005291005291,0.015873015873015872
PDGF UP.V1 UP,0.0136986301369863,0.00684931506849315,0.0410958904109589,0.0,0.0,0.0,0.0410958904109589,0.00684931506849315,0.0,0.00684931506849315,0.02054794520547945,0.07534246575342465,0.0547945205479452,0.04794520547945205,0.0273972602739726,0.04794520547945205,0.0410958904109589,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.03424657534246575,0.0,0.04794520547945205,0.0547945205479452,0.0821917808219178,1.0,0.02054794520547945,0.02054794520547945,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.04794520547945205,0.03424657534246575,0.0136986301369863,0.0,0.02054794520547945,0.0273972602739726,0.0,0.0136986301369863
PDGF ERK DN.V1 DN,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.0,0.0,0.013422818791946308,0.006711409395973154,0.006711409395973154,0.0,0.03355704697986577,0.013422818791946308,0.08053691275167785,0.053691275167785234,0.053691275167785234,0.013422818791946308,0.006711409395973154,0.03355704697986577,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.006711409395973154,0.040268456375838924,0.06040268456375839,0.06711409395973154,0.020134228187919462,1.0,0.06711409395973154,0.03355704697986577,0.0,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.026845637583892617,0.0,0.006711409395973154
AKT UP MTOR DN.V1 UP,0.016853932584269662,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.016853932584269662,0.016853932584269662,0.0056179775280898875,0.05056179775280899,0.0449438202247191,0.0449438202247191,0.02247191011235955,0.011235955056179775,0.06179775280898876,0.033707865168539325,0.033707865168539325,0.033707865168539325,0.0,0.0,0.0056179775280898875,0.0449438202247191,0.033707865168539325,0.011235955056179775,0.016853932584269662,0.056179775280898875,1.0,0.6123595505617978,0.10112359550561797,0.05056179775280899,0.033707865168539325,0.011235955056179775,0.03932584269662921,0.0056179775280898875,0.06179775280898876,0.02247191011235955,0.0,0.011235955056179775
AKT UP.V1 UP,0.005917159763313609,0.0,0.011834319526627219,0.0,0.011834319526627219,0.01775147928994083,0.011834319526627219,0.011834319526627219,0.011834319526627219,0.011834319526627219,0.01775147928994083,0.011834319526627219,0.01775147928994083,0.01775147928994083,0.011834319526627219,0.005917159763313609,0.05325443786982249,0.047337278106508875,0.03550295857988166,0.03550295857988166,0.0,0.0,0.011834319526627219,0.03550295857988166,0.029585798816568046,0.005917159763313609,0.005917159763313609,0.029585798816568046,0.6449704142011834,1.0,0.2781065088757396,0.029585798816568046,0.04142011834319527,0.011834319526627219,0.023668639053254437,0.0,0.05325443786982249,0.023668639053254437,0.0,0.005917159763313609
MTOR UP.V1 UP,0.0,0.0,0.011764705882352941,0.0,0.0058823529411764705,0.029411764705882353,0.011764705882352941,0.0,0.0058823529411764705,0.011764705882352941,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.01764705882352941,0.0,0.0058823529411764705,0.0058823529411764705,0.011764705882352941,0.011764705882352941,0.01764705882352941,0.0,0.08235294117647059,0.023529411764705882,0.029411764705882353,0.01764705882352941,0.01764705882352941,0.0058823529411764705,0.0,0.10588235294117647,0.27647058823529413,1.0,0.029411764705882353,0.047058823529411764,0.03529411764705882,0.029411764705882353,0.011764705882352941,0.01764705882352941,0.023529411764705882,0.0058823529411764705,0.0058823529411764705
LEF1 UP.V1 DN,0.058823529411764705,0.03208556149732621,0.0481283422459893,0.016042780748663103,0.0053475935828877,0.0106951871657754,0.0,0.0106951871657754,0.0106951871657754,0.0,0.026737967914438502,0.026737967914438502,0.0374331550802139,0.0106951871657754,0.0374331550802139,0.0374331550802139,0.0213903743315508,0.0481283422459893,0.0427807486631016,0.03208556149732621,0.016042780748663103,0.016042780748663103,0.0053475935828877,0.026737967914438502,0.016042780748663103,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.0481283422459893,0.026737967914438502,0.026737967914438502,1.0,0.058823529411764705,0.03208556149732621,0.026737967914438502,0.0106951871657754,0.053475935828877004,0.0106951871657754,0.0,0.0
LTE2 UP.V1 DN,0.010256410256410256,0.0,0.005128205128205128,0.0,0.005128205128205128,0.010256410256410256,0.02564102564102564,0.015384615384615385,0.035897435897435895,0.020512820512820513,0.03076923076923077,0.041025641025641026,0.03076923076923077,0.05128205128205128,0.02564102564102564,0.05641025641025641,0.05128205128205128,0.0,0.020512820512820513,0.02564102564102564,0.035897435897435895,0.03076923076923077,0.02564102564102564,0.020512820512820513,0.020512820512820513,0.010256410256410256,0.035897435897435895,0.005128205128205128,0.03076923076923077,0.035897435897435895,0.041025641025641026,0.05641025641025641,1.0,0.02564102564102564,0.03076923076923077,0.005128205128205128,0.015384615384615385,0.06666666666666667,0.005128205128205128,0.015384615384615385
CRX NRL DN.V1 DN,0.023809523809523808,0.031746031746031744,0.05555555555555555,0.023809523809523808,0.015873015873015872,0.007936507936507936,0.023809523809523808,0.031746031746031744,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.023809523809523808,0.023809523809523808,0.031746031746031744,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.023809523809523808,0.03968253968253968,0.007936507936507936,0.031746031746031744,0.047619047619047616,0.06349206349206349,0.03968253968253968,0.007936507936507936,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.047619047619047616,0.03968253968253968,1.0,0.031746031746031744,0.0,0.047619047619047616,0.015873015873015872,0.0,0.015873015873015872
ESC V6.5 UP EARLY.V1 DN,0.024691358024691357,0.0,0.043209876543209874,0.0,0.0,0.012345679012345678,0.037037037037037035,0.0,0.006172839506172839,0.012345679012345678,0.018518518518518517,0.04938271604938271,0.043209876543209874,0.043209876543209874,0.037037037037037035,0.006172839506172839,0.06172839506172839,0.012345679012345678,0.030864197530864196,0.024691358024691357,0.037037037037037035,0.024691358024691357,0.04938271604938271,0.043209876543209874,0.043209876543209874,0.037037037037037035,0.012345679012345678,0.018518518518518517,0.043209876543209874,0.024691358024691357,0.030864197530864196,0.030864197530864196,0.037037037037037035,0.024691358024691357,1.0,0.043209876543209874,0.1111111111111111,0.018518518518518517,0.006172839506172839,0.012345679012345678
CORDENONSI YAP CONSERVED SIGNATURE,0.0,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.0,0.0,0.05263157894736842,0.0,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.08771929824561403,0.017543859649122806,0.07017543859649122,0.07017543859649122,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.0,0.017543859649122806,0.017543859649122806,0.0,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.0,0.12280701754385964,1.0,0.12280701754385964,0.03508771929824561,0.017543859649122806,0.0
ESC J1 UP LATE.V1 UP,0.016129032258064516,0.010752688172043012,0.026881720430107527,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.005376344086021506,0.010752688172043012,0.026881720430107527,0.010752688172043012,0.04838709677419355,0.021505376344086023,0.026881720430107527,0.021505376344086023,0.026881720430107527,0.026881720430107527,0.06451612903225806,0.03225806451612903,0.021505376344086023,0.021505376344086023,0.03225806451612903,0.005376344086021506,0.016129032258064516,0.043010752688172046,0.021505376344086023,0.03763440860215054,0.016129032258064516,0.005376344086021506,0.05913978494623656,0.04838709677419355,0.016129032258064516,0.053763440860215055,0.016129032258064516,0.03225806451612903,0.0967741935483871,0.03763440860215054,1.0,0.03763440860215054,0.005376344086021506,0.026881720430107527
