Pathway,CD22 MEDIATED BCR REGULATION,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING
TO GENERATION OF SECOND MESSENGERS",ROLE OF PHOSPHOLIPIDS IN PHAGOCYTOSIS,FCGR3A MEDIATED IL10 SYNTHESIS,FCGR ACTIVATION,"ANTI INFLAMMATORY RESPONSE FAVOURING
LEISHMANIA PARASITE INFECTION",ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION,FCERI MEDIATED MAPK ACTIVATION,FCERI MEDIATED CA 2 MOBILIZATION,PARASITE INFECTION,RRNA PROCESSING,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL,INFLUENZA INFECTION,"INFLUENZA VIRAL RNA TRANSCRIPTION AND
REPLICATION",TRANSLATION,EUKARYOTIC TRANSLATION INITIATION,REGULATION OF EXPRESSION OF SLITS AND ROBOS,RIBOSOME ASSOCIATED QUALITY CONTROL,SYNTHESIS OF DNA,S PHASE,"SWITCHING OF ORIGINS TO A POST REPLICATIVE
STATE",MITOTIC G1 PHASE AND G1 S TRANSITION,CELL CYCLE CHECKPOINTS,G2 M CHECKPOINTS,DNA REPLICATION,DNA REPLICATION PRE INITIATION,HOST INTERACTIONS OF HIV FACTORS,TRNA PROCESSING,SUMOYLATION OF RNA BINDING PROTEINS,SNRNP ASSEMBLY,MITOTIC METAPHASE AND ANAPHASE,SEPARATION OF SISTER CHROMATIDS,M PHASE,MITOTIC SPINDLE CHECKPOINT,MITOTIC PROMETAPHASE,"PROCESSING OF CAPPED INTRON CONTAINING PRE
MRNA",MRNA SPLICING,MRNA 3 END PROCESSING,MRNA POLYADENYLATION,"REGULATION OF INSULIN LIKE GROWTH FACTOR IGF
TRANSPORT AND UPTAKE BY INSULIN LIKE GROWTH
FACTOR BINDING PROTEINS IGFBPS"
RRNA PROCESSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2830188679245283,0.41509433962264153,0.41509433962264153,0.42924528301886794,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.018867924528301886,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.06132075471698113,0.0047169811320754715,0.0,0.014150943396226415,0.014150943396226415,0.02358490566037736,0.0047169811320754715,0.014150943396226415,0.02358490566037736,0.009433962264150943,0.014150943396226415,0.014150943396226415,0.0
RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0
INFLUENZA INFECTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534591194968553,0.031446540880503145,1.0,0.8616352201257862,0.5534591194968553,0.5534591194968553,0.5534591194968553,0.5534591194968553,0.012578616352201259,0.012578616352201259,0.012578616352201259,0.012578616352201259,0.0880503144654088,0.012578616352201259,0.025157232704402517,0.025157232704402517,0.23270440251572327,0.20125786163522014,0.18867924528301888,0.18867924528301888,0.16352201257861634,0.0880503144654088,0.23270440251572327,0.07547169811320754,0.08176100628930817,0.3018867924528302,0.0880503144654088,0.11320754716981132,0.11320754716981132,0.006289308176100629
"INFLUENZA VIRAL RNA TRANSCRIPTION AND
REPLICATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6423357664233577,0.0364963503649635,1.0,1.0,0.6423357664233577,0.6423357664233577,0.6423357664233577,0.6423357664233577,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.0948905109489051,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.23357664233576642,0.21897810218978103,0.21897810218978103,0.21897810218978103,0.1678832116788321,0.0948905109489051,0.24817518248175183,0.08029197080291971,0.08759124087591241,0.3357664233576642,0.10218978102189781,0.11678832116788321,0.11678832116788321,0.0072992700729927005
TRANSLATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24528301886792453,0.016172506738544475,0.2371967654986523,0.2371967654986523,1.0,0.32345013477088946,0.353099730458221,0.3908355795148248,0.10242587601078167,0.10242587601078167,0.10242587601078167,0.09703504043126684,0.10512129380053908,0.09703504043126684,0.10242587601078167,0.09973045822102426,0.10512129380053908,0.01078167115902965,0.0,0.0,0.10242587601078167,0.10242587601078167,0.10242587601078167,0.005390835579514825,0.0026954177897574125,0.013477088948787063,0.0,0.01078167115902965,0.01078167115902965,0.0
EUKARYOTIC TRANSLATION INITIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.041666666666666664,0.7333333333333333,0.7333333333333333,1.0,1.0,0.75,0.7333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.025,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.025,0.025,0.025,0.008333333333333333,0.008333333333333333,0.025,0.0,0.016666666666666666,0.016666666666666666,0.0
REGULATION OF EXPRESSION OF SLITS AND ROBOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534591194968553,0.031446540880503145,0.5534591194968553,0.5534591194968553,0.8238993710691824,0.5660377358490566,1.0,0.7924528301886793,0.23270440251572327,0.23270440251572327,0.23270440251572327,0.22641509433962265,0.2389937106918239,0.22641509433962265,0.23270440251572327,0.22641509433962265,0.24528301886792453,0.0,0.0,0.012578616352201259,0.23270440251572327,0.23270440251572327,0.23270440251572327,0.006289308176100629,0.006289308176100629,0.08176100628930817,0.05660377358490566,0.08176100628930817,0.03773584905660377,0.0
RIBOSOME ASSOCIATED QUALITY CONTROL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068965517241379,0.034482758620689655,0.6068965517241379,0.6068965517241379,1.0,0.6068965517241379,0.8689655172413793,1.0,0.2620689655172414,0.2620689655172414,0.2620689655172414,0.2482758620689655,0.2689655172413793,0.2482758620689655,0.2620689655172414,0.25517241379310346,0.2689655172413793,0.0,0.0,0.0,0.2620689655172414,0.2620689655172414,0.2620689655172414,0.013793103448275862,0.006896551724137931,0.027586206896551724,0.0,0.027586206896551724,0.027586206896551724,0.0
SYNTHESIS OF DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,0.35185185185185186,0.018518518518518517,0.3425925925925926,0.35185185185185186,1.0,1.0,0.7314814814814815,0.6759259259259259,0.7777777777777778,0.5740740740740741,1.0,0.7685185185185185,0.35185185185185186,0.0,0.0,0.0,0.49074074074074076,0.49074074074074076,0.49074074074074076,0.1574074074074074,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0
S PHASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.25333333333333335,0.013333333333333334,0.24666666666666667,0.25333333333333335,0.72,1.0,0.5266666666666666,0.68,0.5933333333333334,0.4266666666666667,0.72,0.5533333333333333,0.25333333333333335,0.0,0.0,0.0,0.41333333333333333,0.41333333333333333,0.42,0.11333333333333333,0.06,0.02666666666666667,0.0,0.02666666666666667,0.02666666666666667,0.0
"SWITCHING OF ORIGINS TO A POST REPLICATIVE
STATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.02531645569620253,0.02531645569620253,0.4810126582278481,0.02531645569620253,0.46835443037974683,0.4810126582278481,1.0,1.0,1.0,0.759493670886076,0.9493670886075949,0.6708860759493671,1.0,0.8987341772151899,0.4810126582278481,0.0,0.0,0.0,0.6708860759493671,0.6708860759493671,0.6708860759493671,0.21518987341772153,0.0,0.05063291139240506,0.0,0.05063291139240506,0.05063291139240506,0.0
MITOTIC G1 PHASE AND G1 S TRANSITION,0.007194244604316547,0.007194244604316547,0.0,0.014388489208633094,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.02158273381294964,0.014388489208633094,0.0,0.014388489208633094,0.014388489208633094,0.2589928057553957,0.014388489208633094,0.2589928057553957,0.2589928057553957,0.5251798561151079,0.7338129496402878,0.4316546762589928,1.0,0.539568345323741,0.460431654676259,0.5539568345323741,0.49640287769784175,0.26618705035971224,0.0,0.0,0.0,0.31654676258992803,0.28776978417266186,0.3237410071942446,0.02877697841726619,0.04316546762589928,0.02877697841726619,0.0,0.02877697841726619,0.02877697841726619,0.0
CELL CYCLE CHECKPOINTS,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.04827586206896552,0.04482758620689655,0.13448275862068965,0.010344827586206896,0.1310344827586207,0.13448275862068965,0.2896551724137931,0.30689655172413793,0.25862068965517243,0.25862068965517243,1.0,0.5379310344827586,0.41724137931034483,0.3724137931034483,0.17586206896551723,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.5172413793103449,0.506896551724138,0.6448275862068965,0.38275862068965516,0.3448275862068966,0.04827586206896552,0.0,0.013793103448275862,0.013793103448275862,0.0
G2 M CHECKPOINTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.01282051282051282,0.23076923076923078,0.01282051282051282,0.23076923076923078,0.23076923076923078,0.3974358974358974,0.41025641025641024,0.33974358974358976,0.41025641025641024,1.0,1.0,0.6346153846153846,0.5833333333333334,0.23076923076923078,0.0,0.0,0.0,0.25,0.23076923076923078,0.4807692307692308,0.0,0.03205128205128205,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.0
DNA REPLICATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.021739130434782608,0.010869565217391304,0.20652173913043478,0.010869565217391304,0.20108695652173914,0.20652173913043478,0.5869565217391305,0.5869565217391305,0.42934782608695654,0.41847826086956524,0.657608695652174,0.5380434782608695,1.0,0.8097826086956522,0.21739130434782608,0.0,0.0,0.0,0.29347826086956524,0.28804347826086957,0.6141304347826086,0.09239130434782608,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.0
DNA REPLICATION PRE INITIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,0.0,0.026845637583892617,0.013422818791946308,0.2483221476510067,0.013422818791946308,0.24161073825503357,0.2483221476510067,0.5570469798657718,0.5570469798657718,0.47651006711409394,0.46308724832214765,0.7248322147651006,0.610738255033557,1.0,1.0,0.2550335570469799,0.0,0.0,0.0,0.3624161073825503,0.35570469798657717,0.7583892617449665,0.11409395973154363,0.0,0.026845637583892617,0.0,0.026845637583892617,0.026845637583892617,0.0
HOST INTERACTIONS OF HIV FACTORS,0.0,0.00847457627118644,0.00847457627118644,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.00847457627118644,0.01694915254237288,0.0,0.0423728813559322,0.01694915254237288,0.0,0.3135593220338983,0.2711864406779661,0.3305084745762712,0.01694915254237288,0.3305084745762712,0.3305084745762712,0.3220338983050847,0.3220338983050847,0.3220338983050847,0.3135593220338983,0.4322033898305085,0.3050847457627119,0.3389830508474576,0.3220338983050847,1.0,0.2627118644067797,0.2542372881355932,0.2542372881355932,0.5254237288135594,0.4067796610169492,0.6101694915254238,0.1016949152542373,0.1016949152542373,0.288135593220339,0.0,0.03389830508474576,0.03389830508474576,0.0
TRNA PROCESSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11304347826086956,0.008695652173913044,0.2782608695652174,0.2608695652173913,0.034782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.26956521739130435,1.0,0.2608695652173913,0.2608695652173913,0.1826086956521739,0.08695652173913043,0.26956521739130435,0.08695652173913043,0.08695652173913043,0.2956521739130435,0.0,0.034782608695652174,0.034782608695652174,0.0
SUMOYLATION OF RNA BINDING PROTEINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.6382978723404256,0.6382978723404256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.0,0.6382978723404256,0.6382978723404256,1.0,0.6382978723404256,0.46808510638297873,0.2127659574468085,0.6808510638297872,0.2127659574468085,0.2127659574468085,0.6808510638297872,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0
SNRNP ASSEMBLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.37037037037037035,0.18518518518518517,0.5555555555555556,0.18518518518518517,0.18518518518518517,0.7222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
MITOTIC METAPHASE AND ANAPHASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013452914798206279,0.0,0.11659192825112108,0.1031390134529148,0.17040358744394618,0.013452914798206279,0.16591928251121077,0.17040358744394618,0.23766816143497757,0.27802690582959644,0.23766816143497757,0.19730941704035873,0.672645739910314,0.17488789237668162,0.242152466367713,0.242152466367713,0.27802690582959644,0.09417040358744394,0.09865470852017937,0.08968609865470852,1.0,0.7982062780269058,1.0,0.4977578475336323,0.5650224215246636,0.10762331838565023,0.0,0.017937219730941704,0.017937219730941704,0.0
SEPARATION OF SISTER CHROMATIDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016853932584269662,0.0,0.07865168539325842,0.07303370786516854,0.21348314606741572,0.016853932584269662,0.20786516853932585,0.21348314606741572,0.29775280898876405,0.34831460674157305,0.29775280898876405,0.2247191011235955,0.8258426966292135,0.20224719101123595,0.29775280898876405,0.29775280898876405,0.2696629213483146,0.056179775280898875,0.056179775280898875,0.056179775280898875,1.0,1.0,1.0,0.6235955056179775,0.6910112359550562,0.07865168539325842,0.0,0.02247191011235955,0.02247191011235955,0.0
M PHASE,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.012376237623762377,0.0,0.09158415841584158,0.08415841584158416,0.09405940594059406,0.007425742574257425,0.09158415841584158,0.09405940594059406,0.1311881188118812,0.15594059405940594,0.1311881188118812,0.11138613861386139,0.4628712871287129,0.18564356435643564,0.27970297029702973,0.27970297029702973,0.1782178217821782,0.07673267326732673,0.07920792079207921,0.07425742574257425,0.551980198019802,0.4405940594059406,1.0,0.2747524752475248,0.504950495049505,0.08415841584158416,0.0,0.009900990099009901,0.009900990099009901,0.0
MITOTIC SPINDLE CHECKPOINT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.10810810810810811,0.0990990990990991,0.018018018018018018,0.009009009009009009,0.009009009009009009,0.018018018018018018,0.15315315315315314,0.15315315315315314,0.15315315315315314,0.036036036036036036,1.0,0.0,0.15315315315315314,0.15315315315315314,0.10810810810810811,0.09009009009009009,0.09009009009009009,0.09009009009009009,1.0,1.0,1.0,1.0,0.8468468468468469,0.09009009009009009,0.0,0.0,0.0,0.0
MITOTIC PROMETAPHASE,0.0,0.0,0.0,0.00980392156862745,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.06372549019607843,0.058823529411764705,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0,0.04411764705882353,0.0,0.029411764705882353,0.49019607843137253,0.024509803921568627,0.0,0.0,0.058823529411764705,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.6176470588235294,0.6029411764705882,1.0,0.46078431372549017,1.0,0.049019607843137254,0.0,0.0,0.0,0.0
"PROCESSING OF CAPPED INTRON CONTAINING PRE
MRNA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017006802721088437,0.003401360544217687,0.16326530612244897,0.1564625850340136,0.017006802721088437,0.01020408163265306,0.04421768707482993,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.047619047619047616,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.11564625850340136,0.11564625850340136,0.10884353741496598,0.1326530612244898,0.08163265306122448,0.047619047619047616,0.11564625850340136,0.034013605442176874,0.034013605442176874,1.0,0.7210884353741497,0.5170068027210885,0.43197278911564624,0.0
MRNA SPLICING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0047169811320754715,0.0660377358490566,0.0660377358490566,0.0,0.0,0.04245283018867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.04245283018867924,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5188679245283019,0.46226415094339623,0.0
MRNA 3 END PROCESSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.11842105263157894,0.10526315789473684,0.02631578947368421,0.013157894736842105,0.08552631578947369,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.05921052631578947,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,1.0,0.7236842105263158,1.0,0.8355263157894737,0.0
MRNA POLYADENYLATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.0,0.14173228346456693,0.12598425196850394,0.031496062992125984,0.015748031496062992,0.047244094488188976,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.015748031496062992,0.07086614173228346,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.0,0.0,1.0,0.7716535433070866,1.0,1.0,0.0
"REGULATION OF INSULIN LIKE GROWTH FACTOR IGF
TRANSPORT AND UPTAKE BY INSULIN LIKE GROWTH
FACTOR BINDING PROTEINS IGFBPS",0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
