Pathway,FOXR2 TARGET GENES,RBMX TARGET GENES,SETBP1 TARGET GENES,SOX11 TARGET GENES,EPC1 TARGET GENES,ZNF774 TARGET GENES,HDAC8 TARGET GENES,RAX2 TARGET GENES,PRMT5 TARGET GENES,MED25 TARGET GENES,NR0B1 TARGET GENES,PITX1 TARGET GENES,RUVBL1 TARGET GENES,MYBL1 TARGET GENES,PSMB5 TARGET GENES,RBM15 TARGET GENES,TERF1 TARGET GENES,MAML1 TARGET GENES,PRDM5 TARGET GENES,ZNF585B TARGET GENES,ZNF486 TARGET GENES,RORA TARGET GENES,ALKBH3 TARGET GENES,ZNF667 TARGET GENES,CASP8AP2 TARGET GENES,ZNF524 TARGET GENES,ZNF548 TARGET GENES,ZNF512B TARGET GENES,ZNF791 TARGET GENES,ZNF558 TARGET GENES,TSHZ1 TARGET GENES,ZNF488 TARGET GENES,ZZZ3 TARGET GENES,NPM1 TARGET GENES,STN1 TARGET GENES,NFXL1 TARGET GENES,CARM1 TARGET GENES,FOXQ1 TARGET GENES,DMRT1 TARGET GENES,DLX2 TARGET GENES
NR0B1 TARGET GENES,0.0158311345646438,0.0,0.0,0.002638522427440633,0.052770448548812667,0.0,0.026385224274406333,0.002638522427440633,0.026385224274406333,0.044854881266490766,1.0,0.0316622691292876,0.002638522427440633,0.026385224274406333,0.05013192612137203,0.0316622691292876,0.021108179419525065,0.029023746701846966,0.0079155672823219,0.0,0.0079155672823219,0.023746701846965697,0.047493403693931395,0.021108179419525065,0.047493403693931395,0.055408970976253295,0.005277044854881266,0.036939313984168866,0.0079155672823219,0.023746701846965697,0.05013192612137203,0.002638522427440633,0.021108179419525065,0.0158311345646438,0.0,0.0633245382585752,0.005277044854881266,0.002638522427440633,0.04221635883905013,0.021108179419525065
PITX1 TARGET GENES,0.03418803418803419,0.002849002849002849,0.005698005698005698,0.002849002849002849,0.05698005698005698,0.0,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.005698005698005698,0.03418803418803419,1.0,0.039886039886039885,0.07122507122507123,0.04843304843304843,0.022792022792022793,0.011396011396011397,0.014245014245014245,0.0,0.0,0.005698005698005698,0.04843304843304843,0.06552706552706553,0.019943019943019943,0.05413105413105413,0.05128205128205128,0.002849002849002849,0.011396011396011397,0.002849002849002849,0.017094017094017096,0.022792022792022793,0.005698005698005698,0.02564102564102564,0.03133903133903134,0.0,0.019943019943019943,0.002849002849002849,0.002849002849002849,0.10826210826210826,0.019943019943019943
RUVBL1 TARGET GENES,0.06593406593406594,0.005494505494505495,0.0,0.005494505494505495,0.04945054945054945,0.0,0.016483516483516484,0.0,0.03296703296703297,0.03296703296703297,0.005494505494505495,0.07692307692307693,1.0,0.1043956043956044,0.10989010989010989,0.038461538461538464,0.01098901098901099,0.016483516483516484,0.0,0.0,0.005494505494505495,0.1043956043956044,0.13186813186813187,0.04395604395604396,0.14285714285714285,0.08791208791208792,0.0,0.016483516483516484,0.0,0.04395604395604396,0.03296703296703297,0.0,0.06593406593406594,0.04395604395604396,0.0,0.02197802197802198,0.0,0.0,0.13736263736263737,0.01098901098901099
MYBL1 TARGET GENES,0.016597510373443983,0.0,0.014522821576763486,0.008298755186721992,0.05394190871369295,0.0,0.01867219917012448,0.006224066390041493,0.006224066390041493,0.024896265560165973,0.02074688796680498,0.05186721991701245,0.03941908713692946,1.0,0.04979253112033195,0.016597510373443983,0.014522821576763486,0.012448132780082987,0.0,0.008298755186721992,0.006224066390041493,0.026970954356846474,0.04979253112033195,0.02074688796680498,0.01867219917012448,0.026970954356846474,0.006224066390041493,0.01867219917012448,0.0,0.02074688796680498,0.024896265560165973,0.004149377593360996,0.022821576763485476,0.03734439834024896,0.002074688796680498,0.024896265560165973,0.0,0.004149377593360996,0.03941908713692946,0.01867219917012448
PSMB5 TARGET GENES,0.012861736334405145,0.006430868167202572,0.00964630225080386,0.00964630225080386,0.05787781350482315,0.0,0.01929260450160772,0.006430868167202572,0.02572347266881029,0.05144694533762058,0.06109324758842444,0.05466237942122187,0.06430868167202572,0.07717041800643087,1.0,0.1189710610932476,0.00964630225080386,0.00964630225080386,0.0,0.003215434083601286,0.003215434083601286,0.022508038585209004,0.06430868167202572,0.0,0.07395498392282958,0.03536977491961415,0.006430868167202572,0.01607717041800643,0.006430868167202572,0.03536977491961415,0.01929260450160772,0.0,0.05466237942122187,0.07395498392282958,0.003215434083601286,0.06430868167202572,0.003215434083601286,0.003215434083601286,0.03215434083601286,0.02572347266881029
RBM15 TARGET GENES,0.015151515151515152,0.0,0.0,0.0,0.045454545454545456,0.0,0.03535353535353535,0.0,0.010101010101010102,0.025252525252525252,0.06060606060606061,0.04040404040404041,0.03535353535353535,0.04040404040404041,0.18686868686868688,1.0,0.005050505050505051,0.010101010101010102,0.0,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.030303030303030304,0.005050505050505051,0.07575757575757576,0.03535353535353535,0.005050505050505051,0.020202020202020204,0.0,0.04040404040404041,0.03535353535353535,0.0,0.050505050505050504,0.045454545454545456,0.0,0.06565656565656566,0.0,0.0,0.005050505050505051,0.015151515151515152
TERF1 TARGET GENES,0.016722408026755852,0.0,0.016722408026755852,0.0033444816053511705,0.016722408026755852,0.0,0.010033444816053512,0.0033444816053511705,0.0,0.0033444816053511705,0.026755852842809364,0.013377926421404682,0.006688963210702341,0.023411371237458192,0.010033444816053512,0.0033444816053511705,1.0,0.07692307692307693,0.016722408026755852,0.010033444816053512,0.016722408026755852,0.010033444816053512,0.006688963210702341,0.006688963210702341,0.016722408026755852,0.016722408026755852,0.0033444816053511705,0.010033444816053512,0.0033444816053511705,0.010033444816053512,0.016722408026755852,0.0033444816053511705,0.016722408026755852,0.016722408026755852,0.0,0.020066889632107024,0.0033444816053511705,0.0,0.023411371237458192,0.03678929765886288
MAML1 TARGET GENES,0.015384615384615385,0.003076923076923077,0.021538461538461538,0.0,0.024615384615384615,0.006153846153846154,0.009230769230769232,0.006153846153846154,0.006153846153846154,0.006153846153846154,0.033846153846153845,0.015384615384615385,0.009230769230769232,0.018461538461538463,0.009230769230769232,0.006153846153846154,0.07076923076923076,1.0,0.012307692307692308,0.006153846153846154,0.018461538461538463,0.006153846153846154,0.015384615384615385,0.006153846153846154,0.012307692307692308,0.018461538461538463,0.003076923076923077,0.003076923076923077,0.0,0.012307692307692308,0.012307692307692308,0.003076923076923077,0.033846153846153845,0.021538461538461538,0.0,0.027692307692307693,0.003076923076923077,0.006153846153846154,0.015384615384615385,0.018461538461538463
PRDM5 TARGET GENES,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.031746031746031744,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.03968253968253968,0.031746031746031744,1.0,0.007936507936507936,0.007936507936507936,0.03968253968253968,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.007936507936507936,0.0,0.015873015873015872,0.0,0.031746031746031744,0.031746031746031744,0.007936507936507936,0.015873015873015872,0.023809523809523808,0.0,0.007936507936507936,0.0,0.007936507936507936,0.03968253968253968,0.05555555555555555
ZNF585B TARGET GENES,0.02877697841726619,0.0,0.0,0.0,0.014388489208633094,0.0,0.007194244604316547,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.007194244604316547,0.014388489208633094,0.02158273381294964,0.014388489208633094,0.007194244604316547,1.0,0.04316546762589928,0.0,0.007194244604316547,0.007194244604316547,0.0,0.014388489208633094,0.0,0.02877697841726619,0.0,0.03597122302158273,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.0,0.02158273381294964,0.0,0.0,0.014388489208633094,0.014388489208633094
ZNF486 TARGET GENES,0.009868421052631578,0.0,0.003289473684210526,0.0,0.009868421052631578,0.0,0.006578947368421052,0.003289473684210526,0.0,0.006578947368421052,0.009868421052631578,0.006578947368421052,0.003289473684210526,0.009868421052631578,0.003289473684210526,0.003289473684210526,0.01644736842105263,0.019736842105263157,0.003289473684210526,0.019736842105263157,1.0,0.006578947368421052,0.023026315789473683,0.003289473684210526,0.009868421052631578,0.023026315789473683,0.006578947368421052,0.0,0.003289473684210526,0.006578947368421052,0.006578947368421052,0.0,0.006578947368421052,0.023026315789473683,0.0,0.019736842105263157,0.0,0.0,0.003289473684210526,0.0
RORA TARGET GENES,0.041353383458646614,0.0,0.007518796992481203,0.0037593984962406013,0.05263157894736842,0.007518796992481203,0.015037593984962405,0.03383458646616541,0.007518796992481203,0.02631578947368421,0.03383458646616541,0.06390977443609022,0.07142857142857142,0.04887218045112782,0.02631578947368421,0.0037593984962406013,0.011278195488721804,0.007518796992481203,0.018796992481203006,0.0,0.007518796992481203,1.0,0.5075187969924813,0.16165413533834586,0.19548872180451127,0.09022556390977443,0.007518796992481203,0.022556390977443608,0.0,0.07518796992481203,0.03007518796992481,0.0,0.10150375939849623,0.03007518796992481,0.0,0.011278195488721804,0.0,0.0,0.13533834586466165,0.06390977443609022
ALKBH3 TARGET GENES,0.03160270880361174,0.0,0.0,0.002257336343115124,0.06997742663656885,0.006772009029345372,0.01805869074492099,0.024830699774266364,0.002257336343115124,0.02708803611738149,0.040632054176072234,0.05191873589164785,0.05417607223476298,0.05417607223476298,0.045146726862302484,0.013544018058690745,0.004514672686230248,0.011286681715575621,0.002257336343115124,0.002257336343115124,0.01580135440180587,0.3047404063205418,1.0,0.1670428893905192,0.23702031602708803,0.11286681715575621,0.006772009029345372,0.022573363431151242,0.002257336343115124,0.06772009029345373,0.05191873589164785,0.0,0.056433408577878104,0.060948081264108354,0.0,0.01805869074492099,0.004514672686230248,0.002257336343115124,0.0654627539503386,0.01805869074492099
ZNF667 TARGET GENES,0.04081632653061224,0.013605442176870748,0.034013605442176874,0.0,0.034013605442176874,0.013605442176870748,0.0,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.05442176870748299,0.047619047619047616,0.05442176870748299,0.06802721088435375,0.0,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.2925170068027211,0.5034013605442177,1.0,0.24489795918367346,0.16326530612244897,0.006802721088435374,0.02040816326530612,0.0,0.21768707482993196,0.09523809523809523,0.0,0.12244897959183673,0.08163265306122448,0.0,0.0,0.0,0.0,0.09523809523809523,0.027210884353741496
CASP8AP2 TARGET GENES,0.023323615160349854,0.0058309037900874635,0.008746355685131196,0.008746355685131196,0.043731778425655975,0.0058309037900874635,0.011661807580174927,0.0029154518950437317,0.014577259475218658,0.043731778425655975,0.052478134110787174,0.05539358600583091,0.07580174927113703,0.026239067055393587,0.06705539358600583,0.043731778425655975,0.014577259475218658,0.011661807580174927,0.008746355685131196,0.0,0.008746355685131196,0.15160349854227406,0.30612244897959184,0.10495626822157435,1.0,0.10787172011661808,0.0029154518950437317,0.023323615160349854,0.0029154518950437317,0.05539358600583091,0.07580174927113703,0.0,0.04664723032069971,0.04081632653061224,0.0,0.03206997084548105,0.0058309037900874635,0.014577259475218658,0.05830903790087463,0.014577259475218658
ZNF524 TARGET GENES,0.01971830985915493,0.0,0.016901408450704224,0.005633802816901409,0.0676056338028169,0.0028169014084507044,0.011267605633802818,0.0,0.005633802816901409,0.008450704225352112,0.059154929577464786,0.05070422535211268,0.04507042253521127,0.036619718309859155,0.030985915492957747,0.01971830985915493,0.014084507042253521,0.016901408450704224,0.0028169014084507044,0.005633802816901409,0.01971830985915493,0.0676056338028169,0.14084507042253522,0.0676056338028169,0.10422535211267606,1.0,0.005633802816901409,0.036619718309859155,0.008450704225352112,0.07323943661971831,0.10422535211267606,0.014084507042253521,0.04225352112676056,0.05352112676056338,0.0028169014084507044,0.05070422535211268,0.005633802816901409,0.005633802816901409,0.04788732394366197,0.011267605633802818
ZNF548 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.0,0.047619047619047616,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.031746031746031744,1.0,0.09523809523809523,0.015873015873015872,0.07936507936507936,0.047619047619047616,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.0,0.031746031746031744,0.0,0.0,0.015873015873015872,0.015873015873015872
ZNF512B TARGET GENES,0.0,0.0,0.008928571428571428,0.0,0.07142857142857142,0.008928571428571428,0.017857142857142856,0.008928571428571428,0.013392857142857142,0.004464285714285714,0.0625,0.017857142857142856,0.013392857142857142,0.04017857142857143,0.022321428571428572,0.017857142857142856,0.013392857142857142,0.004464285714285714,0.008928571428571428,0.017857142857142856,0.0,0.026785714285714284,0.044642857142857144,0.013392857142857142,0.03571428571428571,0.05803571428571429,0.026785714285714284,1.0,0.03125,0.05357142857142857,0.049107142857142856,0.017857142857142856,0.05357142857142857,0.013392857142857142,0.0,0.09821428571428571,0.0,0.0,0.03125,0.008928571428571428
ZNF791 TARGET GENES,0.014705882352941176,0.0,0.014705882352941176,0.0,0.029411764705882353,0.029411764705882353,0.014705882352941176,0.0,0.014705882352941176,0.029411764705882353,0.04411764705882353,0.014705882352941176,0.0,0.0,0.029411764705882353,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,0.0,0.014705882352941176,0.04411764705882353,0.014705882352941176,0.10294117647058823,1.0,0.45588235294117646,0.11764705882352941,0.08823529411764706,0.058823529411764705,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0
ZNF558 TARGET GENES,0.019169329073482427,0.0,0.02875399361022364,0.006389776357827476,0.04792332268370607,0.003194888178913738,0.012779552715654952,0.0,0.022364217252396165,0.022364217252396165,0.02875399361022364,0.019169329073482427,0.025559105431309903,0.03194888178913738,0.03514376996805112,0.025559105431309903,0.009584664536741214,0.012779552715654952,0.012779552715654952,0.01597444089456869,0.006389776357827476,0.06389776357827476,0.09584664536741214,0.10223642172523961,0.06070287539936102,0.08306709265175719,0.01597444089456869,0.038338658146964855,0.09904153354632587,1.0,0.15654952076677317,0.038338658146964855,0.0670926517571885,0.038338658146964855,0.0,0.022364217252396165,0.0,0.003194888178913738,0.038338658146964855,0.04792332268370607
TSHZ1 TARGET GENES,0.012605042016806723,0.0,0.02100840336134454,0.02100840336134454,0.07563025210084033,0.008403361344537815,0.01680672268907563,0.0,0.029411764705882353,0.04201680672268908,0.07983193277310924,0.03361344537815126,0.025210084033613446,0.05042016806722689,0.025210084033613446,0.029411764705882353,0.02100840336134454,0.01680672268907563,0.01680672268907563,0.01680672268907563,0.008403361344537815,0.03361344537815126,0.09663865546218488,0.058823529411764705,0.1092436974789916,0.15546218487394958,0.012605042016806723,0.046218487394957986,0.03361344537815126,0.20588235294117646,1.0,0.08823529411764706,0.06722689075630252,0.037815126050420166,0.0,0.03361344537815126,0.004201680672268907,0.004201680672268907,0.05042016806722689,0.07563025210084033
ZNF488 TARGET GENES,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.0,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.4772727272727273,1.0,0.09090909090909091,0.045454545454545456,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.09090909090909091
ZZZ3 TARGET GENES,0.04075235109717868,0.006269592476489028,0.009404388714733543,0.0,0.0438871473354232,0.006269592476489028,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.006269592476489028,0.025078369905956112,0.02821316614420063,0.03761755485893417,0.034482758620689655,0.05329153605015674,0.03134796238244514,0.01567398119122257,0.034482758620689655,0.006269592476489028,0.003134796238244514,0.006269592476489028,0.08463949843260188,0.07836990595611286,0.05642633228840126,0.050156739811912224,0.047021943573667714,0.006269592476489028,0.03761755485893417,0.012539184952978056,0.06583072100313479,0.050156739811912224,0.012539184952978056,1.0,0.0877742946708464,0.0,0.03761755485893417,0.0,0.0,0.05956112852664577,0.02821316614420063
NPM1 TARGET GENES,0.03296703296703297,0.0027472527472527475,0.013736263736263736,0.0027472527472527475,0.054945054945054944,0.005494505494505495,0.0,0.013736263736263736,0.0027472527472527475,0.01098901098901099,0.016483516483516484,0.03021978021978022,0.02197802197802198,0.04945054945054945,0.06318681318681318,0.024725274725274724,0.013736263736263736,0.019230769230769232,0.008241758241758242,0.0027472527472527475,0.019230769230769232,0.02197802197802198,0.07417582417582418,0.03296703296703297,0.038461538461538464,0.0521978021978022,0.008241758241758242,0.008241758241758242,0.0,0.03296703296703297,0.024725274725274724,0.005494505494505495,0.07692307692307693,1.0,0.005494505494505495,0.02197802197802198,0.0,0.0,0.046703296703296704,0.0
STN1 TARGET GENES,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.09090909090909091,0.0
NFXL1 TARGET GENES,0.010570824524312896,0.0,0.004228329809725159,0.0,0.019027484143763214,0.004228329809725159,0.014799154334038054,0.0021141649048625794,0.006342494714587738,0.023255813953488372,0.0507399577167019,0.014799154334038054,0.008456659619450317,0.02536997885835095,0.042283298097251586,0.02748414376321353,0.012684989429175475,0.019027484143763214,0.0021141649048625794,0.006342494714587738,0.012684989429175475,0.006342494714587738,0.016913319238900635,0.0,0.023255813953488372,0.03805496828752643,0.004228329809725159,0.046511627906976744,0.004228329809725159,0.014799154334038054,0.016913319238900635,0.006342494714587738,0.02536997885835095,0.016913319238900635,0.0,1.0,0.010570824524312896,0.0021141649048625794,0.02959830866807611,0.019027484143763214
CARM1 TARGET GENES,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.35714285714285715,1.0,0.0,0.0,0.0
FOXQ1 TARGET GENES,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.1282051282051282,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,1.0,0.28205128205128205,0.07692307692307693
DMRT1 TARGET GENES,0.036057692307692304,0.0,0.014423076923076924,0.009615384615384616,0.04567307692307692,0.002403846153846154,0.016826923076923076,0.019230769230769232,0.002403846153846154,0.03365384615384615,0.038461538461538464,0.09134615384615384,0.06009615384615385,0.04567307692307692,0.02403846153846154,0.002403846153846154,0.016826923076923076,0.01201923076923077,0.01201923076923077,0.004807692307692308,0.002403846153846154,0.08653846153846154,0.06971153846153846,0.03365384615384615,0.04807692307692308,0.040865384615384616,0.002403846153846154,0.016826923076923076,0.004807692307692308,0.028846153846153848,0.028846153846153848,0.002403846153846154,0.04567307692307692,0.040865384615384616,0.002403846153846154,0.03365384615384615,0.0,0.026442307692307692,1.0,0.12740384615384615
DLX2 TARGET GENES,0.0,0.0,0.023972602739726026,0.003424657534246575,0.03424657534246575,0.0,0.017123287671232876,0.003424657534246575,0.023972602739726026,0.05821917808219178,0.0273972602739726,0.023972602739726026,0.00684931506849315,0.030821917808219176,0.0273972602739726,0.010273972602739725,0.03767123287671233,0.02054794520547945,0.023972602739726026,0.00684931506849315,0.0,0.05821917808219178,0.0273972602739726,0.0136986301369863,0.017123287671232876,0.0136986301369863,0.003424657534246575,0.00684931506849315,0.0,0.05136986301369863,0.06164383561643835,0.0136986301369863,0.030821917808219176,0.0,0.0,0.030821917808219176,0.0,0.010273972602739725,0.1815068493150685,1.0
