Pathway,STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,HEPARIN BINDING,GLYCOSAMINOGLYCAN BINDING,PROTEOGLYCAN BINDING,PEPTIDASE REGULATOR ACTIVITY,PEPTIDASE INHIBITOR ACTIVITY,DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,DNA BINDING TRANSCRIPTION REPRESSOR ACTIVITY,DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",PROTEIN FOLDING CHAPERONE,ATP DEPENDENT PROTEIN FOLDING CHAPERONE,UNFOLDED PROTEIN BINDING,HEAT SHOCK PROTEIN BINDING,TAU PROTEIN BINDING,"TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY","TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY",GROWTH FACTOR BINDING,ACTIN BINDING,ACTIN FILAMENT BINDING,CYTOKINE BINDING,C C CHEMOKINE BINDING,"G PROTEIN COUPLED CHEMOATTRACTANT RECEPTOR
ACTIVITY",IMMUNE RECEPTOR ACTIVITY,CORECEPTOR ACTIVITY,CYTOKINE RECEPTOR BINDING,CARGO RECEPTOR ACTIVITY,PHOSPHORIC ESTER HYDROLASE ACTIVITY,"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY","TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",N METHYLTRANSFERASE ACTIVITY,LYSINE N METHYLTRANSFERASE ACTIVITY,HISTONE METHYLTRANSFERASE ACTIVITY,CHROMATIN PROTEIN ADAPTOR ACTIVITY,HISTONE READER ACTIVITY,CATALYTIC ACTIVITY ACTING ON DNA,EXONUCLEASE ACTIVITY,TRNA BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA
GROWTH FACTOR BINDING,0.0,0.11029411764705882,0.1323529411764706,0.16911764705882354,0.022058823529411766,0.051470588235294115,0.04411764705882353,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.007352941176470588,0.0,0.2867647058823529,0.19117647058823528,1.0,0.007352941176470588,0.007352941176470588,0.375,0.0,0.0,0.11029411764705882,0.08823529411764706,0.125,0.022058823529411766,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTIN BINDING,0.0,0.0,0.0044742729306487695,0.006711409395973154,0.0022371364653243847,0.0044742729306487695,0.0044742729306487695,0.0,0.0022371364653243847,0.013422818791946308,0.011185682326621925,0.0022371364653243847,0.0,0.0,0.015659955257270694,0.011185682326621925,0.0022371364653243847,0.0022371364653243847,0.0022371364653243847,1.0,0.4720357941834452,0.011185682326621925,0.0044742729306487695,0.0044742729306487695,0.0044742729306487695,0.006711409395973154,0.0044742729306487695,0.0,0.024608501118568233,0.0022371364653243847,0.0022371364653243847,0.0022371364653243847,0.0022371364653243847,0.0022371364653243847,0.0,0.0,0.011185682326621925,0.0,0.0,0.0022371364653243847
ACTIN FILAMENT BINDING,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.0,0.018957345971563982,0.014218009478672985,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.0,0.018957345971563982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009478672985781991,0.0,0.0,0.0
CYTOKINE BINDING,0.0,0.04861111111111111,0.06944444444444445,0.1111111111111111,0.013888888888888888,0.04861111111111111,0.041666666666666664,0.0,0.0,0.020833333333333332,0.013888888888888888,0.006944444444444444,0.0,0.0,0.013888888888888888,0.0,0.11805555555555555,0.027777777777777776,0.3541666666666667,0.034722222222222224,0.0,1.0,0.1736111111111111,0.1527777777777778,0.4375,0.1388888888888889,0.18055555555555555,0.020833333333333332,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.006944444444444444,0.0,0.0,0.0,0.0
C C CHEMOKINE BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,1.0,1.0,0.88,0.88,0.2,0.12,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"G PROTEIN COUPLED CHEMOATTRACTANT RECEPTOR
ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.8148148148148148,0.8148148148148148,1.0,1.0,0.18518518518518517,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNE RECEPTOR ACTIVITY,0.0,0.00558659217877095,0.0,0.0111731843575419,0.0,0.00558659217877095,0.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.0,0.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.08379888268156424,0.0111731843575419,0.0,0.35195530726256985,0.12290502793296089,0.15083798882681565,1.0,0.1005586592178771,0.0670391061452514,0.0223463687150838,0.0111731843575419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORECEPTOR ACTIVITY,0.0,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.14516129032258066,0.0967741935483871,0.1935483870967742,0.04838709677419355,0.0,0.3225806451612903,0.08064516129032258,0.08064516129032258,0.2903225806451613,1.0,0.08064516129032258,0.03225806451612903,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOKINE RECEPTOR BINDING,0.0,0.007194244604316547,0.06115107913669065,0.07194244604316546,0.0035971223021582736,0.025179856115107913,0.01079136690647482,0.017985611510791366,0.007194244604316547,0.02877697841726619,0.02158273381294964,0.007194244604316547,0.0035971223021582736,0.007194244604316547,0.0035971223021582736,0.0035971223021582736,0.017985611510791366,0.0035971223021582736,0.06115107913669065,0.007194244604316547,0.0035971223021582736,0.09352517985611511,0.01079136690647482,0.01079136690647482,0.04316546762589928,0.017985611510791366,1.0,0.0035971223021582736,0.01079136690647482,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007194244604316547,0.0035971223021582736,0.0,0.0035971223021582736,0.007194244604316547
CARGO RECEPTOR ACTIVITY,0.0,0.028169014084507043,0.014084507042253521,0.09859154929577464,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.014084507042253521,0.014084507042253521,0.04225352112676056,0.0,0.0,0.04225352112676056,0.028169014084507043,0.028169014084507043,0.056338028169014086,0.028169014084507043,0.014084507042253521,1.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0
PHOSPHORIC ESTER HYDROLASE ACTIVITY,0.0,0.0027100271002710027,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.0027100271002710027,0.0,0.0,0.0,0.013550135501355014,0.013550135501355014,0.0027100271002710027,0.0,0.0,0.016260162601626018,0.008130081300813009,0.0,0.0,0.0027100271002710027,0.02981029810298103,0.01084010840108401,0.005420054200542005,0.005420054200542005,0.005420054200542005,0.005420054200542005,0.0027100271002710027,0.008130081300813009,0.005420054200542005,1.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.018970189701897018,0.02710027100271003,0.0,0.0027100271002710027
"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017964071856287425,0.011976047904191617,0.0658682634730539,0.04790419161676647,0.0,0.0,0.0,0.04790419161676647,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,1.0,1.0,0.6167664670658682,0.38922155688622756,0.3473053892215569,0.041916167664670656,0.03592814371257485,0.03592814371257485,0.0,0.08383233532934131,0.16167664670658682
"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023148148148148147,0.018518518518518517,0.06018518518518518,0.041666666666666664,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.7731481481481481,1.0,0.47685185185185186,0.30092592592592593,0.2777777777777778,0.041666666666666664,0.037037037037037035,0.032407407407407406,0.0,0.06481481481481481,0.1574074074074074
N METHYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02912621359223301,0.019417475728155338,0.0970873786407767,0.06796116504854369,0.0,0.0,0.0,0.07766990291262135,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6310679611650486,0.5533980582524272,0.05825242718446602,0.04854368932038835,0.019417475728155338,0.0,0.038834951456310676,0.038834951456310676
LYSINE N METHYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.03076923076923077,0.1076923076923077,0.09230769230769231,0.0,0.0,0.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.09230769230769231,0.07692307692307693,0.03076923076923077,0.0,0.0,0.0
HISTONE METHYLTRANSFERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03333333333333333,0.16666666666666666,0.11666666666666667,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,1.0,0.95,0.75,1.0,0.11666666666666667,0.1,0.03333333333333333,0.0,0.0,0.0
CHROMATIN PROTEIN ADAPTOR ACTIVITY,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.08088235294117647,0.04411764705882353,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.051470588235294115,0.0661764705882353,0.04411764705882353,0.04411764705882353,0.051470588235294115,1.0,0.8455882352941176,0.08088235294117647,0.0,0.0,0.0
HISTONE READER ACTIVITY,0.0,0.0,0.008695652173913044,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0782608695652174,0.05217391304347826,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.05217391304347826,0.06956521739130435,0.043478260869565216,0.043478260869565216,0.05217391304347826,1.0,1.0,0.06956521739130435,0.0,0.0,0.0
CATALYTIC ACTIVITY ACTING ON DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00784313725490196,0.00392156862745098,0.054901960784313725,0.047058823529411764,0.00392156862745098,0.0,0.00784313725490196,0.00784313725490196,0.0,0.0,0.0,0.0,0.0196078431372549,0.00784313725490196,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.027450980392156862,0.023529411764705882,0.027450980392156862,0.00784313725490196,0.00784313725490196,0.00784313725490196,0.043137254901960784,0.03137254901960784,1.0,0.1450980392156863,0.011764705882352941,0.00784313725490196
EXONUCLEASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.022222222222222223,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111111111111111,1.0,0.0,0.0
TRNA BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.1728395061728395,0.1728395061728395,0.04938271604938271,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,1.0,0.5925925925925926
CATALYTIC ACTIVITY ACTING ON A TRNA,0.0,0.0,0.0064516129032258064,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0064516129032258064,0.17419354838709677,0.21935483870967742,0.025806451612903226,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.3096774193548387,1.0
