Pathway,ERBB2 UP.V1 DN,LTE2 UP.V1 DN,RAF UP.V1 DN,EGFR UP.V1 DN,KRAS.DF.V1 DN,STK33 DN,STK33 NOMO DN,MEL18 DN.V1 DN,BMI1 DN MEL18 DN.V1 DN,ALK DN.V1 DN,TBK1.DF DN,PGF UP.V1 UP,VEGF A UP.V1 DN,STK33 UP,STK33 NOMO UP,STK33 SKM UP,HOXA9 DN.V1 UP,PDGF UP.V1 UP,BMI1 DN MEL18 DN.V1 UP,EGFR UP.V1 UP,P53 DN.V1 UP,PDGF ERK DN.V1 DN,AKT UP MTOR DN.V1 UP,JAK2 DN.V1 DN,MTOR UP.N4.V1 DN,CSR EARLY UP.V1 DN,GCNP SHH UP EARLY.V1 UP,RB DN.V1 UP,RB P107 DN.V1 UP,CSR EARLY UP.V1 UP,CSR LATE UP.V1 UP,SRC UP.V1 UP,MYC UP.V1 UP,BCAT BILD ET AL UP,WNT UP.V1 UP,KRAS.50 UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN,RB P130 DN.V1 DN,BCAT BILD ET AL DN,TBK1.DF UP
TBK1.DF DN,0.05944055944055944,0.045454545454545456,0.04195804195804196,0.045454545454545456,0.024475524475524476,0.024475524475524476,0.03146853146853147,0.013986013986013986,0.006993006993006993,0.006993006993006993,1.0,0.055944055944055944,0.05244755244755245,0.027972027972027972,0.03496503496503497,0.03146853146853147,0.03146853146853147,0.013986013986013986,0.013986013986013986,0.045454545454545456,0.03146853146853147,0.013986013986013986,0.013986013986013986,0.006993006993006993,0.03496503496503497,0.013986013986013986,0.027972027972027972,0.0034965034965034965,0.0034965034965034965,0.02097902097902098,0.006993006993006993,0.0034965034965034965,0.01048951048951049,0.0,0.017482517482517484,0.0,0.0034965034965034965,0.03146853146853147,0.01048951048951049,0.0
PGF UP.V1 UP,0.08421052631578947,0.031578947368421054,0.010526315789473684,0.042105263157894736,0.010526315789473684,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.0,0.08421052631578947,1.0,0.26842105263157895,0.06315789473684211,0.05263157894736842,0.05789473684210526,0.031578947368421054,0.021052631578947368,0.005263157894736842,0.03684210526315789,0.042105263157894736,0.031578947368421054,0.005263157894736842,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.021052631578947368,0.0,0.0,0.021052631578947368,0.0,0.0,0.005263157894736842,0.0,0.010526315789473684,0.0,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.031578947368421054
VEGF A UP.V1 DN,0.07772020725388601,0.015544041450777202,0.025906735751295335,0.02072538860103627,0.0051813471502590676,0.0051813471502590676,0.0,0.0051813471502590676,0.0,0.0,0.07772020725388601,0.26424870466321243,1.0,0.046632124352331605,0.046632124352331605,0.04145077720207254,0.02072538860103627,0.031088082901554404,0.015544041450777202,0.046632124352331605,0.06217616580310881,0.010362694300518135,0.0051813471502590676,0.010362694300518135,0.02072538860103627,0.0,0.010362694300518135,0.010362694300518135,0.025906735751295335,0.02072538860103627,0.031088082901554404,0.0,0.010362694300518135,0.0,0.025906735751295335,0.0,0.0051813471502590676,0.0,0.015544041450777202,0.010362694300518135
STK33 UP,0.017482517482517484,0.027972027972027972,0.03496503496503497,0.017482517482517484,0.013986013986013986,0.0,0.0,0.02097902097902098,0.013986013986013986,0.013986013986013986,0.027972027972027972,0.04195804195804196,0.03146853146853147,1.0,0.6503496503496503,0.6153846153846154,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.027972027972027972,0.04195804195804196,0.03146853146853147,0.0034965034965034965,0.027972027972027972,0.017482517482517484,0.006993006993006993,0.006993006993006993,0.0034965034965034965,0.01048951048951049,0.0,0.006993006993006993,0.0034965034965034965,0.0034965034965034965,0.024475524475524476,0.0,0.006993006993006993,0.006993006993006993,0.0034965034965034965,0.06293706293706294
STK33 NOMO UP,0.027586206896551724,0.020689655172413793,0.04827586206896552,0.027586206896551724,0.010344827586206896,0.0,0.0,0.02413793103448276,0.017241379310344827,0.006896551724137931,0.034482758620689655,0.034482758620689655,0.03103448275862069,0.6413793103448275,1.0,0.3,0.06896551724137931,0.027586206896551724,0.03793103448275862,0.06896551724137931,0.02413793103448276,0.027586206896551724,0.027586206896551724,0.010344827586206896,0.02413793103448276,0.010344827586206896,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.020689655172413793,0.010344827586206896,0.006896551724137931,0.006896551724137931,0.0034482758620689655,0.027586206896551724,0.0,0.0,0.010344827586206896,0.0034482758620689655,0.06551724137931035
STK33 SKM UP,0.0035971223021582736,0.03597122302158273,0.02877697841726619,0.03237410071942446,0.01079136690647482,0.0,0.0,0.02877697841726619,0.017985611510791366,0.014388489208633094,0.03237410071942446,0.039568345323741004,0.02877697841726619,0.6330935251798561,0.3129496402877698,1.0,0.08273381294964029,0.025179856115107913,0.02877697841726619,0.07913669064748201,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.007194244604316547,0.03237410071942446,0.007194244604316547,0.007194244604316547,0.01079136690647482,0.007194244604316547,0.0035971223021582736,0.0,0.007194244604316547,0.0035971223021582736,0.0,0.02158273381294964,0.0,0.007194244604316547,0.014388489208633094,0.0035971223021582736,0.0539568345323741
HOXA9 DN.V1 UP,0.03125,0.057291666666666664,0.03125,0.041666666666666664,0.020833333333333332,0.03125,0.015625,0.015625,0.026041666666666668,0.010416666666666666,0.046875,0.03125,0.020833333333333332,0.11458333333333333,0.10416666666666667,0.11979166666666667,1.0,0.036458333333333336,0.041666666666666664,0.046875,0.020833333333333332,0.005208333333333333,0.010416666666666666,0.0,0.046875,0.010416666666666666,0.010416666666666666,0.0,0.0,0.020833333333333332,0.010416666666666666,0.005208333333333333,0.005208333333333333,0.0,0.015625,0.0,0.0,0.015625,0.010416666666666666,0.08854166666666667
PDGF UP.V1 UP,0.03424657534246575,0.04794520547945205,0.0410958904109589,0.02054794520547945,0.02054794520547945,0.00684931506849315,0.0,0.02054794520547945,0.0273972602739726,0.00684931506849315,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.07534246575342465,0.0547945205479452,0.04794520547945205,0.04794520547945205,1.0,0.0410958904109589,0.0410958904109589,0.0273972602739726,0.02054794520547945,0.02054794520547945,0.00684931506849315,0.0136986301369863,0.0,0.0273972602739726,0.00684931506849315,0.00684931506849315,0.0410958904109589,0.0136986301369863,0.00684931506849315,0.02054794520547945,0.00684931506849315,0.00684931506849315,0.0,0.0136986301369863,0.0136986301369863,0.0,0.04794520547945205
BMI1 DN MEL18 DN.V1 UP,0.006896551724137931,0.06206896551724138,0.027586206896551724,0.013793103448275862,0.06206896551724138,0.027586206896551724,0.013793103448275862,0.0,0.0,0.006896551724137931,0.027586206896551724,0.006896551724137931,0.020689655172413793,0.07586206896551724,0.07586206896551724,0.05517241379310345,0.05517241379310345,0.041379310344827586,1.0,0.12413793103448276,0.06206896551724138,0.027586206896551724,0.041379310344827586,0.006896551724137931,0.0,0.027586206896551724,0.013793103448275862,0.006896551724137931,0.020689655172413793,0.05517241379310345,0.034482758620689655,0.0,0.013793103448275862,0.006896551724137931,0.006896551724137931,0.0,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.08275862068965517
EGFR UP.V1 UP,0.010416666666666666,0.052083333333333336,0.03125,0.0,0.026041666666666668,0.03125,0.036458333333333336,0.026041666666666668,0.026041666666666668,0.005208333333333333,0.06770833333333333,0.036458333333333336,0.046875,0.11458333333333333,0.10416666666666667,0.11458333333333333,0.046875,0.03125,0.09375,1.0,0.0625,0.026041666666666668,0.057291666666666664,0.0,0.010416666666666666,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.010416666666666666,0.026041666666666668,0.005208333333333333,0.0,0.0,0.005208333333333333,0.005208333333333333,0.0,0.015625,0.010416666666666666,0.015625,0.08854166666666667
P53 DN.V1 UP,0.020618556701030927,0.02577319587628866,0.04639175257731959,0.04639175257731959,0.041237113402061855,0.041237113402061855,0.03608247422680412,0.030927835051546393,0.03608247422680412,0.02577319587628866,0.04639175257731959,0.041237113402061855,0.061855670103092786,0.041237113402061855,0.03608247422680412,0.041237113402061855,0.020618556701030927,0.020618556701030927,0.04639175257731959,0.061855670103092786,1.0,0.030927835051546393,0.020618556701030927,0.015463917525773196,0.0,0.015463917525773196,0.0,0.0,0.02577319587628866,0.02577319587628866,0.015463917525773196,0.020618556701030927,0.005154639175257732,0.005154639175257732,0.015463917525773196,0.005154639175257732,0.010309278350515464,0.005154639175257732,0.0,0.02577319587628866
PDGF ERK DN.V1 DN,0.03355704697986577,0.006711409395973154,0.020134228187919462,0.020134228187919462,0.006711409395973154,0.0,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.026845637583892617,0.040268456375838924,0.013422818791946308,0.08053691275167785,0.053691275167785234,0.053691275167785234,0.006711409395973154,0.020134228187919462,0.026845637583892617,0.03355704697986577,0.040268456375838924,1.0,0.06711409395973154,0.006711409395973154,0.026845637583892617,0.040268456375838924,0.013422818791946308,0.006711409395973154,0.013422818791946308,0.04697986577181208,0.006711409395973154,0.020134228187919462,0.026845637583892617,0.006711409395973154,0.0,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.0,0.03355704697986577
AKT UP MTOR DN.V1 UP,0.011235955056179775,0.033707865168539325,0.05056179775280899,0.02247191011235955,0.0056179775280898875,0.0056179775280898875,0.02247191011235955,0.028089887640449437,0.011235955056179775,0.0,0.02247191011235955,0.0056179775280898875,0.0056179775280898875,0.05056179775280899,0.0449438202247191,0.0449438202247191,0.011235955056179775,0.016853932584269662,0.033707865168539325,0.06179775280898876,0.02247191011235955,0.056179775280898875,1.0,0.011235955056179775,0.0,0.0,0.011235955056179775,0.0,0.011235955056179775,0.02247191011235955,0.0,0.016853932584269662,0.0056179775280898875,0.0,0.028089887640449437,0.0,0.02247191011235955,0.0056179775280898875,0.011235955056179775,0.056179775280898875
JAK2 DN.V1 DN,0.027210884353741496,0.006802721088435374,0.013605442176870748,0.027210884353741496,0.006802721088435374,0.0,0.0,0.0,0.013605442176870748,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.0,0.006802721088435374,0.006802721088435374,0.0,0.02040816326530612,0.006802721088435374,0.013605442176870748,1.0,0.06802721088435375,0.02040816326530612,0.027210884353741496,0.0,0.0,0.0,0.0,0.013605442176870748,0.006802721088435374,0.0,0.006802721088435374,0.0,0.006802721088435374,0.006802721088435374,0.0,0.027210884353741496
MTOR UP.N4.V1 DN,0.016304347826086956,0.03260869565217391,0.021739130434782608,0.059782608695652176,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.05434782608695652,0.016304347826086956,0.021739130434782608,0.043478260869565216,0.03804347826086957,0.04891304347826087,0.04891304347826087,0.010869565217391304,0.0,0.010869565217391304,0.0,0.021739130434782608,0.0,0.05434782608695652,1.0,0.021739130434782608,0.02717391304347826,0.021739130434782608,0.010869565217391304,0.0,0.010869565217391304,0.0,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.03260869565217391
CSR EARLY UP.V1 DN,0.023809523809523808,0.03968253968253968,0.023809523809523808,0.023809523809523808,0.007936507936507936,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.007936507936507936,0.0,0.031746031746031744,0.007936507936507936,0.0,0.03968253968253968,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.0,0.031746031746031744,0.007936507936507936,0.023809523809523808,0.047619047619047616,0.0,0.023809523809523808,0.031746031746031744,1.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.015873015873015872
GCNP SHH UP EARLY.V1 UP,0.017341040462427744,0.005780346820809248,0.028901734104046242,0.023121387283236993,0.011560693641618497,0.017341040462427744,0.011560693641618497,0.0,0.005780346820809248,0.0,0.046242774566473986,0.023121387283236993,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.011560693641618497,0.011560693641618497,0.023121387283236993,0.011560693641618497,0.005780346820809248,0.0,0.011560693641618497,0.011560693641618497,0.023121387283236993,0.028901734104046242,0.0,1.0,0.023121387283236993,0.046242774566473986,0.0,0.028901734104046242,0.005780346820809248,0.005780346820809248,0.011560693641618497,0.023121387283236993,0.0,0.005780346820809248,0.0,0.011560693641618497,0.028901734104046242
RB DN.V1 UP,0.008620689655172414,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.0,0.008620689655172414,0.008620689655172414,0.0,0.0,0.02586206896551724,0.008620689655172414,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.02586206896551724,0.0,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.0,0.008620689655172414,0.0,0.0,0.034482758620689655,0.008620689655172414,0.034482758620689655,1.0,0.16379310344827586,0.008620689655172414,0.04310344827586207,0.008620689655172414,0.0,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.017241379310344827,0.0,0.008620689655172414,0.017241379310344827
RB P107 DN.V1 UP,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.015384615384615385,0.023076923076923078,0.023076923076923078,0.007692307692307693,0.015384615384615385,0.0,0.007692307692307693,0.0,0.038461538461538464,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.0,0.007692307692307693,0.023076923076923078,0.015384615384615385,0.038461538461538464,0.015384615384615385,0.015384615384615385,0.0,0.015384615384615385,0.007692307692307693,0.06153846153846154,0.14615384615384616,1.0,0.0,0.06923076923076923,0.015384615384615385,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.0
CSR EARLY UP.V1 UP,0.032679738562091505,0.026143790849673203,0.026143790849673203,0.0196078431372549,0.026143790849673203,0.0196078431372549,0.013071895424836602,0.0,0.0,0.006535947712418301,0.0392156862745098,0.026143790849673203,0.026143790849673203,0.0196078431372549,0.0392156862745098,0.006535947712418301,0.026143790849673203,0.0392156862745098,0.05228758169934641,0.032679738562091505,0.032679738562091505,0.0457516339869281,0.026143790849673203,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,1.0,0.058823529411764705,0.0,0.013071895424836602,0.0,0.0,0.0,0.006535947712418301,0.013071895424836602,0.0,0.032679738562091505
CSR LATE UP.V1 UP,0.006024096385542169,0.0,0.006024096385542169,0.012048192771084338,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.0,0.03614457831325301,0.0,0.018072289156626505,0.0,0.012048192771084338,0.012048192771084338,0.030120481927710843,0.006024096385542169,0.018072289156626505,0.006024096385542169,0.0,0.0,0.012048192771084338,0.0,0.030120481927710843,0.030120481927710843,0.05421686746987952,0.05421686746987952,1.0,0.0,0.04216867469879518,0.006024096385542169,0.006024096385542169,0.0,0.0,0.012048192771084338,0.0,0.018072289156626505
SRC UP.V1 UP,0.0056179775280898875,0.016853932584269662,0.011235955056179775,0.0056179775280898875,0.02247191011235955,0.016853932584269662,0.016853932584269662,0.016853932584269662,0.016853932584269662,0.011235955056179775,0.0056179775280898875,0.0,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0056179775280898875,0.0056179775280898875,0.0,0.0,0.02247191011235955,0.016853932584269662,0.016853932584269662,0.011235955056179775,0.0,0.0,0.0056179775280898875,0.0056179775280898875,0.011235955056179775,0.0,0.0,1.0,0.09550561797752809,0.02247191011235955,0.011235955056179775,0.0,0.011235955056179775,0.0,0.0,0.0
MYC UP.V1 UP,0.03314917127071823,0.016574585635359115,0.011049723756906077,0.011049723756906077,0.016574585635359115,0.03867403314917127,0.027624309392265192,0.027624309392265192,0.022099447513812154,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.0,0.0055248618784530384,0.022099447513812154,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384,0.0,0.0055248618784530384,0.011049723756906077,0.03867403314917127,0.09392265193370165,1.0,0.022099447513812154,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384
BCAT BILD ET AL UP,0.0,0.0,0.0,0.022222222222222223,0.06666666666666667,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.08888888888888889,0.08888888888888889,1.0,0.022222222222222223,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223
WNT UP.V1 UP,0.011428571428571429,0.0,0.022857142857142857,0.0,0.017142857142857144,0.005714285714285714,0.011428571428571429,0.005714285714285714,0.005714285714285714,0.03428571428571429,0.02857142857142857,0.011428571428571429,0.02857142857142857,0.04,0.045714285714285714,0.03428571428571429,0.017142857142857144,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.017142857142857144,0.0,0.02857142857142857,0.005714285714285714,0.011428571428571429,0.0,0.022857142857142857,0.005714285714285714,0.005714285714285714,0.0,0.005714285714285714,0.011428571428571429,0.005714285714285714,0.005714285714285714,1.0,0.011428571428571429,0.017142857142857144,0.005714285714285714,0.0,0.0
KRAS.50 UP.V1 DN,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0625,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.041666666666666664,1.0,0.5833333333333334,0.020833333333333332,0.0,0.041666666666666664
KRAS.LUNG.BREAST UP.V1 DN,0.007042253521126761,0.007042253521126761,0.028169014084507043,0.014084507042253521,0.035211267605633804,0.007042253521126761,0.007042253521126761,0.035211267605633804,0.028169014084507043,0.028169014084507043,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.0,0.014084507042253521,0.0,0.014084507042253521,0.007042253521126761,0.02112676056338028,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.007042253521126761,0.0,0.014084507042253521,0.007042253521126761,0.014084507042253521,0.02112676056338028,0.19718309859154928,1.0,0.014084507042253521,0.0,0.028169014084507043
RB P130 DN.V1 DN,0.007352941176470588,0.014705882352941176,0.0,0.014705882352941176,0.0,0.014705882352941176,0.007352941176470588,0.0,0.022058823529411766,0.0,0.0661764705882353,0.007352941176470588,0.0,0.014705882352941176,0.022058823529411766,0.029411764705882353,0.022058823529411766,0.014705882352941176,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.007352941176470588,0.022058823529411766,0.0,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,0.014705882352941176,0.0,0.007352941176470588,0.007352941176470588,0.014705882352941176,1.0,0.022058823529411766,0.029411764705882353
BCAT BILD ET AL DN,0.06521739130434782,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.06521739130434782,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.0,0.043478260869565216,0.06521739130434782,0.0,0.0,0.043478260869565216,0.0,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,1.0,0.08695652173913043
