"Query Name","Rank","TF","Score","Library","Overlapping_Genes","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"DEG_DLD1_HCT15","21","KLF10","0.005528000000000000","ARCHS4 Coexpression,0.005528","DUSP5,GPX3,IFRD1,ZBTB43,NR1D1,HERPUD1,PER1,NR4A3,DDIT3,BHLHE40,ATF3,HBEGF","chea3","21","0.005528000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=9); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=631)","21","0.005528000000000000","ARCHS4 Coexpression,0.005528"
"DEG_DLD1_HCT15","22","FOSB","0.005698000000000000","Enrichr Queries,0.005698","CXCL8,TNFAIP3,IFIT1,CLU,ETS1,RND3,GPNMB,APOE,GBP2,TGM2,DUSP5,EDN1,GPX3,GDF15,IGFBP3,IFRD1,NR1D1,NR4A3,GPRC5A,DDIT3,BHLHE40,LCN2,NUPR1,MXD1,ATF3,DDR2,HBEGF","chea3","22","0.005698000000000000",NA,NA,"","3","Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=11); GTEx--Coexpression(rank=12)","22","0.005698000000000000","Enrichr Queries,0.005698"
"DEG_DLD1_HCT15","23","FOXQ1","0.006410000000000000","Enrichr Queries,0.00641","OSER1,TNFAIP3,PRDM1,CLU,ETS1,RND3,GPNMB,APOE,GBP2,TGM2,DUSP5,EDN1,LAMB3,GPX3,GDF15,IGFBP3,KRT7,FBXO32,DHRS3,GPRC5A,SLPI,BHLHE40,LCN2,NUPR1,ATF3,DDR2,HBEGF","chea3","23","0.006410000000000000",NA,NA,"","3","Enrichr--Queries(rank=9); GTEx--Coexpression(rank=107); ARCHS4--Coexpression(rank=117)","23","0.006410000000000000","Enrichr Queries,0.00641"
"DEG_DLD1_HCT15","24","IKZF1","0.006734000000000000","ReMap ChIP-seq,0.006734","FCMR,CXCL8,TNXB,PHF1,WNK4,TNFAIP3,PYGM,ACRBP,SOCS1,SESN2,LY6G6C,TGM2,AOC3,DUSP5,LAMB3,GDF15,NOS3,ATG9B,MAP1LC3B2,NR1D1,CEACAM19,PER1,IL23A,CLCF1,BHLHE40,CD68,CPEB4","chea3","24","0.006734000000000000",NA,NA,"","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=46); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=572); Enrichr--Queries(rank=617)","24","0.006734000000000000","ReMap ChIP-seq,0.006734"
"DEG_DLD1_HCT15","25","ZBTB21","0.006845000000000000","GTEx Coexpression,0.006845","PER1,NR4A3,ZNF460,NOCT,BHLHE40,TNFAIP3,RND3,ATF3","chea3","25","0.006845000000000000",NA,NA,"","2","GTEx--Coexpression(rank=11); ARCHS4--Coexpression(rank=263)","25","0.006845000000000000","GTEx Coexpression,0.006845"
"DEG_DLD1_HCT15","26","ZNF697","0.007123000000000000","Enrichr Queries,0.007123","OSER1,CD274,CXCL8,TNFAIP3,PRDM1,CLU,ETS1,RND3,RELB,NOCT,SESN2,ABL2,UPP1,TGM2,DUSP5,LAMB3,GDF15,IGFBP3,FBXO32,DDIT3,BHLHE40,MXD1,ATF3,CPEB4,DDR2,HBEGF","chea3","26","0.007123000000000000",NA,NA,"","3","Enrichr--Queries(rank=10); GTEx--Coexpression(rank=93); ARCHS4--Coexpression(rank=317)","26","0.007123000000000000","Enrichr Queries,0.007123"
"DEG_DLD1_HCT15","27","HIVEP3","0.007371000000000000","ARCHS4 Coexpression,0.007371","CD274,DUSP5,NFATC1,NPL,PPP1R18,RELB,NR4A3,ABL2,GBP2,CD68,ATF3,HBEGF","chea3","27","0.007371000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=12); GTEx--Coexpression(rank=442); Enrichr--Queries(rank=443)","27","0.007371000000000000","ARCHS4 Coexpression,0.007371"
"DEG_DLD1_HCT15","28","EGR2","0.007835000000000000","Enrichr Queries,0.007835","CXCL8,TNFAIP3,PRDM1,IFIT1,CLU,ETS1,RND3,RELB,SOCS1,GPNMB,APOE,GBP2,TGM2,DUSP5,EDN1,GDF15,IGFBP3,TNFRSF9,DHRS3,NR4A3,BHLHE40,LCN2,NUPR1,ATF3,DDR2,HBEGF","chea3","28","0.007835000000000000",NA,NA,"","3","Enrichr--Queries(rank=11); ARCHS4--Coexpression(rank=15); GTEx--Coexpression(rank=264)","28","0.007835000000000000","Enrichr Queries,0.007835"
"DEG_DLD1_HCT15","29","ARID5A","0.007985000000000001","ARCHS4 Coexpression,0.007985","FCMR,SELPLG,TNFAIP3,NFATC1,HAPLN3,CORO1A,PPP1R18,RELB,PER1,SOCS1,GBP2,APOL3","chea3","29","0.007985000000000001",NA,NA,"","2","ARCHS4--Coexpression(rank=13); GTEx--Coexpression(rank=135)","29","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"DEG_DLD1_HCT15","30","BCL6B","0.008090000000000000","GTEx Coexpression,0.00809","GPRC5A,TNXB,NOS3,FAM241A,PCDH12,ETS1,APOL3,HBEGF","chea3","30","0.008090000000000000",NA,NA,"","3","GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=62); Enrichr--Queries(rank=410)","30","0.008090000000000000","GTEx Coexpression,0.00809"
