"TF","HVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"PBX3","3.82478937469952962","3.82478937469952962","3.82478937469952962","Activated","12","viper","12","3.82478937469952962",NA,NA,"5","ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=486); GTEx--Coexpression(rank=798); ARCHS4--Coexpression(rank=1283)","301","0.08081000000000001","ReMap ChIP-seq,0.08081"
"SIX2","3.64479692586231740","3.64479692586231740","3.64479692586231740","Activated","13","viper","13","3.64479692586231740",NA,NA,"4","ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=891); Enrichr--Queries(rank=1056); GTEx--Coexpression(rank=1072)","1395","0.54730000000000001","ARCHS4 Coexpression,0.5473"
"TCF12","3.58149709152597362","3.58149709152597362","3.58149709152597362","Activated","14","viper","14","3.58149709152597362",NA,NA,"5","ReMap--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=334); Enrichr--Queries(rank=698); GTEx--Coexpression(rank=1027)","713","0.20519999999999999","ARCHS4 Coexpression,0.2052"
"TEAD1","3.49533996286697812","3.49533996286697812","3.49533996286697812","Activated","15","viper","15","3.49533996286697812",NA,NA,"4","ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=873); Enrichr--Queries(rank=887); GTEx--Coexpression(rank=1511)","1380","0.53620000000000001","ARCHS4 Coexpression,0.5362"
"NCOA2","3.22903995002410094","3.22903995002410094","3.22903995002410094","Activated","16","viper","16","3.22903995002410094",NA,NA,"4","ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=996); Enrichr--Queries(rank=1005); ARCHS4--Coexpression(rank=1130)","1462","0.61980000000000002","GTEx Coexpression,0.6198"
"OTX2","3.10700234190807745","3.10700234190807745","3.10700234190807745","Activated","17","viper","17","3.10700234190807745",NA,NA,"4","ARCHS4--Coexpression(rank=214); ReMap--ChIP-seq(rank=294); GTEx--Coexpression(rank=511); Enrichr--Queries(rank=1347)","479","0.13139999999999999","ARCHS4 Coexpression,0.1314"
"PDX1","3.10570332629265300","3.10570332629265300","3.10570332629265300","Activated","18","viper","18","3.10570332629265300",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=862); ARCHS4--Coexpression(rank=1168); GTEx--Coexpression(rank=1365)","529","0.14630000000000001","Literature ChIP-seq,0.1463"
"RARA","3.09812460025233083","3.09812460025233083","3.09812460025233083","Activated","19","viper","19","3.09812460025233083",NA,NA,"5","Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=743); ARCHS4--Coexpression(rank=1180); GTEx--Coexpression(rank=1454)","925","0.28280000000000000","ReMap ChIP-seq,0.2828"
"NFE2","3.05618645674433642","3.05618645674433642","3.05618645674433642","Activated","20","viper","20","3.05618645674433642",NA,NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=709); ARCHS4--Coexpression(rank=1175); GTEx--Coexpression(rank=1529)","740","0.21190000000000001","ENCODE ChIP-seq,0.2119"
"EHF","2.98816320995209583","2.98816320995209583","2.98816320995209583","Activated","21","viper","21","2.98816320995209583",NA,NA,"4","ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=1223); ARCHS4--Coexpression(rank=1467); GTEx--Coexpression(rank=1474)","1612","0.87109999999999999","Enrichr Queries,0.8711"
"MEF2A","2.98149985550539842","2.98149985550539842","2.98149985550539842","Activated","22","viper","22","2.98149985550539842",NA,NA,"6","Literature--ChIP-seq(rank=78); ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=1020); Enrichr--Queries(rank=1165); GTEx--Coexpression(rank=1344)","1300","0.47560000000000002","Literature ChIP-seq,0.4756"
"ELF3","2.92192647554658924","2.92192647554658924","2.92192647554658924","Activated","23","viper","23","2.92192647554658924",NA,NA,"4","ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=630); Enrichr--Queries(rank=915); GTEx--Coexpression(rank=1562)","1157","0.38700000000000001","ARCHS4 Coexpression,0.387"
"MYCN","-2.90972430964905326","-2.90972430964905326","2.90972430964905326","Repressed","24","viper","24","2.90972430964905326",NA,NA,"5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=148); GTEx--Coexpression(rank=941)","120","0.03256000000000000","ARCHS4 Coexpression,0.03256"
"MAFB","2.89420654031911306","2.89420654031911306","2.89420654031911306","Activated","25","viper","25","2.89420654031911306",NA,NA,"4","ReMap--ChIP-seq(rank=274); GTEx--Coexpression(rank=826); Enrichr--Queries(rank=1157); ARCHS4--Coexpression(rank=1466)","1355","0.51400000000000001","GTEx Coexpression,0.514"
"LYL1","2.88957172866236212","2.88957172866236212","2.88957172866236212","Activated","26","viper","26","2.88957172866236212",NA,NA,"5","Literature--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=273); ARCHS4--Coexpression(rank=1049); GTEx--Coexpression(rank=1128); Enrichr--Queries(rank=1278)","1358","0.51829999999999998","Literature ChIP-seq,0.5183"
"SMAD5","-2.88538513877754355","-2.88538513877754355","2.88538513877754355","Repressed","27","viper","27","2.88538513877754355",NA,NA,"4","ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=968); GTEx--Coexpression(rank=1077)","279","0.07407000000000000","ReMap ChIP-seq,0.07407"
"TP53","2.83034827735814964","2.83034827735814964","2.83034827735814964","Activated","28","viper","28","2.83034827735814964",NA,NA,"5","ARCHS4--Coexpression(rank=10); GTEx--Coexpression(rank=83); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=110); ReMap--ChIP-seq(rank=195)","17","0.00614300000000000","ARCHS4 Coexpression,0.006143"
"NCOA1","2.79776819166655555","2.79776819166655555","2.79776819166655555","Activated","29","viper","29","2.79776819166655555",NA,NA,"4","ARCHS4--Coexpression(rank=245); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=857); GTEx--Coexpression(rank=1429)","538","0.15049999999999999","ARCHS4 Coexpression,0.1505"
"ESRRA","2.79616250680781153","2.79616250680781153","2.79616250680781153","Activated","30","viper","30","2.79616250680781153",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=652); ARCHS4--Coexpression(rank=1356); GTEx--Coexpression(rank=1533)","1282","0.46439999999999998","Enrichr Queries,0.4644"
"PRDM14","2.76921858065383519","2.76921858065383519","2.76921858065383519","Activated","31","viper","31","2.76921858065383519",NA,NA,"5","ARCHS4--Coexpression(rank=127); Literature--ChIP-seq(rank=133); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=264); Enrichr--Queries(rank=1183)","293","0.07801000000000000","ARCHS4 Coexpression,0.07801"
"MAFK","2.69115070285057101","2.69115070285057101","2.69115070285057101","Activated","32","viper","32","2.69115070285057101",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=163); GTEx--Coexpression(rank=382); Enrichr--Queries(rank=922); ARCHS4--Coexpression(rank=1543)","801","0.23769999999999999","GTEx Coexpression,0.2377"
"GRHL2","2.65889419884559430","2.65889419884559430","2.65889419884559430","Activated","33","viper","33","2.65889419884559430",NA,NA,"5","Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=149); Enrichr--Queries(rank=984); ARCHS4--Coexpression(rank=1064); GTEx--Coexpression(rank=1107)","1337","0.50170000000000003","ReMap ChIP-seq,0.5017"
"POU5F1","2.63059316558880596","2.63059316558880596","2.63059316558880596","Activated","34","viper","34","2.63059316558880596",NA,NA,"5","Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=145); GTEx--Coexpression(rank=1420)","227","0.06081000000000000","ARCHS4 Coexpression,0.06081"
"NR2F1","2.61288132410003371","2.61288132410003371","2.61288132410003371","Activated","35","viper","35","2.61288132410003371",NA,NA,"4","ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=1045); GTEx--Coexpression(rank=1417); ARCHS4--Coexpression(rank=1491)","1194","0.41080000000000000","ReMap ChIP-seq,0.4108"
"NANOG","2.60536122906627332","2.60536122906627332","2.60536122906627332","Activated","36","viper","36","2.60536122906627332",NA,NA,"6","Literature--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=203); ReMap--ChIP-seq(rank=237); GTEx--Coexpression(rank=358); Enrichr--Queries(rank=583)","446","0.12200000000000000","Literature ChIP-seq,0.122"
"MAFG","2.59090412694561545","2.59090412694561545","2.59090412694561545","Activated","37","viper","37","2.59090412694561545",NA,NA,"4","ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=742); ARCHS4--Coexpression(rank=1319); GTEx--Coexpression(rank=1341)","1373","0.52849999999999997","Enrichr Queries,0.5285"
"NFYB","-2.58021812691662555","-2.58021812691662555","2.58021812691662555","Repressed","38","viper","38","2.58021812691662555",NA,NA,"5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=52); GTEx--Coexpression(rank=523)","62","0.01684000000000000","ReMap ChIP-seq,0.01684"
"THAP11","2.57320357156042290","2.57320357156042290","2.57320357156042290","Activated","39","viper","39","2.57320357156042290",NA,NA,"5","Literature--ChIP-seq(rank=50); Enrichr--Queries(rank=145); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=665)","381","0.10330000000000000","Enrichr Queries,0.1033"
"RUNX2","2.55571770535463560","2.55571770535463560","2.55571770535463560","Activated","40","viper","40","2.55571770535463560",NA,NA,"5","Literature--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=283); GTEx--Coexpression(rank=383); ARCHS4--Coexpression(rank=973); Enrichr--Queries(rank=1052)","804","0.23830000000000001","GTEx Coexpression,0.2383"
"MEIS1","2.53567524714337722","2.53567524714337722","2.53567524714337722","Activated","41","viper","41","2.53567524714337722",NA,NA,"5","Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=1110); GTEx--Coexpression(rank=1129); ARCHS4--Coexpression(rank=1262)","1464","0.62290000000000001","ReMap ChIP-seq,0.6229"
"TAL1","2.53556478657970796","2.53556478657970796","2.53556478657970796","Activated","42","viper","42","2.53556478657970796",NA,NA,"6","ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=998); ARCHS4--Coexpression(rank=1157); GTEx--Coexpression(rank=1536)","1210","0.42070000000000002","Literature ChIP-seq,0.4207"
"HNF4G","2.53403940995795862","2.53403940995795862","2.53403940995795862","Activated","43","viper","43","2.53403940995795862",NA,NA,"5","ReMap--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=108); GTEx--Coexpression(rank=1085); ARCHS4--Coexpression(rank=1185); Enrichr--Queries(rank=1319)","313","0.08418000000000000","ReMap ChIP-seq,0.08418"
"PROX1","2.52123876583366346","2.52123876583366346","2.52123876583366346","Activated","44","viper","44","2.52123876583366346",NA,NA,"4","ReMap--ChIP-seq(rank=292); Enrichr--Queries(rank=884); ARCHS4--Coexpression(rank=1158); GTEx--Coexpression(rank=1268)","1471","0.62960000000000005","Enrichr Queries,0.6296"
"ZNF639","2.50945007107257645","2.50945007107257645","2.50945007107257645","Activated","45","viper","45","2.50945007107257645",NA,NA,"4","Enrichr--Queries(rank=65); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=299); GTEx--Coexpression(rank=1291)","172","0.04630000000000000","Enrichr Queries,0.0463"
"RBPJ","2.49799053015632033","2.49799053015632033","2.49799053015632033","Activated","46","viper","46","2.49799053015632033",NA,NA,"5","ReMap--ChIP-seq(rank=131); Literature--ChIP-seq(rank=132); Enrichr--Queries(rank=282); GTEx--Coexpression(rank=776); ARCHS4--Coexpression(rank=864)","696","0.20090000000000000","Enrichr Queries,0.2009"
"CLOCK","2.49287792867854252","2.49287792867854252","2.49287792867854252","Activated","47","viper","47","2.49287792867854252",NA,NA,"5","Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=662); Enrichr--Queries(rank=1229); GTEx--Coexpression(rank=1410)","1189","0.40660000000000002","ARCHS4 Coexpression,0.4066"
"BCL6","-2.48452824600079980","-2.48452824600079980","2.48452824600079980","Repressed","48","viper","48","2.48452824600079980",NA,NA,"5","Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=198); Enrichr--Queries(rank=500); GTEx--Coexpression(rank=1450); ARCHS4--Coexpression(rank=1623)","1092","0.35610000000000003","Enrichr Queries,0.3561"
"E2F5","-2.45487413594672832","-2.45487413594672832","2.45487413594672832","Repressed","49","viper","49","2.45487413594672832",NA,NA,"4","ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=58); GTEx--Coexpression(rank=196); ARCHS4--Coexpression(rank=243)","45","0.01347000000000000","ReMap ChIP-seq,0.01347"
"SP2","-2.42553900239885811","-2.42553900239885811","2.42553900239885811","Repressed","50","viper","50","2.42553900239885811",NA,NA,"5","ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=404); GTEx--Coexpression(rank=587); ARCHS4--Coexpression(rank=954)","162","0.04377000000000000","ReMap ChIP-seq,0.04377"
"RFX1","2.39517542721472010","2.39517542721472010","2.39517542721472010","Activated","51","viper","51","2.39517542721472010",NA,NA,"4","ReMap--ChIP-seq(rank=21); GTEx--Coexpression(rank=368); Enrichr--Queries(rank=635); ARCHS4--Coexpression(rank=1507)","266","0.07071000000000000","ReMap ChIP-seq,0.07071"
"POU4F2","2.37604916713345160","2.37604916713345160","2.37604916713345160","Activated","52","viper","52","2.37604916713345160",NA,NA,"4","ReMap--ChIP-seq(rank=42); GTEx--Coexpression(rank=748); Enrichr--Queries(rank=1386); ARCHS4--Coexpression(rank=1575)","513","0.14140000000000000","ReMap ChIP-seq,0.1414"
"GATA3","2.36852569785979217","2.36852569785979217","2.36852569785979217","Activated","53","viper","53","2.36852569785979217",NA,NA,"6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=661); GTEx--Coexpression(rank=992); ARCHS4--Coexpression(rank=1181)","603","0.17069999999999999","Literature ChIP-seq,0.1707"
"NFKB1","2.29074048152674292","2.29074048152674292","2.29074048152674292","Activated","54","viper","54","2.29074048152674292",NA,NA,"4","ReMap--ChIP-seq(rank=52); GTEx--Coexpression(rank=80); Enrichr--Queries(rank=1224); ARCHS4--Coexpression(rank=1408)","186","0.04978000000000000","GTEx Coexpression,0.04978"
"NR2C2","-2.28669573931350190","-2.28669573931350190","2.28669573931350190","Repressed","55","viper","55","2.28669573931350190",NA,NA,"5","ReMap--ChIP-seq(rank=98); ENCODE--ChIP-seq(rank=106); GTEx--Coexpression(rank=275); Enrichr--Queries(rank=687); ARCHS4--Coexpression(rank=811)","606","0.17110000000000000","GTEx Coexpression,0.1711"
"EOMES","2.28624152087263477","2.28624152087263477","2.28624152087263477","Activated","56","viper","56","2.28624152087263477",NA,NA,"5","Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=291); GTEx--Coexpression(rank=859); Enrichr--Queries(rank=1148); ARCHS4--Coexpression(rank=1402)","699","0.20119999999999999","Literature ChIP-seq,0.2012"
"MBD1","2.28523705870030680","2.28523705870030680","2.28523705870030680","Activated","57","viper","57","2.28523705870030680",NA,NA,"3","GTEx--Coexpression(rank=238); Enrichr--Queries(rank=328); ARCHS4--Coexpression(rank=1250)","533","0.14810000000000001","GTEx Coexpression,0.1481"
"FOXP1","-2.22667495989808772","-2.22667495989808772","2.22667495989808772","Repressed","58","viper","58","2.22667495989808772",NA,NA,"5","ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=31); GTEx--Coexpression(rank=968); ARCHS4--Coexpression(rank=1015); Enrichr--Queries(rank=1077)","226","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ETV1","2.22434904687924018","2.22434904687924018","2.22434904687924018","Activated","59","viper","59","2.22434904687924018",NA,NA,"4","ReMap--ChIP-seq(rank=199); GTEx--Coexpression(rank=472); Enrichr--Queries(rank=834); ARCHS4--Coexpression(rank=1482)","953","0.29370000000000002","GTEx Coexpression,0.2937"
"FOXO3","2.19415443047044034","2.19415443047044034","2.19415443047044034","Activated","60","viper","60","2.19415443047044034",NA,NA,"4","Literature--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=417); Enrichr--Queries(rank=627); GTEx--Coexpression(rank=743)","423","0.11590000000000000","Literature ChIP-seq,0.1159"
"FOXO1","2.19115982119532138","2.19115982119532138","2.19115982119532138","Activated","61","viper","61","2.19115982119532138",NA,NA,"5","Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=236); ARCHS4--Coexpression(rank=332); Enrichr--Queries(rank=894); GTEx--Coexpression(rank=970)","709","0.20390000000000000","ARCHS4 Coexpression,0.2039"
"NFE2L1","2.17560517328693681","2.17560517328693681","2.17560517328693681","Activated","62","viper","62","2.17560517328693681",NA,NA,"4","ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=668); GTEx--Coexpression(rank=1434); ARCHS4--Coexpression(rank=1595)","1301","0.47580000000000000","Enrichr Queries,0.4758"
"E2F7","-2.17333111745080254","-2.17333111745080254","2.17333111745080254","Repressed","63","viper","63","2.17333111745080254",NA,NA,"5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=17)","6","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"GFI1B","2.15208091018520342","2.15208091018520342","2.15208091018520342","Activated","64","viper","64","2.15208091018520342",NA,NA,"5","Literature--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=80); Enrichr--Queries(rank=197); GTEx--Coexpression(rank=1119); ARCHS4--Coexpression(rank=1333)","509","0.14030000000000001","Enrichr Queries,0.1403"
"ARNT","2.15039165015385070","2.15039165015385070","2.15039165015385070","Activated","65","viper","65","2.15039165015385070",NA,NA,"5","ReMap--ChIP-seq(rank=123); Literature--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=740); GTEx--Coexpression(rank=1267)","597","0.16889999999999999","ARCHS4 Coexpression,0.1689"
"NR1H3","2.13742244356972000","2.13742244356972000","2.13742244356972000","Activated","66","viper","66","2.13742244356972000",NA,NA,"5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=246); GTEx--Coexpression(rank=545); ARCHS4--Coexpression(rank=943); Enrichr--Queries(rank=1090)","1057","0.33910000000000001","GTEx Coexpression,0.3391"
"FOXO4","2.13527675002882811","2.13527675002882811","2.13527675002882811","Activated","67","viper","67","2.13527675002882811",NA,NA,"3","Enrichr--Queries(rank=200); GTEx--Coexpression(rank=1302); ARCHS4--Coexpression(rank=1494)","516","0.14249999999999999","Enrichr Queries,0.1425"
"NFYA","-2.09565891017592953","-2.09565891017592953","2.09565891017592953","Repressed","68","viper","68","2.09565891017592953",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=14); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=169); ARCHS4--Coexpression(rank=280)","91","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"MEF2C","2.09425834391263832","2.09425834391263832","2.09425834391263832","Activated","69","viper","69","2.09425834391263832",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=1025); GTEx--Coexpression(rank=1210); ARCHS4--Coexpression(rank=1430)","1545","0.73009999999999997","Enrichr Queries,0.7301"
"KLF9","2.08936685451183024","2.08936685451183024","2.08936685451183024","Activated","70","viper","70","2.08936685451183024",NA,NA,"4","ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=431); GTEx--Coexpression(rank=742); Enrichr--Queries(rank=911)","417","0.11450000000000000","ReMap ChIP-seq,0.1145"
"ZBTB33","-2.08645082233945267","-2.08645082233945267","2.08645082233945267","Repressed","71","viper","71","2.08645082233945267",NA,NA,"5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=335); GTEx--Coexpression(rank=380); Enrichr--Queries(rank=445)","716","0.20580000000000001","ARCHS4 Coexpression,0.2058"
"NR4A1","2.08450855471367680","2.08450855471367680","2.08450855471367680","Activated","72","viper","72","2.08450855471367680",NA,NA,"4","ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=268); GTEx--Coexpression(rank=527); Enrichr--Queries(rank=1070)","583","0.16460000000000000","ARCHS4 Coexpression,0.1646"
"RELA","2.07726350789750347","2.07726350789750347","2.07726350789750347","Activated","73","viper","73","2.07726350789750347",NA,NA,"6","ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=138); ARCHS4--Coexpression(rank=660); Enrichr--Queries(rank=929); GTEx--Coexpression(rank=1163)","1187","0.40539999999999998","ARCHS4 Coexpression,0.4054"
"MBD2","2.04870874588997065","2.04870874588997065","2.04870874588997065","Activated","74","viper","74","2.04870874588997065",NA,NA,"4","Enrichr--Queries(rank=257); ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=317); ARCHS4--Coexpression(rank=1261)","649","0.18300000000000000","Enrichr Queries,0.183"
"PRDM1","2.03127561144548974","2.03127561144548974","2.03127561144548974","Activated","75","viper","75","2.03127561144548974",NA,NA,"5","ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=208); Enrichr--Queries(rank=965); ARCHS4--Coexpression(rank=1100); GTEx--Coexpression(rank=1135)","1419","0.56779999999999997","ENCODE ChIP-seq,0.5678"
"SMAD3","2.02610316657402478","2.02610316657402478","2.02610316657402478","Activated","76","viper","76","2.02610316657402478",NA,NA,"5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=216); GTEx--Coexpression(rank=321); Enrichr--Queries(rank=665); ARCHS4--Coexpression(rank=1487)","693","0.19980000000000001","GTEx Coexpression,0.1998"
"ATF7","2.01250881420702354","2.01250881420702354","2.01250881420702354","Activated","77","viper","77","2.01250881420702354",NA,NA,"4","ReMap--ChIP-seq(rank=210); Enrichr--Queries(rank=1011); GTEx--Coexpression(rank=1228); ARCHS4--Coexpression(rank=1266)","1533","0.70709999999999984","ReMap ChIP-seq,0.7071"
"PBX2","2.01057110827204299","2.01057110827204299","2.01057110827204299","Activated","78","viper","78","2.01057110827204299",NA,NA,"4","ReMap--ChIP-seq(rank=187); Enrichr--Queries(rank=634); GTEx--Coexpression(rank=664); ARCHS4--Coexpression(rank=1292)","1198","0.41320000000000001","GTEx Coexpression,0.4132"
"SNAPC4","-1.98200932958477116","-1.98200932958477116","1.98200932958477116","Repressed","79","viper","79","1.98200932958477116",NA,NA,"4","GTEx--Coexpression(rank=124); ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=238); Enrichr--Queries(rank=301)","288","0.07716000000000001","GTEx Coexpression,0.07716"
