"TF","HVL_HUB098"
"STAT6","-0.57331112689457120"
"TAL1","3.42179736708685844"
"TBP","0.82207164845745362"
"TBX21","3.94080020987442170"
"TCF12","8.80057103558774223"
"TCF3","-0.96687938730628153"
"TCF4","4.41667785220215503"
"TCF7","3.03420384329798409"
"TCF7L2","2.45965839706667255"
"TEAD1","9.67466615742440617"
"TEAD2","-0.11883957136486446"
"TEAD4","6.57886324489838703"
"TFAP2A","1.83498621995661848"
"TFAP2C","-0.40242976534076080"
"TFAP4","1.26814224060304581"
"TFDP1","-3.70121119355925776"
"TGIF2","1.13641922002396467"
"THAP1","-2.49338989561878499"
"THAP11","2.99887795966660731"
"TP53","3.13693238887599835"
"TP63","1.20439294214495884"
"TP73","3.78144547610096149"
"TWIST1","-0.62233122736938851"
"USF1","0.34002443883810296"
"USF2","0.94904795241092799"
"VDR","0.78329573053811052"
"WT1","1.18347105080767268"
"XBP1","0.49562425626065298"
"YY1","-2.55086846339255935"
"ZBED1","-0.77837070248925733"
"ZBTB11","1.69442205075669738"
"ZBTB33","-0.48794682868482175"
"ZBTB7A","2.56311725961698444"
"ZEB1","0.24023147738580089"
"ZEB2","-4.87117683033120930"
"ZFX","-1.58961595398343269"
"ZKSCAN1","-0.96105417360758527"
"ZNF143","1.49677982562985434"
"ZNF217","2.13481620605241496"
"ZNF24","-0.15789141841604776"
"ZNF263","-3.97692022120737132"
"ZNF274","-0.75019380014109993"
"ZNF384","0.93998058308313581"
"ZNF592","-0.42879265347089912"
"ZNF639","-0.88072362637731871"
"ZNF740","-1.50192528929308322"
