Pathway,NUCLEAR CHROMOSOME,CONDENSED NUCLEAR CHROMOSOME,SYNAPTONEMAL STRUCTURE,CONDENSED CHROMOSOME,OUTER KINETOCHORE,CHROMOSOMAL REGION,CHROMOSOME TELOMERIC REGION,CMG COMPLEX,REPLICATION FORK,NUCLEAR REPLICATION FORK,CELL SUBSTRATE JUNCTION,CELL CELL CONTACT ZONE,CONTRACTILE MUSCLE FIBER,I BAND,BASEMENT MEMBRANE,SPINDLE,SPINDLE MIDZONE,MITOTIC SPINDLE MIDZONE,MITOTIC SPINDLE,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,SPINDLE POLE,CHROMOSOME PASSENGER COMPLEX,CENTRIOLE,SECRETORY GRANULE MEMBRANE,GAMMA SECRETASE COMPLEX,ATP BINDING CASSETTE ABC TRANSPORTER COMPLEX,AUTOPHAGOSOME MEMBRANE,AMPHISOME,ENDOCYTIC VESICLE,AXONEME,CYTOPLASMIC REGION,AXONEMAL MICROTUBULE,CHROMOSOME CENTROMERIC REGION,PERICENTRIC HETEROCHROMATIN,CONDENSIN COMPLEX,ENDONUCLEASE COMPLEX,PROTEASOME STORAGE GRANULE,TRANSPORT VESICLE,OTHER ORGANISM PART
CELL SUBSTRATE JUNCTION,0.0,0.0,0.0,0.014388489208633094,0.0,0.019184652278177457,0.007194244604316547,0.0,0.0,0.0,1.0,0.04316546762589928,0.11510791366906475,0.08393285371702638,0.026378896882494004,0.050359712230215826,0.009592326139088728,0.002398081534772182,0.03357314148681055,0.0,0.0,0.019184652278177457,0.0,0.007194244604316547,0.07434052757793765,0.002398081534772182,0.0,0.0,0.0,0.08393285371702638,0.004796163069544364,0.03117505995203837,0.0,0.014388489208633094,0.0,0.0,0.0,0.0,0.03836930455635491,0.0
CELL CELL CONTACT ZONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24324324324324326,1.0,0.28378378378378377,0.22972972972972974,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.0,0.02702702702702703,0.0,0.0,0.02702702702702703,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
CONTRACTILE MUSCLE FIBER,0.003952569169960474,0.003952569169960474,0.0,0.015810276679841896,0.0,0.015810276679841896,0.0,0.0,0.0,0.0,0.18972332015810275,0.08300395256916997,1.0,0.5928853754940712,0.019762845849802372,0.02766798418972332,0.0,0.0,0.003952569169960474,0.0,0.0,0.019762845849802372,0.0,0.0,0.007905138339920948,0.0,0.0,0.003952569169960474,0.003952569169960474,0.007905138339920948,0.0,0.011857707509881422,0.0,0.015810276679841896,0.0,0.0,0.0,0.003952569169960474,0.019762845849802372,0.0
I BAND,0.006666666666666667,0.006666666666666667,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.23333333333333334,0.11333333333333333,1.0,1.0,0.006666666666666667,0.02,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
BASEMENT MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10891089108910891,0.009900990099009901,0.04950495049504951,0.009900990099009901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPINDLE,0.04918032786885246,0.03044496487119438,0.0117096018735363,0.22482435597189696,0.03044496487119438,0.24824355971896955,0.02810304449648712,0.0,0.00468384074941452,0.00234192037470726,0.04918032786885246,0.00702576112412178,0.01639344262295082,0.00702576112412178,0.0,1.0,0.08899297423887588,0.03278688524590164,0.38875878220140514,0.0,0.0,0.4332552693208431,0.01405152224824356,0.10304449648711944,0.01405152224824356,0.0,0.0,0.03044496487119438,0.02810304449648712,0.0234192037470726,0.05152224824355972,0.09133489461358314,0.01405152224824356,0.23185011709601874,0.00702576112412178,0.0,0.0,0.0,0.0234192037470726,0.00234192037470726
SPINDLE MIDZONE,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.02631578947368421,0.39473684210526316,0.02631578947368421,0.0,0.0,0.0,0.10526315789473684,0.02631578947368421,0.0,0.0,0.0,1.0,1.0,0.3684210526315789,0.5789473684210527,0.0,0.0,0.42105263157894735,0.15789473684210525,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.07894736842105263,0.0,0.3684210526315789,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
MITOTIC SPINDLE MIDZONE,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5714285714285714,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
MITOTIC SPINDLE,0.04216867469879518,0.024096385542168676,0.012048192771084338,0.1686746987951807,0.018072289156626505,0.20481927710843373,0.030120481927710843,0.0,0.0,0.0,0.08433734939759036,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.0,1.0,0.13253012048192772,0.08433734939759036,1.0,0.0,0.0,0.41566265060240964,0.012048192771084338,0.06626506024096386,0.012048192771084338,0.0,0.0,0.0,0.0,0.018072289156626505,0.04216867469879518,0.0783132530120482,0.012048192771084338,0.18674698795180722,0.0,0.0,0.0,0.0,0.006024096385542169,0.0
RESPIRATORY CHAIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41228070175438597,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NADH DEHYDROGENASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPINDLE POLE,0.06486486486486487,0.043243243243243246,0.016216216216216217,0.24864864864864866,0.04864864864864865,0.2648648648648649,0.021621621621621623,0.0,0.0,0.0,0.043243243243243246,0.010810810810810811,0.02702702702702703,0.005405405405405406,0.0,1.0,0.08648648648648649,0.043243243243243246,0.372972972972973,0.0,0.0,1.0,0.016216216216216217,0.17297297297297298,0.010810810810810811,0.0,0.0,0.0,0.0,0.010810810810810811,0.03783783783783784,0.06486486486486487,0.010810810810810811,0.25405405405405407,0.0,0.0,0.0,0.0,0.010810810810810811,0.0
CHROMOSOME PASSENGER COMPLEX,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
CENTRIOLE,0.022988505747126436,0.011494252873563218,0.005747126436781609,0.040229885057471264,0.005747126436781609,0.040229885057471264,0.005747126436781609,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.25287356321839083,0.017241379310344827,0.0,0.06321839080459771,0.0,0.0,0.1839080459770115,0.011494252873563218,1.0,0.0,0.0,0.0,0.0,0.0,0.028735632183908046,0.12643678160919541,0.14942528735632185,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
SECRETORY GRANULE MEMBRANE,0.0,0.0,0.0,0.009230769230769232,0.0,0.009230769230769232,0.0,0.0,0.0,0.0,0.09538461538461539,0.015384615384615385,0.006153846153846154,0.003076923076923077,0.003076923076923077,0.018461538461538463,0.003076923076923077,0.0,0.006153846153846154,0.003076923076923077,0.003076923076923077,0.006153846153846154,0.0,0.0,1.0,0.009230769230769232,0.0,0.027692307692307693,0.0,0.12615384615384614,0.006153846153846154,0.021538461538461538,0.003076923076923077,0.009230769230769232,0.0,0.0,0.0,0.0,0.20307692307692307,0.0
GAMMA SECRETASE COMPLEX,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,0.0
ATP BINDING CASSETTE ABC TRANSPORTER COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOPHAGOSOME MEMBRANE,0.015384615384615385,0.015384615384615385,0.0,0.18461538461538463,0.0,0.2,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13846153846153847,0.0,0.0,1.0,0.18461538461538463,0.18461538461538463,0.06153846153846154,0.06153846153846154,0.0,0.2,0.0,0.0,0.0,0.0,0.12307692307692308,0.0
AMPHISOME,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
ENDOCYTIC VESICLE,0.0,0.0,0.0,0.002770083102493075,0.0,0.00554016620498615,0.0,0.0,0.0,0.0,0.09695290858725762,0.002770083102493075,0.00554016620498615,0.002770083102493075,0.008310249307479225,0.027700831024930747,0.00554016620498615,0.002770083102493075,0.008310249307479225,0.0,0.0,0.00554016620498615,0.0,0.013850415512465374,0.11357340720221606,0.0,0.0,0.0332409972299169,0.002770083102493075,1.0,0.01662049861495845,0.0332409972299169,0.0,0.00554016620498615,0.0,0.0,0.0,0.0,0.21606648199445982,0.0
AXONEME,0.01276595744680851,0.00851063829787234,0.0,0.02553191489361702,0.00425531914893617,0.01276595744680851,0.0,0.0,0.00425531914893617,0.00425531914893617,0.00851063829787234,0.0,0.0,0.0,0.0,0.09361702127659574,0.0,0.0,0.029787234042553193,0.0,0.0,0.029787234042553193,0.0,0.09361702127659574,0.00851063829787234,0.0,0.0,0.01702127659574468,0.0,0.02553191489361702,1.0,1.0,0.23829787234042554,0.01276595744680851,0.0,0.0,0.0,0.0,0.00425531914893617,0.0
CYTOPLASMIC REGION,0.00847457627118644,0.005649717514124294,0.0,0.03672316384180791,0.002824858757062147,0.031073446327683617,0.0,0.0,0.002824858757062147,0.002824858757062147,0.03672316384180791,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.002824858757062147,0.11016949152542373,0.00847457627118644,0.002824858757062147,0.03672316384180791,0.0,0.0,0.03389830508474576,0.0,0.07344632768361582,0.01977401129943503,0.0,0.0,0.011299435028248588,0.002824858757062147,0.03389830508474576,0.6638418079096046,1.0,0.15819209039548024,0.031073446327683617,0.0,0.0,0.0,0.0,0.04519774011299435,0.0
AXONEMAL MICROTUBULE,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHROMOSOME CENTROMERIC REGION,0.15018315018315018,0.07326007326007326,0.040293040293040296,0.7619047619047619,0.07326007326007326,1.0,0.11355311355311355,0.0,0.01098901098901099,0.007326007326007326,0.02197802197802198,0.0,0.014652014652014652,0.01098901098901099,0.0,0.3626373626373626,0.05128205128205128,0.018315018315018316,0.11355311355311355,0.0,0.0,0.17216117216117216,0.02197802197802198,0.02197802197802198,0.01098901098901099,0.007326007326007326,0.0,0.047619047619047616,0.04395604395604396,0.007326007326007326,0.01098901098901099,0.040293040293040296,0.0,1.0,0.11355311355311355,0.014652014652014652,0.0,0.0,0.018315018315018316,0.0
PERICENTRIC HETEROCHROMATIN,0.3225806451612903,0.06451612903225806,0.03225806451612903,0.41935483870967744,0.0,1.0,0.25806451612903225,0.0,0.0967741935483871,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03225806451612903,0.0,0.0,0.0,0.0
CONDENSIN COMPLEX,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,1.0,0.0,0.0,0.0,0.0
ENDONUCLEASE COMPLEX,0.125,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PROTEASOME STORAGE GRANULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8421052631578947,0.0
TRANSPORT VESICLE,0.004149377593360996,0.002074688796680498,0.002074688796680498,0.012448132780082987,0.0,0.012448132780082987,0.002074688796680498,0.0,0.0,0.0,0.03319502074688797,0.004149377593360996,0.01037344398340249,0.004149377593360996,0.0,0.02074688796680498,0.0,0.0,0.002074688796680498,0.0,0.0,0.004149377593360996,0.0,0.006224066390041493,0.13692946058091288,0.01037344398340249,0.0,0.016597510373443983,0.002074688796680498,0.16182572614107885,0.002074688796680498,0.03319502074688797,0.0,0.01037344398340249,0.0,0.0,0.0,0.03319502074688797,1.0,0.0
OTHER ORGANISM PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
