Pathway,IGA IMMUNOGLOBULIN COMPLEX,IGA IMMUNOGLOBULIN COMPLEX CIRCULATING,NUCLEAR SPECK,NUCLEAR RIBONUCLEOPROTEIN GRANULE,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,IGG IMMUNOGLOBULIN COMPLEX,IGE IMMUNOGLOBULIN COMPLEX,CELL SUBSTRATE JUNCTION,PODOSOME,LAMELLIPODIUM,CELL LEADING EDGE,RUFFLE,CELL CORTEX,CORTICAL CYTOSKELETON,"RNA POLYMERASE II TRANSCRIPTION REGULATOR
COMPLEX",TRANSCRIPTION FACTOR AP 1 COMPLEX,CILIARY TRANSITION ZONE,CENTRIOLE,CILIARY BASAL BODY,CILIARY MEMBRANE,SPINDLE,SPINDLE POLE,MICROTUBULE,CHROMOSOMAL REGION,HISTONE DEACETYLASE COMPLEX,ATPASE COMPLEX,SWI SNF SUPERFAMILY TYPE COMPLEX,HISTONE ACETYLTRANSFERASE COMPLEX,UBIQUITIN LIGASE COMPLEX,CYTOPLASMIC SIDE OF PLASMA MEMBRANE,SNARE COMPLEX,EARLY ENDOSOME,VESICLE TETHERING COMPLEX,ACTIVIN RECEPTOR COMPLEX,CYTOSOLIC RIBOSOME,RIBOSOMAL SUBUNIT,SODIUM POTASSIUM EXCHANGING ATPASE COMPLEX,"ENDOPLASMIC RETICULUM ENDOSOME MEMBRANE
CONTACT SITE"
PODOSOME,0.0,0.0,0.025,0.025,0.025,0.0,0.025,0.0,0.0,0.425,1.0,0.125,0.225,0.2,0.275,0.125,0.0,0.0,0.0,0.025,0.025,0.0,0.025,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
LAMELLIPODIUM,0.0,0.0,0.028846153846153848,0.028846153846153848,0.004807692307692308,0.0,0.004807692307692308,0.0,0.0,0.30288461538461536,0.02403846153846154,1.0,1.0,0.27884615384615385,0.21153846153846154,0.09615384615384616,0.004807692307692308,0.0,0.0,0.019230769230769232,0.02403846153846154,0.004807692307692308,0.052884615384615384,0.02403846153846154,0.04807692307692308,0.009615384615384616,0.0,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.03365384615384615,0.019230769230769232,0.08173076923076923,0.004807692307692308,0.0,0.004807692307692308,0.004807692307692308,0.0,0.0
CELL LEADING EDGE,0.0,0.0,0.02054794520547945,0.02054794520547945,0.00228310502283105,0.0,0.00228310502283105,0.0,0.0,0.22602739726027396,0.02054794520547945,0.4748858447488584,1.0,0.4337899543378995,0.17123287671232876,0.07077625570776255,0.0091324200913242,0.0,0.00228310502283105,0.01598173515981735,0.02511415525114155,0.00228310502283105,0.05251141552511415,0.0182648401826484,0.0639269406392694,0.02054794520547945,0.00228310502283105,0.0091324200913242,0.0045662100456621,0.00228310502283105,0.0091324200913242,0.03424657534246575,0.0091324200913242,0.091324200913242,0.0045662100456621,0.0,0.00684931506849315,0.0045662100456621,0.0,0.0
RUFFLE,0.0,0.0,0.015789473684210527,0.015789473684210527,0.0,0.0,0.0,0.0,0.0,0.2736842105263158,0.042105263157894736,0.30526315789473685,1.0,1.0,0.19473684210526315,0.08947368421052632,0.0,0.0,0.0,0.015789473684210527,0.010526315789473684,0.0,0.05263157894736842,0.010526315789473684,0.06842105263157895,0.02631578947368421,0.0,0.010526315789473684,0.005263157894736842,0.0,0.015789473684210527,0.04736842105263158,0.0,0.12105263157894737,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0,0.0
CELL CORTEX,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.17901234567901234,0.033950617283950615,0.13580246913580246,0.23148148148148148,0.11419753086419752,1.0,0.3333333333333333,0.006172839506172839,0.0,0.009259259259259259,0.012345679012345678,0.037037037037037035,0.006172839506172839,0.09876543209876543,0.046296296296296294,0.08641975308641975,0.037037037037037035,0.0,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.015432098765432098,0.05555555555555555,0.0030864197530864196,0.06172839506172839,0.05246913580246913,0.0,0.0030864197530864196,0.0,0.0,0.0
CORTICAL CYTOSKELETON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.046296296296296294,0.18518518518518517,0.28703703703703703,0.1574074074074074,1.0,1.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.027777777777777776,0.0,0.07407407407407407,0.027777777777777776,0.10185185185185185,0.027777777777777776,0.0,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.08333333333333333,0.0,0.046296296296296294,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.0
"RNA POLYMERASE II TRANSCRIPTION REGULATOR
COMPLEX",0.0,0.0,0.06859205776173286,0.06859205776173286,0.0036101083032490976,0.0,0.0036101083032490976,0.0,0.0,0.007220216606498195,0.0,0.0036101083032490976,0.01444043321299639,0.0,0.007220216606498195,0.0036101083032490976,1.0,0.021660649819494584,0.0036101083032490976,0.0,0.007220216606498195,0.0,0.036101083032490974,0.007220216606498195,0.0036101083032490976,0.02527075812274368,0.018050541516245487,0.01444043321299639,0.01444043321299639,0.07581227436823104,0.036101083032490974,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0,0.0
TRANSCRIPTION FACTOR AP 1 COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CILIARY TRANSITION ZONE,0.0,0.0,0.024096385542168676,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.012048192771084338,0.0,0.03614457831325301,0.012048192771084338,0.012048192771084338,0.0,1.0,0.3132530120481928,0.4578313253012048,0.1686746987951807,0.12048192771084337,0.04819277108433735,0.13253012048192772,0.012048192771084338,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.0,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0
CENTRIOLE,0.0,0.0,0.028735632183908046,0.028735632183908046,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.005747126436781609,0.022988505747126436,0.040229885057471264,0.017241379310344827,0.022988505747126436,0.0,0.0,0.0,0.14942528735632185,1.0,0.4942528735632184,0.028735632183908046,0.25287356321839083,0.1839080459770115,0.1896551724137931,0.040229885057471264,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.028735632183908046,0.005747126436781609,0.0,0.0,0.0,0.0,0.0
CILIARY BASAL BODY,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0044444444444444444,0.022222222222222223,0.04888888888888889,0.008888888888888889,0.05333333333333334,0.013333333333333334,0.008888888888888889,0.0,0.1688888888888889,0.38222222222222224,1.0,0.035555555555555556,0.21333333333333335,0.13333333333333333,0.24444444444444444,0.03111111111111111,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.017777777777777778,0.017777777777777778,0.0,0.017777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
CILIARY MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.012658227848101266,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.0,0.17721518987341772,0.06329113924050633,0.10126582278481013,1.0,0.05063291139240506,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.012658227848101266,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,0.0
SPINDLE,0.0,0.0,0.03278688524590164,0.0351288056206089,0.00702576112412178,0.00468384074941452,0.00468384074941452,0.0,0.0,0.04918032786885246,0.00234192037470726,0.02576112412177986,0.053864168618266976,0.0234192037470726,0.07494145199063232,0.01873536299765808,0.0234192037470726,0.0,0.0234192037470726,0.10304449648711944,0.11241217798594848,0.00936768149882904,1.0,0.4332552693208431,0.41217798594847777,0.24824355971896955,0.0117096018735363,0.0234192037470726,0.0117096018735363,0.0351288056206089,0.04449648711943794,0.02810304449648712,0.00234192037470726,0.02576112412177986,0.00702576112412178,0.0,0.00234192037470726,0.00468384074941452,0.0,0.0
SPINDLE POLE,0.0,0.0,0.05405405405405406,0.05945945945945946,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.0,0.0,0.043243243243243246,0.0,0.02702702702702703,0.043243243243243246,0.010810810810810811,0.08108108108108109,0.016216216216216217,0.010810810810810811,0.0,0.021621621621621623,0.17297297297297298,0.16216216216216217,0.005405405405405406,1.0,1.0,0.40540540540540543,0.2648648648648649,0.005405405405405406,0.02702702702702703,0.010810810810810811,0.021621621621621623,0.043243243243243246,0.005405405405405406,0.0,0.005405405405405406,0.005405405405405406,0.0,0.0,0.005405405405405406,0.0,0.0
MICROTUBULE,0.0,0.0,0.008146639511201629,0.008146639511201629,0.002036659877800407,0.0,0.002036659877800407,0.0,0.0,0.034623217922606926,0.006109979633401222,0.020366598778004074,0.05702647657841141,0.026476578411405296,0.05702647657841141,0.02240325865580448,0.002036659877800407,0.0,0.02240325865580448,0.06720977596741344,0.1120162932790224,0.0,0.35845213849287166,0.15274949083503056,1.0,0.11812627291242363,0.006109979633401222,0.008146639511201629,0.008146639511201629,0.004073319755600814,0.012219959266802444,0.02240325865580448,0.0,0.018329938900203666,0.008146639511201629,0.0,0.0,0.0,0.0,0.0
CHROMOSOMAL REGION,0.0,0.0,0.06443914081145585,0.0883054892601432,0.016706443914081145,0.002386634844868735,0.011933174224343675,0.0,0.0,0.01909307875894988,0.0,0.00477326968973747,0.021479713603818614,0.011933174224343675,0.028639618138424822,0.007159904534606206,0.016706443914081145,0.0,0.002386634844868735,0.016706443914081145,0.016706443914081145,0.002386634844868735,0.2529832935560859,0.11694510739856802,0.13842482100238662,1.0,0.02386634844868735,0.07159904534606205,0.07159904534606205,0.031026252983293555,0.02386634844868735,0.011933174224343675,0.0,0.016706443914081145,0.00477326968973747,0.0,0.0,0.0,0.0,0.0
HISTONE DEACETYLASE COMPLEX,0.0,0.0,0.1724137931034483,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.022988505747126436,0.0,0.05747126436781609,0.011494252873563218,0.034482758620689655,0.11494252873563218,1.0,0.3563218390804598,0.3563218390804598,0.14942528735632185,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATPASE COMPLEX,0.0,0.0,0.05263157894736842,0.05921052631578947,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.0,0.0,0.013157894736842105,0.0,0.006578947368421052,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.006578947368421052,0.02631578947368421,0.0,0.0,0.0,0.013157894736842105,0.0,0.06578947368421052,0.03289473684210526,0.02631578947368421,0.19736842105263158,0.20394736842105263,1.0,0.6381578947368421,0.09868421052631579,0.019736842105263157,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0
SWI SNF SUPERFAMILY TYPE COMPLEX,0.0,0.0,0.08247422680412371,0.09278350515463918,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.0,0.010309278350515464,0.0,0.010309278350515464,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.010309278350515464,0.041237113402061855,0.0,0.0,0.0,0.020618556701030927,0.0,0.05154639175257732,0.020618556701030927,0.041237113402061855,0.30927835051546393,0.31958762886597936,1.0,1.0,0.15463917525773196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTONE ACETYLTRANSFERASE COMPLEX,0.0,0.0,0.09090909090909091,0.09090909090909091,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.0,0.0,0.020202020202020204,0.0,0.010101010101010102,0.010101010101010102,0.0,0.020202020202020204,0.010101010101010102,0.21212121212121213,0.0,0.0,0.0,0.020202020202020204,0.0,0.15151515151515152,0.04040404040404041,0.020202020202020204,0.13131313131313133,0.13131313131313133,0.15151515151515152,0.15151515151515152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBIQUITIN LIGASE COMPLEX,0.0,0.0,0.028985507246376812,0.03140096618357488,0.0024154589371980675,0.0,0.0,0.0,0.0,0.004830917874396135,0.0,0.0024154589371980675,0.00966183574879227,0.007246376811594203,0.012077294685990338,0.0024154589371980675,0.024154589371980676,0.0,0.0024154589371980675,0.007246376811594203,0.00966183574879227,0.0,0.04589371980676329,0.01932367149758454,0.014492753623188406,0.024154589371980676,0.004830917874396135,0.007246376811594203,0.0,0.0,1.0,0.00966183574879227,0.0,0.012077294685990338,0.0,0.0,0.0024154589371980675,0.0,0.0,0.0
CYTOPLASMIC SIDE OF PLASMA MEMBRANE,0.0,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.09580838323353294,0.0,0.041916167664670656,0.08982035928143713,0.05389221556886228,0.10778443113772455,0.05389221556886228,0.0,0.0,0.005988023952095809,0.0,0.023952095808383235,0.023952095808383235,0.0718562874251497,0.005988023952095809,0.0658682634730539,0.029940119760479042,0.0,0.0,0.0,0.0,0.023952095808383235,1.0,0.0,0.041916167664670656,0.0,0.0,0.0,0.0,0.0,0.0
SNARE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0851063829787234,0.0851063829787234,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1702127659574468,0.02127659574468085,0.0,0.0,0.0,0.0,0.0
EARLY ENDOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045951859956236324,0.0087527352297593,0.037199124726477024,0.087527352297593,0.05032822757111598,0.0437636761487965,0.010940919037199124,0.002188183807439825,0.0,0.00437636761487965,0.010940919037199124,0.0087527352297593,0.010940919037199124,0.024070021881838075,0.002188183807439825,0.019693654266958426,0.015317286652078774,0.0,0.01312910284463895,0.0,0.0,0.010940919037199124,0.015317286652078774,0.0175054704595186,1.0,0.02188183807439825,0.0,0.002188183807439825,0.0,0.0,0.0
VESICLE TETHERING COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.014925373134328358,0.029850746268656716,0.0,0.2537313432835821,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.04477611940298507,0.014925373134328358,0.05970149253731343,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.14925373134328357,1.0,0.0,0.0,0.0,0.0,0.0
ACTIVIN RECEPTOR COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CYTOSOLIC RIBOSOME,0.0,0.0,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.33884297520661155,0.0,0.008264462809917356,0.024793388429752067,0.01652892561983471,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.008264462809917356,0.0,0.0,1.0,0.8181818181818182,0.0,0.0
RIBOSOMAL SUBUNIT,0.0,0.0,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.0,0.0,0.0,0.0,0.22950819672131148,0.0,0.00546448087431694,0.01092896174863388,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409836065573771,1.0,0.0,0.0
SODIUM POTASSIUM EXCHANGING ATPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"ENDOPLASMIC RETICULUM ENDOSOME MEMBRANE
CONTACT SITE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
