"TF","HVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MYCN","-4.46273588509712038","-4.46273588509712038","4.46273588509712038","Repressed","11","viper","11","4.46273588509712038",NA,NA,"5","Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=61); Enrichr--Queries(rank=204); GTEx--Coexpression(rank=469)","144","0.03747000000000000","ARCHS4 Coexpression,0.03747"
"FOXM1","-4.28283911258117467","-4.28283911258117467","4.28283911258117467","Repressed","12","viper","12","4.28283911258117467",NA,NA,"6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"ZBTB7A","-4.23428355090383590","-4.23428355090383590","4.23428355090383590","Repressed","13","viper","13","4.23428355090383590",NA,NA,"5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=24); GTEx--Coexpression(rank=398); ARCHS4--Coexpression(rank=801); Enrichr--Queries(rank=1066)","32","0.01010000000000000","ReMap ChIP-seq,0.0101"
"E2F5","-3.92702315828405135","-3.92702315828405135","3.92702315828405135","Repressed","14","viper","14","3.92702315828405135",NA,NA,"4","Enrichr--Queries(rank=48); ReMap--ChIP-seq(rank=55); GTEx--Coexpression(rank=471); ARCHS4--Coexpression(rank=656)","129","0.03419000000000000","Enrichr Queries,0.03419"
"TEAD4","3.91479648333612174","3.91479648333612174","3.91479648333612174","Activated","15","viper","15","3.91479648333612174",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Enrichr--Queries(rank=38); ARCHS4--Coexpression(rank=92); Literature--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=1420)","105","0.02707000000000000","Enrichr Queries,0.02707"
"SMAD3","3.86829275380756021","3.86829275380756021","3.86829275380756021","Activated","16","viper","16","3.86829275380756021",NA,NA,"5","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=117); Enrichr--Queries(rank=359); GTEx--Coexpression(rank=676); ARCHS4--Coexpression(rank=842)","328","0.08537000000000000","Literature ChIP-seq,0.08537"
"STAT1","3.83286538425808709","3.83286538425808709","3.83286538425808709","Activated","17","viper","17","3.83286538425808709",NA,NA,"6","GTEx--Coexpression(rank=24); ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=75); Literature--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=118)","52","0.01493000000000000","GTEx Coexpression,0.01493"
"STAT2","3.78706906798951914","3.78706906798951914","3.78706906798951914","Activated","18","viper","18","3.78706906798951914",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=106); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=280)","136","0.03563000000000000","ARCHS4 Coexpression,0.03563"
"RFX5","3.64381172067099701","3.64381172067099701","3.64381172067099701","Activated","19","viper","19","3.64381172067099701",NA,NA,"5","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=41); Enrichr--Queries(rank=87); GTEx--Coexpression(rank=179); ARCHS4--Coexpression(rank=1045)","238","0.06197000000000000","Enrichr Queries,0.06197"
"RFX1","3.43217579134765494","3.43217579134765494","3.43217579134765494","Activated","20","viper","20","3.43217579134765494",NA,NA,"4","ReMap--ChIP-seq(rank=32); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=1154); Enrichr--Queries(rank=1225)","406","0.10770000000000000","ReMap ChIP-seq,0.1077"
"RARA","3.37134013819280876","3.37134013819280876","3.37134013819280876","Activated","21","viper","21","3.37134013819280876",NA,NA,"5","Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=491); Enrichr--Queries(rank=647); GTEx--Coexpression(rank=1060)","445","0.11780000000000000","ReMap ChIP-seq,0.1178"
"GRHL2","3.36720060988350278","3.36720060988350278","3.36720060988350278","Activated","22","viper","22","3.36720060988350278",NA,NA,"5","ReMap--ChIP-seq(rank=34); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=238); ARCHS4--Coexpression(rank=380); Enrichr--Queries(rank=512)","433","0.11450000000000000","ReMap ChIP-seq,0.1145"
"TEAD1","3.26337913894216003","3.26337913894216003","3.26337913894216003","Activated","23","viper","23","3.26337913894216003",NA,NA,"4","ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=502); Enrichr--Queries(rank=503); GTEx--Coexpression(rank=1093)","998","0.30840000000000001","ARCHS4 Coexpression,0.3084"
"ZNF639","3.26073244664840312","3.26073244664840312","3.26073244664840312","Activated","24","viper","24","3.26073244664840312",NA,NA,"4","Enrichr--Queries(rank=59); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=305); GTEx--Coexpression(rank=1074)","161","0.04202000000000000","Enrichr Queries,0.04202"
"NFKB1","3.21056697048775597","3.21056697048775597","3.21056697048775597","Activated","25","viper","25","3.21056697048775597",NA,NA,"4","GTEx--Coexpression(rank=83); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=207); Enrichr--Queries(rank=654)","202","0.05165000000000000","GTEx Coexpression,0.05165"
"PBX3","3.18122274349318523","3.18122274349318523","3.18122274349318523","Activated","26","viper","26","3.18122274349318523",NA,NA,"5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=295); GTEx--Coexpression(rank=774); ARCHS4--Coexpression(rank=1071)","737","0.21010000000000001","Enrichr Queries,0.2101"
"TEAD2","3.17296780073090412","3.17296780073090412","3.17296780073090412","Activated","27","viper","27","3.17296780073090412",NA,NA,"4","Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=172); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=436)","269","0.06980000000000000","Enrichr Queries,0.0698"
"HIF1A","-3.13185405938026795","-3.13185405938026795","3.13185405938026795","Repressed","28","viper","28","3.13185405938026795",NA,NA,"5","Literature--ChIP-seq(rank=49); Enrichr--Queries(rank=144); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=395); GTEx--Coexpression(rank=453)","387","0.10260000000000000","Enrichr Queries,0.1026"
"MYBL2","-3.11274701563298573","-3.11274701563298573","3.11274701563298573","Repressed","29","viper","29","3.11274701563298573",NA,NA,"6","Enrichr--Queries(rank=2); ARCHS4--Coexpression(rank=5); Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=160)","6","0.00142500000000000","Enrichr Queries,0.001425"
"NR2F1","3.03910035196846318","3.03910035196846318","3.03910035196846318","Activated","30","viper","30","3.03910035196846318",NA,NA,"4","ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=692); Enrichr--Queries(rank=695); GTEx--Coexpression(rank=1125)","74","0.02020000000000000","ReMap ChIP-seq,0.0202"
"ESRRA","3.01849384313150715","3.01849384313150715","3.01849384313150715","Activated","31","viper","31","3.01849384313150715",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=164); Enrichr--Queries(rank=773); ARCHS4--Coexpression(rank=1291); GTEx--Coexpression(rank=1305)","1394","0.55059999999999998","Enrichr Queries,0.5506"
"REL","2.97168013220651117","2.97168013220651117","2.97168013220651117","Activated","32","viper","32","2.97168013220651117",NA,NA,"3","GTEx--Coexpression(rank=352); ARCHS4--Coexpression(rank=454); Enrichr--Queries(rank=469)","766","0.21900000000000000","GTEx Coexpression,0.219"
"SMAD5","-2.93548070451039855","-2.93548070451039855","2.93548070451039855","Repressed","33","viper","33","2.93548070451039855",NA,NA,"4","ReMap--ChIP-seq(rank=162); ARCHS4--Coexpression(rank=270); GTEx--Coexpression(rank=987); Enrichr--Queries(rank=1159)","604","0.16580000000000000","ARCHS4 Coexpression,0.1658"
"RELA","2.93393808205319484","2.93393808205319484","2.93393808205319484","Activated","34","viper","34","2.93393808205319484",NA,NA,"6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=144); GTEx--Coexpression(rank=696); Enrichr--Queries(rank=874); ARCHS4--Coexpression(rank=1409)","258","0.06707000000000000","Literature ChIP-seq,0.06707"
"PRDM14","2.90679057484931791","2.90679057484931791","2.90679057484931791","Activated","35","viper","35","2.90679057484931791",NA,NA,"5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=116); Enrichr--Queries(rank=1245); GTEx--Coexpression(rank=1288)","275","0.07124999999999999","ARCHS4 Coexpression,0.07125"
"HNF4G","2.88156963433205648","2.88156963433205648","2.88156963433205648","Activated","36","viper","36","2.88156963433205648",NA,NA,"5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=91); GTEx--Coexpression(rank=147); ARCHS4--Coexpression(rank=158); Enrichr--Queries(rank=484)","127","0.03367000000000000","ReMap ChIP-seq,0.03367"
"NFE2L2","2.88096300893126989","2.88096300893126989","2.88096300893126989","Activated","37","viper","37","2.88096300893126989",NA,NA,"5","ReMap--ChIP-seq(rank=67); Literature--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=109); GTEx--Coexpression(rank=109); Enrichr--Queries(rank=356)","257","0.06695000000000000","ARCHS4 Coexpression,0.06695"
"EHF","2.79678751541916482","2.79678751541916482","2.79678751541916482","Activated","38","viper","38","2.79678751541916482",NA,NA,"4","GTEx--Coexpression(rank=82); ARCHS4--Coexpression(rank=105); Enrichr--Queries(rank=112); ReMap--ChIP-seq(rank=194)","201","0.05103000000000000","GTEx Coexpression,0.05103"
"LYL1","2.74213065510969534","2.74213065510969534","2.74213065510969534","Activated","39","viper","39","2.74213065510969534",NA,NA,"5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=228); ARCHS4--Coexpression(rank=358); Enrichr--Queries(rank=806); GTEx--Coexpression(rank=1294)","770","0.21990000000000001","ARCHS4 Coexpression,0.2199"
"SP3","2.72958590706455340","2.72958590706455340","2.72958590706455340","Activated","40","viper","40","2.72958590706455340",NA,NA,"3","GTEx--Coexpression(rank=632); Enrichr--Queries(rank=984); ARCHS4--Coexpression(rank=1380)","1167","0.39329999999999998","GTEx Coexpression,0.3933"
"ESR2","2.68096097770499053","2.68096097770499053","2.68096097770499053","Activated","41","viper","41","2.68096097770499053",NA,NA,"5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=142); GTEx--Coexpression(rank=527); Enrichr--Queries(rank=787); ARCHS4--Coexpression(rank=1054)","370","0.09755999999999999","Literature ChIP-seq,0.09756"
"ATF6","-2.66199546136469722","-2.66199546136469722","2.66199546136469722","Repressed","42","viper","42","2.66199546136469722",NA,NA,"3","Enrichr--Queries(rank=424); GTEx--Coexpression(rank=885); ARCHS4--Coexpression(rank=1197)","981","0.30199999999999999","Enrichr Queries,0.302"
"RFX2","2.64237559958588886","2.64237559958588886","2.64237559958588886","Activated","43","viper","43","2.64237559958588886",NA,NA,"4","ARCHS4--Coexpression(rank=49); ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=343); GTEx--Coexpression(rank=1405)","117","0.03010000000000000","ARCHS4 Coexpression,0.0301"
"GATA3","2.63567575828935086","2.63567575828935086","2.63567575828935086","Activated","44","viper","44","2.63567575828935086",NA,NA,"6","ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=527); GTEx--Coexpression(rank=1466)","741","0.21149999999999999","Enrichr Queries,0.2115"
"EBF1","2.61670085524003371","2.61670085524003371","2.61670085524003371","Activated","45","viper","45","2.61670085524003371",NA,NA,"5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=783); GTEx--Coexpression(rank=906); Enrichr--Queries(rank=958)","1011","0.31309999999999999","ReMap ChIP-seq,0.3131"
"STAT5B","2.60596261269167817","2.60596261269167817","2.60596261269167817","Activated","46","viper","46","2.60596261269167817",NA,NA,"4","ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=426); Enrichr--Queries(rank=803); GTEx--Coexpression(rank=1469)","881","0.26169999999999999","ARCHS4 Coexpression,0.2617"
"FOXO4","2.58931376236752397","2.58931376236752397","2.58931376236752397","Activated","47","viper","47","2.58931376236752397",NA,NA,"3","Enrichr--Queries(rank=242); ARCHS4--Coexpression(rank=855); GTEx--Coexpression(rank=1313)","624","0.17240000000000000","Enrichr Queries,0.1724"
"ATF1","-2.53907651350204810","-2.53907651350204810","2.53907651350204810","Repressed","48","viper","48","2.53907651350204810",NA,NA,"5","ReMap--ChIP-seq(rank=92); ENCODE--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=126); Enrichr--Queries(rank=211); GTEx--Coexpression(rank=1303)","297","0.07740000000000000","ARCHS4 Coexpression,0.0774"
"ELF3","2.52138087862276539","2.52138087862276539","2.52138087862276539","Activated","49","viper","49","2.52138087862276539",NA,NA,"4","ARCHS4--Coexpression(rank=41); GTEx--Coexpression(rank=65); Enrichr--Queries(rank=100); ReMap--ChIP-seq(rank=135)","96","0.02518000000000000","ARCHS4 Coexpression,0.02518"
"KLF1","2.50901762804224271","2.50901762804224271","2.50901762804224271","Activated","50","viper","50","2.50901762804224271",NA,NA,"5","ReMap--ChIP-seq(rank=27); Literature--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=188); Enrichr--Queries(rank=275); GTEx--Coexpression(rank=1575)","345","0.09091000000000000","ReMap ChIP-seq,0.09091"
"IRF9","2.44196908353473452","2.44196908353473452","2.44196908353473452","Activated","51","viper","51","2.44196908353473452",NA,NA,"4","Enrichr--Queries(rank=97); GTEx--Coexpression(rank=136); ARCHS4--Coexpression(rank=157); ReMap--ChIP-seq(rank=222)","267","0.06909000000000000","Enrichr Queries,0.06909"
"HNF4A","2.43614184552372803","2.43614184552372803","2.43614184552372803","Activated","52","viper","52","2.43614184552372803",NA,NA,"6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=394); Enrichr--Queries(rank=755)","478","0.12800000000000000","Literature ChIP-seq,0.128"
"SPI1","2.43204740901167371","2.43204740901167371","2.43204740901167371","Activated","53","viper","53","2.43204740901167371",NA,NA,"6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=461); Enrichr--Queries(rank=881); GTEx--Coexpression(rank=1053)","711","0.20119999999999999","Literature ChIP-seq,0.2012"
"NR1H3","2.41702036025118883","2.41702036025118883","2.41702036025118883","Activated","54","viper","54","2.41702036025118883",NA,NA,"5","Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=203); ReMap--ChIP-seq(rank=244); Enrichr--Queries(rank=255); GTEx--Coexpression(rank=459)","469","0.12470000000000001","ARCHS4 Coexpression,0.1247"
"THAP1","2.39145711273219019","2.39145711273219019","2.39145711273219019","Activated","55","viper","55","2.39145711273219019",NA,NA,"5","ReMap--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=100); Enrichr--Queries(rank=753); ARCHS4--Coexpression(rank=914); GTEx--Coexpression(rank=1574)","142","0.03704000000000000","ReMap ChIP-seq,0.03704"
"POU5F1","2.38379336105793760","2.38379336105793760","2.38379336105793760","Activated","56","viper","56","2.38379336105793760",NA,NA,"5","Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=93); GTEx--Coexpression(rank=123); ReMap--ChIP-seq(rank=130); Enrichr--Queries(rank=613)","223","0.05713000000000000","ARCHS4 Coexpression,0.05713"
"E2F7","-2.36035889890064521","-2.36035889890064521","2.36035889890064521","Repressed","57","viper","57","2.36035889890064521",NA,NA,"5","ARCHS4--Coexpression(rank=3); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=100)","7","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"ZBTB33","-2.33977653175563605","-2.33977653175563605","2.33977653175563605","Repressed","58","viper","58","2.33977653175563605",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=512); ARCHS4--Coexpression(rank=853); Enrichr--Queries(rank=964)","1028","0.31859999999999999","GTEx Coexpression,0.3186"
"RUNX2","2.26181138165384477","2.26181138165384477","2.26181138165384477","Activated","59","viper","59","2.26181138165384477",NA,NA,"5","Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=240); ReMap--ChIP-seq(rank=250); GTEx--Coexpression(rank=384); Enrichr--Queries(rank=408)","545","0.14740000000000000","ARCHS4 Coexpression,0.1474"
"NCOA2","2.23353166274220483","2.23353166274220483","2.23353166274220483","Activated","60","viper","60","2.23353166274220483",NA,NA,"4","ReMap--ChIP-seq(rank=175); GTEx--Coexpression(rank=692); ARCHS4--Coexpression(rank=1143); Enrichr--Queries(rank=1290)","1227","0.43059999999999998","GTEx Coexpression,0.4306"
"CREB1","-2.19368172503204928","-2.19368172503204928","2.19368172503204928","Repressed","61","viper","61","2.19368172503204928",NA,NA,"6","Literature--ChIP-seq(rank=55); ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=660); Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=1341)","918","0.27270000000000000","ReMap ChIP-seq,0.2727"
"SMAD4","2.16852058235571299","2.16852058235571299","2.16852058235571299","Activated","62","viper","62","2.16852058235571299",NA,NA,"5","Literature--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=242); GTEx--Coexpression(rank=953); Enrichr--Queries(rank=1090); ARCHS4--Coexpression(rank=1302)","1245","0.43900000000000000","Literature ChIP-seq,0.439"
"NR2C2","-2.14341837060713836","-2.14341837060713836","2.14341837060713836","Repressed","63","viper","63","2.14341837060713836",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=890); Enrichr--Queries(rank=1363); ARCHS4--Coexpression(rank=1498)","1397","0.55379999999999996","GTEx Coexpression,0.5538"
"JUN","2.13854014942866044","2.13854014942866044","2.13854014942866044","Activated","64","viper","64","2.13854014942866044",NA,NA,"6","ENCODE--ChIP-seq(rank=50); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=161); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=915)","435","0.11470000000000000","Enrichr Queries,0.1147"
"NR1H2","2.13783683190442853","2.13783683190442853","2.13783683190442853","Activated","65","viper","65","2.13783683190442853",NA,NA,"4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=283); GTEx--Coexpression(rank=511); Enrichr--Queries(rank=948)","500","0.13469999999999999","ReMap ChIP-seq,0.1347"
"NFYB","-2.11722794550118687","-2.11722794550118687","2.11722794550118687","Repressed","66","viper","66","2.11722794550118687",NA,NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=51); GTEx--Coexpression(rank=367)","114","0.02948000000000000","ARCHS4 Coexpression,0.02948"
"EPAS1","-2.11074778931742557","-2.11074778931742557","2.11074778931742557","Repressed","67","viper","67","2.11074778931742557",NA,NA,"4","Enrichr--Queries(rank=158); ReMap--ChIP-seq(rank=216); ARCHS4--Coexpression(rank=423); GTEx--Coexpression(rank=596)","426","0.11250000000000000","Enrichr Queries,0.1125"
"TBP","2.07820129862521208","2.07820129862521208","2.07820129862521208","Activated","68","viper","68","2.07820129862521208",NA,NA,"5","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=195); ARCHS4--Coexpression(rank=1092)","459","0.12130000000000001","GTEx Coexpression,0.1213"
"SREBF2","-2.07059361628855632","-2.07059361628855632","2.07059361628855632","Repressed","69","viper","69","2.07059361628855632",NA,NA,"6","ReMap--ChIP-seq(rank=75); ENCODE--ChIP-seq(rank=99); Literature--ChIP-seq(rank=121); GTEx--Coexpression(rank=270); Enrichr--Queries(rank=739); ARCHS4--Coexpression(rank=1281)","612","0.16800000000000001","GTEx Coexpression,0.168"
"TCF12","2.06293344814521173","2.06293344814521173","2.06293344814521173","Activated","70","viper","70","2.06293344814521173",NA,NA,"5","ReMap--ChIP-seq(rank=31); ENCODE--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=422); Enrichr--Queries(rank=947); GTEx--Coexpression(rank=1260)","394","0.10440000000000001","ReMap ChIP-seq,0.1044"
"THAP11","2.04223049159066861","2.04223049159066861","2.04223049159066861","Activated","71","viper","71","2.04223049159066861",NA,NA,"5","Literature--ChIP-seq(rank=145); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=808); ARCHS4--Coexpression(rank=884); GTEx--Coexpression(rank=1515)","1389","0.54300000000000004","ARCHS4 Coexpression,0.543"
"NANOG","2.01694489451197878","2.01694489451197878","2.01694489451197878","Activated","72","viper","72","2.01694489451197878",NA,NA,"6","Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=195); ARCHS4--Coexpression(rank=256); GTEx--Coexpression(rank=497); Enrichr--Queries(rank=871)","440","0.11590000000000000","Literature ChIP-seq,0.1159"
"E2F6","2.01450784730109866","2.01450784730109866","2.01450784730109866","Activated","73","viper","73","2.01450784730109866",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=52); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=1554)","122","0.03194000000000000","ARCHS4 Coexpression,0.03194"
"RUNX1","1.98977498592251356","1.98977498592251356","1.98977498592251356","Activated","74","viper","74","1.98977498592251356",NA,NA,"5","Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=74); GTEx--Coexpression(rank=360); Enrichr--Queries(rank=405); ARCHS4--Coexpression(rank=746)","781","0.22400000000000000","GTEx Coexpression,0.224"
"GATA6","1.97112088410181530","1.97112088410181530","1.97112088410181530","Activated","75","viper","75","1.97112088410181530",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=94); Enrichr--Queries(rank=482); GTEx--Coexpression(rank=569); ARCHS4--Coexpression(rank=829)","542","0.14630000000000001","Literature ChIP-seq,0.1463"
"STAT4","1.95193508190420295","1.95193508190420295","1.95193508190420295","Activated","76","viper","76","1.95193508190420295",NA,NA,"4","Literature--ChIP-seq(rank=86); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=950); ARCHS4--Coexpression(rank=1087)","971","0.29699999999999999","Enrichr Queries,0.297"
"TAL1","1.95158958487344769","1.95158958487344769","1.95158958487344769","Activated","77","viper","77","1.95158958487344769",NA,NA,"6","ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=708); ARCHS4--Coexpression(rank=818); GTEx--Coexpression(rank=852)","1204","0.41530000000000000","ENCODE ChIP-seq,0.4153"
"REST","-1.92822598604273532","-1.92822598604273532","1.92822598604273532","Repressed","78","viper","78","1.92822598604273532",NA,NA,"6","ENCODE--ChIP-seq(rank=58); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=340); GTEx--Coexpression(rank=362); Enrichr--Queries(rank=980)","733","0.20880000000000001","ARCHS4 Coexpression,0.2088"
