Pathway,CD22 MEDIATED BCR REGULATION,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING
TO GENERATION OF SECOND MESSENGERS",SIGNALING BY THE B CELL RECEPTOR BCR,FCGR ACTIVATION,FCGAMMA RECEPTOR FCGR DEPENDENT PHAGOCYTOSIS,PARASITE INFECTION,ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION,FCERI MEDIATED CA 2 MOBILIZATION,FCERI MEDIATED MAPK ACTIVATION,ROLE OF PHOSPHOLIPIDS IN PHAGOCYTOSIS,FCGR3A MEDIATED IL10 SYNTHESIS,INITIAL TRIGGERING OF COMPLEMENT,CREATION OF C4 AND C2 ACTIVATORS,COMPLEMENT CASCADE,SCAVENGING OF HEME FROM PLASMA,"BINDING AND UPTAKE OF LIGANDS BY SCAVENGER
RECEPTORS",INTERFERON ALPHA BETA SIGNALING,INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING,"DIFFERENTIATION OF NAIVE CD T CELLS TO T
HELPER 1 CELLS TH1 CELLS",NEURONAL SYSTEM,MUSCLE CONTRACTION,CARDIAC CONDUCTION,PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS,INTERFERON GAMMA SIGNALING,ASPIRIN ADME,DRUG ADME,GLUCURONIDATION,CONDENSATION OF PROPHASE CHROMOSOMES,"ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF
REPLICATION","CHROMATIN MODIFICATIONS DURING THE MATERNAL
TO ZYGOTIC TRANSITION MZT",MEIOTIC RECOMBINATION,"SENESCENCE ASSOCIATED SECRETORY PHENOTYPE
SASP",REGULATION OF PD L1 CD274 TRANSCRIPTION,DNA METHYLATION,DEFECTIVE PYROPTOSIS,PRC2 METHYLATES HISTONES AND DNA,TRANSCRIPTIONAL REGULATION OF GRANULOPOIESIS,"DEPOSITION OF NEW CENPA CONTAINING
NUCLEOSOMES AT THE CENTROMERE",CHEMOKINE RECEPTORS BIND CHEMOKINES,BILE ACID AND BILE SALT METABOLISM
FCGR3A MEDIATED IL10 SYNTHESIS,0.5789473684210527,0.6631578947368421,0.6631578947368421,0.7263157894736842,0.7894736842105263,0.7052631578947368,0.6,0.6631578947368421,0.6105263157894737,0.7263157894736842,1.0,0.6,0.6,0.6,0.5684210526315789,0.5684210526315789,0.0,0.031578947368421054,0.0,0.21052631578947367,0.06315789473684211,0.06315789473684211,0.021052631578947368,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0
INITIAL TRIGGERING OF COMPLEMENT,0.675,0.675,0.675,0.7125,0.7125,0.7125,0.675,0.675,0.675,0.7125,0.7125,1.0,0.8875,1.0,0.675,0.7,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREATION OF C4 AND C2 ACTIVATORS,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.8028169014084507,0.8028169014084507,1.0,1.0,1.0,0.7605633802816901,0.7887323943661971,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMPLEMENT CASCADE,0.46956521739130436,0.4782608695652174,0.4782608695652174,0.4956521739130435,0.4956521739130435,0.4956521739130435,0.46956521739130436,0.46956521739130436,0.46956521739130436,0.4956521739130435,0.4956521739130435,0.6956521739130435,0.6173913043478261,1.0,0.46956521739130436,0.48695652173913045,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAVENGING OF HEME FROM PLASMA,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406
"BINDING AND UPTAKE OF LIGANDS BY SCAVENGER
RECEPTORS",0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5392156862745098,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.6764705882352942,1.0,0.0,0.049019607843137254,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745
INTERFERON ALPHA BETA SIGNALING,0.01282051282051282,0.01282051282051282,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.01282051282051282,0.0,0.0,0.0,0.0,0.358974358974359,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING,0.0,0.009009009009009009,0.009009009009009009,0.018018018018018018,0.036036036036036036,0.018018018018018018,0.018018018018018018,0.009009009009009009,0.018018018018018018,0.02702702702702703,0.02702702702702703,0.018018018018018018,0.018018018018018018,0.018018018018018018,0.0,0.04504504504504504,0.05405405405405406,1.0,0.02702702702702703,0.018018018018018018,0.018018018018018018,0.0,0.0,0.07207207207207207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.04504504504504504,0.0,0.0,0.0,0.036036036036036036,0.0,0.036036036036036036,0.0
"DIFFERENTIATION OF NAIVE CD T CELLS TO T
HELPER 1 CELLS TH1 CELLS",0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0
NEURONAL SYSTEM,0.0,0.0024330900243309003,0.012165450121654502,0.0024330900243309003,0.009732360097323601,0.009732360097323601,0.0024330900243309003,0.0024330900243309003,0.014598540145985401,0.0,0.04866180048661801,0.0,0.0,0.0,0.0,0.0,0.0,0.004866180048661801,0.0,1.0,0.09002433090024331,0.0851581508515815,0.0,0.014598540145985401,0.0024330900243309003,0.009732360097323601,0.0,0.0,0.0,0.0,0.0,0.012165450121654502,0.0,0.0,0.0,0.0,0.0024330900243309003,0.0,0.0,0.0
MUSCLE CONTRACTION,0.0,0.04433497536945813,0.04433497536945813,0.0,0.024630541871921183,0.0,0.0,0.024630541871921183,0.009852216748768473,0.019704433497536946,0.029556650246305417,0.0,0.0,0.0,0.0,0.0,0.0,0.009852216748768473,0.0,0.18226600985221675,1.0,0.6403940886699507,0.0,0.019704433497536946,0.0049261083743842365,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARDIAC CONDUCTION,0.0,0.06923076923076923,0.06923076923076923,0.0,0.03076923076923077,0.0,0.0,0.038461538461538464,0.0,0.03076923076923077,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,1.0,1.0,0.0,0.03076923076923077,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTERFERON GAMMA SIGNALING,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.04081632653061224,0.02040816326530612,0.0,0.0,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.08163265306122448,0.02040816326530612,0.061224489795918366,0.04081632653061224,0.04081632653061224,0.11224489795918367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0
ASPIRIN ADME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0,1.0,1.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
DRUG ADME,0.0,0.009174311926605505,0.009174311926605505,0.0,0.03669724770642202,0.03669724770642202,0.0,0.027522935779816515,0.03669724770642202,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.009174311926605505,0.0,0.0,0.0,0.03669724770642202,0.009174311926605505,0.009174311926605505,0.0,0.0,0.4036697247706422,1.0,0.1926605504587156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05504587155963303
GLUCURONIDATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407407407407407,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONDENSATION OF PROPHASE CHROMOSOMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8082191780821918,0.8082191780821918,0.821917808219178,0.8082191780821918,0.8082191780821918,0.8082191780821918,0.8082191780821918,0.8082191780821918,0.8082191780821918,0.6027397260273972,0.0,0.0
"ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF
REPLICATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8676470588235294,1.0,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.6470588235294118,0.0,0.0
"CHROMATIN MODIFICATIONS DURING THE MATERNAL
TO ZYGOTIC TRANSITION MZT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428571428571429,0.8428571428571429,1.0,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.8571428571428571,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.6285714285714286,0.0,0.0
MEIOTIC RECOMBINATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.6704545454545454,0.6704545454545454,1.0,0.6931818181818182,0.6704545454545454,0.6704545454545454,0.6704545454545454,0.6704545454545454,0.6931818181818182,0.5,0.0,0.0
"SENESCENCE ASSOCIATED SECRETORY PHENOTYPE
SASP",0.0,0.0,0.05405405405405406,0.0,0.018018018018018018,0.018018018018018018,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036036036036036036,0.05405405405405406,0.0,0.04504504504504504,0.0,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.5315315315315315,0.5315315315315315,0.5315315315315315,0.5495495495495496,1.0,0.5765765765765766,0.5315315315315315,0.5315315315315315,0.5315315315315315,0.5765765765765766,0.3963963963963964,0.009009009009009009,0.0
REGULATION OF PD L1 CD274 TRANSCRIPTION,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.04950495049504951,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.0,0.019801980198019802,0.0,0.0,0.0,0.5841584158415841,0.5841584158415841,0.5841584158415841,0.5841584158415841,0.6336633663366337,1.0,0.5841584158415841,0.6336633663366337,0.6336633663366337,0.6336633663366337,0.45544554455445546,0.0,0.0
DNA METHYLATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921875,0.921875,0.9375,0.921875,0.921875,0.921875,1.0,0.96875,0.96875,0.921875,0.6875,0.0,0.0
DEFECTIVE PYROPTOSIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8888888888888888,0.8611111111111112,1.0,0.9305555555555556,0.8194444444444444,0.6388888888888888,0.0,0.0
PRC2 METHYLATES HISTONES AND DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.8533333333333334,0.8266666666666667,0.8933333333333333,1.0,0.7866666666666666,0.6133333333333333,0.0,0.0
TRANSCRIPTIONAL REGULATION OF GRANULOPOIESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.6853932584269663,0.7191011235955056,0.7191011235955056,0.6629213483146067,0.6629213483146067,0.6629213483146067,1.0,0.4943820224719101,0.0,0.011235955056179775
"DEPOSITION OF NEW CENPA CONTAINING
NUCLEOSOMES AT THE CENTROMERE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.6388888888888888,0.6388888888888888,0.6111111111111112,1.0,0.0,0.0
CHEMOKINE RECEPTORS BIND CHEMOKINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017543859649122,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BILE ACID AND BILE SALT METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,1.0
