Pathway,NFXL1 TARGET GENES,PIAS4 TARGET GENES,RBM15 TARGET GENES,NR1I2 TARGET GENES,RUVBL1 TARGET GENES,RUVBL2 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ZNF101 TARGET GENES,KLF14 TARGET GENES,CHAMP1 TARGET GENES,ZNF16 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",FOXC1 TARGET GENES,EMX1 TARGET GENES,HOXA7 TARGET GENES,HSF2 TARGET GENES,CTR9 TARGET GENES,DMRT1 TARGET GENES,YBX3 TARGET GENES,ZZZ3 TARGET GENES,CDX1 TARGET GENES,MYBL1 TARGET GENES,IRX2 TARGET GENES,ZNF581 TARGET GENES,HOXD11 TARGET GENES,HOXA13 TARGET GENES,TAFAZZIN TARGET GENES,ATOH8 TARGET GENES,PGM3 TARGET GENES,ZMYND11 TARGET GENES,ZNF419 TARGET GENES,ZNF34 TARGET GENES,ATF5 TARGET GENES,MSX1 TARGET GENES,DLX2 TARGET GENES,NFE2L3 TARGET GENES,ZNF524 TARGET GENES,FOXF1 TARGET GENES,PHF21A TARGET GENES
CHAMP1 TARGET GENES,0.02727272727272727,0.004545454545454545,0.00909090909090909,0.01818181818181818,0.022727272727272728,0.004545454545454545,0.09090909090909091,0.06818181818181818,0.08636363636363636,0.05454545454545454,1.0,0.0,0.00909090909090909,0.00909090909090909,0.031818181818181815,0.00909090909090909,0.01818181818181818,0.004545454545454545,0.022727272727272728,0.004545454545454545,0.02727272727272727,0.004545454545454545,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.013636363636363636,0.0,0.031818181818181815,0.022727272727272728,0.013636363636363636,0.0,0.0,0.04090909090909091,0.031818181818181815,0.0,0.03636363636363636,0.0,0.05454545454545454,0.0,0.04090909090909091
ZNF16 TARGET GENES,0.05128205128205128,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.01282051282051282,0.01282051282051282,0.07692307692307693,0.0,1.0,0.05128205128205128,0.02564102564102564,0.0,0.01282051282051282,0.0,0.02564102564102564,0.038461538461538464,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.07692307692307693,0.01282051282051282,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0,0.0,0.02564102564102564
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.021479713603818614,0.0,0.016706443914081145,0.021479713603818614,0.00477326968973747,0.007159904534606206,0.011933174224343675,0.007159904534606206,0.028639618138424822,0.011933174224343675,0.00477326968973747,0.00954653937947494,1.0,0.00954653937947494,0.00954653937947494,0.0,0.016706443914081145,0.0,0.01909307875894988,0.002386634844868735,0.021479713603818614,0.0,0.026252983293556086,0.01909307875894988,0.016706443914081145,0.002386634844868735,0.011933174224343675,0.057279236276849645,0.00477326968973747,0.014319809069212411,0.00477326968973747,0.002386634844868735,0.021479713603818614,0.04295942720763723,0.011933174224343675,0.026252983293556086,0.002386634844868735,0.014319809069212411,0.0,0.021479713603818614
FOXC1 TARGET GENES,0.04597701149425287,0.0,0.034482758620689655,0.034482758620689655,0.022988505747126436,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.022988505747126436,0.022988505747126436,0.04597701149425287,1.0,0.022988505747126436,0.0,0.0,0.0,0.05747126436781609,0.0,0.022988505747126436,0.034482758620689655,0.04597701149425287,0.022988505747126436,0.022988505747126436,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.011494252873563218,0.04597701149425287,0.011494252873563218,0.022988505747126436,0.0,0.022988505747126436,0.0,0.011494252873563218
EMX1 TARGET GENES,0.01293103448275862,0.01293103448275862,0.017241379310344827,0.02586206896551724,0.017241379310344827,0.004310344827586207,0.03017241379310345,0.05603448275862069,0.03017241379310345,0.0,0.03017241379310345,0.0,0.017241379310344827,0.008620689655172414,1.0,0.034482758620689655,0.01293103448275862,0.004310344827586207,0.13793103448275862,0.01293103448275862,0.017241379310344827,0.01293103448275862,0.03879310344827586,0.04310344827586207,0.03017241379310345,0.01293103448275862,0.0,0.04310344827586207,0.0,0.01293103448275862,0.017241379310344827,0.0,0.01293103448275862,0.15948275862068967,0.05172413793103448,0.11637931034482758,0.004310344827586207,0.02586206896551724,0.0,0.008620689655172414
HOXA7 TARGET GENES,0.042735042735042736,0.0,0.008547008547008548,0.03418803418803419,0.03418803418803419,0.0,0.13675213675213677,0.07692307692307693,0.05128205128205128,0.05982905982905983,0.017094017094017096,0.008547008547008548,0.0,0.0,0.06837606837606838,1.0,0.05128205128205128,0.008547008547008548,0.17094017094017094,0.0,0.02564102564102564,0.0,0.11965811965811966,0.03418803418803419,0.06837606837606838,0.02564102564102564,0.0,0.02564102564102564,0.0,0.03418803418803419,0.0,0.0,0.042735042735042736,0.1111111111111111,0.02564102564102564,0.08547008547008547,0.0,0.02564102564102564,0.0,0.008547008547008548
HSF2 TARGET GENES,0.03614457831325301,0.012048192771084338,0.020080321285140562,0.0321285140562249,0.020080321285140562,0.004016064257028112,0.04819277108433735,0.040160642570281124,0.03614457831325301,0.0321285140562249,0.01606425702811245,0.0,0.028112449799196786,0.0,0.012048192771084338,0.024096385542168676,1.0,0.01606425702811245,0.04417670682730924,0.004016064257028112,0.0321285140562249,0.012048192771084338,0.04417670682730924,0.0321285140562249,0.10441767068273092,0.020080321285140562,0.008032128514056224,0.028112449799196786,0.008032128514056224,0.028112449799196786,0.0,0.0,0.024096385542168676,0.14859437751004015,0.028112449799196786,0.0642570281124498,0.0,0.024096385542168676,0.0,0.024096385542168676
CTR9 TARGET GENES,0.02857142857142857,0.0,0.02857142857142857,0.04285714285714286,0.05714285714285714,0.0,0.014285714285714285,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.014285714285714285,0.02857142857142857,0.0,0.0,0.014285714285714285,0.014285714285714285,0.05714285714285714,1.0,0.04285714285714286,0.0,0.05714285714285714,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.0,0.0,0.014285714285714285,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.07142857142857142,0.04285714285714286,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857
DMRT1 TARGET GENES,0.03365384615384615,0.004807692307692308,0.002403846153846154,0.06009615384615385,0.06009615384615385,0.009615384615384616,0.06971153846153846,0.08653846153846154,0.04567307692307692,0.021634615384615384,0.01201923076923077,0.007211538461538462,0.019230769230769232,0.01201923076923077,0.07692307692307693,0.04807692307692308,0.026442307692307692,0.007211538461538462,1.0,0.026442307692307692,0.04567307692307692,0.014423076923076924,0.04567307692307692,0.04326923076923077,0.06490384615384616,0.026442307692307692,0.02403846153846154,0.04807692307692308,0.0,0.021634615384615384,0.0,0.0,0.016826923076923076,0.1201923076923077,0.04567307692307692,0.12740384615384615,0.004807692307692308,0.040865384615384616,0.0,0.021634615384615384
YBX3 TARGET GENES,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.22413793103448276,0.13793103448275862,0.13793103448275862,0.034482758620689655,0.017241379310344827,0.0,0.017241379310344827,0.0,0.05172413793103448,0.0,0.017241379310344827,0.0,0.1896551724137931,1.0,0.05172413793103448,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.0,0.05172413793103448,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.05172413793103448,0.0,0.034482758620689655,0.0,0.08620689655172414,0.0,0.0
ZZZ3 TARGET GENES,0.03761755485893417,0.0,0.03134796238244514,0.04075235109717868,0.03761755485893417,0.009404388714733543,0.07836990595611286,0.08463949843260188,0.06583072100313479,0.025078369905956112,0.018808777429467086,0.0,0.02821316614420063,0.006269592476489028,0.012539184952978056,0.009404388714733543,0.025078369905956112,0.012539184952978056,0.05956112852664577,0.009404388714733543,1.0,0.02821316614420063,0.034482758620689655,0.02821316614420063,0.07210031347962383,0.012539184952978056,0.003134796238244514,0.025078369905956112,0.0,0.05329153605015674,0.006269592476489028,0.003134796238244514,0.05329153605015674,0.05329153605015674,0.047021943573667714,0.02821316614420063,0.003134796238244514,0.047021943573667714,0.0,0.03761755485893417
CDX1 TARGET GENES,0.0,0.0,0.09523809523809523,0.07142857142857142,0.047619047619047616,0.0,0.19047619047619047,0.09523809523809523,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.14285714285714285,0.047619047619047616,0.21428571428571427,1.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.0,0.0,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.0,0.09523809523809523,0.0,0.023809523809523808
MYBL1 TARGET GENES,0.024896265560165973,0.006224066390041493,0.016597510373443983,0.04149377593360996,0.03941908713692946,0.012448132780082987,0.04979253112033195,0.026970954356846474,0.035269709543568464,0.026970954356846474,0.02074688796680498,0.0,0.022821576763485476,0.008298755186721992,0.01867219917012448,0.029045643153526972,0.022821576763485476,0.002074688796680498,0.03941908713692946,0.004149377593360996,0.022821576763485476,0.012448132780082987,1.0,0.06016597510373444,0.07468879668049792,0.026970954356846474,0.01037344398340249,0.03112033195020747,0.002074688796680498,0.026970954356846474,0.002074688796680498,0.0,0.024896265560165973,0.043568464730290454,0.008298755186721992,0.01867219917012448,0.002074688796680498,0.026970954356846474,0.0,0.02074688796680498
IRX2 TARGET GENES,0.008403361344537815,0.004201680672268907,0.01680672268907563,0.06722689075630252,0.03361344537815126,0.0,0.046218487394957986,0.046218487394957986,0.058823529411764705,0.029411764705882353,0.008403361344537815,0.004201680672268907,0.03361344537815126,0.008403361344537815,0.04201680672268908,0.01680672268907563,0.03361344537815126,0.004201680672268907,0.07563025210084033,0.004201680672268907,0.037815126050420166,0.025210084033613446,0.12184873949579832,1.0,0.07563025210084033,0.03361344537815126,0.008403361344537815,0.029411764705882353,0.0,0.02100840336134454,0.0,0.0,0.012605042016806723,0.05042016806722689,0.03361344537815126,0.029411764705882353,0.0,0.025210084033613446,0.0,0.012605042016806723
ZNF581 TARGET GENES,0.015060240963855422,0.0030120481927710845,0.006024096385542169,0.09036144578313253,0.009036144578313253,0.0,0.0391566265060241,0.02710843373493976,0.0572289156626506,0.030120481927710843,0.012048192771084338,0.0030120481927710845,0.02108433734939759,0.006024096385542169,0.02108433734939759,0.024096385542168676,0.0783132530120482,0.009036144578313253,0.08132530120481928,0.0030120481927710845,0.06927710843373494,0.0,0.10843373493975904,0.05421686746987952,1.0,0.05120481927710843,0.024096385542168676,0.015060240963855422,0.0,0.03614457831325301,0.0,0.0,0.018072289156626505,0.07228915662650602,0.012048192771084338,0.02108433734939759,0.0,0.04819277108433735,0.0030120481927710845,0.009036144578313253
HOXD11 TARGET GENES,0.013333333333333334,0.0,0.0,0.04666666666666667,0.04,0.0,0.1,0.04666666666666667,0.03333333333333333,0.03333333333333333,0.02,0.0,0.006666666666666667,0.0,0.02,0.02,0.03333333333333333,0.0,0.07333333333333333,0.0,0.02666666666666667,0.0,0.08666666666666667,0.05333333333333334,0.11333333333333333,1.0,0.06,0.006666666666666667,0.0,0.02666666666666667,0.0,0.0,0.0,0.04666666666666667,0.02666666666666667,0.02,0.0,0.05333333333333334,0.0,0.02666666666666667
HOXA13 TARGET GENES,0.0,0.0,0.0,0.05357142857142857,0.05357142857142857,0.0,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.0,0.0,0.0,0.08928571428571429,0.0,0.0,0.0,0.03571428571428571,0.0,0.17857142857142858,0.05357142857142857,0.017857142857142856,0.0,0.08928571428571429,0.03571428571428571,0.14285714285714285,0.16071428571428573,1.0,0.08928571428571429,0.0,0.05357142857142857,0.0,0.0,0.0,0.08928571428571429,0.03571428571428571,0.08928571428571429,0.017857142857142856,0.03571428571428571,0.0,0.0
TAFAZZIN TARGET GENES,0.0471311475409836,0.0020491803278688526,0.00819672131147541,0.02459016393442623,0.00819672131147541,0.0020491803278688526,0.028688524590163935,0.00819672131147541,0.040983606557377046,0.030737704918032786,0.014344262295081968,0.012295081967213115,0.04918032786885246,0.006147540983606557,0.020491803278688523,0.006147540983606557,0.014344262295081968,0.0020491803278688526,0.040983606557377046,0.004098360655737705,0.01639344262295082,0.004098360655737705,0.030737704918032786,0.014344262295081968,0.010245901639344262,0.0020491803278688526,0.010245901639344262,1.0,0.010245901639344262,0.028688524590163935,0.0020491803278688526,0.0,0.014344262295081968,0.02663934426229508,0.030737704918032786,0.02663934426229508,0.0,0.02459016393442623,0.0,0.028688524590163935
ATOH8 TARGET GENES,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.09615384615384616,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.09615384615384616,1.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232
PGM3 TARGET GENES,0.05223880597014925,0.0037313432835820895,0.022388059701492536,0.03731343283582089,0.0037313432835820895,0.0,0.029850746268656716,0.0037313432835820895,0.041044776119402986,0.048507462686567165,0.011194029850746268,0.0,0.022388059701492536,0.0,0.011194029850746268,0.014925373134328358,0.026119402985074626,0.007462686567164179,0.033582089552238806,0.014925373134328358,0.06343283582089553,0.0037313432835820895,0.048507462686567165,0.018656716417910446,0.04477611940298507,0.014925373134328358,0.011194029850746268,0.05223880597014925,0.0037313432835820895,1.0,0.029850746268656716,0.0,0.026119402985074626,0.018656716417910446,0.0,0.0037313432835820895,0.0,0.06343283582089553,0.0037313432835820895,0.041044776119402986
ZMYND11 TARGET GENES,0.0,0.0,0.08928571428571429,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.14285714285714285,1.0,0.05357142857142857,0.07142857142857142,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0
ZNF419 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF34 TARGET GENES,0.023255813953488372,0.005813953488372093,0.00872093023255814,0.03197674418604651,0.011627906976744186,0.00872093023255814,0.10174418604651163,0.05813953488372093,0.41569767441860467,0.05813953488372093,0.02616279069767442,0.0029069767441860465,0.02616279069767442,0.0029069767441860465,0.00872093023255814,0.014534883720930232,0.01744186046511628,0.005813953488372093,0.020348837209302327,0.005813953488372093,0.04941860465116279,0.0,0.03488372093023256,0.00872093023255814,0.01744186046511628,0.0,0.0,0.020348837209302327,0.0,0.020348837209302327,0.011627906976744186,0.011627906976744186,1.0,0.0436046511627907,0.00872093023255814,0.03488372093023256,0.0,0.06976744186046512,0.0,0.01744186046511628
ATF5 TARGET GENES,0.02795698924731183,0.0064516129032258064,0.017204301075268817,0.047311827956989246,0.03870967741935484,0.0064516129032258064,0.05591397849462366,0.06236559139784946,0.05591397849462366,0.015053763440860216,0.015053763440860216,0.002150537634408602,0.03870967741935484,0.008602150537634409,0.07956989247311828,0.02795698924731183,0.07956989247311828,0.010752688172043012,0.10752688172043011,0.0064516129032258064,0.03655913978494624,0.008602150537634409,0.04516129032258064,0.025806451612903226,0.05161290322580645,0.015053763440860216,0.010752688172043012,0.02795698924731183,0.002150537634408602,0.010752688172043012,0.0,0.0,0.03225806451612903,1.0,0.08602150537634409,0.1053763440860215,0.002150537634408602,0.030107526881720432,0.0,0.021505376344086023
MSX1 TARGET GENES,0.01485148514851485,0.0,0.0049504950495049506,0.039603960396039604,0.0297029702970297,0.0,0.0297029702970297,0.04455445544554455,0.054455445544554455,0.024752475247524754,0.0,0.0,0.024752475247524754,0.0049504950495049506,0.0594059405940594,0.01485148514851485,0.034653465346534656,0.01485148514851485,0.09405940594059406,0.0,0.07425742574257425,0.01485148514851485,0.019801980198019802,0.039603960396039604,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.07425742574257425,0.0049504950495049506,0.0,0.0,0.0,0.01485148514851485,0.19801980198019803,1.0,0.19801980198019803,0.0049504950495049506,0.024752475247524754,0.0049504950495049506,0.0049504950495049506
DLX2 TARGET GENES,0.030821917808219176,0.0136986301369863,0.010273972602739725,0.0410958904109589,0.00684931506849315,0.003424657534246575,0.0273972602739726,0.05821917808219178,0.02054794520547945,0.010273972602739725,0.0273972602739726,0.003424657534246575,0.03767123287671233,0.00684931506849315,0.09246575342465753,0.03424657534246575,0.0547945205479452,0.0,0.1815068493150685,0.00684931506849315,0.030821917808219176,0.003424657534246575,0.030821917808219176,0.023972602739726026,0.023972602739726026,0.010273972602739725,0.017123287671232876,0.04452054794520548,0.003424657534246575,0.003424657534246575,0.003424657534246575,0.0,0.0410958904109589,0.1678082191780822,0.136986301369863,1.0,0.00684931506849315,0.0136986301369863,0.0,0.010273972602739725
NFE2L3 TARGET GENES,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,1.0,0.0,0.0,0.0
ZNF524 TARGET GENES,0.05070422535211268,0.008450704225352112,0.01971830985915493,0.04225352112676056,0.04507042253521127,0.011267605633802818,0.14084507042253522,0.0676056338028169,0.17183098591549295,0.15211267605633802,0.03380281690140845,0.0,0.016901408450704224,0.005633802816901409,0.016901408450704224,0.008450704225352112,0.016901408450704224,0.005633802816901409,0.04788732394366197,0.014084507042253521,0.04225352112676056,0.011267605633802818,0.036619718309859155,0.016901408450704224,0.04507042253521127,0.022535211267605635,0.005633802816901409,0.03380281690140845,0.0,0.04788732394366197,0.0,0.0,0.0676056338028169,0.03943661971830986,0.014084507042253521,0.011267605633802818,0.0,1.0,0.005633802816901409,0.03943661971830986
FOXF1 TARGET GENES,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,1.0,0.1111111111111111
PHF21A TARGET GENES,0.061855670103092786,0.0,0.024054982817869417,0.027491408934707903,0.020618556701030927,0.0,0.048109965635738834,0.010309278350515464,0.030927835051546393,0.041237113402061855,0.030927835051546393,0.006872852233676976,0.030927835051546393,0.003436426116838488,0.006872852233676976,0.003436426116838488,0.020618556701030927,0.006872852233676976,0.030927835051546393,0.0,0.041237113402061855,0.003436426116838488,0.03436426116838488,0.010309278350515464,0.010309278350515464,0.013745704467353952,0.0,0.048109965635738834,0.003436426116838488,0.037800687285223365,0.0,0.0,0.020618556701030927,0.03436426116838488,0.003436426116838488,0.010309278350515464,0.0,0.048109965635738834,0.003436426116838488,1.0
