"Analysis_Name","Scope_Group_Column","Scope_Group_Value","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"Liver_metastasis","tissue_class","Liver_metastasis","CP_REACTOME","computed","18889","345","264","51","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_REACTOME/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","CP_REACTOME","computed","18912","458","388","29","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_REACTOME/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","CP_REACTOME","computed","18789","404","216","154","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_REACTOME/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","CP_WIKIPATHWAYS","computed","18889","247","204","39","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","CP_WIKIPATHWAYS","computed","18912","236","211","15","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","CP_WIKIPATHWAYS","computed","18789","252","188","56","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","TFT_TFT_LEGACY","computed","18889","256","256","0","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","TFT_TFT_LEGACY","computed","18912","244","244","0","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","TFT_TFT_LEGACY","computed","18789","204","2","195","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","TFT_GTRD","computed","18889","70","63","4","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/TFT_GTRD/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","TFT_GTRD","computed","18912","142","135","4","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/TFT_GTRD/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","TFT_GTRD","computed","18789","54","6","38","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/TFT_GTRD/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","GO_BP","computed","18889","1388","1274","79","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/GO_BP/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","GO_BP","computed","18912","1229","1113","73","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/GO_BP/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","GO_BP","computed","18789","1549","626","763","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/GO_BP/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","GO_CC","computed","18889","159","144","10","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/GO_CC/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","GO_CC","computed","18912","200","174","15","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/GO_CC/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","GO_CC","computed","18789","206","54","141","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/GO_CC/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","GO_MF","computed","18889","233","175","39","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/GO_MF/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","GO_MF","computed","18912","297","215","48","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/GO_MF/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","GO_MF","computed","18789","268","103","158","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/GO_MF/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","HPO","computed","18889","611","536","52","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/HPO/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","HPO","computed","18912","1132","1052","57","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/HPO/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","HPO","computed","18789","1396","246","1113","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/HPO/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","C6","computed","18889","78","78","0","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/C6/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","C6","computed","18912","33","33","0","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/C6/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","C6","computed","18789","61","7","27","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/C6/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","IMMUNESIGDB","computed","18889","1761","1761","0","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","IMMUNESIGDB","computed","18912","2381","2378","0","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/IMMUNESIGDB/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","IMMUNESIGDB","computed","18789","1620","95","295","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/IMMUNESIGDB/gsea_result.csv"
