"TF","DLD1","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TFAP4","4.54345748374447833","4.54345748374447833","4.54345748374447833","Activated","12","viper","12","4.54345748374447833",NA,NA,"4","Enrichr--Queries(rank=58); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=1176); GTEx--Coexpression(rank=1510)","160","0.04131000000000000","Enrichr Queries,0.04131"
"ARID3A","4.43661851234271953","4.43661851234271953","4.43661851234271953","Activated","13","viper","13","4.43661851234271953",NA,NA,"5","ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=354); Enrichr--Queries(rank=478); ARCHS4--Coexpression(rank=1502)","779","0.22030000000000000","GTEx Coexpression,0.2203"
"FOXM1","-4.39917797743087746","-4.39917797743087746","4.39917797743087746","Repressed","14","viper","14","4.39917797743087746",NA,NA,"6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=8)","7","0.00186700000000000","GTEx Coexpression,0.001867"
"MAFF","4.35178523838714604","4.35178523838714604","4.35178523838714604","Activated","15","viper","15","4.35178523838714604",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=121); GTEx--Coexpression(rank=310); ARCHS4--Coexpression(rank=1359)","359","0.08618000000000001","Enrichr Queries,0.08618"
"MYCN","-4.25169913215898543","-4.25169913215898543","4.25169913215898543","Repressed","16","viper","16","4.25169913215898543",NA,NA,"5","Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=71); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=519)","84","0.02273000000000000","ARCHS4 Coexpression,0.02273"
"MNT","-4.20857479631717091","-4.20857479631717091","4.20857479631717091","Repressed","17","viper","17","4.20857479631717091",NA,NA,"4","ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=780); Enrichr--Queries(rank=1092); ARCHS4--Coexpression(rank=1448)","1085","0.36359999999999998","ReMap ChIP-seq,0.3636"
"SREBF2","-4.16008661505515587","-4.16008661505515587","4.16008661505515587","Repressed","18","viper","18","4.16008661505515587",NA,NA,"6","Literature--ChIP-seq(rank=102); ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=126); GTEx--Coexpression(rank=333); Enrichr--Queries(rank=864); ARCHS4--Coexpression(rank=1244)","752","0.20720000000000000","GTEx Coexpression,0.2072"
"PBX3","4.03127299976483311","4.03127299976483311","4.03127299976483311","Activated","19","viper","19","4.03127299976483311",NA,NA,"5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=390); GTEx--Coexpression(rank=393); ARCHS4--Coexpression(rank=557)","849","0.24460000000000001","GTEx Coexpression,0.2446"
"LEF1","-3.88113704122071601","-3.88113704122071601","3.88113704122071601","Repressed","20","viper","20","3.88113704122071601",NA,NA,"4","ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=244); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=499)","571","0.14990000000000001","ARCHS4 Coexpression,0.1499"
"MAFK","3.85921519668183555","3.85921519668183555","3.85921519668183555","Activated","21","viper","21","3.85921519668183555",NA,NA,"5","ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=215); GTEx--Coexpression(rank=217); Enrichr--Queries(rank=314); ARCHS4--Coexpression(rank=1480)","519","0.13500000000000001","GTEx Coexpression,0.135"
"KLF1","3.74621959076838973","3.74621959076838973","3.74621959076838973","Activated","22","viper","22","3.74621959076838973",NA,NA,"5","Enrichr--Queries(rank=113); Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=258); GTEx--Coexpression(rank=1119)","336","0.08048000000000000","Enrichr Queries,0.08048"
"NEUROD1","3.74492329462422635","3.74492329462422635","3.74492329462422635","Activated","23","viper","23","3.74492329462422635",NA,NA,"4","ReMap--ChIP-seq(rank=52); GTEx--Coexpression(rank=230); ARCHS4--Coexpression(rank=583); Enrichr--Queries(rank=852)","547","0.14310000000000000","GTEx Coexpression,0.1431"
"E2F3","-3.63900859024534284","-3.63900859024534284","3.63900859024534284","Repressed","24","viper","24","3.63900859024534284",NA,NA,"3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1432)","61","0.01658000000000000","ARCHS4 Coexpression,0.01658"
"TEAD1","3.61061148602807114","3.61061148602807114","3.61061148602807114","Activated","25","viper","25","3.61061148602807114",NA,NA,"4","ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=600); Enrichr--Queries(rank=773); GTEx--Coexpression(rank=984)","1028","0.33329999999999999","ReMap ChIP-seq,0.3333"
"MAX","3.60782175951705986","3.60782175951705986","3.60782175951705986","Activated","26","viper","26","3.60782175951705986",NA,NA,"5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=657); GTEx--Coexpression(rank=815); Enrichr--Queries(rank=1088)","911","0.27120000000000000","ENCODE ChIP-seq,0.2712"
"SREBF1","-3.60328539555450877","-3.60328539555450877","3.60328539555450877","Repressed","27","viper","27","3.60328539555450877",NA,NA,"6","ENCODE--ChIP-seq(rank=110); Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=205); Enrichr--Queries(rank=742); ARCHS4--Coexpression(rank=1352)","490","0.12759999999999999","GTEx Coexpression,0.1276"
"ATF4","3.56764078385780081","3.56764078385780081","3.56764078385780081","Activated","28","viper","28","3.56764078385780081",NA,NA,"4","ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=868); Enrichr--Queries(rank=1115); ARCHS4--Coexpression(rank=1209)","1172","0.42090000000000000","ReMap ChIP-seq,0.4209"
"HNF4G","3.39335201558553345","3.39335201558553345","3.39335201558553345","Activated","29","viper","29","3.39335201558553345",NA,NA,"5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=85); ARCHS4--Coexpression(rank=173); GTEx--Coexpression(rank=215); Enrichr--Queries(rank=305)","235","0.05724000000000000","ReMap ChIP-seq,0.05724"
"MAFG","3.36451796125361868","3.36451796125361868","3.36451796125361868","Activated","30","viper","30","3.36451796125361868",NA,NA,"4","ReMap--ChIP-seq(rank=253); GTEx--Coexpression(rank=523); Enrichr--Queries(rank=614); ARCHS4--Coexpression(rank=1522)","1013","0.32550000000000001","GTEx Coexpression,0.3255"
"GATA6","3.33945051466475640","3.33945051466475640","3.33945051466475640","Activated","31","viper","31","3.33945051466475640",NA,NA,"5","Literature--ChIP-seq(rank=111); Enrichr--Queries(rank=132); ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=464)","386","0.09402000000000001","Enrichr Queries,0.09402"
"ESRRA","3.33226816190762243","3.33226816190762243","3.33226816190762243","Activated","32","viper","32","3.33226816190762243",NA,NA,"5","ReMap--ChIP-seq(rank=85); ENCODE--ChIP-seq(rank=108); Enrichr--Queries(rank=1252); GTEx--Coexpression(rank=1362); ARCHS4--Coexpression(rank=1543)","943","0.28620000000000001","ReMap ChIP-seq,0.2862"
"RUNX2","3.32246361203085439","3.32246361203085439","3.32246361203085439","Activated","33","viper","33","3.32246361203085439",NA,NA,"5","ReMap--ChIP-seq(rank=24); Literature--ChIP-seq(rank=63); Enrichr--Queries(rank=201); GTEx--Coexpression(rank=401); ARCHS4--Coexpression(rank=523)","337","0.08081000000000001","ReMap ChIP-seq,0.08081"
"TP53","3.31793345486618119","3.31793345486618119","3.31793345486618119","Activated","34","viper","34","3.31793345486618119",NA,NA,"5","ARCHS4--Coexpression(rank=14); Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=493)","28","0.00860000000000000","ARCHS4 Coexpression,0.0086"
"MBD2","3.31411030256418560","3.31411030256418560","3.31411030256418560","Activated","35","viper","35","3.31411030256418560",NA,NA,"4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=986); Enrichr--Queries(rank=1199); ARCHS4--Coexpression(rank=1298)","1420","0.61360000000000003","GTEx Coexpression,0.6136"
"HSF1","3.30462598783132844","3.30462598783132844","3.30462598783132844","Activated","36","viper","36","3.30462598783132844",NA,NA,"5","Literature--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=1556)","753","0.20730000000000001","Literature ChIP-seq,0.2073"
"NR2C2","-3.25267056622026773","-3.25267056622026773","3.25267056622026773","Repressed","37","viper","37","3.25267056622026773",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=1365); GTEx--Coexpression(rank=1519); ARCHS4--Coexpression(rank=1617)","1614","0.86870000000000003","ReMap ChIP-seq,0.8687"
"CLOCK","3.10139164604865325","3.10139164604865325","3.10139164604865325","Activated","38","viper","38","3.10139164604865325",NA,NA,"5","Literature--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=1060); ARCHS4--Coexpression(rank=1166); Enrichr--Queries(rank=1373)","1022","0.32929999999999998","Literature ChIP-seq,0.3293"
"SMAD5","-3.07797157809046595","-3.07797157809046595","3.07797157809046595","Repressed","39","viper","39","3.07797157809046595",NA,NA,"4","ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=1239); Enrichr--Queries(rank=1358)","731","0.20150000000000001","ARCHS4 Coexpression,0.2015"
"SMAD4","3.03854905165048939","3.03854905165048939","3.03854905165048939","Activated","40","viper","40","3.03854905165048939",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1422); GTEx--Coexpression(rank=1449)","536","0.14019999999999999","Literature ChIP-seq,0.1402"
"SP3","3.01007029414686356","3.01007029414686356","3.01007029414686356","Activated","41","viper","41","3.01007029414686356",NA,NA,"3","Enrichr--Queries(rank=1046); GTEx--Coexpression(rank=1076); ARCHS4--Coexpression(rank=1479)","1472","0.66959999999999997","GTEx Coexpression,0.6696"
"MEF2A","2.98481323934824694","2.98481323934824694","2.98481323934824694","Activated","42","viper","42","2.98481323934824694",NA,NA,"6","ENCODE--ChIP-seq(rank=67); Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=757); Enrichr--Queries(rank=1006); GTEx--Coexpression(rank=1341)","1244","0.46500000000000002","ARCHS4 Coexpression,0.465"
"ZKSCAN1","2.95868563170928756","2.95868563170928756","2.95868563170928756","Activated","43","viper","43","2.95868563170928756",NA,NA,"5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=784); GTEx--Coexpression(rank=1020); Enrichr--Queries(rank=1294)","1142","0.39829999999999999","ENCODE ChIP-seq,0.3983"
"TEAD2","2.94946103515499258","2.94946103515499258","2.94946103515499258","Activated","44","viper","44","2.94946103515499258",NA,NA,"4","Enrichr--Queries(rank=69); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=436); GTEx--Coexpression(rank=561)","196","0.04915000000000000","Enrichr Queries,0.04915"
"GRHL2","2.92667389893475471","2.92667389893475471","2.92667389893475471","Activated","45","viper","45","2.92667389893475471",NA,NA,"5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=85); GTEx--Coexpression(rank=282); ARCHS4--Coexpression(rank=882); Enrichr--Queries(rank=1085)","203","0.05051000000000000","ReMap ChIP-seq,0.05051"
"NR2F1","2.91861926951821316","2.91861926951821316","2.91861926951821316","Activated","46","viper","46","2.91861926951821316",NA,NA,"4","ReMap--ChIP-seq(rank=23); ARCHS4--Coexpression(rank=237); Enrichr--Queries(rank=295); GTEx--Coexpression(rank=1070)","321","0.07743999999999999","ReMap ChIP-seq,0.07744"
"NR1H2","2.85732797134821226","2.85732797134821226","2.85732797134821226","Activated","47","viper","47","2.85732797134821226",NA,NA,"4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=662); Enrichr--Queries(rank=1059); GTEx--Coexpression(rank=1096)","294","0.07071000000000000","ReMap ChIP-seq,0.07071"
"MAF","2.83079481589929838","2.83079481589929838","2.83079481589929838","Activated","48","viper","48","2.83079481589929838",NA,NA,"4","ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=232); ARCHS4--Coexpression(rank=324); Enrichr--Queries(rank=338)","552","0.14440000000000000","GTEx Coexpression,0.1444"
"GFI1B","2.79124073347439206","2.79124073347439206","2.79124073347439206","Activated","49","viper","49","2.79124073347439206",NA,NA,"5","ReMap--ChIP-seq(rank=31); Literature--ChIP-seq(rank=127); Enrichr--Queries(rank=141); GTEx--Coexpression(rank=419); ARCHS4--Coexpression(rank=827)","404","0.10040000000000000","Enrichr Queries,0.1004"
"MAFB","2.77338914968814532","2.77338914968814532","2.77338914968814532","Activated","50","viper","50","2.77338914968814532",NA,NA,"4","Enrichr--Queries(rank=235); ReMap--ChIP-seq(rank=275); GTEx--Coexpression(rank=646); ARCHS4--Coexpression(rank=720)","625","0.16739999999999999","Enrichr Queries,0.1674"
"IRF3","2.76173009759628618","2.76173009759628618","2.76173009759628618","Activated","51","viper","51","2.76173009759628618",NA,NA,"5","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=765); Enrichr--Queries(rank=1198); GTEx--Coexpression(rank=1316)","458","0.11860000000000000","ENCODE ChIP-seq,0.1186"
"FOXO1","2.75597699666636942","2.75597699666636942","2.75597699666636942","Activated","52","viper","52","2.75597699666636942",NA,NA,"5","Literature--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=347); ARCHS4--Coexpression(rank=671); GTEx--Coexpression(rank=799)","858","0.24720000000000000","Enrichr Queries,0.2472"
"ESR1","2.74697651144673927","2.74697651144673927","2.74697651144673927","Activated","53","viper","53","2.74697651144673927",NA,NA,"6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=82); GTEx--Coexpression(rank=376); Enrichr--Queries(rank=562); ARCHS4--Coexpression(rank=1062)","142","0.03659000000000000","Literature ChIP-seq,0.03659"
"RFX1","2.74327659955428604","2.74327659955428604","2.74327659955428604","Activated","54","viper","54","2.74327659955428604",NA,NA,"4","ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=318); ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=1364)","719","0.19789999999999999","GTEx Coexpression,0.1979"
"BHLHE22","-2.73933341934383190","-2.73933341934383190","2.73933341934383190","Repressed","55","viper","55","2.73933341934383190",NA,NA,"3","ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=149); ARCHS4--Coexpression(rank=347)","128","0.03367000000000000","ReMap ChIP-seq,0.03367"
"HIF1A","2.70918050759820472","2.70918050759820472","2.70918050759820472","Activated","56","viper","56","2.70918050759820472",NA,NA,"5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=18); GTEx--Coexpression(rank=169); ARCHS4--Coexpression(rank=476); Enrichr--Queries(rank=822)","156","0.04040000000000000","ReMap ChIP-seq,0.0404"
"MYB","-2.69614963389367279","-2.69614963389367279","2.69614963389367279","Repressed","57","viper","57","2.69614963389367279",NA,NA,"6","Enrichr--Queries(rank=22); ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=54); GTEx--Coexpression(rank=66); ARCHS4--Coexpression(rank=129); Literature--ChIP-seq(rank=137)","58","0.01567000000000000","Enrichr Queries,0.01567"
"LYL1","2.69061130147331440","2.69061130147331440","2.69061130147331440","Activated","58","viper","58","2.69061130147331440",NA,NA,"5","Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=147); ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=557); Enrichr--Queries(rank=686)","371","0.09029000000000000","ARCHS4 Coexpression,0.09029"
"NR4A1","2.65559072232180915","2.65559072232180915","2.65559072232180915","Activated","59","viper","59","2.65559072232180915",NA,NA,"4","ARCHS4--Coexpression(rank=77); Enrichr--Queries(rank=156); GTEx--Coexpression(rank=200); ReMap--ChIP-seq(rank=240)","187","0.04730000000000000","ARCHS4 Coexpression,0.0473"
"ARNTL","2.65364398036686033","2.65364398036686033","2.65364398036686033","Activated","60","viper","60","2.65364398036686033",NA,NA,"4","ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=387); GTEx--Coexpression(rank=1237)","633","0.16889999999999999","ARCHS4 Coexpression,0.1689"
"ASCL1","2.59882660212234962","2.59882660212234962","2.59882660212234962","Activated","61","viper","61","2.59882660212234962",NA,NA,"4","ReMap--ChIP-seq(rank=14); GTEx--Coexpression(rank=502); ARCHS4--Coexpression(rank=504); Enrichr--Queries(rank=979)","185","0.04714000000000000","ReMap ChIP-seq,0.04714"
"SMAD3","2.59509321030769557","2.59509321030769557","2.59509321030769557","Activated","62","viper","62","2.59509321030769557",NA,NA,"5","Literature--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=66); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=779); ARCHS4--Coexpression(rank=1271)","615","0.16460000000000000","Literature ChIP-seq,0.1646"
"NFATC1","2.58263515967603174","2.58263515967603174","2.58263515967603174","Activated","63","viper","63","2.58263515967603174",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=293); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=777); GTEx--Coexpression(rank=787)","716","0.19660000000000000","ARCHS4 Coexpression,0.1966"
"ELF1","2.48714301265684901","2.48714301265684901","2.48714301265684901","Activated","64","viper","64","2.48714301265684901",NA,NA,"5","ENCODE--ChIP-seq(rank=103); Literature--ChIP-seq(rank=144); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=430); GTEx--Coexpression(rank=1008)","896","0.26410000000000000","ARCHS4 Coexpression,0.2641"
"BHLHE40","-2.46684614249642964","-2.46684614249642964","2.46684614249642964","Repressed","65","viper","65","2.46684614249642964",NA,NA,"4","ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=161); ARCHS4--Coexpression(rank=795)","374","0.09091000000000000","ReMap ChIP-seq,0.09091"
"THAP11","2.45985357764042645","2.45985357764042645","2.45985357764042645","Activated","66","viper","66","2.45985357764042645",NA,NA,"5","Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=282); Enrichr--Queries(rank=975); ARCHS4--Coexpression(rank=1047); GTEx--Coexpression(rank=1388)","1442","0.64310000000000000","ARCHS4 Coexpression,0.6431"
"STAT1","2.41905636774554011","2.41905636774554011","2.41905636774554011","Activated","67","viper","67","2.41905636774554011",NA,NA,"6","GTEx--Coexpression(rank=19); ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=67); Literature--ChIP-seq(rank=139); ARCHS4--Coexpression(rank=454); Enrichr--Queries(rank=711)","43","0.01182000000000000","GTEx Coexpression,0.01182"
"KLF4","2.37568099381418829","2.37568099381418829","2.37568099381418829","Activated","68","viper","68","2.37568099381418829",NA,NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=179); ARCHS4--Coexpression(rank=491); GTEx--Coexpression(rank=533)","474","0.12200000000000000","Literature ChIP-seq,0.122"
"EBF1","2.37533069040794187","2.37533069040794187","2.37533069040794187","Activated","69","viper","69","2.37533069040794187",NA,NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=197); ARCHS4--Coexpression(rank=357); Enrichr--Queries(rank=460)","477","0.12260000000000000","GTEx Coexpression,0.1226"
"ERG","2.31059266448214240","2.31059266448214240","2.31059266448214240","Activated","70","viper","70","2.31059266448214240",NA,NA,"5","Literature--ChIP-seq(rank=138); GTEx--Coexpression(rank=201); ReMap--ChIP-seq(rank=239); Enrichr--Queries(rank=594); ARCHS4--Coexpression(rank=597)","484","0.12509999999999999","GTEx Coexpression,0.1251"
"KLF13","-2.27491144305971327","-2.27491144305971327","2.27491144305971327","Repressed","71","viper","71","2.27491144305971327",NA,NA,"4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=680); ARCHS4--Coexpression(rank=748); GTEx--Coexpression(rank=1114)","249","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ETV1","2.26541858862429279","2.26541858862429279","2.26541858862429279","Activated","72","viper","72","2.26541858862429279",NA,NA,"4","GTEx--Coexpression(rank=178); ARCHS4--Coexpression(rank=180); Enrichr--Queries(rank=180); ReMap--ChIP-seq(rank=241)","431","0.11060000000000000","ARCHS4 Coexpression,0.1106"
"MYOD1","2.23208359360768327","2.23208359360768327","2.23208359360768327","Activated","73","viper","73","2.23208359360768327",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=285); GTEx--Coexpression(rank=324); Enrichr--Queries(rank=1148)","316","0.07627000000000000","ENCODE ChIP-seq,0.07627"
"MYBL2","-2.22244154525245330","-2.22244154525245330","2.22244154525245330","Repressed","74","viper","74","2.22244154525245330",NA,NA,"6","Literature--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=9); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=14); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=70)","16","0.00552800000000000","ARCHS4 Coexpression,0.005528"
"EHF","2.21594310394510963","2.21594310394510963","2.21594310394510963","Activated","75","viper","75","2.21594310394510963",NA,NA,"4","ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=217); Enrichr--Queries(rank=281); GTEx--Coexpression(rank=303)","512","0.13330000000000000","ARCHS4 Coexpression,0.1333"
"TEAD4","2.20149859645432944","2.20149859645432944","2.20149859645432944","Activated","76","viper","76","2.20149859645432944",NA,NA,"6","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=48); Literature--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=207); GTEx--Coexpression(rank=542)","131","0.03419000000000000","Enrichr Queries,0.03419"
"RELB","2.19578300471818411","2.19578300471818411","2.19578300471818411","Activated","77","viper","77","2.19578300471818411",NA,NA,"4","ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=407); GTEx--Coexpression(rank=932)","592","0.15600000000000000","ARCHS4 Coexpression,0.156"
"NFKB2","-2.16414622844252369","-2.16414622844252369","2.16414622844252369","Repressed","78","viper","78","2.16414622844252369",NA,NA,"4","ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=804); GTEx--Coexpression(rank=1110)","1149","0.40379999999999999","Enrichr Queries,0.4038"
"MXI1","-2.15012353721386518","-2.15012353721386518","2.15012353721386518","Repressed","79","viper","79","2.15012353721386518",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=397); ARCHS4--Coexpression(rank=542); GTEx--Coexpression(rank=1215)","936","0.28280000000000000","Enrichr Queries,0.2828"
