Pathway,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,OXIDOREDUCTASE COMPLEX,CYTOCHROME COMPLEX,RESPIRATORY CHAIN COMPLEX IV,IMMUNOGLOBULIN COMPLEX,BLOOD MICROPARTICLE,PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,PROTON TRANSPORTING ATP SYNTHASE COMPLEX,CHROMOSOMAL REGION,CHROMOSOME TELOMERIC REGION,NUCLEAR CHROMOSOME,SWI SNF SUPERFAMILY TYPE COMPLEX,NUCLEAR RIBONUCLEOPROTEIN GRANULE,NUCLEAR SPECK,SPLICEOSOMAL COMPLEX,APICAL PLASMA MEMBRANE,BRUSH BORDER MEMBRANE,"ATPASE DEPENDENT TRANSMEMBRANE TRANSPORT
COMPLEX",PROTON TRANSPORTING V TYPE ATPASE COMPLEX,"PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX
PROTON TRANSPORTING DOMAIN",SPINDLE,SPINDLE POLE,MITOTIC SPINDLE,MICROTUBULE,CONDENSED CHROMOSOME,CONDENSED CHROMOSOME CENTROMERIC REGION,CHROMOSOME CENTROMERIC REGION,CENTRIOLE,CILIARY BASAL BODY,CENTRIOLAR SATELLITE,MICROBODY,MICROBODY LUMEN,AZUROPHIL GRANULE,LATE ENDOSOME,LATE ENDOSOME MEMBRANE,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,COLLAGEN TRIMER,PRERIBOSOME,CYTOSOLIC RIBOSOME
"ATPASE DEPENDENT TRANSMEMBRANE TRANSPORT
COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.030303030303030304,1.0,0.42424242424242425,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.015151515151515152,0.045454545454545456,0.030303030303030304,0.0,0.0,0.0,0.0
PROTON TRANSPORTING V TYPE ATPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.03571428571428571,1.0,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.0
"PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX
PROTON TRANSPORTING DOMAIN",0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
SPINDLE,0.0,0.0,0.00234192037470726,0.0,0.0,0.0,0.00234192037470726,0.0,0.0,0.24824355971896955,0.02810304449648712,0.04918032786885246,0.0117096018735363,0.0351288056206089,0.03278688524590164,0.00702576112412178,0.0117096018735363,0.0,0.0,0.0,0.0,1.0,0.4332552693208431,0.38875878220140514,0.41217798594847777,0.22482435597189696,0.1990632318501171,0.23185011709601874,0.10304449648711944,0.11241217798594848,0.04215456674473068,0.00234192037470726,0.00234192037470726,0.01639344262295082,0.0468384074941452,0.03747072599531616,0.00234192037470726,0.0,0.00234192037470726,0.00234192037470726
SPINDLE POLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648648648648649,0.021621621621621623,0.06486486486486487,0.010810810810810811,0.05945945945945946,0.05405405405405406,0.010810810810810811,0.016216216216216217,0.0,0.0,0.0,0.0,1.0,1.0,0.372972972972973,0.40540540540540543,0.24864864864864866,0.21081081081081082,0.25405405405405407,0.17297297297297298,0.16216216216216217,0.06486486486486487,0.0,0.0,0.010810810810810811,0.021621621621621623,0.010810810810810811,0.0,0.0,0.0,0.0
MITOTIC SPINDLE,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.20481927710843373,0.030120481927710843,0.04216867469879518,0.006024096385542169,0.030120481927710843,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,1.0,0.41566265060240964,1.0,0.5,0.1686746987951807,0.14457831325301204,0.18674698795180722,0.06626506024096386,0.10240963855421686,0.030120481927710843,0.0,0.0,0.018072289156626505,0.006024096385542169,0.0,0.0,0.0,0.0,0.006024096385542169
MICROTUBULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11812627291242363,0.004073319755600814,0.02240325865580448,0.008146639511201629,0.008146639511201629,0.008146639511201629,0.002036659877800407,0.020366598778004074,0.0,0.0,0.0,0.0,0.35845213849287166,0.15274949083503056,0.1690427698574338,1.0,0.11812627291242363,0.109979633401222,0.11405295315682282,0.06720977596741344,0.1120162932790224,0.048879837067209775,0.004073319755600814,0.0,0.014256619144602852,0.04073319755600815,0.024439918533604887,0.0,0.0,0.0,0.0
CONDENSED CHROMOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.7702702702702703,0.11486486486486487,0.34797297297297297,0.06756756756756757,0.05405405405405406,0.04391891891891892,0.006756756756756757,0.006756756756756757,0.0,0.0,0.0,0.0,0.32432432432432434,0.1554054054054054,0.0945945945945946,0.19594594594594594,1.0,0.6486486486486487,0.7027027027027027,0.02364864864864865,0.02364864864864865,0.016891891891891893,0.0,0.0,0.006756756756756757,0.0472972972972973,0.04054054054054054,0.0,0.0,0.006756756756756757,0.0
CONDENSED CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,1.0,0.052083333333333336,0.13541666666666666,0.09375,0.052083333333333336,0.041666666666666664,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.4427083333333333,0.203125,0.125,0.28125,1.0,1.0,1.0,0.026041666666666668,0.026041666666666668,0.026041666666666668,0.0,0.0,0.010416666666666666,0.07291666666666667,0.0625,0.0,0.0,0.0,0.0
CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.007326007326007326,0.0,0.0,1.0,0.11355311355311355,0.15018315018315018,0.08791208791208792,0.05860805860805861,0.047619047619047616,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.0,0.3626373626373626,0.17216117216117216,0.11355311355311355,0.20512820512820512,0.7619047619047619,0.7032967032967034,1.0,0.02197802197802198,0.02564102564102564,0.018315018315018316,0.0,0.0,0.007326007326007326,0.054945054945054944,0.04395604395604396,0.0,0.0,0.003663003663003663,0.0
CENTRIOLE,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.040229885057471264,0.005747126436781609,0.022988505747126436,0.0,0.028735632183908046,0.028735632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.25287356321839083,0.1839080459770115,0.06321839080459771,0.1896551724137931,0.040229885057471264,0.028735632183908046,0.034482758620689655,1.0,0.4942528735632184,0.14367816091954022,0.0,0.0,0.0,0.034482758620689655,0.005747126436781609,0.0,0.0,0.0,0.0
CILIARY BASAL BODY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03111111111111111,0.0,0.022222222222222223,0.008888888888888889,0.044444444444444446,0.044444444444444446,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.21333333333333335,0.13333333333333333,0.07555555555555556,0.24444444444444444,0.03111111111111111,0.022222222222222223,0.03111111111111111,0.38222222222222224,1.0,0.12444444444444444,0.0,0.0,0.0,0.013333333333333334,0.0044444444444444444,0.0,0.0,0.0,0.0
CENTRIOLAR SATELLITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.021739130434782608,0.021739130434782608,0.03260869565217391,0.03260869565217391,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.1956521739130435,0.13043478260869565,0.05434782608695652,0.2608695652173913,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.2717391304347826,0.30434782608695654,1.0,0.0,0.0,0.0,0.043478260869565216,0.03260869565217391,0.0,0.0,0.0,0.0
MICROBODY,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.0,0.0,0.006578947368421052,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3355263157894737,0.006578947368421052,0.02631578947368421,0.0,0.006578947368421052,0.0,0.0,0.0
MICROBODY LUMEN,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZUROPHIL GRANULE,0.006369426751592357,0.006369426751592357,0.012738853503184714,0.0,0.0,0.006369426751592357,0.03184713375796178,0.006369426751592357,0.0,0.012738853503184714,0.0,0.0,0.0,0.006369426751592357,0.006369426751592357,0.0,0.044585987261146494,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.044585987261146494,0.012738853503184714,0.01910828025477707,0.044585987261146494,0.012738853503184714,0.012738853503184714,0.012738853503184714,0.0,0.0,0.0,0.006369426751592357,0.0,1.0,0.11464968152866242,0.06369426751592357,0.0,0.0,0.0,0.0
LATE ENDOSOME,0.0,0.0,0.0,0.0,0.0,0.00303951367781155,0.0060790273556231,0.0060790273556231,0.0,0.04559270516717325,0.0,0.00303951367781155,0.0,0.00303951367781155,0.00303951367781155,0.0,0.057750759878419454,0.00303951367781155,0.00911854103343465,0.0060790273556231,0.00303951367781155,0.060790273556231005,0.0121580547112462,0.00303951367781155,0.060790273556231005,0.0425531914893617,0.0425531914893617,0.04559270516717325,0.0182370820668693,0.00911854103343465,0.0121580547112462,0.0121580547112462,0.0,0.0547112462006079,1.0,0.5531914893617021,0.0,0.0121580547112462,0.0,0.0
LATE ENDOSOME MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.06593406593406594,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.06593406593406594,0.005494505494505495,0.01098901098901099,0.005494505494505495,0.0,0.08791208791208792,0.01098901098901099,0.0,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.005494505494505495,0.005494505494505495,0.016483516483516484,0.0,0.0,0.054945054945054944,1.0,1.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,0.01098901098901099,0.005494505494505495,0.016483516483516484,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
COLLAGEN TRIMER,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,1.0,0.0,0.0
PRERIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.02830188679245283,0.018867924528301886,0.0,0.02830188679245283,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.018867924528301886,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19811320754716982
CYTOSOLIC RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17355371900826447,1.0
