Pathway,ANTIGEN PROCESSING AND PRESENTATION,ALLOGRAFT REJECTION,AUTOIMMUNE THYROID DISEASE,GRAFT VERSUS HOST DISEASE,TYPE I DIABETES MELLITUS,SYSTEMIC LUPUS ERYTHEMATOSUS,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,ASTHMA,LEISHMANIA INFECTION,STEROID HORMONE BIOSYNTHESIS,DRUG METABOLISM OTHER ENZYMES,RETINOL METABOLISM,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,ASCORBATE AND ALDARATE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,STARCH AND SUCROSE METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,T CELL RECEPTOR SIGNALING PATHWAY,B CELL RECEPTOR SIGNALING PATHWAY,BLADDER CANCER,LONG TERM DEPRESSION,HEMATOPOIETIC CELL LINEAGE,PRIMARY IMMUNODEFICIENCY,NOD LIKE RECEPTOR SIGNALING PATHWAY,TOLL LIKE RECEPTOR SIGNALING PATHWAY,CYTOSOLIC DNA SENSING PATHWAY,CELL CYCLE,P53 SIGNALING PATHWAY,PPAR SIGNALING PATHWAY,FATTY ACID METABOLISM,BUTANOATE METABOLISM,TASTE TRANSDUCTION,NEUROACTIVE LIGAND RECEPTOR INTERACTION,COMPLEMENT AND COAGULATION CASCADES,RIBOSOME,MELANOGENESIS,BASAL CELL CARCINOMA,DNA REPLICATION
DRUG METABOLISM OTHER ENZYMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43137254901960786,1.0,0.49019607843137253,0.49019607843137253,0.43137254901960786,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETINOL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359375,0.390625,1.0,0.59375,0.5625,0.28125,0.28125,0.28125,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.3472222222222222,0.5277777777777778,1.0,0.8333333333333334,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3142857142857143,0.5142857142857142,0.8571428571428571,1.0,0.2571428571428571,0.2714285714285714,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCORBATE AND ALDARATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.72,0.72,0.72,1.0,0.76,0.76,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PENTOSE AND GLUCURONATE INTERCONVERSIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6428571428571429,0.6785714285714286,0.6785714285714286,1.0,0.75,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STARCH AND SUCROSE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.36538461538461536,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.36538461538461536,0.40384615384615385,1.0,0.36538461538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORPHYRIN AND CHLOROPHYLL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43902439024390244,0.4634146341463415,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.4634146341463415,0.4634146341463415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATURAL KILLER CELL MEDIATED CYTOTOXICITY,0.24087591240875914,0.08029197080291971,0.16058394160583941,0.1386861313868613,0.08029197080291971,0.029197080291970802,0.0,0.014598540145985401,0.08029197080291971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3357664233576642,0.29927007299270075,0.072992700729927,0.0948905109489051,0.014598540145985401,0.014598540145985401,0.021897810218978103,0.21897810218978103,0.10218978102189781,0.0,0.029197080291970802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08029197080291971,0.0,0.0
T CELL RECEPTOR SIGNALING PATHWAY,0.027777777777777776,0.07407407407407407,0.06481481481481481,0.037037037037037035,0.037037037037037035,0.046296296296296294,0.07407407407407407,0.046296296296296294,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42592592592592593,1.0,0.48148148148148145,0.08333333333333333,0.07407407407407407,0.09259259259259259,0.10185185185185185,0.14814814814814814,0.2962962962962963,0.06481481481481481,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.009259259259259259,0.0
B CELL RECEPTOR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5466666666666666,0.6933333333333334,1.0,0.10666666666666667,0.13333333333333333,0.04,0.06666666666666667,0.12,0.32,0.09333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.13333333333333333,0.013333333333333334,0.0
BLADDER CANCER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.21428571428571427,0.19047619047619047,1.0,0.23809523809523808,0.0,0.0,0.07142857142857142,0.11904761904761904,0.0,0.2619047619047619,0.16666666666666666,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.023809523809523808,0.0
LONG TERM DEPRESSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18571428571428572,0.11428571428571428,0.14285714285714285,0.14285714285714285,1.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.05714285714285714,0.1,0.0,0.0,0.3,0.0,0.0
HEMATOPOIETIC CELL LINEAGE,0.09195402298850575,0.09195402298850575,0.09195402298850575,0.10344827586206896,0.09195402298850575,0.08045977011494253,0.10344827586206896,0.10344827586206896,0.14942528735632185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.11494252873563218,0.034482758620689655,0.0,0.0,1.0,0.08045977011494253,0.034482758620689655,0.04597701149425287,0.022988505747126436,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.022988505747126436,0.0,0.0
PRIMARY IMMUNODEFICIENCY,0.2571428571428571,0.05714285714285714,0.05714285714285714,0.0,0.0,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.3142857142857143,0.14285714285714285,0.0,0.0,0.2,1.0,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOD LIKE RECEPTOR SIGNALING PATHWAY,0.03225806451612903,0.016129032258064516,0.0,0.04838709677419355,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.25806451612903225,0.14516129032258066,0.04838709677419355,0.03225806451612903,0.04838709677419355,0.016129032258064516,1.0,0.4032258064516129,0.20967741935483872,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0
TOLL LIKE RECEPTOR SIGNALING PATHWAY,0.12745098039215685,0.058823529411764705,0.1568627450980392,0.049019607843137254,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.24509803921568626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.3137254901960784,0.23529411764705882,0.049019607843137254,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.24509803921568626,1.0,0.29411764705882354,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0
CYTOSOLIC DNA SENSING PATHWAY,0.23636363636363636,0.0,0.23636363636363636,0.03636363636363636,0.01818181818181818,0.0,0.01818181818181818,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545454545454545,0.12727272727272726,0.12727272727272726,0.0,0.0,0.03636363636363636,0.01818181818181818,0.23636363636363636,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL CYCLE,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.008,0.088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.016,0.056
P53 SIGNALING PATHWAY,0.0,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.014705882352941176,0.0,0.10294117647058823,0.014705882352941176,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,0.35294117647058826,1.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0
PPAR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.014492753623188406,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2463768115942029,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FATTY ACID METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.16666666666666666,0.16666666666666666,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40476190476190477,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUTANOATE METABOLISM,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.35294117647058826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TASTE TRANSDUCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019230769230769232,0.0,0.0,0.17307692307692307,0.0,0.0
NEUROACTIVE LIGAND RECEPTOR INTERACTION,0.0,0.0,0.011029411764705883,0.0,0.0,0.011029411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025735294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294,1.0,0.025735294117647058,0.0,0.007352941176470588,0.0,0.0
COMPLEMENT AND COAGULATION CASCADES,0.0,0.0,0.0,0.0,0.0,0.2318840579710145,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.10144927536231885,1.0,0.0,0.0,0.0,0.0
RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MELANOGENESIS,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10891089108910891,0.0891089108910891,0.09900990099009901,0.07920792079207921,0.2079207920792079,0.019801980198019802,0.0,0.019801980198019802,0.039603960396039604,0.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0891089108910891,0.019801980198019802,0.0,0.0,1.0,0.37623762376237624,0.0
BASAL CELL CARCINOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6909090909090909,1.0,0.0
DNA REPLICATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
