Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,RRNA BINDING,"DNA APURINIC OR APYRIMIDINIC SITE
ENDONUCLEASE ACTIVITY",CADHERIN BINDING,"CADHERIN BINDING INVOLVED IN CELL CELL
ADHESION",CALCIUM DEPENDENT PROTEIN BINDING,S100 PROTEIN BINDING,ENZYME INHIBITOR ACTIVITY,LIPASE INHIBITOR ACTIVITY,CATALYTIC ACTIVITY ACTING ON RNA,CATALYTIC ACTIVITY ACTING ON A TRNA,RNA METHYLTRANSFERASE ACTIVITY,GROWTH FACTOR BINDING,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,FIBRONECTIN BINDING,INTEGRIN BINDING,PROTEASE BINDING,PEPTIDASE REGULATOR ACTIVITY,ENDOPEPTIDASE REGULATOR ACTIVITY,ACTIN FILAMENT BINDING,ACTIN BINDING,STRUCTURAL CONSTITUENT OF CYTOSKELETON,LIPID TRANSFER ACTIVITY,PHOSPHATIDYLCHOLINE TRANSPORTER ACTIVITY,PHOSPHOLIPID TRANSPORTER ACTIVITY,SPHINGOLIPID TRANSPORTER ACTIVITY,"ATPASE COUPLED INTRAMEMBRANE LIPID
TRANSPORTER ACTIVITY",METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,COPPER ION TRANSMEMBRANE TRANSPORTER ACTIVITY,HISTONE BINDING,TRANSLATION FACTOR ACTIVITY,TRANSLATION INITIATION FACTOR ACTIVITY,RIBONUCLEOPROTEIN COMPLEX BINDING,STEROID BINDING,POU DOMAIN BINDING,NITRIC OXIDE SYNTHASE REGULATOR ACTIVITY,"TFIID CLASS TRANSCRIPTION FACTOR COMPLEX
BINDING",DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,"THIOREDOXIN DISULFIDE REDUCTASE NADPH
ACTIVITY"
CATALYTIC ACTIVITY ACTING ON A TRNA,0.0,0.012903225806451613,0.0064516129032258064,0.0064516129032258064,0.0,0.0,0.0,0.012903225806451613,0.0,1.0,1.0,0.2129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,0.0,0.01935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA METHYLTRANSFERASE ACTIVITY,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4852941176470588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0
GROWTH FACTOR BINDING,0.014705882352941176,0.0,0.0,0.058823529411764705,0.0,0.014705882352941176,0.0,0.051470588235294115,0.0,0.0,0.0,0.0,1.0,0.11029411764705882,0.04411764705882353,0.07352941176470588,0.08823529411764706,0.051470588235294115,0.051470588235294115,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049723756906077346,0.0,0.0,0.0,0.0,0.08287292817679558,1.0,0.016574585635359115,0.143646408839779,0.04419889502762431,0.06629834254143646,0.04419889502762431,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0
FIBRONECTIN BINDING,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.20689655172413793,0.10344827586206896,1.0,0.2413793103448276,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTEGRIN BINDING,0.006622516556291391,0.0,0.0,0.052980132450331126,0.0,0.019867549668874173,0.006622516556291391,0.033112582781456956,0.006622516556291391,0.0,0.0,0.0,0.06622516556291391,0.17218543046357615,0.046357615894039736,1.0,0.0728476821192053,0.039735099337748346,0.026490066225165563,0.0728476821192053,0.11258278145695365,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASE BINDING,0.0,0.0,0.0,0.02877697841726619,0.007194244604316547,0.02158273381294964,0.007194244604316547,0.2158273381294964,0.007194244604316547,0.0,0.0,0.0,0.08633093525179857,0.05755395683453238,0.02877697841726619,0.07913669064748201,1.0,0.26618705035971224,0.2302158273381295,0.02877697841726619,0.04316546762589928,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.014388489208633094,0.0,0.007194244604316547,0.0,0.0,0.02158273381294964,0.0,0.0,0.0,0.007194244604316547,0.007194244604316547,0.0,0.0
PEPTIDASE REGULATOR ACTIVITY,0.0,0.0,0.0,0.016877637130801686,0.004219409282700422,0.008438818565400843,0.004219409282700422,0.7637130801687764,0.008438818565400843,0.0,0.0,0.0,0.029535864978902954,0.05063291139240506,0.016877637130801686,0.02531645569620253,0.15611814345991562,1.0,0.8438818565400844,0.004219409282700422,0.008438818565400843,0.0,0.0,0.0,0.0,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.0,0.004219409282700422,0.0,0.0,0.012658227848101266,0.008438818565400843,0.0,0.004219409282700422,0.0,0.0,0.004219409282700422,0.0
ENDOPEPTIDASE REGULATOR ACTIVITY,0.0,0.0,0.0,0.01,0.005,0.01,0.005,0.855,0.01,0.0,0.0,0.0,0.035,0.04,0.015,0.02,0.16,1.0,1.0,0.005,0.01,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.005,0.0
ACTIN FILAMENT BINDING,0.0,0.004739336492890996,0.0,0.18009478672985782,0.004739336492890996,0.014218009478672985,0.009478672985781991,0.02843601895734597,0.004739336492890996,0.0,0.0,0.0,0.004739336492890996,0.0,0.0,0.052132701421800945,0.018957345971563982,0.004739336492890996,0.004739336492890996,1.0,1.0,0.12322274881516587,0.0,0.0,0.0,0.0,0.0,0.023696682464454975,0.0,0.0,0.004739336492890996,0.0,0.004739336492890996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTIN BINDING,0.0,0.0044742729306487695,0.0,0.13870246085011187,0.011185682326621925,0.013422818791946308,0.0044742729306487695,0.040268456375838924,0.0044742729306487695,0.0022371364653243847,0.0022371364653243847,0.0,0.0022371364653243847,0.0,0.0022371364653243847,0.03803131991051454,0.013422818791946308,0.0044742729306487695,0.0044742729306487695,0.4720357941834452,1.0,0.06935123042505593,0.0,0.0,0.0,0.0,0.0,0.020134228187919462,0.0,0.0044742729306487695,0.0022371364653243847,0.0,0.008948545861297539,0.0022371364653243847,0.0,0.0,0.0,0.0,0.0,0.0
STRUCTURAL CONSTITUENT OF CYTOSKELETON,0.0,0.0,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.024193548387096774,0.0,0.0,0.0,0.20967741935483872,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.10483870967741936,0.0
LIPID TRANSFER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16901408450704225,0.5352112676056338,0.15492957746478872,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.39436619718309857,0.0,0.0,0.0,0.0,0.0,0.0
PHOSPHATIDYLCHOLINE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
PHOSPHOLIPID TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4691358024691358,0.24691358024691357,1.0,0.18518518518518517,0.24691358024691357,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
SPHINGOLIPID TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.5238095238095238,0.42857142857142855,0.7142857142857143,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
"ATPASE COUPLED INTRAMEMBRANE LIPID
TRANSPORTER ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.1111111111111111,0.37037037037037035,0.7407407407407407,0.25925925925925924,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0
METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.008888888888888889,0.0,0.008888888888888889,0.0044444444444444444,0.006666666666666667,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0022222222222222222,0.0044444444444444444,0.0022222222222222222,0.0,0.011111111111111112,0.02,0.0,0.0,0.0,0.006666666666666667,0.0,0.0022222222222222222,1.0,0.015555555555555555,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0
COPPER ION TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTONE BINDING,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.0,0.005714285714285714,0.05714285714285714,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.011428571428571429,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03428571428571429,0.0,0.0,0.0,0.0,0.017142857142857144,0.0,0.0
TRANSLATION FACTOR ACTIVITY,0.0,0.011764705882352941,0.0,0.12941176470588237,0.0,0.0,0.0,0.011764705882352941,0.0,0.08235294117647059,0.03529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.2823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRANSLATION INITIATION FACTOR ACTIVITY,0.0,0.0,0.0,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.21568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBONUCLEOPROTEIN COMPLEX BINDING,0.011049723756906077,0.0718232044198895,0.0,0.06629834254143646,0.0055248618784530384,0.0,0.0,0.03314917127071823,0.0,0.1270718232044199,0.016574585635359115,0.0,0.0055248618784530384,0.0,0.0,0.0,0.016574585635359115,0.016574585635359115,0.0055248618784530384,0.0055248618784530384,0.022099447513812154,0.0,0.0,0.0,0.0,0.0,0.0,0.016574585635359115,0.0,0.03314917127071823,0.13259668508287292,0.06077348066298342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEROID BINDING,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.06306306306306306,0.018018018018018018,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.009009009009009009,0.0,0.018018018018018018,0.009009009009009009,0.0,0.009009009009009009,0.0,0.25225225225225223,0.02702702702702703,0.10810810810810811,0.009009009009009009,0.018018018018018018,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,1.0,0.009009009009009009,0.018018018018018018,0.0,0.09009009009009009,0.0,0.0
POU DOMAIN BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.2,0.0,0.0
NITRIC OXIDE SYNTHASE REGULATOR ACTIVITY,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,1.0,0.0,0.09090909090909091,0.0,0.0
"TFIID CLASS TRANSCRIPTION FACTOR COMPLEX
BINDING",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,0.0022123893805309734,0.0022123893805309734,0.0022123893805309734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022123893805309734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022123893805309734,0.0,0.0,0.0,0.0,0.00663716814159292,0.0,0.0,0.0,0.022123893805309734,0.0022123893805309734,0.0022123893805309734,0.0022123893805309734,1.0,0.0,0.0
STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.20967741935483872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"THIOREDOXIN DISULFIDE REDUCTASE NADPH
ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
