Pathway,KRAS.KIDNEY UP.V1 UP,KRAS.300 UP.V1 UP,KRAS.600 UP.V1 UP,KRAS.50 UP.V1 UP,CAHOY NEURONAL,SNF5 DN.V1 DN,LEF1 UP.V1 UP,BCAT.100 UP.V1 UP,ALK DN.V1 UP,ATF2 S UP.V1 DN,RELA DN.V1 UP,SINGH KRAS DEPENDENCY SIGNATURE,E2F3 UP.V1 DN,PRC2 EED DN.V1 DN,CSR EARLY UP.V1 DN,PTEN DN.V1 UP,STK33 SKM DN,CORDENONSI YAP CONSERVED SIGNATURE,ESC J1 UP EARLY.V1 UP,PGF UP.V1 DN,CYCLIN D1 KE .V1 DN,CRX NRL DN.V1 DN,IL15 UP.V1 UP,PDGF UP.V1 UP,MYC UP.V1 UP,SRC UP.V1 UP,AKT UP.V1 DN,AKT UP MTOR DN.V1 DN,MTOR UP.V1 DN,CAHOY OLIGODENDROCUTIC,CTIP DN.V1 DN,NOTCH DN.V1 UP,KRAS.PROSTATE UP.V1 DN,PRC1 BMI UP.V1 UP
RELA DN.V1 UP,0.026845637583892617,0.020134228187919462,0.03355704697986577,0.013422818791946308,0.006711409395973154,0.013422818791946308,0.020134228187919462,0.006711409395973154,0.013422818791946308,0.03355704697986577,1.0,0.013422818791946308,0.020134228187919462,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.020134228187919462,0.013422818791946308,0.026845637583892617,0.040268456375838924,0.013422818791946308,0.026845637583892617,0.06040268456375839,0.04697986577181208,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.006711409395973154,0.0,0.006711409395973154,0.06040268456375839,0.020134228187919462,0.006711409395973154
SINGH KRAS DEPENDENCY SIGNATURE,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.1,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2F3 UP.V1 DN,0.0,0.018404907975460124,0.04294478527607362,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.024539877300613498,0.0,0.018404907975460124,0.006134969325153374,0.018404907975460124,0.006134969325153374,1.0,0.018404907975460124,0.012269938650306749,0.018404907975460124,0.006134969325153374,0.006134969325153374,0.0,0.018404907975460124,0.012269938650306749,0.0,0.018404907975460124,0.012269938650306749,0.024539877300613498,0.006134969325153374,0.0,0.0,0.012269938650306749,0.0,0.012269938650306749,0.024539877300613498,0.012269938650306749,0.04294478527607362
PRC2 EED DN.V1 DN,0.0,0.0051813471502590676,0.0051813471502590676,0.0,0.0051813471502590676,0.010362694300518135,0.010362694300518135,0.0051813471502590676,0.015544041450777202,0.046632124352331605,0.0051813471502590676,0.0,0.015544041450777202,1.0,0.015544041450777202,0.025906735751295335,0.031088082901554404,0.0,0.010362694300518135,0.0051813471502590676,0.015544041450777202,0.010362694300518135,0.015544041450777202,0.0051813471502590676,0.0051813471502590676,0.02072538860103627,0.025906735751295335,0.02072538860103627,0.02072538860103627,0.010362694300518135,0.010362694300518135,0.04145077720207254,0.0,0.0051813471502590676
CSR EARLY UP.V1 DN,0.015873015873015872,0.0,0.0,0.0,0.0,0.007936507936507936,0.015873015873015872,0.0,0.023809523809523808,0.0,0.015873015873015872,0.0,0.015873015873015872,0.023809523809523808,1.0,0.031746031746031744,0.031746031746031744,0.007936507936507936,0.031746031746031744,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.015873015873015872,0.007936507936507936,0.023809523809523808,0.0,0.007936507936507936,0.03968253968253968,0.0,0.007936507936507936
PTEN DN.V1 UP,0.016129032258064516,0.026881720430107527,0.05913978494623656,0.005376344086021506,0.005376344086021506,0.026881720430107527,0.03763440860215054,0.021505376344086023,0.005376344086021506,0.03225806451612903,0.010752688172043012,0.0,0.016129032258064516,0.026881720430107527,0.021505376344086023,1.0,0.043010752688172046,0.005376344086021506,0.026881720430107527,0.016129032258064516,0.026881720430107527,0.016129032258064516,0.026881720430107527,0.0,0.0,0.016129032258064516,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.016129032258064516,0.026881720430107527,0.03763440860215054,0.021505376344086023,0.03763440860215054
STK33 SKM DN,0.021739130434782608,0.018115942028985508,0.03260869565217391,0.007246376811594203,0.0036231884057971015,0.021739130434782608,0.021739130434782608,0.0036231884057971015,0.010869565217391304,0.025362318840579712,0.010869565217391304,0.0,0.0036231884057971015,0.021739130434782608,0.014492753623188406,0.028985507246376812,1.0,0.007246376811594203,0.0036231884057971015,0.010869565217391304,0.018115942028985508,0.007246376811594203,0.010869565217391304,0.0,0.014492753623188406,0.014492753623188406,0.021739130434782608,0.018115942028985508,0.007246376811594203,0.010869565217391304,0.010869565217391304,0.014492753623188406,0.014492753623188406,0.028985507246376812
CORDENONSI YAP CONSERVED SIGNATURE,0.0,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.0,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.0,0.017543859649122806,0.03508771929824561,0.0,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,1.0,0.05263157894736842,0.03508771929824561,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.05263157894736842,0.0,0.03508771929824561,0.0,0.0
ESC J1 UP EARLY.V1 UP,0.016853932584269662,0.02247191011235955,0.033707865168539325,0.011235955056179775,0.0056179775280898875,0.016853932584269662,0.02247191011235955,0.0056179775280898875,0.0,0.016853932584269662,0.02247191011235955,0.0,0.0,0.011235955056179775,0.02247191011235955,0.028089887640449437,0.0056179775280898875,0.016853932584269662,1.0,0.011235955056179775,0.016853932584269662,0.011235955056179775,0.033707865168539325,0.011235955056179775,0.016853932584269662,0.011235955056179775,0.02247191011235955,0.028089887640449437,0.02247191011235955,0.0056179775280898875,0.011235955056179775,0.02247191011235955,0.0056179775280898875,0.0056179775280898875
PGF UP.V1 DN,0.005235602094240838,0.010471204188481676,0.02617801047120419,0.0,0.005235602094240838,0.005235602094240838,0.05235602094240838,0.005235602094240838,0.015706806282722512,0.031413612565445025,0.031413612565445025,0.0,0.015706806282722512,0.005235602094240838,0.005235602094240838,0.015706806282722512,0.015706806282722512,0.010471204188481676,0.010471204188481676,1.0,0.031413612565445025,0.020942408376963352,0.02617801047120419,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.015706806282722512,0.005235602094240838,0.015706806282722512,0.03664921465968586,0.015706806282722512,0.04712041884816754
CYCLIN D1 KE .V1 DN,0.02617801047120419,0.020942408376963352,0.02617801047120419,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.02617801047120419,0.0,0.005235602094240838,0.02617801047120419,0.010471204188481676,0.0,0.010471204188481676,0.015706806282722512,0.005235602094240838,0.02617801047120419,0.02617801047120419,0.0,0.015706806282722512,0.031413612565445025,1.0,0.015706806282722512,0.02617801047120419,0.015706806282722512,0.005235602094240838,0.020942408376963352,0.020942408376963352,0.005235602094240838,0.015706806282722512,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.02617801047120419,0.005235602094240838
CRX NRL DN.V1 DN,0.023809523809523808,0.031746031746031744,0.05555555555555555,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.023809523809523808,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.031746031746031744,0.0,0.0,0.015873015873015872,0.007936507936507936,0.023809523809523808,0.015873015873015872,0.0,0.015873015873015872,0.031746031746031744,0.023809523809523808,1.0,0.06349206349206349,0.03968253968253968,0.007936507936507936,0.015873015873015872,0.023809523809523808,0.03968253968253968,0.007936507936507936,0.0,0.007936507936507936,0.0,0.0,0.031746031746031744
IL15 UP.V1 UP,0.005291005291005291,0.026455026455026454,0.05291005291005291,0.0,0.0,0.010582010582010581,0.05291005291005291,0.015873015873015872,0.037037037037037035,0.021164021164021163,0.047619047619047616,0.0,0.015873015873015872,0.015873015873015872,0.005291005291005291,0.026455026455026454,0.015873015873015872,0.010582010582010581,0.031746031746031744,0.026455026455026454,0.026455026455026454,0.042328042328042326,1.0,0.06349206349206349,0.06349206349206349,0.031746031746031744,0.026455026455026454,0.021164021164021163,0.0,0.021164021164021163,0.015873015873015872,0.021164021164021163,0.010582010582010581,0.042328042328042326
PDGF UP.V1 UP,0.0136986301369863,0.00684931506849315,0.0410958904109589,0.0,0.0,0.02054794520547945,0.0410958904109589,0.00684931506849315,0.0136986301369863,0.02054794520547945,0.04794520547945205,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.0,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.02054794520547945,0.03424657534246575,0.0821917808219178,1.0,0.02054794520547945,0.00684931506849315,0.02054794520547945,0.03424657534246575,0.0136986301369863,0.0,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.00684931506849315
MYC UP.V1 UP,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0,0.011049723756906077,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.0,0.016574585635359115,0.011049723756906077,0.0,0.022099447513812154,0.0055248618784530384,0.0,0.0,0.022099447513812154,0.0,0.016574585635359115,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.06629834254143646,0.016574585635359115,1.0,0.09392265193370165,0.016574585635359115,0.022099447513812154,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.022099447513812154
SRC UP.V1 UP,0.0056179775280898875,0.028089887640449437,0.03932584269662921,0.0,0.016853932584269662,0.0056179775280898875,0.016853932584269662,0.0056179775280898875,0.011235955056179775,0.016853932584269662,0.011235955056179775,0.0,0.0056179775280898875,0.02247191011235955,0.0,0.016853932584269662,0.02247191011235955,0.0,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.033707865168539325,0.0056179775280898875,0.09550561797752809,1.0,0.016853932584269662,0.028089887640449437,0.02247191011235955,0.0,0.0056179775280898875,0.0056179775280898875,0.011235955056179775,0.0056179775280898875
AKT UP.V1 DN,0.016042780748663103,0.0106951871657754,0.03208556149732621,0.0053475935828877,0.0,0.03208556149732621,0.0374331550802139,0.0106951871657754,0.0213903743315508,0.06417112299465241,0.0106951871657754,0.0,0.0,0.026737967914438502,0.0106951871657754,0.0053475935828877,0.03208556149732621,0.0,0.0213903743315508,0.0106951871657754,0.0213903743315508,0.016042780748663103,0.026737967914438502,0.016042780748663103,0.016042780748663103,0.016042780748663103,1.0,0.5347593582887701,0.27807486631016043,0.0213903743315508,0.0053475935828877,0.0213903743315508,0.0213903743315508,0.0053475935828877
AKT UP MTOR DN.V1 DN,0.010752688172043012,0.010752688172043012,0.053763440860215055,0.005376344086021506,0.0,0.021505376344086023,0.03763440860215054,0.010752688172043012,0.026881720430107527,0.026881720430107527,0.010752688172043012,0.0,0.0,0.021505376344086023,0.005376344086021506,0.010752688172043012,0.026881720430107527,0.0,0.026881720430107527,0.016129032258064516,0.005376344086021506,0.026881720430107527,0.021505376344086023,0.026881720430107527,0.021505376344086023,0.026881720430107527,0.5376344086021505,1.0,0.08602150537634409,0.016129032258064516,0.005376344086021506,0.021505376344086023,0.016129032258064516,0.005376344086021506
MTOR UP.V1 DN,0.01098901098901099,0.0,0.02197802197802198,0.0,0.005494505494505495,0.01098901098901099,0.04945054945054945,0.01098901098901099,0.005494505494505495,0.03296703296703297,0.005494505494505495,0.0,0.01098901098901099,0.02197802197802198,0.016483516483516484,0.01098901098901099,0.01098901098901099,0.005494505494505495,0.02197802197802198,0.016483516483516484,0.016483516483516484,0.005494505494505495,0.0,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.2857142857142857,0.08791208791208792,1.0,0.016483516483516484,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.016483516483516484
CAHOY OLIGODENDROCUTIC,0.02,0.01,0.04,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.03,0.03,0.03,0.01,0.01,0.02,0.0,0.04,0.0,0.01,0.0,0.04,0.03,0.03,1.0,0.0,0.02,0.01,0.0
CTIP DN.V1 DN,0.022388059701492536,0.022388059701492536,0.04477611940298507,0.0,0.007462686567164179,0.022388059701492536,0.05223880597014925,0.0,0.014925373134328358,0.03731343283582089,0.007462686567164179,0.0,0.014925373134328358,0.014925373134328358,0.007462686567164179,0.03731343283582089,0.022388059701492536,0.0,0.014925373134328358,0.022388059701492536,0.014925373134328358,0.007462686567164179,0.022388059701492536,0.007462686567164179,0.014925373134328358,0.007462686567164179,0.007462686567164179,0.007462686567164179,0.014925373134328358,0.0,1.0,0.04477611940298507,0.03731343283582089,0.05223880597014925
NOTCH DN.V1 UP,0.03225806451612903,0.03763440860215054,0.06451612903225806,0.010752688172043012,0.005376344086021506,0.026881720430107527,0.03225806451612903,0.005376344086021506,0.021505376344086023,0.026881720430107527,0.04838709677419355,0.0,0.021505376344086023,0.043010752688172046,0.026881720430107527,0.03763440860215054,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.03763440860215054,0.010752688172043012,0.0,0.021505376344086023,0.010752688172043012,0.005376344086021506,0.005376344086021506,0.021505376344086023,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.03225806451612903,1.0,0.04838709677419355,0.026881720430107527
KRAS.PROSTATE UP.V1 DN,0.05,0.0,0.0,0.0,0.0,0.014285714285714285,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.03571428571428571,0.02142857142857143,0.0,0.014285714285714285,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.007142857142857143,0.02142857142857143,0.03571428571428571,0.0,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.02142857142857143,0.02857142857142857,0.007142857142857143,0.03571428571428571,0.06428571428571428,1.0,0.06428571428571428
PRC1 BMI UP.V1 UP,0.02702702702702703,0.021621621621621623,0.05405405405405406,0.005405405405405406,0.010810810810810811,0.02702702702702703,0.05405405405405406,0.021621621621621623,0.0,0.021621621621621623,0.005405405405405406,0.0,0.03783783783783784,0.005405405405405406,0.005405405405405406,0.03783783783783784,0.043243243243243246,0.0,0.005405405405405406,0.04864864864864865,0.005405405405405406,0.021621621621621623,0.043243243243243246,0.005405405405405406,0.021621621621621623,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.016216216216216217,0.0,0.03783783783783784,0.02702702702702703,0.04864864864864865,1.0
