Pathway,MTOR UP.N4.V1 UP,HOXA9 DN.V1 DN,MTOR UP.V1 UP,CYCLIN D1 UP.V1 UP,ESC V6.5 UP LATE.V1 DN,CRX DN.V1 DN,ALK DN.V1 UP,MEL18 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,BMI1 DN.V1 UP,LEF1 UP.V1 UP,KRAS.600 UP.V1 UP,MEK UP.V1 UP,ERBB2 UP.V1 UP,EGFR UP.V1 UP,RAF UP.V1 UP,RB DN.V1 DN,RB P107 DN.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,RPS14 DN.V1 DN,NFE2L2.V2,E2F1 UP.V1 UP,STK33 DN,STK33 NOMO DN,STK33 SKM DN,LTE2 UP.V1 DN,ERBB2 UP.V1 DN,RAF UP.V1 DN,E2F1 UP.V1 DN,KRAS.DF.V1 UP,STK33 NOMO UP,CAMP UP.V1 UP,SIRNA EIF4GI UP,P53 DN.V1 UP,HINATA NFKB MATRIX,VEGF A UP.V1 DN,E2F3 UP.V1 DN,JAK2 DN.V1 UP,PTEN DN.V2 UP,PRC2 EED DN.V1 DN
LEF1 UP.V1 UP,0.010309278350515464,0.03608247422680412,0.010309278350515464,0.010309278350515464,0.030927835051546393,0.02577319587628866,0.04639175257731959,0.05154639175257732,0.05154639175257732,0.03608247422680412,1.0,0.10824742268041238,0.05670103092783505,0.061855670103092786,0.030927835051546393,0.02577319587628866,0.010309278350515464,0.005154639175257732,0.015463917525773196,0.041237113402061855,0.015463917525773196,0.005154639175257732,0.020618556701030927,0.02577319587628866,0.030927835051546393,0.02577319587628866,0.015463917525773196,0.030927835051546393,0.015463917525773196,0.041237113402061855,0.030927835051546393,0.0,0.0,0.04639175257731959,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.02577319587628866,0.020618556701030927,0.010309278350515464
KRAS.600 UP.V1 UP,0.010752688172043012,0.007168458781362007,0.007168458781362007,0.025089605734767026,0.017921146953405017,0.021505376344086023,0.02867383512544803,0.043010752688172046,0.03225806451612903,0.02867383512544803,0.07526881720430108,1.0,0.043010752688172046,0.04659498207885305,0.05734767025089606,0.02867383512544803,0.007168458781362007,0.007168458781362007,0.010752688172043012,0.014336917562724014,0.043010752688172046,0.007168458781362007,0.021505376344086023,0.025089605734767026,0.03225806451612903,0.0035842293906810036,0.010752688172043012,0.010752688172043012,0.025089605734767026,0.06810035842293907,0.06093189964157706,0.010752688172043012,0.0,0.03942652329749104,0.0035842293906810036,0.021505376344086023,0.025089605734767026,0.014336917562724014,0.04659498207885305,0.0035842293906810036
MEK UP.V1 UP,0.02564102564102564,0.041025641025641026,0.010256410256410256,0.02564102564102564,0.02564102564102564,0.020512820512820513,0.03076923076923077,0.05641025641025641,0.046153846153846156,0.035897435897435895,0.05641025641025641,0.06153846153846154,1.0,0.48717948717948717,0.3282051282051282,0.24615384615384617,0.020512820512820513,0.020512820512820513,0.010256410256410256,0.02564102564102564,0.06666666666666667,0.015384615384615385,0.035897435897435895,0.041025641025641026,0.035897435897435895,0.020512820512820513,0.005128205128205128,0.0,0.03076923076923077,0.06666666666666667,0.046153846153846156,0.010256410256410256,0.0,0.06666666666666667,0.005128205128205128,0.041025641025641026,0.015384615384615385,0.005128205128205128,0.06153846153846154,0.03076923076923077
ERBB2 UP.V1 UP,0.02631578947368421,0.042105263157894736,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.015789473684210527,0.03684210526315789,0.015789473684210527,0.031578947368421054,0.02631578947368421,0.06315789473684211,0.06842105263157895,0.5,1.0,0.2631578947368421,0.22631578947368422,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.010526315789473684,0.02631578947368421,0.015789473684210527,0.042105263157894736,0.042105263157894736,0.04736842105263158,0.005263157894736842,0.0,0.021052631578947368,0.031578947368421054,0.06842105263157895,0.05263157894736842,0.015789473684210527,0.010526315789473684,0.05263157894736842,0.005263157894736842,0.02631578947368421,0.005263157894736842,0.015789473684210527,0.021052631578947368,0.04736842105263158
EGFR UP.V1 UP,0.046875,0.041666666666666664,0.005208333333333333,0.026041666666666668,0.026041666666666668,0.03125,0.026041666666666668,0.08854166666666667,0.09375,0.08333333333333333,0.03125,0.08333333333333333,0.3333333333333333,0.2604166666666667,1.0,0.234375,0.03125,0.026041666666666668,0.020833333333333332,0.015625,0.03125,0.020833333333333332,0.03125,0.036458333333333336,0.026041666666666668,0.052083333333333336,0.010416666666666666,0.03125,0.046875,0.078125,0.10416666666666667,0.026041666666666668,0.015625,0.0625,0.010416666666666666,0.046875,0.020833333333333332,0.010416666666666666,0.036458333333333336,0.005208333333333333
RAF UP.V1 UP,0.025906735751295335,0.03626943005181347,0.010362694300518135,0.02072538860103627,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.025906735751295335,0.04145077720207254,0.046632124352331605,0.025906735751295335,0.04145077720207254,0.24870466321243523,0.22279792746113988,0.23316062176165803,1.0,0.025906735751295335,0.02072538860103627,0.010362694300518135,0.02072538860103627,0.03626943005181347,0.015544041450777202,0.04145077720207254,0.03626943005181347,0.046632124352331605,0.04145077720207254,0.010362694300518135,0.0,0.02072538860103627,0.06217616580310881,0.05181347150259067,0.031088082901554404,0.015544041450777202,0.07772020725388601,0.0,0.025906735751295335,0.015544041450777202,0.02072538860103627,0.010362694300518135,0.02072538860103627
RB DN.V1 DN,0.056910569105691054,0.04878048780487805,0.04878048780487805,0.008130081300813009,0.016260162601626018,0.04878048780487805,0.04065040650406504,0.06504065040650407,0.04065040650406504,0.07317073170731707,0.016260162601626018,0.016260162601626018,0.032520325203252036,0.04065040650406504,0.04878048780487805,0.04065040650406504,1.0,0.13008130081300814,0.016260162601626018,0.008130081300813009,0.04065040650406504,0.016260162601626018,0.024390243902439025,0.016260162601626018,0.024390243902439025,0.04878048780487805,0.016260162601626018,0.04065040650406504,0.032520325203252036,0.008130081300813009,0.024390243902439025,0.008130081300813009,0.016260162601626018,0.016260162601626018,0.008130081300813009,0.008130081300813009,0.0,0.008130081300813009,0.008130081300813009,0.0
RB P107 DN.V1 DN,0.06299212598425197,0.015748031496062992,0.007874015748031496,0.007874015748031496,0.031496062992125984,0.015748031496062992,0.015748031496062992,0.015748031496062992,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.015748031496062992,0.031496062992125984,0.031496062992125984,0.03937007874015748,0.031496062992125984,0.12598425196850394,1.0,0.0,0.015748031496062992,0.047244094488188976,0.0,0.05511811023622047,0.03937007874015748,0.047244094488188976,0.023622047244094488,0.015748031496062992,0.015748031496062992,0.047244094488188976,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.0,0.007874015748031496,0.0,0.023622047244094488,0.007874015748031496,0.0,0.015748031496062992,0.015748031496062992
CORDENONSI YAP CONSERVED SIGNATURE,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.0,0.03508771929824561,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.05263157894736842,0.03508771929824561,0.05263157894736842,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.0,1.0,0.10526315789473684,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.07017543859649122,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.0,0.10526315789473684,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.0,0.0,0.0
RPS14 DN.V1 DN,0.08602150537634409,0.08602150537634409,0.021505376344086023,0.026881720430107527,0.04838709677419355,0.021505376344086023,0.03225806451612903,0.016129032258064516,0.010752688172043012,0.021505376344086023,0.043010752688172046,0.021505376344086023,0.026881720430107527,0.010752688172043012,0.016129032258064516,0.021505376344086023,0.005376344086021506,0.010752688172043012,0.03225806451612903,1.0,0.06989247311827956,0.053763440860215055,0.043010752688172046,0.03763440860215054,0.021505376344086023,0.021505376344086023,0.03763440860215054,0.016129032258064516,0.021505376344086023,0.016129032258064516,0.005376344086021506,0.016129032258064516,0.0,0.016129032258064516,0.0,0.04838709677419355,0.026881720430107527,0.005376344086021506,0.03225806451612903,0.07526881720430108
NFE2L2.V2,0.0255863539445629,0.019189765458422176,0.019189765458422176,0.010660980810234541,0.021321961620469083,0.006396588486140725,0.03411513859275053,0.014925373134328358,0.017057569296375266,0.014925373134328358,0.006396588486140725,0.0255863539445629,0.02771855010660981,0.010660980810234541,0.01279317697228145,0.014925373134328358,0.010660980810234541,0.01279317697228145,0.006396588486140725,0.02771855010660981,1.0,0.014925373134328358,0.031982942430703626,0.03624733475479744,0.021321961620469083,0.017057569296375266,0.010660980810234541,0.017057569296375266,0.017057569296375266,0.014925373134328358,0.014925373134328358,0.017057569296375266,0.006396588486140725,0.008528784648187633,0.0,0.017057569296375266,0.010660980810234541,0.017057569296375266,0.014925373134328358,0.01279317697228145
E2F1 UP.V1 UP,0.005319148936170213,0.03723404255319149,0.015957446808510637,0.010638297872340425,0.026595744680851064,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.015957446808510637,0.015957446808510637,0.02127659574468085,0.015957446808510637,0.010638297872340425,0.0,0.010638297872340425,0.05319148936170213,0.03723404255319149,1.0,0.026595744680851064,0.02127659574468085,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.026595744680851064,0.0,0.031914893617021274,0.010638297872340425,0.015957446808510637,0.010638297872340425,0.005319148936170213,0.0,0.047872340425531915,0.010638297872340425,0.0,0.005319148936170213,0.031914893617021274
STK33 DN,0.04285714285714286,0.02142857142857143,0.0035714285714285713,0.02142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.0035714285714285713,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.02142857142857143,0.025,0.02857142857142857,0.02142857142857143,0.02857142857142857,0.010714285714285714,0.025,0.0035714285714285713,0.02857142857142857,0.05357142857142857,0.017857142857142856,1.0,0.675,0.55,0.03214285714285714,0.02857142857142857,0.039285714285714285,0.02857142857142857,0.010714285714285714,0.0,0.014285714285714285,0.0,0.02857142857142857,0.0035714285714285713,0.0035714285714285713,0.007142857142857143,0.007142857142857143,0.010714285714285714,0.02857142857142857
STK33 NOMO DN,0.0425531914893617,0.014184397163120567,0.010638297872340425,0.01773049645390071,0.014184397163120567,0.0,0.014184397163120567,0.0,0.0070921985815602835,0.0070921985815602835,0.01773049645390071,0.024822695035460994,0.028368794326241134,0.028368794326241134,0.024822695035460994,0.024822695035460994,0.0070921985815602835,0.01773049645390071,0.0035460992907801418,0.024822695035460994,0.06028368794326241,0.014184397163120567,0.6702127659574468,1.0,0.30141843971631205,0.024822695035460994,0.024822695035460994,0.028368794326241134,0.01773049645390071,0.014184397163120567,0.0,0.02127659574468085,0.0035460992907801418,0.024822695035460994,0.0,0.0,0.0035460992907801418,0.0070921985815602835,0.01773049645390071,0.031914893617021274
STK33 SKM DN,0.025362318840579712,0.04710144927536232,0.0036231884057971015,0.021739130434782608,0.007246376811594203,0.0036231884057971015,0.010869565217391304,0.010869565217391304,0.018115942028985508,0.014492753623188406,0.021739130434782608,0.03260869565217391,0.025362318840579712,0.03260869565217391,0.018115942028985508,0.03260869565217391,0.010869565217391304,0.021739130434782608,0.007246376811594203,0.014492753623188406,0.036231884057971016,0.014492753623188406,0.5579710144927537,0.3079710144927536,1.0,0.025362318840579712,0.014492753623188406,0.036231884057971016,0.025362318840579712,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.0,0.036231884057971016,0.0036231884057971015,0.007246376811594203,0.0036231884057971015,0.014492753623188406,0.007246376811594203,0.021739130434782608
LTE2 UP.V1 DN,0.046153846153846156,0.041025641025641026,0.041025641025641026,0.041025641025641026,0.020512820512820513,0.005128205128205128,0.02564102564102564,0.041025641025641026,0.046153846153846156,0.03076923076923077,0.02564102564102564,0.005128205128205128,0.020512820512820513,0.005128205128205128,0.05128205128205128,0.041025641025641026,0.03076923076923077,0.015384615384615385,0.005128205128205128,0.020512820512820513,0.041025641025641026,0.010256410256410256,0.046153846153846156,0.035897435897435895,0.035897435897435895,1.0,0.3435897435897436,0.27692307692307694,0.02564102564102564,0.07179487179487179,0.03076923076923077,0.035897435897435895,0.010256410256410256,0.02564102564102564,0.0,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.010256410256410256,0.0
ERBB2 UP.V1 DN,0.03553299492385787,0.025380710659898477,0.02030456852791878,0.02030456852791878,0.02030456852791878,0.005076142131979695,0.0,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.015228426395939087,0.015228426395939087,0.005076142131979695,0.0,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.03553299492385787,0.025380710659898477,0.02030456852791878,0.04060913705583756,0.03553299492385787,0.02030456852791878,0.3401015228426396,1.0,0.2436548223350254,0.025380710659898477,0.050761421319796954,0.04060913705583756,0.025380710659898477,0.01015228426395939,0.02030456852791878,0.0,0.07614213197969544,0.015228426395939087,0.005076142131979695,0.015228426395939087,0.0
RAF UP.V1 DN,0.025906735751295335,0.046632124352331605,0.010362694300518135,0.010362694300518135,0.010362694300518135,0.0051813471502590676,0.02072538860103627,0.03626943005181347,0.02072538860103627,0.03626943005181347,0.031088082901554404,0.015544041450777202,0.0,0.02072538860103627,0.031088082901554404,0.0,0.025906735751295335,0.010362694300518135,0.02072538860103627,0.015544041450777202,0.04145077720207254,0.025906735751295335,0.05699481865284974,0.04145077720207254,0.05181347150259067,0.27979274611398963,0.24870466321243523,1.0,0.05181347150259067,0.031088082901554404,0.07253886010362694,0.02072538860103627,0.02072538860103627,0.046632124352331605,0.0051813471502590676,0.025906735751295335,0.010362694300518135,0.031088082901554404,0.0051813471502590676,0.0
E2F1 UP.V1 DN,0.0481283422459893,0.03208556149732621,0.016042780748663103,0.0213903743315508,0.053475935828877004,0.03208556149732621,0.0213903743315508,0.0427807486631016,0.0481283422459893,0.0374331550802139,0.016042780748663103,0.0374331550802139,0.03208556149732621,0.03208556149732621,0.0481283422459893,0.0213903743315508,0.0213903743315508,0.03208556149732621,0.0213903743315508,0.0213903743315508,0.0427807486631016,0.0,0.0427807486631016,0.026737967914438502,0.0374331550802139,0.026737967914438502,0.026737967914438502,0.053475935828877004,1.0,0.058823529411764705,0.058823529411764705,0.016042780748663103,0.0106951871657754,0.03208556149732621,0.0,0.0213903743315508,0.0106951871657754,0.0106951871657754,0.0213903743315508,0.0106951871657754
KRAS.DF.V1 UP,0.04712041884816754,0.03664921465968586,0.03664921465968586,0.02617801047120419,0.031413612565445025,0.020942408376963352,0.015706806282722512,0.05759162303664921,0.05235602094240838,0.05759162303664921,0.041884816753926704,0.09947643979057591,0.06806282722513089,0.06806282722513089,0.07853403141361257,0.06282722513089005,0.005235602094240838,0.020942408376963352,0.010471204188481676,0.015706806282722512,0.03664921465968586,0.031413612565445025,0.015706806282722512,0.020942408376963352,0.015706806282722512,0.07329842931937172,0.05235602094240838,0.031413612565445025,0.05759162303664921,1.0,0.08376963350785341,0.02617801047120419,0.010471204188481676,0.05759162303664921,0.010471204188481676,0.06282722513089005,0.041884816753926704,0.015706806282722512,0.041884816753926704,0.020942408376963352
STK33 NOMO UP,0.020689655172413793,0.0034482758620689655,0.0034482758620689655,0.006896551724137931,0.013793103448275862,0.020689655172413793,0.034482758620689655,0.034482758620689655,0.03793103448275862,0.03103448275862069,0.020689655172413793,0.05862068965517241,0.03103448275862069,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.010344827586206896,0.013793103448275862,0.010344827586206896,0.0034482758620689655,0.02413793103448276,0.006896551724137931,0.0,0.0,0.010344827586206896,0.020689655172413793,0.027586206896551724,0.04827586206896552,0.03793103448275862,0.05517241379310345,1.0,0.020689655172413793,0.0034482758620689655,0.02413793103448276,0.006896551724137931,0.03103448275862069,0.017241379310344827,0.010344827586206896,0.027586206896551724,0.013793103448275862
CAMP UP.V1 UP,0.025,0.005,0.015,0.015,0.015,0.0,0.01,0.0,0.005,0.0,0.0,0.015,0.01,0.015,0.025,0.03,0.005,0.02,0.005,0.015,0.04,0.015,0.02,0.03,0.015,0.035,0.025,0.02,0.015,0.025,0.03,1.0,0.02,0.01,0.0,0.01,0.01,0.02,0.01,0.0
SIRNA EIF4GI UP,0.031578947368421054,0.010526315789473684,0.05263157894736842,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.0,0.021052631578947368,0.031578947368421054,0.031578947368421054,0.021052631578947368,0.0,0.0,0.0,0.031578947368421054,0.021052631578947368,0.0,0.010526315789473684,0.0,0.021052631578947368,0.021052631578947368,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.042105263157894736,1.0,0.010526315789473684,0.0,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.0
P53 DN.V1 UP,0.020618556701030927,0.015463917525773196,0.015463917525773196,0.010309278350515464,0.020618556701030927,0.010309278350515464,0.0,0.030927835051546393,0.04639175257731959,0.04639175257731959,0.04639175257731959,0.05670103092783505,0.06701030927835051,0.05154639175257732,0.061855670103092786,0.07731958762886598,0.010309278350515464,0.005154639175257732,0.030927835051546393,0.015463917525773196,0.020618556701030927,0.005154639175257732,0.041237113402061855,0.03608247422680412,0.05154639175257732,0.02577319587628866,0.020618556701030927,0.04639175257731959,0.030927835051546393,0.05670103092783505,0.03608247422680412,0.010309278350515464,0.005154639175257732,1.0,0.010309278350515464,0.061855670103092786,0.02577319587628866,0.02577319587628866,0.03608247422680412,0.010309278350515464
HINATA NFKB MATRIX,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,1.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0
VEGF A UP.V1 DN,0.031088082901554404,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.02072538860103627,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.031088082901554404,0.04145077720207254,0.025906735751295335,0.046632124352331605,0.025906735751295335,0.0051813471502590676,0.015544041450777202,0.010362694300518135,0.046632124352331605,0.04145077720207254,0.046632124352331605,0.0051813471502590676,0.0,0.010362694300518135,0.015544041450777202,0.07772020725388601,0.025906735751295335,0.02072538860103627,0.06217616580310881,0.046632124352331605,0.010362694300518135,0.0051813471502590676,0.06217616580310881,0.015544041450777202,1.0,0.02072538860103627,0.010362694300518135,0.0,0.03626943005181347
E2F3 UP.V1 DN,0.012269938650306749,0.012269938650306749,0.012269938650306749,0.018404907975460124,0.012269938650306749,0.012269938650306749,0.018404907975460124,0.03680981595092025,0.024539877300613498,0.04294478527607362,0.024539877300613498,0.04294478527607362,0.018404907975460124,0.006134969325153374,0.024539877300613498,0.018404907975460124,0.0,0.006134969325153374,0.006134969325153374,0.03067484662576687,0.03067484662576687,0.012269938650306749,0.012269938650306749,0.006134969325153374,0.006134969325153374,0.024539877300613498,0.018404907975460124,0.012269938650306749,0.012269938650306749,0.049079754601226995,0.03067484662576687,0.012269938650306749,0.006134969325153374,0.03067484662576687,0.006134969325153374,0.024539877300613498,1.0,0.006134969325153374,0.018404907975460124,0.018404907975460124
