Pathway,EPITHELIAL MESENCHYMAL TRANSITION,ANGIOGENESIS,UV RESPONSE DN,APICAL JUNCTION,MYOGENESIS,WNT BETA CATENIN SIGNALING,E2F TARGETS,G2M CHECKPOINT,MYC TARGETS V2,MYC TARGETS V1,COAGULATION,COMPLEMENT,XENOBIOTIC METABOLISM,HEME METABOLISM,KRAS SIGNALING DN,SPERMATOGENESIS,INFLAMMATORY RESPONSE,TNFA SIGNALING VIA NFKB,IL2 STAT5 SIGNALING,ALLOGRAFT REJECTION,UV RESPONSE UP,TGF BETA SIGNALING,PROTEIN SECRETION,UNFOLDED PROTEIN RESPONSE,PANCREAS BETA CELLS
KRAS SIGNALING DN,0.005,0.0,0.005,0.02,0.035,0.0,0.005,0.01,0.0,0.0,0.015,0.015,0.005,0.01,1.0,0.03,0.03,0.04,0.0,0.03,0.02,0.005,0.005,0.0,0.01
SPERMATOGENESIS,0.0,0.0,0.0,0.014814814814814815,0.014814814814814815,0.0,0.044444444444444446,0.08148148148148149,0.0,0.014814814814814815,0.0,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.044444444444444446,1.0,0.0,0.0,0.014814814814814815,0.0,0.022222222222222223,0.0,0.0,0.0,0.0
INFLAMMATORY RESPONSE,0.065,0.015,0.075,0.015,0.02,0.005,0.01,0.015,0.005,0.005,0.045,0.105,0.025,0.015,0.03,0.0,1.0,0.255,0.1,0.185,0.05,0.01,0.01,0.005,0.0
TNFA SIGNALING VIA NFKB,0.11,0.02,0.06,0.02,0.025,0.01,0.01,0.025,0.01,0.005,0.035,0.08,0.035,0.01,0.04,0.0,0.255,1.0,0.105,0.095,0.1,0.05,0.005,0.025,0.0
IL2 STAT5 SIGNALING,0.05025125628140704,0.02512562814070352,0.02512562814070352,0.010050251256281407,0.03015075376884422,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.02512562814070352,0.010050251256281407,0.02512562814070352,0.03015075376884422,0.035175879396984924,0.01507537688442211,0.0,0.010050251256281407,0.10050251256281408,0.10552763819095477,1.0,0.08542713567839195,0.04522613065326633,0.02512562814070352,0.005025125628140704,0.005025125628140704,0.0
ALLOGRAFT REJECTION,0.045,0.015,0.01,0.035,0.01,0.005,0.015,0.015,0.005,0.025,0.03,0.075,0.03,0.005,0.03,0.0,0.185,0.095,0.085,1.0,0.025,0.015,0.01,0.01,0.0
UV RESPONSE UP,0.04430379746835443,0.006329113924050633,0.0,0.012658227848101266,0.0189873417721519,0.0,0.0189873417721519,0.0189873417721519,0.0,0.0379746835443038,0.0189873417721519,0.06329113924050633,0.06962025316455696,0.056962025316455694,0.02531645569620253,0.0189873417721519,0.06329113924050633,0.12658227848101267,0.056962025316455694,0.03164556962025317,1.0,0.02531645569620253,0.0189873417721519,0.03164556962025317,0.0
TGF BETA SIGNALING,0.09259259259259259,0.0,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.018518518518518517,0.037037037037037035,0.0,0.018518518518518517,0.0,0.037037037037037035,0.18518518518518517,0.09259259259259259,0.05555555555555555,0.07407407407407407,1.0,0.0,0.0,0.0
PROTEIN SECRETION,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,0.020833333333333332,0.0,0.0,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.0,0.020833333333333332,0.010416666666666666,0.0,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.03125,0.0,1.0,0.020833333333333332,0.0
UNFOLDED PROTEIN RESPONSE,0.008849557522123894,0.008849557522123894,0.0,0.008849557522123894,0.017699115044247787,0.0,0.05309734513274336,0.05309734513274336,0.04424778761061947,0.08849557522123894,0.0,0.017699115044247787,0.008849557522123894,0.008849557522123894,0.0,0.0,0.008849557522123894,0.04424778761061947,0.008849557522123894,0.017699115044247787,0.04424778761061947,0.0,0.017699115044247787,1.0,0.02654867256637168
PANCREAS BETA CELLS,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,1.0
