Pathway,PSMB5 TARGET GENES,EGFR TARGET GENES,MAPK3 TARGET GENES,MAP2K1 TARGET GENES,NFXL1 TARGET GENES,RBM15 TARGET GENES,BRF2 TARGET GENES,TERT TARGET GENES,CSHL1 TARGET GENES,MED25 TARGET GENES,COIL TARGET GENES,GTF2E2 TARGET GENES,SNAPC2 TARGET GENES,TAFAZZIN TARGET GENES,PRMT5 TARGET GENES,TBX1 TARGET GENES,SIX1 TARGET GENES,SOX10 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",CASP3 TARGET GENES,HJURP TARGET GENES,FOXR2 TARGET GENES,CREB3L2 TARGET GENES,ZNF623 TARGET GENES,ZNF558 TARGET GENES,SKP2 TARGET GENES,DNMT1 TARGET GENES,NEUROG3 TARGET GENES,RAX2 TARGET GENES,F10 TARGET GENES,ZNF239 TARGET GENES,ALKBH3 TARGET GENES,ZNF85 TARGET GENES,ZNF830 TARGET GENES,NCOA6 TARGET GENES,ZBED4 TARGET GENES,ZNF581 TARGET GENES,PITX1 TARGET GENES,ZNF33A TARGET GENES,ZNF582 TARGET GENES
TAFAZZIN TARGET GENES,0.01639344262295082,0.006147540983606557,0.00819672131147541,0.0020491803278688526,0.0471311475409836,0.00819672131147541,0.0,0.010245901639344262,0.01639344262295082,0.02459016393442623,0.0,0.018442622950819672,0.0,1.0,0.02663934426229508,0.03278688524590164,0.040983606557377046,0.020491803278688523,0.04918032786885246,0.0,0.004098360655737705,0.014344262295081968,0.0,0.030737704918032786,0.02459016393442623,0.004098360655737705,0.020491803278688523,0.0020491803278688526,0.0,0.020491803278688523,0.0020491803278688526,0.028688524590163935,0.020491803278688523,0.010245901639344262,0.02459016393442623,0.02459016393442623,0.010245901639344262,0.02459016393442623,0.010245901639344262,0.004098360655737705
PRMT5 TARGET GENES,0.0761904761904762,0.0380952380952381,0.06666666666666667,0.0,0.02857142857142857,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.05714285714285714,0.18095238095238095,0.009523809523809525,0.10476190476190476,0.02857142857142857,0.12380952380952381,1.0,0.10476190476190476,0.047619047619047616,0.047619047619047616,0.01904761904761905,0.0,0.0,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.06666666666666667,0.0,0.02857142857142857,0.0,0.0,0.047619047619047616,0.0,0.009523809523809525,0.0380952380952381,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.0
TBX1 TARGET GENES,0.03225806451612903,0.020161290322580645,0.012096774193548387,0.0,0.020161290322580645,0.004032258064516129,0.008064516129032258,0.016129032258064516,0.036290322580645164,0.056451612903225805,0.0,0.05241935483870968,0.0,0.06451612903225806,0.04435483870967742,1.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.004032258064516129,0.024193548387096774,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.04838709677419355,0.008064516129032258,0.04838709677419355,0.0,0.0,0.020161290322580645,0.012096774193548387,0.05241935483870968,0.05241935483870968,0.024193548387096774,0.020161290322580645,0.03225806451612903,0.028225806451612902,0.03225806451612903,0.03225806451612903,0.012096774193548387
SIX1 TARGET GENES,0.015665796344647518,0.0,0.007832898172323759,0.0,0.031331592689295036,0.007832898172323759,0.0,0.0,0.007832898172323759,0.005221932114882507,0.0,0.015665796344647518,0.0,0.05221932114882506,0.013054830287206266,0.020887728459530026,1.0,0.02349869451697128,0.031331592689295036,0.0,0.0026109660574412533,0.010443864229765013,0.015665796344647518,0.031331592689295036,0.031331592689295036,0.005221932114882507,0.015665796344647518,0.0026109660574412533,0.0026109660574412533,0.03655352480417755,0.0,0.02349869451697128,0.018276762402088774,0.010443864229765013,0.020887728459530026,0.007832898172323759,0.013054830287206266,0.015665796344647518,0.013054830287206266,0.0026109660574412533
SOX10 TARGET GENES,0.006289308176100629,0.0031446540880503146,0.018867924528301886,0.0,0.015723270440251572,0.018867924528301886,0.0031446540880503146,0.006289308176100629,0.006289308176100629,0.015723270440251572,0.0,0.02830188679245283,0.0,0.031446540880503145,0.015723270440251572,0.025157232704402517,0.02830188679245283,1.0,0.0220125786163522,0.0,0.0,0.0220125786163522,0.0,0.012578616352201259,0.009433962264150943,0.0031446540880503146,0.018867924528301886,0.0,0.0031446540880503146,0.040880503144654086,0.0,0.006289308176100629,0.0031446540880503146,0.018867924528301886,0.012578616352201259,0.025157232704402517,0.018867924528301886,0.0220125786163522,0.018867924528301886,0.0
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.00477326968973747,0.0,0.007159904534606206,0.0,0.021479713603818614,0.016706443914081145,0.0,0.011933174224343675,0.007159904534606206,0.007159904534606206,0.002386634844868735,0.021479713603818614,0.0,0.057279236276849645,0.00477326968973747,0.01909307875894988,0.028639618138424822,0.016706443914081145,1.0,0.0,0.002386634844868735,0.00477326968973747,0.002386634844868735,0.011933174224343675,0.021479713603818614,0.0,0.016706443914081145,0.002386634844868735,0.0,0.021479713603818614,0.0,0.011933174224343675,0.021479713603818614,0.007159904534606206,0.016706443914081145,0.014319809069212411,0.016706443914081145,0.011933174224343675,0.016706443914081145,0.002386634844868735
CASP3 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,1.0,0.5333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0
HJURP TARGET GENES,0.12698412698412698,0.047619047619047616,0.047619047619047616,0.031746031746031744,0.015873015873015872,0.06349206349206349,0.031746031746031744,0.047619047619047616,0.07936507936507936,0.031746031746031744,0.0,0.15873015873015872,0.0,0.031746031746031744,0.0,0.09523809523809523,0.015873015873015872,0.0,0.015873015873015872,0.12698412698412698,1.0,0.15873015873015872,0.031746031746031744,0.031746031746031744,0.015873015873015872,0.0,0.06349206349206349,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.09523809523809523,0.07936507936507936,0.07936507936507936,0.047619047619047616,0.0
FOXR2 TARGET GENES,0.017094017094017096,0.004273504273504274,0.02564102564102564,0.0,0.021367521367521368,0.01282051282051282,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.0,0.0,0.038461538461538464,0.0,0.029914529914529916,0.008547008547008548,0.03418803418803419,0.017094017094017096,0.029914529914529916,0.008547008547008548,0.017094017094017096,0.042735042735042736,1.0,0.05128205128205128,0.01282051282051282,0.02564102564102564,0.004273504273504274,0.05555555555555555,0.0,0.01282051282051282,0.004273504273504274,0.0,0.05982905982905983,0.038461538461538464,0.05982905982905983,0.008547008547008548,0.03418803418803419,0.038461538461538464,0.05128205128205128,0.02564102564102564,0.017094017094017096
CREB3L2 TARGET GENES,0.02666666666666667,0.0,0.02,0.0,0.006666666666666667,0.006666666666666667,0.0,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.0,0.07333333333333333,0.0,0.0,0.006666666666666667,0.02666666666666667,0.04,0.0,0.006666666666666667,0.0,0.013333333333333334,0.08,1.0,0.06,0.08666666666666667,0.006666666666666667,0.04,0.006666666666666667,0.02666666666666667,0.006666666666666667,0.0,0.16,0.08666666666666667,0.006666666666666667,0.0,0.04666666666666667,0.06,0.09333333333333334,0.013333333333333334,0.0
ZNF623 TARGET GENES,0.014553014553014554,0.002079002079002079,0.002079002079002079,0.0,0.05405405405405406,0.006237006237006237,0.002079002079002079,0.014553014553014554,0.02286902286902287,0.006237006237006237,0.0,0.018711018711018712,0.0,0.031185031185031187,0.002079002079002079,0.016632016632016633,0.02494802494802495,0.008316008316008316,0.010395010395010396,0.0,0.004158004158004158,0.006237006237006237,0.018711018711018712,1.0,0.1600831600831601,0.004158004158004158,0.014553014553014554,0.004158004158004158,0.0,0.012474012474012475,0.012474012474012475,0.033264033264033266,0.0395010395010395,0.031185031185031187,0.018711018711018712,0.012474012474012475,0.029106029106029108,0.010395010395010396,0.029106029106029108,0.010395010395010396
ZNF558 TARGET GENES,0.03514376996805112,0.003194888178913738,0.003194888178913738,0.0,0.022364217252396165,0.025559105431309903,0.009584664536741214,0.019169329073482427,0.019169329073482427,0.022364217252396165,0.0,0.05750798722044728,0.0,0.038338658146964855,0.022364217252396165,0.038338658146964855,0.038338658146964855,0.009584664536741214,0.02875399361022364,0.0,0.003194888178913738,0.019169329073482427,0.04153354632587859,0.24600638977635783,1.0,0.003194888178913738,0.02875399361022364,0.0,0.0,0.04792332268370607,0.025559105431309903,0.09584664536741214,0.11182108626198083,0.04472843450479233,0.03194888178913738,0.009584664536741214,0.03194888178913738,0.019169329073482427,0.04472843450479233,0.006389776357827476
SKP2 TARGET GENES,0.014492753623188406,0.014492753623188406,0.0,0.0,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.028985507246376812,0.0,0.028985507246376812,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.014492753623188406,1.0,0.043478260869565216,0.0,0.0,0.014492753623188406,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.057971014492753624,0.028985507246376812,0.0,0.014492753623188406,0.0,0.0
DNMT1 TARGET GENES,0.01282051282051282,0.004273504273504274,0.008547008547008548,0.0,0.02564102564102564,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.008547008547008548,0.029914529914529916,0.0,0.02564102564102564,0.008547008547008548,0.042735042735042736,0.01282051282051282,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.029914529914529916,0.008547008547008548,0.017094017094017096,0.05555555555555555,0.02564102564102564,0.029914529914529916,0.038461538461538464,0.01282051282051282,1.0,0.008547008547008548,0.01282051282051282,0.02564102564102564,0.004273504273504274,0.03418803418803419,0.04700854700854701,0.042735042735042736,0.042735042735042736,0.05982905982905983,0.03418803418803419,0.02564102564102564,0.03418803418803419,0.01282051282051282
NEUROG3 TARGET GENES,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0
RAX2 TARGET GENES,0.027777777777777776,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.013888888888888888,0.027777777777777776,0.0,0.013888888888888888,0.0,0.09722222222222222,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.0,0.0,0.0,0.041666666666666664,0.013888888888888888,1.0,0.013888888888888888,0.013888888888888888,0.1527777777777778,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.05555555555555555,0.06944444444444445,0.013888888888888888,0.013888888888888888,0.027777777777777776
F10 TARGET GENES,0.01384083044982699,0.010380622837370242,0.0034602076124567475,0.0,0.04152249134948097,0.006920415224913495,0.0034602076124567475,0.020761245674740483,0.02422145328719723,0.02422145328719723,0.0,0.05536332179930796,0.0,0.03460207612456748,0.01730103806228374,0.01730103806228374,0.04844290657439446,0.04498269896193772,0.031141868512110725,0.0,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.020761245674740483,0.05190311418685121,0.0034602076124567475,0.020761245674740483,0.0,0.0034602076124567475,1.0,0.006920415224913495,0.058823529411764705,0.05190311418685121,0.01384083044982699,0.020761245674740483,0.020761245674740483,0.006920415224913495,0.010380622837370242,0.010380622837370242,0.0
ZNF239 TARGET GENES,0.02564102564102564,0.0,0.05128205128205128,0.0,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.20512820512820512,0.0,0.02564102564102564,0.0,0.02564102564102564,0.05128205128205128,1.0,0.23076923076923078,0.1794871794871795,0.05128205128205128,0.02564102564102564,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0
ALKBH3 TARGET GENES,0.045146726862302484,0.002257336343115124,0.004514672686230248,0.0,0.01805869074492099,0.013544018058690745,0.0,0.002257336343115124,0.02708803611738149,0.02708803611738149,0.0,0.1309255079006772,0.0,0.03160270880361174,0.002257336343115124,0.029345372460496615,0.020316027088036117,0.004514672686230248,0.011286681715575621,0.0,0.0,0.03160270880361174,0.05417607223476298,0.03611738148984198,0.06772009029345373,0.002257336343115124,0.01805869074492099,0.0,0.024830699774266364,0.03837471783295711,0.020316027088036117,1.0,0.2234762979683973,0.04740406320541761,0.02708803611738149,0.040632054176072234,0.029345372460496615,0.05191873589164785,0.024830699774266364,0.004514672686230248
ZNF85 TARGET GENES,0.021341463414634148,0.009146341463414634,0.01524390243902439,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.0,0.01524390243902439,0.03048780487804878,0.04878048780487805,0.0,0.10975609756097561,0.006097560975609756,0.03048780487804878,0.012195121951219513,0.039634146341463415,0.021341463414634148,0.003048780487804878,0.027439024390243903,0.0,0.006097560975609756,0.027439024390243903,0.039634146341463415,0.057926829268292686,0.10670731707317073,0.003048780487804878,0.03353658536585366,0.0,0.003048780487804878,0.04573170731707317,0.021341463414634148,0.3018292682926829,1.0,0.036585365853658534,0.01524390243902439,0.03353658536585366,0.03353658536585366,0.051829268292682924,0.051829268292682924,0.006097560975609756
ZNF830 TARGET GENES,0.031141868512110725,0.0,0.010380622837370242,0.0,0.02768166089965398,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.01384083044982699,0.006920415224913495,0.0,0.031141868512110725,0.0034602076124567475,0.01730103806228374,0.0034602076124567475,0.020761245674740483,0.01384083044982699,0.020761245674740483,0.010380622837370242,0.0,0.0034602076124567475,0.04844290657439446,0.0034602076124567475,0.05190311418685121,0.04844290657439446,0.0034602076124567475,0.03460207612456748,0.0,0.010380622837370242,0.01384083044982699,0.006920415224913495,0.0726643598615917,0.04152249134948097,1.0,0.2837370242214533,0.010380622837370242,0.04498269896193772,0.04498269896193772,0.03460207612456748,0.01384083044982699
NCOA6 TARGET GENES,0.024861878453038673,0.0055248618784530384,0.0055248618784530384,0.0027624309392265192,0.04696132596685083,0.027624309392265192,0.0,0.019337016574585635,0.011049723756906077,0.013812154696132596,0.0,0.019337016574585635,0.0,0.03314917127071823,0.0055248618784530384,0.013812154696132596,0.022099447513812154,0.011049723756906077,0.019337016574585635,0.0,0.0027624309392265192,0.0055248618784530384,0.0,0.024861878453038673,0.027624309392265192,0.011049723756906077,0.027624309392265192,0.0,0.008287292817679558,0.016574585635359115,0.0027624309392265192,0.03314917127071823,0.013812154696132596,0.2265193370165746,1.0,0.008287292817679558,0.024861878453038673,0.022099447513812154,0.022099447513812154,0.0
ZBED4 TARGET GENES,0.045454545454545456,0.003246753246753247,0.025974025974025976,0.003246753246753247,0.04220779220779221,0.022727272727272728,0.0,0.00974025974025974,0.045454545454545456,0.01948051948051948,0.003246753246753247,0.03896103896103896,0.0,0.03896103896103896,0.006493506493506494,0.025974025974025976,0.00974025974025974,0.025974025974025976,0.01948051948051948,0.0,0.01948051948051948,0.025974025974025976,0.022727272727272728,0.01948051948051948,0.00974025974025974,0.006493506493506494,0.045454545454545456,0.0,0.012987012987012988,0.01948051948051948,0.0,0.05844155844155844,0.03571428571428571,0.00974025974025974,0.00974025974025974,1.0,0.07467532467532467,0.1038961038961039,0.016233766233766232,0.003246753246753247
ZNF581 TARGET GENES,0.06927710843373494,0.0,0.015060240963855422,0.0030120481927710845,0.015060240963855422,0.006024096385542169,0.0,0.009036144578313253,0.04216867469879518,0.018072289156626505,0.0,0.060240963855421686,0.006024096385542169,0.015060240963855422,0.006024096385542169,0.02108433734939759,0.015060240963855422,0.018072289156626505,0.02108433734939759,0.0,0.015060240963855422,0.02710843373493976,0.02710843373493976,0.04216867469879518,0.030120481927710843,0.0,0.024096385542168676,0.0030120481927710845,0.015060240963855422,0.006024096385542169,0.006024096385542169,0.0391566265060241,0.03313253012048193,0.0391566265060241,0.02710843373493976,0.06927710843373494,1.0,0.10542168674698796,0.04819277108433735,0.009036144578313253
PITX1 TARGET GENES,0.04843304843304843,0.002849002849002849,0.017094017094017096,0.0,0.019943019943019943,0.022792022792022793,0.002849002849002849,0.011396011396011397,0.022792022792022793,0.005698005698005698,0.002849002849002849,0.06267806267806268,0.002849002849002849,0.03418803418803419,0.002849002849002849,0.022792022792022793,0.017094017094017096,0.019943019943019943,0.014245014245014245,0.0,0.014245014245014245,0.03418803418803419,0.039886039886039885,0.014245014245014245,0.017094017094017096,0.002849002849002849,0.017094017094017096,0.005698005698005698,0.002849002849002849,0.008547008547008548,0.0,0.06552706552706553,0.04843304843304843,0.037037037037037035,0.022792022792022793,0.09116809116809117,0.09971509971509972,1.0,0.02564102564102564,0.011396011396011397
ZNF33A TARGET GENES,0.019083969465648856,0.0,0.003816793893129771,0.0,0.022900763358778626,0.011450381679389313,0.003816793893129771,0.007633587786259542,0.03816793893129771,0.019083969465648856,0.0,0.03816793893129771,0.003816793893129771,0.019083969465648856,0.015267175572519083,0.030534351145038167,0.019083969465648856,0.022900763358778626,0.026717557251908396,0.007633587786259542,0.011450381679389313,0.022900763358778626,0.007633587786259542,0.05343511450381679,0.05343511450381679,0.0,0.030534351145038167,0.003816793893129771,0.003816793893129771,0.011450381679389313,0.003816793893129771,0.04198473282442748,0.0648854961832061,0.03816793893129771,0.030534351145038167,0.019083969465648856,0.061068702290076333,0.03435114503816794,1.0,0.011450381679389313
ZNF582 TARGET GENES,0.013333333333333334,0.0,0.0,0.0,0.04,0.0,0.0,0.02666666666666667,0.013333333333333334,0.0,0.0,0.04,0.0,0.02666666666666667,0.0,0.04,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.05333333333333334,0.0,0.06666666666666667,0.02666666666666667,0.0,0.04,0.0,0.02666666666666667,0.0,0.0,0.02666666666666667,0.02666666666666667,0.05333333333333334,0.0,0.013333333333333334,0.04,0.05333333333333334,0.04,1.0
