Pathway,PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,ELECTRON TRANSFER ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY","PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,CYTOCHROME C OXIDASE ACTIVITY,"ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY","ATPASE COUPLED MONOATOMIC CATION
TRANSMEMBRANE TRANSPORTER ACTIVITY","ATPASE COUPLED ION TRANSMEMBRANE TRANSPORTER
ACTIVITY","ATPASE COUPLED TRANSMEMBRANE TRANSPORTER
ACTIVITY","PROTON TRANSPORTING ATP SYNTHASE ACTIVITY
ROTATIONAL MECHANISM",PROTON CHANNEL ACTIVITY,ANTIGEN BINDING,HISTONE BINDING,DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",ATP DEPENDENT ACTIVITY ACTING ON DNA,CATALYTIC ACTIVITY ACTING ON DNA,DNA HELICASE ACTIVITY,SINGLE STRANDED DNA BINDING,DAMAGED DNA BINDING,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT
CONFERRING TENSILE STRENGTH",INTEGRIN BINDING,COLLAGEN BINDING,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",ATP DEPENDENT ACTIVITY ACTING ON RNA,ISOMERASE ACTIVITY,CATALYTIC ACTIVITY ACTING ON RNA,MRNA 3 UTR BINDING,MRNA 5 UTR BINDING,"SECONDARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",LIPID TRANSPORTER ACTIVITY,TUBULIN BINDING,MICROTUBULE BINDING,MONOCARBOXYLIC ACID BINDING,INTRAMOLECULAR OXIDOREDUCTASE ACTIVITY,STRUCTURAL CONSTITUENT OF NUCLEAR PORE
"ATPASE COUPLED TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.2828282828282828,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.5454545454545454,0.24242424242424243,1.0,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.29292929292929293,0.0,0.0,0.0,0.0,0.0
"PROTON TRANSPORTING ATP SYNTHASE ACTIVITY
ROTATIONAL MECHANISM",1.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON CHANNEL ACTIVITY,1.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.13793103448275862,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.5862068965517241,1.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
ANTIGEN BINDING,0.0,0.0,0.0,0.0,0.011627906976744186,0.029069767441860465,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.011627906976744186,0.0,0.005813953488372093,0.005813953488372093,0.0,0.005813953488372093,0.0,0.0,0.0,0.01744186046511628,0.0,0.0,0.0,0.0,0.0,0.0
HISTONE BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10857142857142857,0.09142857142857143,0.09714285714285714,0.10857142857142857,0.017142857142857144,0.005714285714285714,0.011428571428571429,0.0,0.0,0.0,0.005714285714285714,0.045714285714285714,0.045714285714285714,0.0,0.045714285714285714,0.0,0.005714285714285714,0.0,0.0,0.0,0.022857142857142857,0.005714285714285714,0.005714285714285714,0.0,0.0
DNA BINDING TRANSCRIPTION FACTOR BINDING,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526,0.0,0.0389344262295082,1.0,0.7192622950819673,0.012295081967213115,0.028688524590163935,0.0020491803278688526,0.02663934426229508,0.02459016393442623,0.0,0.0,0.00819672131147541,0.004098360655737705,0.01639344262295082,0.018442622950819672,0.010245901639344262,0.02459016393442623,0.01639344262295082,0.00819672131147541,0.0,0.0020491803278688526,0.0,0.010245901639344262,0.004098360655737705,0.014344262295081968,0.0,0.0
"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",0.002849002849002849,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.045584045584045586,1.0,1.0,0.014245014245014245,0.03418803418803419,0.002849002849002849,0.02564102564102564,0.02564102564102564,0.0,0.0,0.011396011396011397,0.005698005698005698,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.02564102564102564,0.014245014245014245,0.011396011396011397,0.0,0.002849002849002849,0.0,0.008547008547008548,0.0,0.017094017094017096,0.0,0.0
ATP DEPENDENT ACTIVITY ACTING ON DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14049586776859505,0.049586776859504134,0.04132231404958678,1.0,1.0,0.5371900826446281,0.2644628099173554,0.09090909090909091,0.0,0.0,0.0,0.0,0.6776859504132231,0.6776859504132231,0.11570247933884298,0.6776859504132231,0.10743801652892562,0.01652892561983471,0.01652892561983471,0.0,0.0,0.024793388429752067,0.0,0.0,0.0,0.0
CATALYTIC ACTIVITY ACTING ON DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07450980392156863,0.054901960784313725,0.047058823529411764,0.4745098039215686,1.0,0.2549019607843137,0.19215686274509805,0.1568627450980392,0.0,0.0,0.0,0.0,0.3411764705882353,0.3411764705882353,0.054901960784313725,0.34901960784313724,0.12549019607843137,0.00784313725490196,0.00784313725490196,0.0,0.0,0.0392156862745098,0.027450980392156862,0.0,0.00392156862745098,0.0
DNA HELICASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.015384615384615385,0.015384615384615385,1.0,1.0,1.0,0.3230769230769231,0.12307692307692308,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.18461538461538463,0.015384615384615385,0.03076923076923077,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0
SINGLE STRANDED DNA BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.008130081300813009,0.10569105691056911,0.07317073170731707,0.2601626016260163,0.3983739837398374,0.17073170731707318,1.0,0.17886178861788618,0.0,0.0,0.008130081300813009,0.0,0.21951219512195122,0.21951219512195122,0.032520325203252036,0.22764227642276422,0.06504065040650407,0.07317073170731707,0.008130081300813009,0.0,0.0,0.04065040650406504,0.024390243902439025,0.0,0.0,0.0
DAMAGED DNA BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.1643835616438356,0.1232876712328767,0.1506849315068493,0.547945205479452,0.1095890410958904,0.3013698630136986,1.0,0.0,0.0,0.0136986301369863,0.0,0.1095890410958904,0.1095890410958904,0.0,0.1095890410958904,0.0273972602739726,0.0,0.0,0.0,0.0,0.0684931506849315,0.0547945205479452,0.0,0.0,0.0
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23204419889502761,0.143646408839779,0.11049723756906077,0.0,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0
"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT
CONFERRING TENSILE STRENGTH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTEGRIN BINDING,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.026490066225165563,0.026490066225165563,0.0,0.0,0.0,0.006622516556291391,0.006622516556291391,0.17218543046357615,0.026490066225165563,1.0,0.0728476821192053,0.0,0.006622516556291391,0.0,0.026490066225165563,0.0,0.0,0.0,0.019867549668874173,0.0,0.013245033112582781,0.006622516556291391,0.0,0.013245033112582781,0.0
COLLAGEN BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.06153846153846154,0.16923076923076924,1.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0
NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.050314465408805034,0.050314465408805034,0.03773584905660377,0.5157232704402516,0.5471698113207547,0.4088050314465409,0.16981132075471697,0.050314465408805034,0.0,0.0,0.0,0.0,1.0,1.0,0.48427672955974843,1.0,0.5031446540880503,0.031446540880503145,0.018867924528301886,0.0,0.0,0.012578616352201259,0.006289308176100629,0.0,0.0,0.0
"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",0.0,0.0,0.0,0.0,0.0035211267605633804,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0035211267605633804,0.028169014084507043,0.03169014084507042,0.02112676056338028,0.2887323943661972,0.30633802816901406,0.22887323943661972,0.09507042253521127,0.028169014084507043,0.0,0.0,0.0035211267605633804,0.0,0.5598591549295775,1.0,0.2711267605633803,1.0,0.28169014084507044,0.017605633802816902,0.014084507042253521,0.0,0.0,0.19014084507042253,0.18309859154929578,0.0,0.0,0.0
ATP DEPENDENT ACTIVITY ACTING ON RNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,0.03896103896103896,0.18181818181818182,0.18181818181818182,0.16883116883116883,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.987012987012987,0.025974025974025976,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0
ISOMERASE ACTIVITY,0.0,0.0,0.006772009029345372,0.0,0.002257336343115124,0.002257336343115124,0.0,0.0,0.0,0.0,0.002257336343115124,0.0,0.0,0.002257336343115124,0.01805869074492099,0.02708803611738149,0.020316027088036117,0.18510158013544017,0.20090293453724606,0.14672686230248308,0.06320541760722348,0.01805869074492099,0.002257336343115124,0.0,0.009029345372460496,0.002257336343115124,0.35891647855530473,0.6410835214446953,0.17381489841986456,1.0,0.1986455981941309,0.011286681715575621,0.009029345372460496,0.0,0.0,0.12189616252821671,0.11738148984198646,0.004514672686230248,0.12189616252821671,0.0
CATALYTIC ACTIVITY ACTING ON RNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018648018648018648,0.011655011655011656,0.030303030303030304,0.07459207459207459,0.027972027972027972,0.018648018648018648,0.004662004662004662,0.0,0.0,0.0,0.0,0.1864801864801865,0.1864801864801865,0.17715617715617715,0.20512820512820512,1.0,0.03263403263403263,0.006993006993006993,0.0,0.0,0.004662004662004662,0.002331002331002331,0.0,0.0,0.0
MRNA 3 UTR BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735849056603774,0.01509433962264151,0.01509433962264151,0.007547169811320755,0.007547169811320755,0.0037735849056603774,0.033962264150943396,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.007547169811320755,0.018867924528301886,0.052830188679245285,1.0,0.045283018867924525,0.0,0.0,0.011320754716981131,0.007547169811320755,0.0,0.0,0.0
MRNA 5 UTR BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.125,0.5,1.0,0.0,0.0,0.125,0.041666666666666664,0.041666666666666664,0.0,0.0
"SECONDARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.23103448275862068,0.0,0.0,0.0,0.0034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.006896551724137931,0.010344827586206896,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0896551724137931,0.006896551724137931,0.0034482758620689655,0.0,0.0,0.0
LIPID TRANSPORTER ACTIVITY,0.0,0.0,0.005263157894736842,0.0,0.15263157894736842,0.29473684210526313,0.0,0.005263157894736842,0.005263157894736842,0.0,0.15263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368421052631579,1.0,0.0,0.0,0.03684210526315789,0.0,0.0
TUBULIN BINDING,0.002512562814070352,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010050251256281407,0.01256281407035176,0.007537688442211055,0.007537688442211055,0.02512562814070352,0.002512562814070352,0.01256281407035176,0.01256281407035176,0.0,0.0,0.005025125628140704,0.002512562814070352,0.005025125628140704,0.135678391959799,0.002512562814070352,0.135678391959799,0.005025125628140704,0.007537688442211055,0.007537688442211055,0.005025125628140704,0.0,1.0,0.7236180904522613,0.007537688442211055,0.0,0.002512562814070352
MICROTUBULE BINDING,0.003472222222222222,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.006944444444444444,0.0,0.0,0.024305555555555556,0.0,0.010416666666666666,0.013888888888888888,0.0,0.0,0.003472222222222222,0.0,0.003472222222222222,0.18055555555555555,0.0,0.18055555555555555,0.003472222222222222,0.006944444444444444,0.003472222222222222,0.003472222222222222,0.0,1.0,1.0,0.010416666666666666,0.0,0.0
MONOCARBOXYLIC ACID BINDING,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.011627906976744186,0.08139534883720931,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.011627906976744186,0.0,0.08139534883720931,0.03488372093023256,0.03488372093023256,1.0,0.023255813953488372,0.0
INTRAMOLECULAR OXIDOREDUCTASE ACTIVITY,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,1.0,0.0
STRUCTURAL CONSTITUENT OF NUCLEAR PORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.0
